date,open,high,low,close,volume
2016-04-21,25.3026,25.3026,24.8981,24.9865,4491400
2016-04-22,25.0953,25.3604,25.0613,25.272,2927200
2016-04-25,25.2652,25.357,25.0443,25.2516,2807800
2016-04-26,25.408,25.6629,25.0986,25.3604,4765600
2016-04-27,25.3162,25.4828,25.0035,25.3944,4263400
2016-04-28,25.136,25.3638,24.9899,25.2992,3049000
2016-04-29,25.1598,25.5541,25.0239,25.5541,3320200
2016-05-02,25.6017,25.8329,25.5847,25.6833,2911600
2016-05-03,25.6323,26.0402,25.5915,26.0096,4416800
2016-05-04,25.9926,26.4787,25.9246,26.1694,3657200
2016-05-05,26.149,26.4311,26.0232,26.1218,3200000
2016-05-06,26.0708,26.0708,25.7139,25.8872,2109000
2016-05-09,25.911,26.0504,25.7955,26.0164,2877800
2016-05-10,26.0095,26.2329,25.903,26.1229,3075000
2016-05-11,26.1608,26.3704,25.927,26.3257,3470800
2016-05-12,26.3601,26.5561,26.2364,26.4907,2569800
2016-05-13,26.422,26.4976,26.2158,26.3292,2602600
2016-05-16,26.2811,26.3567,26.0198,26.2673,2353600
2016-05-17,26.1539,26.3223,25.9373,26.0611,3275000
2016-05-18,25.8858,25.8995,25.1296,25.219,4308800
2016-05-19,25.1158,25.5696,24.9784,25.5455,2557600
2016-05-20,25.6314,25.6555,25.3874,25.5386,5839800
2016-05-23,25.5799,25.6521,25.3118,25.329,1671400
2016-05-24,25.3805,25.4871,25.2808,25.463,2553200
2016-05-25,25.4527,25.6692,25.274,25.5867,1853000
2016-05-26,25.5661,26.0026,25.5661,25.9786,1634000
2016-05-27,25.9408,26.0301,25.848,26.0026,1396400
2016-05-31,25.9339,26.1195,25.8583,26.0954,2449600
2016-06-01,26.0783,26.3395,25.9717,26.3395,3027000
2016-06-02,26.2158,26.4357,26.068,26.4289,2703000
2016-06-03,26.6832,27.0682,26.6591,26.8929,3148600
2016-06-06,27.1026,27.2572,26.8104,26.9238,2276800
2016-06-07,26.9101,27.1026,26.9066,26.9548,2879600
2016-06-08,26.9616,27.0751,26.8585,27.0201,2347600
2016-06-09,26.9823,27.106,26.7245,27.0441,4177600
2016-06-10,26.9616,27.1919,26.8791,27.0338,3273200
2016-06-13,27.1026,27.2607,26.9135,26.9307,2861000
2016-06-14,26.9857,27.1782,26.8654,27.1576,2875600
2016-06-15,27.1369,27.1507,26.7898,26.8379,2499600
2016-06-16,26.8207,27.051,26.721,26.9651,1819800
2016-06-17,26.8963,27.0785,26.776,27.0338,3117400
2016-06-20,27.0373,27.1507,26.7176,26.8482,2587200
2016-06-21,26.807,26.9513,26.697,26.7932,2335600
2016-06-22,26.8379,26.9204,26.7348,26.7691,1686400
2016-06-23,26.7623,26.9135,26.5939,26.9101,2003200
2016-06-24,26.666,27.1438,26.6523,26.807,2503200
2016-06-27,26.7932,27.1851,26.7073,27.1232,2630000
2016-06-28,27.1438,27.2194,26.8413,27.2057,2236000
2016-06-29,27.3122,27.3947,27.0098,27.0991,3051400
2016-06-30,27.2091,27.9653,27.1129,27.9619,4245800
2016-07-01,27.9894,28.0616,27.6903,28.0512,2653400
2016-07-05,28.0444,28.1509,27.9344,28.0925,1997200
2016-07-06,28.0822,28.2162,27.8691,28.1956,2218800
2016-07-07,28.1509,28.1887,27.5563,27.6697,2278000
2016-07-08,27.5975,27.8141,27.3775,27.8003,2247000
2016-07-11,27.7075,27.8622,27.4463,27.845,2013600
2016-07-12,27.6525,28.0237,27.5425,27.8622,3246600
2016-07-13,28.0169,28.1234,27.7384,27.8141,3404800
2016-07-14,27.6628,27.7591,27.3432,27.4257,2814400
2016-07-15,27.4772,27.6731,27.4497,27.5941,1946800
2016-07-18,27.5494,27.7247,27.5494,27.6285,1232200
2016-07-19,27.6285,27.6388,27.46,27.6319,2143800
2016-07-20,27.6491,27.7041,27.436,27.4841,1579600
2016-07-21,27.4119,27.5803,27.2538,27.5769,1599200
2016-07-22,27.5872,28.0925,27.57,28.065,1517800
2016-07-25,28.0031,28.0959,27.8209,27.9997,1314400
2016-07-26,28.0031,28.0031,27.7213,27.8003,1260400
2016-07-27,27.7488,27.8072,27.3088,27.5494,1311400
2016-07-28,27.5116,27.7281,27.4738,27.6766,1277600
2016-07-29,27.656,28.0065,27.6147,27.9756,2338600
2016-08-01,27.9412,28.0512,27.8141,27.9344,2532800
2016-08-02,28.1509,28.1853,27.4532,27.6216,3065400
2016-08-03,27.735,27.8622,27.4566,27.6113,2766000
2016-08-04,27.6113,27.8175,27.4119,27.5013,1912400
2016-08-05,27.4532,27.5116,27.2469,27.3569,2545000
2016-08-08,27.3741,27.6319,27.3088,27.4119,2382400
2016-08-09,27.4119,27.5439,27.2903,27.398,2516600
2016-08-10,27.4328,27.537,27.2486,27.3772,2678200
2016-08-11,27.4189,27.603,27.3529,27.5405,2018800
2016-08-12,27.6273,27.7941,27.6065,27.6273,1606200
2016-08-15,27.6343,27.6899,27.1652,27.1722,1440600
2016-08-16,27.1618,27.1722,26.7171,26.8665,2581000
2016-08-17,26.8838,27.2139,26.6128,27.1618,2705600
2016-08-18,27.0853,27.5509,27.0506,27.5439,2055200
2016-08-19,27.4223,27.5057,26.9846,27.0958,2132400
2016-08-22,27.3007,27.5266,27.1826,27.4293,1678800
2016-08-23,27.5335,27.7038,27.4084,27.4154,1240800
2016-08-24,27.3494,27.4536,27.1513,27.3876,1286800
2016-08-25,27.4015,27.5509,27.3285,27.4745,1240000
2016-08-26,27.471,27.669,26.8178,26.8421,1474000
2016-08-29,26.9255,27.2208,26.9186,27.2139,1704800
2016-08-30,27.2139,27.332,26.9498,26.9985,1329200
2016-08-31,27.0193,27.193,26.9255,27.1687,3402000
2016-09-01,27.1514,27.2556,26.9359,26.9776,3173200
2016-09-02,27.0263,27.4605,27.0193,27.4362,1766200
2016-09-06,27.5822,27.7559,27.4536,27.6447,2008800
2016-09-07,27.5752,27.9053,27.4223,27.8879,2574600
2016-09-08,27.7767,28.2527,27.7767,28.0651,3711600
2016-09-09,27.9087,27.9087,26.9186,26.9464,2377200
2016-09-12,26.8456,27.398,26.8456,27.3112,2367800
2016-09-13,27.1861,27.2556,26.5816,26.7136,2934200
2016-09-14,26.8074,27.0332,26.592,26.731,2546400
2016-09-15,26.6962,27.0124,26.6163,26.9707,1352800
