date,open,high,low,close,volume
2016-04-18,35.3288,35.6925,35.0839,35.5806,654100
2016-04-19,35.5806,35.8464,35.4687,35.8255,689800
2016-04-20,35.8254,35.8254,35.0209,35.1539,864800
2016-04-21,34.9929,35.1608,34.6012,34.895,905500
2016-04-22,34.979,35.0979,34.7691,35.0699,1110100
2016-04-25,35.1469,35.2728,34.902,34.9859,1144700
2016-04-26,35.0279,35.4757,34.979,35.3777,1034200
2016-04-27,35.3777,35.8255,35.1609,35.6646,909100
2016-04-28,35.3497,36.0073,35.3357,35.7625,773700
2016-04-29,35.7135,36.2662,35.5246,36.1053,1499500
2016-05-02,36.0983,36.3711,35.7905,35.9374,1454200
2016-05-03,35.9724,36.1193,35.4967,35.8604,1066800
2016-05-04,35.6855,36.8259,35.6296,36.3082,1403900
2016-05-05,36.1543,36.63,36.0353,36.2242,1161500
2016-05-06,36.1892,36.3082,35.8534,35.9304,1796500
2016-05-09,35.9724,36.3711,35.9514,36.3012,915200
2016-05-10,36.3222,36.4551,36.0983,36.3641,787500
2016-05-11,36.3082,36.3711,35.9234,36.3431,980800
2016-05-12,36.2382,38.8057,36.1403,36.504,2524300
2016-05-13,36.5041,36.7279,36.3431,36.4691,2391600
2016-05-16,36.4691,36.7699,36.1822,36.581,1457500
2016-05-17,36.4551,36.595,35.7695,36.0773,1125700
2016-05-18,35.8884,36.6789,35.6925,35.9094,1483700
2016-05-19,35.7485,36.532,35.6086,36.497,842900
2016-05-20,36.56,36.8958,36.2242,36.651,1750800
2016-05-23,36.651,36.8888,36.4341,36.4411,1004800
2016-05-24,36.4621,36.9518,36.1752,36.9378,1330700
2016-05-25,36.9308,36.9588,36.511,36.7069,1139600
2016-05-26,36.6929,37.0987,36.602,37.0077,1120700
2016-05-27,36.9658,37.2176,36.7839,37.0217,1010500
2016-05-31,39.5192,40.0509,39.2534,39.4073,24996300
2016-06-01,39.3164,39.6452,39.1765,39.3723,6447700
2016-06-02,39.7571,39.7571,39.2954,39.4073,5923100
2016-06-03,39.6032,39.6591,39.3233,39.5052,4480800
2016-06-06,39.5052,39.6242,39.3234,39.4003,3800300
2016-06-07,39.513,39.7102,39.1397,39.2101,5272000
2016-06-08,39.1538,39.4496,39.1538,39.3017,2234900
2016-06-09,39.3017,39.6398,39.2453,39.52,1847400
2016-06-10,39.4285,39.7313,39.3087,39.7032,2092800
2016-06-13,39.6539,39.83,39.4426,39.4919,1217700
2016-06-14,39.3792,39.7806,39.3299,39.52,1633600
2016-06-15,39.52,39.6116,39.3651,39.4778,1403900
2016-06-16,39.4566,39.5623,39.2735,39.2806,1094800
2016-06-17,39.2665,39.5553,39.189,39.5553,1547700
2016-06-20,39.4848,39.668,39.2735,39.3017,1216700
2016-06-21,39.3017,39.4637,39.2031,39.2876,1431900
2016-06-22,39.3228,39.4003,39.2383,39.3299,911100
2016-06-23,39.3581,39.4919,39.2313,39.3933,761400
2016-06-24,39.2242,39.4214,39.1186,39.2453,1415200
2016-06-27,39.2313,39.4285,39.0834,39.2947,1053100
2016-06-28,39.3017,39.351,39.0904,39.196,1459500
2016-06-29,39.2876,39.3792,38.9988,39.0481,1098200
2016-06-30,39.0693,39.5553,39.0059,39.5059,1914800
2016-07-01,39.5834,39.6398,39.2665,39.6257,996200
2016-07-05,39.6116,39.7525,39.4637,39.6398,909900
2016-07-06,39.6539,39.7384,39.4144,39.6327,1812100
2016-07-07,39.6327,39.83,39.5975,39.668,1076600
2016-07-08,39.6679,39.9919,39.5764,39.7384,1022800
2016-07-11,39.6891,39.7243,39.4848,39.7173,670500
2016-07-12,39.6257,39.7384,39.3792,39.4144,529300
2016-07-13,39.4426,39.5412,39.3862,39.4496,591900
2016-07-14,39.358,39.7313,39.3299,39.675,971700
2016-07-15,39.7102,39.7806,39.4073,39.5975,725800
2016-07-18,39.5834,39.7736,39.5693,39.6961,541100
2016-07-19,39.7243,39.7525,39.6257,39.682,1071900
2016-07-20,39.6609,39.7384,39.5764,39.5975,676200
2016-07-21,39.5834,39.7525,39.5482,39.6186,895300
2016-07-22,39.6327,39.7102,39.5553,39.6046,907400
2016-07-25,39.6186,39.6468,39.506,39.5341,554900
2016-07-26,39.4003,39.4426,38.9847,39.0904,880900
2016-07-27,39.02,39.3158,38.9777,39.0904,1093400
2016-07-28,39.0904,39.4355,39.0622,39.0622,768800
2016-07-29,39.0904,39.196,39.0622,39.1397,823300
2016-08-01,39.1608,39.2665,39.02,39.0341,649900
2016-08-02,39.0552,39.189,38.9988,39.1115,764700
2016-08-03,39.0622,39.1538,38.2734,38.3579,1661400
2016-08-04,38.2804,38.6608,38.2241,38.2663,1349900
2016-08-05,38.3861,38.3931,37.8649,38.0198,1651500
2016-08-08,37.9494,38.0762,37.8437,37.9635,660800
2016-08-09,38.048,38.1184,37.8367,37.886,909900
2016-08-10,37.8649,38.0269,37.7451,37.8156,700000
2016-08-11,37.8226,37.9423,37.6113,37.7663,560000
2016-08-12,37.6958,37.893,37.6324,37.6465,560300
2016-08-15,37.7944,37.8015,37.3718,37.5197,656200
2016-08-16,37.3789,37.6395,36.9915,37.4493,650500
