date,open,high,low,close,volume
2016-04-18,43.2613,43.5698,43.0673,43.3759,818000
2016-04-19,43.6668,43.993,43.4729,43.9225,1351700
2016-04-20,43.993,44.0636,43.5169,43.5258,801900
2016-04-21,43.0409,43.1555,42.3179,42.9439,872200
2016-04-22,42.9968,43.3494,42.8557,43.1555,769400
2016-04-25,42.9791,43.2613,42.7764,43.1202,891000
2016-04-26,43.129,43.9049,42.9263,43.7638,1461000
2016-04-27,43.7021,44.5132,43.4817,44.3898,2002800
2016-04-28,44.2223,44.4867,43.6933,43.9489,1649400
2016-04-29,43.5698,43.9489,43.3671,43.7374,1945200
2016-05-02,43.6668,44.6366,43.6404,44.3104,3216000
2016-05-03,43.3847,43.4111,41.3482,41.7801,4125200
2016-05-04,41.692,42.0975,41.2071,41.9477,2155900
2016-05-05,41.9653,42.221,41.7802,41.8507,1551400
2016-05-06,41.8154,42.7499,41.6391,42.6706,1444700
2016-05-09,42.7059,42.9703,42.4326,42.5824,1232800
2016-05-10,42.8557,43.1907,42.7058,42.9615,1037200
2016-05-11,42.7499,42.9968,42.1416,42.1416,1171300
2016-05-12,42.3708,42.7059,42.0358,42.362,1307500
2016-05-13,42.1504,42.3003,41.4628,41.833,1246700
2016-05-16,41.8507,41.9212,41.4716,41.7449,1476600
2016-05-17,41.7272,42.6265,41.7096,41.9388,1383200
2016-05-18,41.8771,42.265,41.6655,42.0182,1368800
2016-05-19,41.8419,42.2298,41.5245,42.1063,1066700
2016-05-20,42.1857,42.9703,42.1063,42.697,5588500
2016-05-23,42.697,43.0761,42.2386,42.9615,2167000
2016-05-24,43.1996,43.561,42.891,43.3583,1465600
2016-05-25,43.4023,43.6227,42.9615,43.0849,1785000
2016-05-26,42.9703,43.3759,42.9439,43.1202,1103800
2016-05-27,43.3069,43.5291,43.2535,43.2624,1104500
2016-05-31,43.2891,43.7247,42.9424,43.1558,5620400
2016-06-01,43.1647,43.3513,42.9691,43.218,1433400
2016-06-02,43.0935,43.298,42.8802,43.0758,900400
2016-06-03,42.8269,43.6891,42.7024,43.618,1696500
2016-06-06,44.018,44.1158,43.3869,43.9824,1584100
2016-06-07,43.9024,44.3824,43.8847,44.0536,1339100
2016-06-08,44.018,44.6136,43.8847,44.2936,1218800
2016-06-09,44.2669,44.5069,43.9558,44.4269,1723000
2016-06-10,44.3113,44.3113,43.5735,43.7869,862600
2016-06-13,43.7691,43.7958,43.2802,43.3069,962200
2016-06-14,43.1202,43.3069,42.6847,42.898,1005400
2016-06-15,42.9158,43.3335,42.8713,42.8891,1211500
2016-06-16,42.8002,43.0402,42.4269,42.9513,606000
2016-06-17,42.9691,43.1647,42.6402,42.9247,1592600
