date,open,high,low,close,volume
2016-04-18,103.7107,105.6964,103.7107,105.4873,2299800
2016-04-19,103.6727,104.3282,101.0125,102.1906,3681100
2016-04-20,102.3331,103.5397,101.402,102.8841,1617000
2016-04-21,103.1311,103.4257,101.6585,102.9316,1373100
2016-04-22,102.6751,103.2927,100.6989,102.1431,1993400
2016-04-25,101.801,102.1336,100.4139,101.117,1719000
2016-04-26,101.3545,101.573,100.4804,101.3165,1301600
2016-04-27,100.7369,102.5516,100.1004,102.3901,3165600
2016-04-28,102.1811,105.2593,101.497,101.649,6173600
2016-04-29,111.0073,112.1094,108.0906,109.9907,8365700
2016-05-02,109.9812,111.1498,108.1856,110.7033,3588100
2016-05-03,109.4112,110.9598,108.6891,110.1807,2649600
2016-05-04,107.986,109.6677,107.2545,108.4136,3233200
2016-05-05,108.4421,108.8411,106.8364,106.9315,2174300
2016-05-06,106.4089,107.6725,105.9814,107.511,1812700
2016-05-09,107.454,108.4231,106.3899,106.979,1531300
2016-05-10,107.72,109.6012,107.378,109.2781,1560300
2016-05-11,108.8791,109.1736,106.96,107.0265,1111500
2016-05-12,107.5965,107.9481,105.6584,107.302,1052100
2016-05-13,107.5965,108.1191,106.3139,106.3329,1235700
2016-05-16,106.8839,107.074,105.7914,106.3329,1737200
2016-05-17,106.3614,108.005,105.6583,106.0479,1650300
2016-05-18,105.5538,106.6654,104.2142,105.2403,2679900
2016-05-19,104.0242,104.9173,102.3806,103.1407,2241300
2016-05-20,103.3021,105.5348,102.8651,104.9743,2243000
2016-05-23,104.7938,105.2403,104.4518,104.6988,1096100
2016-05-24,105.47,108.2503,105.0987,107.7552,2333500
2016-05-25,107.7552,108.6407,107.2696,107.6028,1648000
2016-05-26,107.7362,108.0218,105.7747,106.4698,1219100
2016-05-27,106.6412,107.2601,106.1746,106.9173,1076400
2016-05-31,106.9839,107.2601,104.6607,105.9175,2063300
2016-06-01,105.1844,106.5459,104.2893,105.3081,1546600
2016-06-02,104.8511,106.1651,104.4988,105.7842,1102000
2016-06-03,105.2129,105.3748,103.1753,104.7273,1527200
2016-06-06,104.575,104.7083,103.1372,104.5083,2066700
2016-06-07,104.7369,105.7652,104.0323,105.3653,2065000
2016-06-08,105.7842,105.927,104.7369,104.7654,1122100
2016-06-09,103.899,105.3843,103.461,103.8894,1074000
2016-06-10,102.8325,103.1563,100.9854,101.69,1862000
2016-06-13,101.1758,102.0899,99.1477,99.3381,1976200
2016-06-14,99.5191,100.6331,98.6526,99.9761,1950900
2016-06-15,100.376,100.8997,99.1858,99.3477,1594800
2016-06-16,99.1763,99.5381,97.929,99.3572,1729900
2016-06-17,99.1001,99.7095,98.1384,99.1572,2697800
2016-06-20,101.5281,104.0323,100.9473,102.0613,2437900
2016-06-21,102.0899,102.4517,101.2329,102.2327,1168800
2016-06-22,102.147,103.6609,101.709,102.8135,1607600
2016-06-23,103.7657,104.7368,103.2515,104.6416,1647600
2016-06-24,97.6338,101.1948,96.3769,96.8911,5446700
2016-06-27,95.7295,96.0151,91.9589,93.7299,3233500
2016-06-28,95.0534,98.0432,94.9773,96.3484,2121500
2016-06-29,97.5671,100.1665,97.3291,99.1953,2045000
2016-06-30,100.4903,101.3662,98.9573,101.2139,2336800
2016-07-01,100.9568,103.1468,100.7569,102.5564,1779300
2016-07-05,101.7852,102.4898,99.5857,100.8616,1621800
2016-07-06,100.3093,101.6804,99.4429,101.1187,1372200
2016-07-07,100.9759,102.4612,100.614,102.4231,1240100
2016-07-08,103.1563,104.4512,102.9182,104.1941,1661300
2016-07-11,104.8416,106.1651,104.8035,105.9556,1832400
2016-07-12,106.6697,108.3074,106.5555,107.9742,2090800
2016-07-13,108.0218,108.9359,106.9173,108.793,1902200
2016-07-14,109.7357,110.107,109.0215,109.6214,1970000
2016-07-15,108.9073,109.7547,107.6124,109.1358,1814500
2016-07-18,109.2025,110.6592,108.3741,110.0023,1103400
2016-07-19,109.2025,110.7259,108.8121,110.5736,1425500
2016-07-20,110.6973,112.2494,110.2594,111.5828,1340000
2016-07-21,111.4686,111.659,110.2784,111.002,1168700
2016-07-22,110.783,111.6971,110.2403,111.5924,1231100
2016-07-25,111.2591,112.0208,110.307,111.9827,1480500
2016-07-26,112.3446,113.2206,111.1354,112.0113,2863100
2016-07-27,112.1256,112.3541,110.2594,111.5924,2772300
2016-07-28,111.9256,114.0394,110.6688,113.5633,4959500
2016-07-29,108.2979,112.2874,107.5838,111.0687,6136100
2016-08-01,111.2305,112.1351,109.9737,111.7542,1964400
2016-08-02,110.7164,111.3543,107.1172,108.117,4442800
2016-08-03,107.879,108.6216,106.9744,107.1744,2114900
2016-08-04,106.2793,108.7359,105.6985,108.0789,1941600
2016-08-05,108.9168,109.9737,107.7076,107.8123,2141000
2016-08-08,107.9456,108.7359,106.9459,108.6312,1460800
2016-08-09,108.6216,109.4595,107.9742,108.336,1251800
2016-08-10,108.993,109.2882,108.336,108.9073,1059300
2016-08-11,109.3453,110.2022,108.7359,109.3072,1298300
2016-08-12,109.0406,110.7735,108.8311,110.526,1684900
2016-08-15,111.0115,112.3445,110.9925,111.3067,1749600
2016-08-16,111.3067,112.0684,110.4498,110.7164,1108700
2016-08-17,110.5164,111.0401,109.65,109.8975,1342500
2016-08-18,110.107,110.4403,109.5071,109.9166,990700
2016-08-19,109.4786,109.7738,109.2215,109.4976,1102800
2016-08-22,109.2786,109.65,108.4979,108.536,1341100
2016-08-23,108.7936,109.5666,108.3928,108.4119,1585700
2016-08-24,108.4119,108.9081,106.78,106.78,1519200
2016-08-25,106.3028,107.4385,106.2551,107.1235,1320000
2016-08-26,107.4671,108.5646,105.4344,106.2742,2270200
2016-08-29,106.5987,106.6368,104.7759,104.7855,1694000
2016-08-30,105.1099,105.2817,103.7357,104.1079,1598800
2016-08-31,103.7548,104.7663,103.3158,104.1365,1915300
2016-09-01,104.8427,108.0779,104.1746,107.9633,3199900
2016-09-02,108.7936,109.1658,106.7609,106.9327,1744200
2016-09-06,106.9804,109.4617,106.9041,108.7077,2165300
2016-09-07,108.3642,109.1658,108.2878,108.4596,1577600
2016-09-08,107.9156,109.0608,107.219,108.8604,1164600
2016-09-09,107.8775,108.1924,105.9783,106.0261,1696700
2016-09-12,104.7854,108.7459,104.7854,108.3833,2098000
2016-09-13,107.3621,107.9061,106.0451,106.465,1156400
2016-09-14,106.8659,107.5244,105.9593,106.2265,871300
2016-09-15,105.8734,107.0758,105.1195,106.7895,2163500
2016-09-16,105.6443,105.9306,101.9797,102.9054,6638900
2016-09-19,103.6021,103.8216,100.9109,101.2735,4241900
2016-09-20,102.1037,102.8958,100.7963,102.7336,2680600
2016-09-21,103.0295,103.2585,102.2087,103.0867,2003000
2016-09-22,104.022,104.0697,103.4017,103.8216,1453800
2016-09-23,103.9934,105.234,103.583,104.8904,1674800
2016-09-26,104.3464,104.585,103.5448,104.1079,1044200
2016-09-27,104.2606,108.1161,104.2606,107.9347,2604700
2016-09-28,108.3355,110.7786,107.4957,110.6927,3446000
2016-09-29,110.6927,113.7084,110.2824,112.9927,5575000
2016-09-30,113.2122,113.3458,111.2558,111.3894,2292000
2016-10-03,111.0649,112.0383,110.416,111.6757,1542800
2016-10-04,112.6586,113.6798,111.8475,113.6798,2010100
2016-10-05,113.8516,114.0424,113.069,113.6989,1377800
2016-10-06,113.6034,113.613,112.0861,113.1167,1203200
2016-10-07,113.3553,113.3553,112.0288,112.3914,1174100
2016-10-10,112.9354,114.0424,112.5251,113.3458,1085800
2016-10-11,112.7636,113.2408,111.5134,112.3437,1873500
2016-10-12,113.1835,113.9661,112.5632,113.3649,2243400
2016-10-13,112.067,113.8993,111.2558,113.2694,1109800
