date,open,high,low,close,volume
2016-04-22,8.0536,8.1423,7.9827,8.0418,28846300
2016-04-25,8.03,8.0655,7.9591,8.0241,19494800
2016-04-26,8.0714,8.1659,8.0536,8.1245,35214200
2016-04-27,8.1484,8.1903,8.1186,8.1604,27151400
2016-04-28,8.238,8.4949,8.1903,8.4173,87588800
2016-04-29,8.3217,8.3814,8.0827,8.1006,69695100
2016-05-02,8.1664,8.238,8.1245,8.1365,57955400
2016-05-03,8.0648,8.0947,7.8557,8.023,45594000
2016-05-04,7.9393,7.9931,7.8497,7.9513,28895000
2016-05-05,7.9752,8.023,7.8975,7.9573,23838100
2016-05-06,7.9214,8.0529,7.9095,8.029,23284500
2016-05-09,8.017,8.0648,7.9334,7.9573,21602000
2016-05-10,7.9931,8.0768,7.9931,8.0588,23583400
2016-05-11,8.029,8.0887,7.9453,7.9573,20229600
2016-05-12,8.0051,8.0469,7.8677,7.9752,24784300
2016-05-13,7.9692,8.0767,7.8677,7.8975,27481900
2016-05-16,7.8975,7.9931,7.8916,7.9573,21262700
2016-05-17,7.8497,7.9513,7.8079,7.8497,34165300
2016-05-18,7.8378,7.9692,7.796,7.8617,23509700
2016-05-19,7.8258,7.8856,7.7781,7.8199,24117800
2016-05-20,7.8557,7.9214,7.8438,7.8796,19465000
2016-05-23,7.8497,7.8856,7.8318,7.8438,16234300
2016-05-24,7.8617,7.9453,7.8617,7.9394,19721600
2016-05-25,7.9632,8.1245,7.9632,8.0768,26188300
2016-05-26,8.1186,8.1723,7.9871,8.0409,18369900
2016-05-27,8.0529,8.0887,8.0051,8.0349,17263300
2016-05-31,8.0588,8.1006,8.0051,8.0588,26096000
2016-06-01,8.023,8.029,7.7482,7.8318,58219600
2016-06-02,7.8199,7.9573,7.796,7.8916,41614600
2016-06-03,7.8497,7.8497,7.7064,7.79,39850700
2016-06-06,7.8139,7.8916,7.79,7.8736,25588700
2016-06-07,7.9035,8.0349,7.8736,7.9931,27656900
2016-06-08,8.0349,8.0588,7.9752,7.9812,18084800
2016-06-09,7.9214,7.9453,7.8497,7.9214,19873800
2016-06-10,7.8677,7.9155,7.796,7.8258,27382700
2016-06-13,7.8079,7.8438,7.7422,7.7542,20745800
2016-06-14,7.7601,7.8079,7.6227,7.6705,30546000
2016-06-15,7.7123,7.8617,7.6944,7.7721,25829700
2016-06-16,7.7243,7.8497,7.6765,7.8378,26581200
2016-06-17,7.8617,8.0051,7.8557,7.9214,37364900
2016-06-20,7.9991,8.0947,7.9991,8.017,29666700
2016-06-21,8.029,8.029,7.8736,7.8975,36721800
2016-06-22,7.9035,7.9513,7.8557,7.8736,20666600
2016-06-23,7.9394,8.011,7.9334,8.0051,24579700
2016-06-24,7.6407,7.7123,7.4375,7.4794,96887300
2016-06-27,7.4256,7.4256,7.1687,7.2643,52731800
2016-06-28,7.4196,7.4316,7.2942,7.4017,40640400
2016-06-29,7.4614,7.5152,7.3838,7.4973,31937900
2016-06-30,7.5033,7.5092,7.324,7.5092,44983800
2016-07-01,7.6944,7.7004,7.5809,7.5988,45067800
2016-07-05,7.5092,7.5212,7.3539,7.4077,30243300
2016-07-06,7.3599,7.5152,7.2942,7.5092,35091200
2016-07-07,7.5092,7.6705,7.5092,7.6168,33473000
2016-07-08,7.7004,7.8677,7.7004,7.8199,45945200
2016-07-11,7.8677,7.9632,7.8438,7.9274,28626300
2016-07-12,7.9931,8.0887,7.9931,8.0349,31320100
2016-07-13,8.0588,8.0708,7.9513,8.0529,26779800
2016-07-14,8.1066,8.1843,8.0947,8.1186,31803000
2016-07-15,8.1425,8.1664,8.0827,8.1066,19546300
2016-07-18,8.1006,8.1723,8.017,8.1544,22545800
2016-07-19,8.1006,8.1962,8.0648,8.1544,26183400
2016-07-20,8.1305,8.2321,8.1006,8.2082,22588900
2016-07-21,8.2858,8.3874,8.2799,8.3157,40574400
2016-07-22,8.3157,8.3217,8.1903,8.2679,25134100
2016-07-25,8.2799,8.3336,8.2201,8.2619,26248500
2016-07-26,8.2921,8.3827,8.268,8.3707,28467200
2016-07-27,8.3707,8.4492,8.3042,8.3586,34625500
2016-07-28,7.7184,7.7667,7.5191,7.6761,142168600
2016-07-29,7.6157,7.7788,7.6097,7.6459,59754100
2016-08-01,7.6157,7.6218,7.4889,7.5372,51963100
2016-08-02,7.4587,7.4647,7.1869,7.2111,101624900
2016-08-03,7.2594,7.3681,7.2111,7.3258,47323300
2016-08-04,7.3198,7.3862,7.2775,7.2956,38443200
2016-08-05,7.3439,7.4043,7.3439,7.3621,31219500
2016-08-08,7.3802,7.4466,7.3379,7.356,33310600
2016-08-09,7.3439,7.4768,7.3379,7.4345,30097800
2016-08-10,7.4285,7.4647,7.3862,7.3983,24555800
2016-08-11,7.4345,7.4708,7.4043,7.4345,24987300
2016-08-12,7.4225,7.4708,7.3983,7.4466,18816900
2016-08-15,7.4708,7.5131,7.4647,7.507,16371100
2016-08-16,7.4587,7.507,7.4466,7.4527,20450100
2016-08-17,7.4466,7.4829,7.3862,7.4829,23434500
2016-08-18,7.4466,7.4647,7.4104,7.4466,23629500
2016-08-19,7.4285,7.4949,7.3983,7.4829,21891400
2016-08-22,7.4587,7.4768,7.4225,7.4647,22458400
2016-08-23,7.4889,7.507,7.4466,7.501,34634100
2016-08-24,7.4949,7.513,7.4164,7.4285,19999600
2016-08-25,7.4285,7.5614,7.3741,7.5312,44713700
2016-08-26,7.5312,7.5795,7.4527,7.4768,22645900
2016-08-29,7.4768,7.5493,7.4768,7.5312,22243200
2016-08-30,7.5312,7.5855,7.507,7.5795,26040400
2016-08-31,7.5372,7.6157,7.5372,7.6097,26030600
2016-09-01,7.6459,7.6822,7.4587,7.5131,40510400
2016-09-02,7.5674,7.5916,7.5251,7.5493,21079800
2016-09-06,7.5432,7.652,7.507,7.652,36098900
2016-09-07,7.6218,7.7003,7.6218,7.6701,22879100
2016-09-08,7.5493,7.7003,7.5493,7.6882,34017900
2016-09-09,7.6157,7.664,7.4768,7.4768,35733600
2016-09-12,7.4406,7.7124,7.4164,7.6701,42690200
2016-09-13,7.5674,7.658,7.4466,7.4768,56549100
2016-09-14,7.356,7.4345,7.3137,7.3319,62450600
2016-09-15,7.3319,7.356,7.2836,7.3138,57334800
2016-09-16,7.2775,7.3258,7.2534,7.3138,26271600
2016-09-19,7.3198,7.4466,7.2836,7.3138,41175500
2016-09-20,7.3017,7.3621,7.2232,7.2473,37820800
2016-09-21,7.2956,7.3138,7.2534,7.3017,32934600
2016-09-22,7.35,7.4225,7.3439,7.356,36136200
2016-09-23,7.3198,7.3802,7.3198,7.35,18993500
2016-09-26,7.3198,7.3198,7.2473,7.2534,26758600
2016-09-27,7.2594,7.3017,7.205,7.2352,28965800
2016-09-28,7.2594,7.3017,7.2232,7.3017,29341500
2016-09-29,7.2654,7.3198,7.2171,7.2292,23397400
2016-09-30,7.2473,7.3319,7.2413,7.2896,34903800
2016-10-03,7.2836,7.3379,7.2594,7.3077,20683100
2016-10-04,7.3138,7.3983,7.3017,7.3681,23948700
2016-10-05,7.3802,7.5674,7.3802,7.5372,55529100
2016-10-06,7.507,7.5553,7.4466,7.4829,25880900
2016-10-07,7.4829,7.501,7.3681,7.4225,22093200
2016-10-10,7.4587,7.4768,7.3077,7.3198,24951400
2016-10-11,7.35,7.35,7.193,7.2413,40053500
2016-10-12,7.2473,7.2534,7.2111,7.2232,20627000
2016-10-13,7.193,7.193,7.0601,7.193,39904200
2016-10-14,7.2232,7.2473,7.1809,7.193,25775700
2016-10-17,7.193,7.2473,7.1748,7.1748,19875000
2016-10-18,7.199,7.205,7.0722,7.1809,39911300
2016-10-19,7.1809,7.2775,7.1748,7.2534,26094000
2016-10-20,7.2594,7.2654,7.1869,7.2292,18116000
2016-10-21,7.205,7.2715,7.1567,7.2594,24364200
2016-10-24,7.2836,7.3681,7.2836,7.3621,33733600
2016-10-25,7.3682,7.3988,7.1909,7.2459,42486000
2016-10-26,7.2153,7.2948,7.1909,7.2642,36219900
2016-10-27,7.2214,7.2337,7.093,7.1786,48402000
2016-10-28,7.1786,7.2459,7.1114,7.1664,37142400
2016-10-31,7.1847,7.2214,7.1481,7.1786,31898400
2016-11-01,7.2031,7.2398,7.0319,7.0991,35613600
2016-11-02,7.038,7.0686,6.9463,6.9707,36229400
2016-11-03,6.9646,7.0074,6.8912,6.9402,38651500
2016-11-04,6.9157,7.0319,6.9096,6.934,24752400
2016-11-07,7.0441,7.1052,6.9646,7.0808,25120700
2016-11-08,7.0319,7.038,6.9402,7.0196,28497900
2016-11-09,6.8179,7.1114,6.7689,7.0808,60625700
2016-11-10,7.0808,7.3254,7.0808,7.3009,52756500
2016-11-11,7.2642,7.5822,7.2398,7.5088,79259300
2016-11-14,7.5027,7.6433,7.3498,7.3743,56109900
2016-11-15,7.3743,7.4232,7.307,7.3621,31498500
2016-11-16,7.3376,7.3682,7.2887,7.3376,25195500
2016-11-17,7.2765,7.3131,7.2031,7.2581,38502500
2016-11-18,7.2581,7.2765,7.1725,7.1909,30662000
2016-11-21,7.197,7.2765,7.197,7.2092,19508600
2016-11-22,7.1909,7.2826,7.1725,7.2703,24274700
2016-11-23,7.2765,7.3376,7.2459,7.2765,22414000
2016-11-25,7.307,7.3743,7.2948,7.3621,11439600
2016-11-28,7.3498,7.3682,7.2703,7.2887,24407200
2016-11-29,7.2948,7.3376,7.2581,7.2887,23690800
2016-11-30,7.3193,7.4232,7.2887,7.3131,47646200
2016-12-01,7.4782,7.8268,7.4477,7.6005,95143600
2016-12-02,7.6923,7.6923,7.4293,7.4844,38689800
2016-12-05,7.5272,7.6433,7.5149,7.6067,36220000
2016-12-06,7.5822,7.6984,7.5638,7.68,23923900
2016-12-07,7.6984,8.0408,7.6678,7.9858,58600400
2016-12-08,7.9919,8.0408,7.9307,7.9674,41459500
2016-12-09,7.9491,8.0714,7.894,8.053,45256100
2016-12-12,7.998,8.0102,7.8329,7.839,39596800
2016-12-13,7.8512,7.8757,7.7962,7.8084,39570500
2016-12-14,7.7351,7.8207,7.6433,7.6617,42820100
2016-12-15,7.6678,7.7779,7.6556,7.6923,23774800
2016-12-16,7.7412,7.7656,7.68,7.7228,28354900
2016-12-19,7.6984,7.8268,7.6984,7.7412,22830000
2016-12-20,7.7656,7.839,7.7534,7.8146,17834000
2016-12-21,7.784,7.8084,7.7289,7.7289,18117100
2016-12-22,7.7228,7.7289,7.5822,7.5822,27821100
2016-12-23,7.6005,7.6189,7.5577,7.6189,15621200
2016-12-27,7.6005,7.6495,7.5577,7.5761,19467400
2016-12-28,7.5638,7.6128,7.4721,7.4905,26875400
2016-12-29,7.4905,7.5272,7.4721,7.4782,19819100
2016-12-30,7.4844,7.5088,7.3865,7.4171,27405700
2017-01-03,7.4599,7.7045,7.4171,7.6984,40510800
2017-01-04,7.8084,8.1142,7.7901,8.053,77638100
2017-01-05,8.0775,8.0836,7.7228,7.8084,75628400
2017-01-06,7.8268,7.8512,7.7289,7.8023,40315900
2017-01-09,7.8207,7.8635,7.7228,7.7228,39438400
2017-01-10,7.7656,7.9613,7.7412,7.8574,58703500
2017-01-11,7.7717,7.7779,7.6495,7.7473,49718700
2017-01-12,7.7412,7.7534,7.5516,7.6984,36493300
2017-01-13,7.7167,7.7473,7.6433,7.7228,29197100
2017-01-17,7.7351,7.784,7.6678,7.7106,49069500
2017-01-18,7.723,7.7355,7.6423,7.7106,33830800
2017-01-19,7.7044,7.8038,7.6671,7.723,30135600
2017-01-20,7.7355,7.7541,7.6485,7.6795,29270000
2017-01-23,7.6733,7.692,7.5926,7.6485,31670700
2017-01-24,7.6733,7.8349,7.6671,7.8349,34625200
2017-01-25,7.897,7.9529,7.8535,7.9467,46747800
2017-01-26,7.8597,7.8784,7.6733,7.6857,55672800
2017-01-27,7.7541,7.7914,7.692,7.7603,34613900
2017-01-30,7.7417,7.7417,7.6298,7.6857,39254200
2017-01-31,7.6485,7.6982,7.5739,7.6795,46974500
2017-02-01,7.7355,7.8162,7.5926,7.6547,44396800
2017-02-02,7.6423,7.6858,7.5988,7.6298,29035400
2017-02-03,7.7168,7.8411,7.6982,7.8038,38245300
2017-02-06,7.7976,7.8411,7.7417,7.7789,26916800
2017-02-07,7.7665,7.7789,7.6485,7.6671,32914400
2017-02-08,7.6671,7.7355,7.6236,7.692,26411400
2017-02-09,7.692,7.7479,7.6733,7.692,32924600
2017-02-10,7.7292,7.7727,7.6858,7.7727,32996500
2017-02-13,7.7914,7.8411,7.7541,7.8038,24474000
2017-02-14,7.8535,7.8908,7.8224,7.8597,28355700
2017-02-15,7.8411,7.8535,7.7976,7.8473,25114400
2017-02-16,7.8349,7.8535,7.7541,7.7914,22896500
2017-02-17,7.7665,7.8162,7.7168,7.8162,26407400
2017-02-21,7.8349,7.9032,7.8349,7.8846,29156200
2017-02-22,7.8659,7.9343,7.8597,7.8721,24787500
2017-02-23,7.8908,7.9032,7.7976,7.8038,22520600
2017-02-24,7.7727,7.7727,7.692,7.7479,40817300
2017-02-27,7.7603,7.8784,7.723,7.8659,41713100
2017-02-28,7.8473,7.8659,7.7355,7.7852,36089800
2017-03-01,7.8659,7.9219,7.8597,7.8846,36178600
2017-03-02,7.9032,7.9219,7.8162,7.8659,33245100
2017-03-03,7.8659,7.897,7.7852,7.8597,30429200
2017-03-06,7.8162,7.8287,7.7665,7.7789,28753600
2017-03-07,7.7727,7.7852,7.7168,7.7417,25906900
2017-03-08,7.7665,7.8535,7.7417,7.7852,27327800
2017-03-09,7.7914,7.7914,7.7044,7.7665,29149100
2017-03-10,7.7976,7.8473,7.7479,7.7852,34866100
2017-03-13,7.8038,7.8473,7.7665,7.7914,22625800
2017-03-14,7.7727,7.8038,7.7355,7.7976,26956700
2017-03-15,7.8038,7.8597,7.7789,7.8597,34296200
2017-03-16,7.8597,7.9032,7.8224,7.8908,28954700
2017-03-17,7.9156,7.9156,7.7355,7.7541,54929100
2017-03-20,7.7541,7.7603,7.6112,7.6298,45329700
2017-03-21,7.6423,7.6547,7.2695,7.2819,101559900
2017-03-22,7.2819,7.3502,7.2198,7.313,71107900
