date,open,high,low,close,volume
2016-04-22,63.5324,64.8853,63.5247,64.3242,810100
2016-04-25,63.8553,65.2389,63.8553,64.9391,1032200
2016-04-26,65.2005,66.9762,65.1697,66.4996,1139100
2016-04-27,66.9762,68.5059,66.8762,67.9755,1320900
2016-04-28,67.8217,68.5827,66.5534,66.784,907600
2016-04-29,66.9608,67.8755,65.3158,66.5534,977700
2016-05-02,66.9377,67.4681,65.7693,67.3451,1277200
2016-05-03,66.8071,67.6449,63.8092,65.262,1882900
2016-05-04,65.6463,67.5988,63.1788,64.7008,2147900
2016-05-05,65.9922,67.9985,65.9922,67.3989,1796500
2016-05-06,66.8685,68.0831,65.5771,65.6924,756800
2016-05-09,64.993,66.2152,64.3242,65.9,1002400
2016-05-10,66.1306,67.3144,65.9384,67.1914,903600
2016-05-11,66.8839,67.8909,66.3151,66.4842,1036400
2016-05-12,67.1914,67.9601,65.9154,66.9839,921300
2016-05-13,66.5688,67.4143,65.2543,65.7155,778900
2016-05-16,66.7686,67.6372,66.3996,66.5534,697000
2016-05-17,66.7686,67.4528,65.8693,66.8301,797900
2016-05-18,66.907,67.3528,66.023,66.8224,527300
2016-05-19,66.0537,67.1299,64.4856,66.8224,871600
2016-05-20,67.2606,67.2606,66.2459,66.8916,736700
2016-05-23,66.5303,67.3221,65.8308,66.7533,569600
2016-05-24,67.2759,68.0293,66.6764,67.6219,904000
2016-05-25,67.9831,69.0209,67.6372,68.9824,1001000
2016-05-26,69.1823,71.4269,69.0978,70.6505,1792600
2016-05-27,70.2739,72.1956,69.4283,71.3808,2747300
2016-05-31,71.4884,72.0803,69.5359,69.9126,978500
2016-06-01,69.3899,70.8504,69.2208,70.3584,969600
2016-06-02,69.682,71.2271,68.7211,71.0426,1062500
2016-06-03,70.958,71.1271,69.1054,69.2669,1318800
2016-06-06,69.828,70.4353,69.0286,69.8511,1172100
2016-06-07,70.3123,72.9873,70.3123,72.7106,1366700
2016-06-08,73.3717,73.8022,71.0503,71.5883,970700
2016-06-09,70.9349,72.1572,70.5045,70.8581,765800
2016-06-10,70.0279,70.6505,68.6673,68.675,800900
2016-06-13,68.183,69.5206,67.7987,68.2292,910100
2016-06-14,67.9294,69.2592,67.6219,69.0747,947300
2016-06-15,68.9978,69.5359,67.8448,68.5135,767300
2016-06-16,67.8448,67.8448,66.3458,67.0684,1312800
2016-06-17,67.4605,67.8448,66.8455,67.2683,1211500
2016-06-20,68.6135,68.8749,68.0524,68.4213,821900
2016-06-21,68.5366,70.2047,67.7141,69.8895,951200
2016-06-22,70.4737,70.4737,68.9671,69.7896,577400
2016-06-23,70.3354,70.6967,69.7204,70.2662,671600
2016-06-24,67.276,68.798,66.6072,67.0915,1692900
2016-06-27,66.415,67.1453,63.6477,64.3933,1550700
2016-06-28,65.3465,68.3752,64.8392,68.1138,1394000
2016-06-29,68.9133,70.5813,68.2753,69.7896,1013000
2016-06-30,69.6743,70.712,68.8672,70.1124,931000
2016-07-01,70.5583,71.3193,68.7057,69.5974,905300
