date,open,high,low,close,volume
2016-04-21,8.9642,8.9642,8.7337,8.7567,5667600
2016-04-22,8.7316,8.8283,8.7316,8.8244,6873200
2016-04-25,8.7993,8.8747,8.7877,8.8186,7224000
2016-04-26,8.8186,9.0236,8.7877,8.9888,9867200
2016-04-27,8.983,9.1861,8.9753,9.1745,20089200
2016-04-28,9.1068,9.2808,9.0952,9.1416,18931200
2016-04-29,9.0662,9.1377,8.9617,9.0488,15612000
2016-05-02,9.0758,9.0971,8.9153,9.0932,13384000
2016-05-03,9.0023,9.0526,8.8612,8.9675,10039200
2016-05-04,8.9443,8.9443,8.7587,8.8128,11690800
2016-05-05,8.8631,9.072,8.8128,9.0023,15210400
2016-05-06,8.9753,9.0565,8.9579,8.9907,8370000
2016-05-09,8.983,8.9907,8.8612,8.9269,7646400
2016-05-10,8.9907,9.0507,8.8592,9.0255,7492800
2016-05-11,9.0043,9.0352,8.9385,8.954,8012400
2016-05-12,8.9849,9.0178,8.8128,8.8264,13426000
2016-05-13,8.8264,8.9095,8.7471,8.7954,8248800
2016-05-16,8.8225,8.9153,8.7896,8.8418,8906000
2016-05-17,8.8438,8.8998,8.7413,8.7413,8135600
2016-05-18,8.7316,8.8631,8.7123,8.778,10215600
2016-05-19,8.7026,8.749,8.5962,8.6078,9116000
2016-05-20,8.6465,8.7258,8.5285,8.6755,10660000
2016-05-23,8.6832,8.7258,8.6465,8.6774,5702800
2016-05-24,8.7123,8.8631,8.7103,8.838,7083200
2016-05-25,8.8496,8.9056,8.8206,8.8844,7527200
2016-05-26,8.9018,8.9347,8.8844,8.9114,7955600
2016-05-27,8.9153,8.9308,8.867,8.896,8528400
2016-05-31,8.9153,8.9656,8.8534,8.9018,10332000
2016-06-01,8.896,8.9501,8.7935,8.9424,9269200
2016-06-02,8.923,9.0004,8.8728,8.9946,5848000
2016-06-03,8.9927,9.012,8.8244,8.9347,9011200
2016-06-06,8.8264,8.8689,8.6968,8.8631,13846400
2016-06-07,8.8534,8.8979,8.807,8.8457,8063600
2016-06-08,8.8747,8.9211,8.8418,8.894,9323600
2016-06-09,8.8747,8.8998,8.7567,8.7703,9690000
2016-06-10,8.6755,8.7258,8.5633,8.6194,8441600
2016-06-13,8.5865,8.6639,8.457,8.5053,11920400
2016-06-14,8.5131,8.5672,8.457,8.5556,8130000
2016-06-15,8.5324,8.5846,8.4957,8.5015,7151600
2016-06-16,8.4724,8.604,8.4183,8.5672,8286000
2016-06-17,8.5672,8.6214,8.4763,8.6001,15070000
2016-06-20,8.7297,8.8225,8.689,8.7103,10357600
2016-06-21,8.7103,8.7722,8.6388,8.6948,7282800
2016-06-22,8.7219,8.7664,8.6832,8.6929,5502400
2016-06-23,8.7838,8.8244,8.7413,8.8109,6624400
2016-06-24,8.4937,8.5788,8.4144,8.4608,15524000
2016-06-27,8.368,8.3951,8.1572,8.2578,12782800
2016-06-28,8.3158,8.3506,8.2114,8.2791,12405200
2016-06-29,8.3351,8.4164,8.3003,8.4009,9852400
2016-06-30,8.4144,8.5904,8.3932,8.5846,10848000
2016-07-01,8.573,8.7819,8.515,8.7587,10666400
2016-07-05,8.7084,8.7374,8.5247,8.5827,7494400
2016-07-06,8.4338,8.6117,8.4125,8.5749,11465600
2016-07-07,8.5904,8.6948,8.5691,8.6484,10208000
2016-07-08,8.7064,8.7529,8.6349,8.7471,10159200
2016-07-11,8.7896,8.8631,8.7567,8.7722,16033200
2016-07-12,8.4608,8.6446,8.3487,8.4686,32296000
2016-07-13,8.4531,8.4879,8.3313,8.3738,16972000
2016-07-14,8.426,8.4608,8.368,8.3738,13488800
2016-07-15,8.4241,8.4396,8.3816,8.4028,18626000
