date,open,high,low,close,volume
2016-04-18,9.4616,10.0123,9.2268,9.9491,41040800
2016-04-19,9.9942,10.8519,9.9852,10.8429,63163200
2016-04-20,10.7887,11.4568,10.6714,11.1589,61970000
2016-04-21,11.3665,11.4658,10.3554,10.4005,66031800
2016-04-22,10.6172,10.879,10.3193,10.5359,53047800
2016-04-25,10.4637,10.6172,10.0755,10.247,35788300
2016-04-26,10.1929,10.4727,9.5338,10.3644,56657500
2016-04-27,10.554,11.4387,10.4637,11.4207,58402300
2016-04-28,11.4297,12.0617,11.3846,11.4297,62677300
2016-04-29,11.836,12.6937,11.7818,12.6395,74593000
2016-05-02,12.6666,12.6756,12.0166,12.2332,46207700
2016-05-03,11.7728,11.8089,10.8339,10.8429,58883700
2016-05-04,10.9603,11.2943,10.4547,10.6533,48190000
2016-05-05,10.9151,11.0325,10.0033,10.1929,50166300
2016-05-06,10.0574,10.9422,10.0484,10.6443,51550300
2016-05-09,10.1116,10.1477,9.3623,9.4977,51361700
2016-05-10,9.7414,9.913,9.4887,9.8046,25960600
2016-05-11,9.9491,10.7797,9.931,10.4818,46766900
2016-05-12,10.5359,10.8158,9.7776,9.9581,48043300
2016-05-13,9.8949,10.2651,9.29,9.3984,43793100
2016-05-16,9.7324,10.3463,9.7324,9.9672,43789700
2016-05-17,10.2019,10.7436,10.0123,10.3915,60441200
2016-05-18,10.1387,10.3644,9.3442,9.5157,55369200
2016-05-19,9.3261,9.9491,9.2268,9.913,48054300
2016-05-20,10.0484,10.2561,9.8137,10.0033,42726700
2016-05-23,9.7505,10.3373,9.6782,10.2741,41996300
2016-05-24,10.3012,10.3915,9.9581,10.0303,37960500
2016-05-25,10.2831,10.5901,10.0303,10.5179,45708800
2016-05-26,10.7526,10.87,10.1838,10.238,31390600
2016-05-27,10.247,10.3102,9.8949,10.0574,28617000
2016-05-31,9.9852,10.3824,9.9581,10.0033,34439900
2016-06-01,10.0033,10.0033,9.272,9.5699,43762700
2016-06-02,9.4706,9.6692,9.3442,9.6241,29646100
2016-06-03,9.931,10.1838,9.8498,10.0303,34801500
2016-06-06,10.2741,10.545,10.2651,10.5179,43488500
2016-06-07,10.2199,10.3554,10.0845,10.1477,32146300
2016-06-08,10.5088,10.7616,10.4366,10.4547,37432800
2016-06-09,10.1206,10.1206,9.7324,9.8408,49003600
2016-06-10,9.5067,9.6421,9.263,9.3532,38323800
2016-06-13,9.2539,9.6692,9.2539,9.3893,25475500
2016-06-14,9.2991,9.4345,8.8657,9.2178,33249900
2016-06-15,9.606,10.2019,9.5699,9.931,62845100
2016-06-16,9.7595,9.7685,9.3171,9.7324,39528400
2016-06-17,9.9581,10.2922,9.913,10.0574,40800100
2016-06-20,10.3554,10.7526,10.3102,10.4276,38890200
2016-06-21,10.3644,10.5269,10.1567,10.4818,28845000
2016-06-22,10.6623,10.7436,10.2561,10.3824,36900100
2016-06-23,10.5811,10.7707,10.4908,10.6262,33441200
2016-06-24,9.9491,10.0304,9.4887,9.5519,54028500
2016-06-27,9.5338,9.5338,9.0192,9.1456,30018000
2016-06-28,9.588,9.8588,9.4977,9.6512,41865600
2016-06-29,9.8137,10.0033,9.7144,9.7234,29320200
2016-06-30,9.7956,10.0935,9.5789,10.0574,33685300
2016-07-01,9.9671,10.3824,9.8769,10.247,27441700
2016-07-05,10.0213,10.0935,9.3352,9.4796,38153800
2016-07-06,9.4345,9.8408,9.272,9.8317,29891300
2016-07-07,9.9942,10.3012,9.5338,9.6331,38483300
2016-07-08,9.8678,10.1477,9.7595,10.1116,36040100
2016-07-11,10.2922,10.7345,10.2651,10.5179,33360500
2016-07-12,10.879,11.7186,10.8519,11.6464,59009700
2016-07-13,11.5561,11.7367,11.213,11.7006,44432200
2016-07-14,11.7638,11.9353,11.4478,11.6915,31588300
2016-07-15,11.7638,11.9624,11.6554,11.836,24296500
2016-07-18,11.6554,11.8721,11.3756,11.8631,22242700
2016-07-19,11.6645,11.6915,11.195,11.2401,27143600
2016-07-20,10.9332,11.195,10.554,11.1047,39267700
2016-07-21,11.2853,11.6374,11.2311,11.6193,34135700
2016-07-22,11.5381,11.6283,11.3124,11.4387,23434900
2016-07-25,11.3936,11.3936,10.9873,11.1769,29515400
2016-07-26,10.4727,11.5922,10.1567,11.4478,71538400
2016-07-27,11.6374,12.2693,11.5561,11.7908,51487600
2016-07-28,11.854,11.9172,11.4839,11.6825,24785400
2016-07-29,11.52,11.7728,11.4026,11.7006,28956300
2016-08-01,11.7457,11.7728,11.204,11.2672,26279400
2016-08-02,11.4117,11.4658,11.0235,11.195,24142200
2016-08-03,11.0144,11.3575,10.8609,11.186,24941700
2016-08-04,11.0415,11.3756,11.0144,11.1228,23465700
2016-08-05,11.1228,11.1679,10.7255,11.0415,36713600
2016-08-08,11.2762,11.4929,11.0866,11.0957,29715400
2016-08-09,11.0866,11.2853,10.8609,10.9151,20165800
2016-08-10,11.2582,11.2853,10.8339,10.8519,21346500
2016-08-11,10.9693,11.0144,10.7707,10.9332,21594100
2016-08-12,10.8339,10.9964,10.5811,10.6714,23264100
2016-08-15,10.7887,11.0866,10.7707,10.9873,20601800
2016-08-16,11.1589,11.1589,10.879,10.9061,20214300
2016-08-17,10.8158,10.879,10.6352,10.8339,20372000
2016-08-18,11.0144,11.0776,10.87,11.0415,20883100
2016-08-19,10.888,10.9061,10.7345,10.8068,17288300
2016-08-22,10.6082,10.7707,10.3915,10.6804,20362900
2016-08-23,10.7887,11.0144,10.6443,10.8158,25074100
2016-08-24,10.6714,10.7075,9.9672,10.0033,44040600
2016-08-25,10.0033,10.2019,9.8317,10.0123,31325000
2016-08-26,10.1477,10.4547,9.7685,9.8317,32804800
2016-08-29,9.7685,10.0394,9.7505,9.913,18349100
2016-08-30,9.8769,9.904,9.4345,9.5338,28234700
2016-08-31,9.4164,9.4977,9.1907,9.29,32236000
2016-09-01,9.3171,9.4525,9.1907,9.3442,20780200
2016-09-02,9.597,9.7776,9.3803,9.4616,23683500
2016-09-06,9.5699,9.7595,9.4977,9.6782,21368600
2016-09-07,9.6692,9.7776,9.4706,9.5699,18440400
2016-09-08,9.588,9.6692,9.281,9.588,29252600
2016-09-09,9.4616,9.5248,9.1817,9.272,28929000
