date,open,high,low,close,volume
2016-04-21,141.5941,142.0618,138.5451,138.833,322300
2016-04-22,138.5992,139.5256,137.6728,139.4356,197300
2016-04-25,138.5361,138.5361,135.8469,136.8902,322300
2016-04-26,137.5468,138.9499,136.3956,137.277,289900
2016-04-27,136.8363,138.2213,136.6294,137.6997,260200
2016-04-28,137.0342,138.4912,135.4422,135.802,196300
2016-04-29,135.5861,135.784,134.246,135.5861,168300
2016-05-02,135.9908,137.1601,134.9026,136.8453,273700
2016-05-03,135.9189,136.4315,133.6164,133.8142,188900
2016-05-04,132.5461,134.5248,132.5461,134.0211,188900
2016-05-05,134.228,134.9745,133.2926,133.8862,208700
2016-05-06,133.1127,135.6131,132.9598,135.4242,165000
2016-05-09,136.0987,138.0414,134.5517,136.6204,344600
2016-05-10,136.9442,137.5738,136.4135,137.25,228700
2016-05-11,136.6923,138.0414,135.8199,136.1347,178000
2016-05-12,136.9712,137.5468,135.2533,136.4046,212800
2016-05-13,136.2427,136.9533,134.4169,135.2713,190200
2016-05-16,135.6041,137.1061,135.3253,136.8003,223700
2016-05-17,136.4136,137.268,133.8413,135.3523,221000
2016-05-18,134.9115,137.4209,133.5624,136.2337,265600
2016-05-19,136.1887,137.4389,134.4439,137.313,234900
2016-05-20,137.9965,139.9572,137.3219,139.7503,271300
2016-05-23,139.7503,141.1624,139.4086,140.5238,223900
2016-05-24,141.1444,144.0046,140.5958,143.6808,232000
2016-05-25,144.1035,144.2114,141.9899,142.1608,243000
2016-05-26,142.26,142.6029,140.8706,141.5292,202800
2016-05-27,141.8089,144.0194,141.8089,143.9743,161500
2016-05-31,144.4616,144.4977,142.6029,143.5232,206100
2016-06-01,142.5036,143.2705,141.9893,143.036,304100
2016-06-02,142.63,144.6059,142.63,144.6059,158400
2016-06-03,143.7307,144.7052,142.7653,143.4059,172400
2016-06-06,143.433,144.7864,143.1713,144.4525,135600
2016-06-07,144.633,144.9488,144.0195,144.1909,222600
2016-06-08,144.0826,144.6962,143.6405,144.0465,152900
2016-06-09,143.3879,144.5969,142.8826,144.3623,156800
2016-06-10,143.0811,143.9924,142.8284,143.5503,183800
2016-06-13,142.9638,144.0375,142.4314,142.4946,243300
2016-06-14,142.1698,143.2074,142.0164,142.8916,193100
2016-06-15,143.1172,143.7488,142.7563,142.9368,171800
2016-06-16,142.3593,143.1894,140.4104,142.7382,209100
2016-06-17,142.5578,143.2074,140.5187,140.5728,492500
2016-06-20,142.7202,143.1803,141.1322,142.5397,244700
2016-06-21,142.7382,143.9112,142.2781,142.7833,178900
2016-06-22,142.7834,143.8751,142.5127,142.7563,176600
2016-06-23,144.4164,146.8977,143.9924,146.8165,328000
2016-06-24,142.3954,143.5232,139.7337,140.1126,579300
2016-06-27,138.1458,138.8856,134.7893,136.4134,704800
2016-06-28,138.9487,141.7909,134.8073,138.0555,670300
2016-06-29,139.5803,142.3322,137.2434,141.8991,504600
2016-06-30,142.1608,145.7067,141.0781,145.6435,512800
2016-07-01,145.4631,146.8074,144.1457,145.427,321900
