date,open,high,low,close,volume
2016-04-18,141.2929,143.0449,140.8485,142.8312,833800
2016-04-19,143.4038,144.6857,142.421,143.8055,1056000
2016-04-20,143.8994,144.3866,143.0192,143.0619,815100
2016-04-21,142.4809,143.2415,141.1477,141.4981,1178400
2016-04-22,142.1048,142.6603,141.0622,142.139,1359100
2016-04-25,141.5749,142.9167,140.1819,141.4895,1033100
2016-04-26,141.7117,143.2329,141.3613,142.8141,1034200
2016-04-27,142.7799,143.7457,142.0535,143.1987,847600
2016-04-28,142.6262,143.7115,141.4041,141.575,1118900
2016-04-29,140.8827,141.5151,139.9341,141.1049,1228900
2016-05-02,141.5237,143.7286,141.4382,143.2243,1393100
2016-05-03,141.6604,142.0535,139.4469,140.8314,1284200
2016-05-04,141.5322,142.8056,140.6092,141.2245,1416500
2016-05-05,141.3699,141.8655,136.7977,137.0541,2584600
2016-05-06,137.1224,138.054,134.7637,137.6181,1758400
2016-05-09,137.9343,139.2162,137.7121,138.6949,1056800
2016-05-10,138.806,140.105,138.3616,139.5154,1451800
2016-05-11,139.3017,140.1135,137.4728,137.8403,1287100
2016-05-12,138.7889,138.8401,135.2166,136.1994,1634300
2016-05-13,135.5243,136.2165,134.1056,134.8235,1322200
2016-05-16,134.6526,136.0627,134.0971,135.5328,1080900
2016-05-17,135.5158,137.319,134.9004,135.6183,1433500
2016-05-18,135.0286,137.2762,135.0286,136.3019,1292300
2016-05-19,135.4218,136.9259,134.8919,135.9773,1101600
2016-05-20,137.0284,138.8402,136.3361,138.1308,1369900
2016-05-23,138.148,139.1137,137.678,138.4813,1190100
2016-05-24,139.276,140.9937,138.4385,140.481,1205900
2016-05-25,141.0109,141.8399,140.1819,140.3443,1013900
2016-05-26,140.3358,140.5665,139.1479,139.6435,1045100
2016-05-27,139.8486,140.6178,139.4555,140.558,919600
2016-05-31,141.3784,142.7202,140.5665,140.9853,1338700
2016-06-01,140.0708,140.8485,138.7632,140.7545,928900
2016-06-02,140.7032,141.0964,139.8999,140.84,684200
2016-06-03,138.7547,140.2076,137.5925,140.0025,1429700
2016-06-06,139.4555,140.1392,138.1565,139.5324,1473800
2016-06-07,140.6519,141.2843,139.9938,140.8656,1502800
2016-06-08,140.7972,141.78,140.575,140.7972,934100
2016-06-09,139.8486,140.5237,139.1991,140.2503,1043900
2016-06-10,139.0966,139.5495,137.0114,137.4814,1599400
2016-06-13,137.0113,138.4214,136.9942,137.1053,1447600
