date,open,high,low,close,volume
2016-04-22,54.4098,54.854,53.9487,54.6864,1436100
2016-04-25,54.4517,55.2061,54.2254,55.072,1575300
2016-04-26,55.181,55.5079,54.5942,55.3235,1375300
2016-04-27,54.8289,55.8515,54.8289,55.6587,1473000
2016-04-28,55.3402,55.709,54.9127,55.0468,1617700
2016-04-29,54.7283,55.4156,54.3511,55.1558,2995300
2016-05-02,55.3234,56.4634,55.0887,56.3126,4016000
2016-05-03,58.3159,60.5456,58.274,59.7577,8604500
2016-05-04,59.5565,59.8499,59.1039,59.5565,3866200
2016-05-05,59.4224,59.9337,58.6177,59.0033,2920000
2016-05-06,58.7937,59.741,58.7183,59.7242,2242100
2016-05-09,60.2103,61.1743,59.9673,60.1181,2666700
2016-05-10,60.3109,61.9455,60.3109,61.9036,3698500
2016-05-11,62.1383,62.1886,61.3504,61.5515,2757900
2016-05-12,60.3947,61.1743,59.7661,60.16,4720100
2016-05-13,60.202,61.2162,60.1852,60.6127,7523700
2016-05-16,60.5876,61.1827,60.2858,61.0151,2619600
2016-05-17,60.9144,61.191,60.2774,60.4618,2094500
2016-05-18,60.3947,61.0737,60.0175,60.6797,2440000
2016-05-19,60.3948,60.9731,60.1265,60.8642,1753400
2016-05-20,61.2749,61.2749,60.8977,61.1743,2399700
2016-05-23,61.0821,61.1072,60.7468,60.8055,1378300
2016-05-24,61.1827,62.0042,61.0402,61.9539,5103300
2016-05-25,62.0041,62.1215,61.5515,61.761,2136000
2016-05-26,61.6102,62.4484,61.409,62.0545,1813900
2016-05-27,61.9455,62.5071,61.9287,62.373,1476400
2016-05-31,62.4317,62.5239,61.9036,62.2556,3217900
2016-06-01,62.2556,62.658,61.7443,62.6328,1354500
2016-06-02,62.5742,63.2531,62.2473,63.1861,1346800
2016-06-03,62.8424,62.9933,62.2556,62.8592,1256000
2016-06-06,62.8256,63.5381,62.658,63.1022,1800900
2016-06-07,63.1022,63.4962,62.9849,63.2447,1589800
2016-06-08,63.1274,63.4627,62.9346,63.1861,1210500
2016-06-09,62.9262,63.2028,62.8005,62.9849,1190100
2016-06-10,62.4987,62.5574,62.0796,62.3143,1794900
2016-06-13,62.1383,62.5742,61.5264,61.5599,1796000
2016-06-14,61.501,62.1571,61.3243,62.0394,1533200
2016-06-15,62.0646,62.2497,61.7702,61.93,1902400
2016-06-16,61.6693,62.1656,61.3496,62.0478,2308500
2016-06-17,61.9468,61.9468,60.9626,61.2318,4453700
2016-06-20,61.7534,62.2581,61.215,61.3159,2648600
2016-06-21,61.5094,61.8796,61.1898,61.6524,2599600
2016-06-22,61.7534,61.9721,61.4253,61.5178,1203400
2016-06-23,61.9048,62.1824,61.6692,62.174,1603300
2016-06-24,59.97,60.6598,59.4148,59.4484,5526700
2016-06-27,58.8428,58.8764,57.2277,57.5053,2762600
2016-06-28,58.0857,59.7597,58.0773,59.7597,2322300
2016-06-29,60.0625,61.0299,59.9868,60.9458,2005200
2016-06-30,60.9963,61.9805,60.7944,61.9805,2288300
2016-07-01,62.0814,62.7208,62.0814,62.6703,2797200
2016-07-05,62.3086,62.8133,62.0646,62.7628,2904800
2016-07-06,62.4347,62.788,62.1151,62.46,2066900
2016-07-07,62.4432,62.9479,62.4432,62.889,1672200
2016-07-08,63.1414,64.0835,63.0909,63.9574,2184200
2016-07-11,64.1845,64.6471,63.89,63.9405,1888000
2016-07-12,64.235,64.8322,63.9321,64.7313,1868600
2016-07-13,65.0089,65.1435,64.706,64.8911,1371800
2016-07-14,65.2276,65.4042,64.6471,64.6808,1964500
2016-07-15,64.8995,64.9836,64.3527,64.3864,1556900
2016-07-18,64.4705,64.7228,64.277,64.6724,1286700
2016-07-19,64.4369,64.9332,64.277,64.9079,1170700
2016-07-20,65.3285,65.6482,65.093,65.6145,1595600
2016-07-21,65.6566,65.7828,65.093,65.4715,1766400
2016-07-22,65.3538,65.6987,65.3538,65.5977,1012000
2016-07-25,65.6566,65.6566,65.1435,65.5304,2230700
2016-07-26,67.297,68.3821,66.8848,68.0036,5673800
2016-07-27,68.1382,68.4831,67.6419,67.9615,2700500
2016-07-28,67.869,67.9026,67.0951,67.5998,1418700
2016-07-29,67.6166,67.7092,66.7333,66.9016,1890500
2016-08-01,67.0698,67.2044,66.3969,66.624,1389600
2016-08-02,66.5735,66.6493,65.7744,66.0099,1592900
2016-08-03,66.0267,66.0604,65.3874,65.7407,1467900
2016-08-04,65.8332,66.2959,65.7407,65.7996,1549200
2016-08-05,66.1108,66.767,66.0183,66.6492,1030800
2016-08-08,67.0951,67.0951,66.5735,66.8006,1040700
2016-08-09,66.8764,67.2549,66.6492,67.0698,1663800
2016-08-10,67.1287,67.2297,66.8343,67.1708,915400
2016-08-11,67.4231,67.9026,67.4231,67.7176,1491900
2016-08-12,67.4905,67.5241,67.0783,67.3306,1334100
2016-08-15,67.4063,67.6082,67.2044,67.3727,1144800
2016-08-16,67.053,67.053,66.3632,66.3632,1237100
2016-08-17,66.5314,66.7081,66.052,66.5819,1166000
2016-08-18,66.4726,66.8427,66.4305,66.6576,1452900
2016-08-19,66.481,66.7249,66.195,66.6913,1417100
2016-08-22,66.6324,66.8932,66.4305,66.8848,833000
2016-08-23,67.1119,67.3895,67.053,67.3558,891200
2016-08-24,67.2549,67.3811,66.6745,66.9268,1144000
2016-08-25,66.8848,67.0867,66.624,66.9689,1031800
2016-08-26,67.1708,67.5914,66.5314,66.8932,789500
2016-08-29,66.8932,67.2885,66.7249,66.7754,1117900
2016-08-30,66.8848,67.0446,66.6408,66.8932,825800
2016-08-31,66.8679,66.8679,66.4726,66.7334,1315000
2016-09-01,66.8006,67.1203,66.4978,66.9941,1407600
2016-09-02,67.297,67.6755,67.0109,67.6671,1615500
2016-09-06,68.7018,68.7018,67.154,67.6419,1808400
2016-09-07,67.625,67.625,67.011,67.339,1427400
2016-09-08,67.0194,67.3558,66.5399,66.6745,2070600
2016-09-09,66.3211,66.7165,65.1014,65.1098,2025100
2016-09-12,64.7818,65.7912,64.5378,65.6566,2129700
2016-09-13,65.0593,65.3453,64.4536,64.5125,2027000
2016-09-14,64.6054,64.8586,63.9555,64.2002,2751400
2016-09-15,64.0736,64.9683,63.7276,64.6982,2161600
2016-09-16,64.4703,64.4788,63.1958,63.3815,12346500
2016-09-19,64.0821,64.2762,63.6854,64.0652,2786500
2016-09-20,64.4788,64.9346,64.3269,64.6307,1978800
2016-09-21,64.8755,65.23,64.2171,65.095,2127300
2016-09-22,65.6098,65.7449,64.9937,65.4326,1370900
2016-09-23,65.0106,65.3397,64.9937,65.0612,1088200
2016-09-26,64.7911,65.2216,64.7827,64.8839,943700
2016-09-27,64.9768,65.6436,64.8755,65.6183,1272600
2016-09-28,65.7364,65.7364,64.6307,65.1878,1702700
2016-09-29,65.1456,65.7449,64.8164,64.8586,1183000
2016-09-30,64.9346,65.2553,64.3859,65.019,1816000
2016-10-03,64.8248,65.2637,64.7657,64.9177,1059100
2016-10-04,64.9177,65.1372,64.0905,64.5379,1114000
2016-10-05,64.8924,65.728,64.4366,64.8839,1761600
2016-10-06,64.9177,66.1163,64.8924,66.0741,1888400
2016-10-07,66.226,66.4201,65.2384,65.5254,1691500
2016-10-10,65.7365,65.9644,65.306,65.3398,1115000
2016-10-11,65.0612,65.0696,64.1665,64.5632,1394700
2016-10-12,64.6476,65.2384,64.3859,65.154,964800
2016-10-13,64.7236,64.9346,64.0905,64.4282,1508500
2016-10-14,64.7151,65.3735,64.5632,64.5716,904800
2016-10-17,64.7236,64.7658,63.947,63.9892,1156100
2016-10-18,64.5294,64.6645,64.0483,64.1074,1174000
2016-10-19,64.3268,64.5969,64.1665,64.4197,985700
2016-10-20,64.4113,64.4535,63.1789,63.5503,2186100
2016-10-21,63.1536,63.5672,62.8075,63.3139,1086900
2016-10-24,63.7445,64.1834,63.4997,64.0652,1478100
2016-10-25,64.0652,64.0652,63.6769,63.7782,1511500
2016-10-26,63.6178,64.0652,63.3224,63.4321,888400
2016-10-27,63.2717,63.3393,62.0985,62.5374,3173800
2016-10-28,62.6556,63.2971,62.5796,62.7738,1866300
2016-10-31,62.8244,62.9848,61.8284,62.3939,1785100
2016-11-01,62.3855,65.0865,62.3686,64.8671,4195900
2016-11-02,64.6645,64.8333,63.2043,63.3477,2216400
2016-11-03,63.3477,63.6263,63.103,63.2802,1101500
2016-11-04,63.2211,64.0652,63.1873,63.66,1433400
2016-11-07,64.4703,64.8333,64.3437,64.5716,1776100
2016-11-08,64.5716,64.9937,64.158,64.656,967600
2016-11-09,63.8795,65.1203,63.2718,64.9093,1567700
2016-11-10,65.1625,65.3313,64.0314,65.0359,1999300
2016-11-11,64.7067,65.3313,64.3268,64.4197,1732000
2016-11-14,64.5294,64.9683,63.1451,63.4659,2011500
2016-11-15,63.7613,64.0314,62.9932,63.0861,1908900
2016-11-16,63.0945,63.4912,62.8328,63.3899,1442300
2016-11-17,63.5925,64.1074,63.238,64.0399,1800500
2016-11-18,64.1074,65.4664,63.9808,65.095,2242400
2016-11-21,65.1963,65.7365,65.1372,65.441,1506700
2016-11-22,65.3819,65.6436,64.9768,65.5339,1484500
2016-11-23,65.5676,66.6818,65.5676,66.6818,2037600
2016-11-25,66.7325,66.876,66.3104,66.4793,682600
2016-11-28,66.5046,66.6818,66.1163,66.4033,1303000
2016-11-29,66.5552,66.7747,66.3104,66.5974,1174500
2016-11-30,66.5467,66.7578,65.1371,65.154,1867100
2016-12-01,65.1371,65.1625,63.6347,63.9217,1672800
2016-12-02,63.947,64.0567,63.2633,63.3055,1742700
