date,open,high,low,close,volume
2016-04-18,12.3267,12.6225,12.2703,12.4676,7814900
2016-04-19,12.5028,12.7705,12.4817,12.7564,9034700
2016-04-20,12.7986,12.9818,12.6718,12.9536,9730400
2016-04-21,13.2353,13.4255,12.9606,13.0522,12052600
2016-04-22,13.1086,13.186,13.0099,13.1156,9432500
2016-04-25,13.1015,13.1297,12.8691,13.0522,5224400
2016-04-26,13.0874,13.2213,13.0029,13.2072,8505400
2016-04-27,13.1508,13.2987,12.9959,13.1931,7830700
2016-04-28,13.0733,13.1931,12.9395,13.024,6425300
2016-04-29,12.9747,13.017,12.7916,12.8972,8684900
2016-05-02,12.9254,13.017,12.7564,12.9959,5782200
2016-05-03,12.8198,12.9043,12.5239,12.7,5613200
2016-05-04,12.6155,12.6437,12.2563,12.3549,6414700
2016-05-05,12.376,12.4394,12.2281,12.3196,6635700
2016-05-06,12.1647,12.3126,12.1295,12.3126,5616100
2016-05-09,12.3196,12.3901,12.1506,12.2069,4718300
2016-05-10,12.2915,12.545,12.2069,12.4887,4976200
2016-05-11,12.4183,12.6437,12.3901,12.4323,5339600
2016-05-12,12.5239,12.6296,12.2774,12.3619,5061200
2016-05-13,12.3337,12.4887,12.0238,12.0802,6219900
2016-05-16,12.1436,12.4253,12.0027,12.3971,9565700
2016-05-17,12.369,12.5521,12.221,12.3126,6629800
2016-05-18,12.3196,12.9043,12.3056,12.8761,13521100
2016-05-19,12.7493,12.9325,12.5732,12.7775,8796100
2016-05-20,12.8268,12.9959,12.7775,12.8761,6981100
2016-05-23,12.8409,12.9465,12.6859,12.7705,6206600
2016-05-24,12.855,13.0804,12.8198,12.9395,6833500
2016-05-25,12.9747,13.2987,12.9747,13.2565,6554200
2016-05-26,13.2635,13.3058,13.0311,13.1015,4193100
2016-05-27,13.1931,13.2846,13.1015,13.2776,4794300
2016-05-31,13.334,13.3833,13.2072,13.2917,8716100
2016-06-01,13.1156,13.3974,13.0099,13.3974,8709100
2016-06-02,13.3269,13.6087,13.2635,13.5946,8942800
2016-06-03,13.2846,13.2987,12.9184,13.2565,8141800
2016-06-06,13.3058,13.6228,13.186,13.5241,7680900
2016-06-07,13.4114,13.5453,13.3762,13.3833,6678000
2016-06-08,13.3974,13.4819,13.341,13.3692,4455200
2016-06-09,13.2565,13.2635,13.0663,13.1931,5591000
2016-06-10,12.9959,13.0663,12.9113,13.0522,5827100
2016-06-13,12.9254,13.1438,12.8832,12.9043,6102600
2016-06-14,12.8198,12.9606,12.5169,12.5591,6019400
2016-06-15,12.5803,12.9747,12.5521,12.7,8552400
2016-06-16,12.5873,12.6084,12.383,12.5803,6961700
2016-06-17,12.6014,12.8479,12.5098,12.8268,12170800
2016-06-20,13.0874,13.2987,12.9325,12.9606,10209100
2016-06-21,12.9959,13.0593,12.8198,12.9677,10842700
2016-06-22,12.9606,13.2213,12.9606,12.9888,5717500
2016-06-23,13.186,13.4678,13.186,13.4607,5494800
2016-06-24,12.6084,12.7986,12.3267,12.3267,11595200
2016-06-27,12.1154,12.1295,11.3687,11.4533,10132300
2016-06-28,11.6947,11.8438,11.5385,11.8154,12729400
2016-06-29,11.9006,12.1633,11.7728,12.1562,13175100
2016-06-30,12.2698,12.4899,12.1775,12.4899,15029900
2016-07-01,12.3834,12.5041,12.284,12.3763,6243000
2016-07-05,12.0852,12.1562,11.787,11.858,6584800
2016-07-06,11.645,12.0,11.5456,11.9077,7186400
2016-07-07,12.0781,12.1704,11.8651,12.0355,4655100
2016-07-08,12.2627,12.3905,12.213,12.2485,7059800
2016-07-11,12.3621,12.4757,12.2911,12.3692,3693200
2016-07-12,12.5609,12.7101,12.5041,12.703,6148000
2016-07-13,12.7172,12.7669,12.561,12.7385,6763800
2016-07-14,13.0225,13.1432,12.9515,13.0935,6064100
2016-07-15,13.2,13.2142,13.0509,13.1645,7696500
2016-07-18,13.1006,13.1716,13.0367,13.0864,3737800
2016-07-19,13.0509,13.1787,12.9657,13.0722,4172300
2016-07-20,13.1077,13.1219,12.9728,13.058,3984900
2016-07-21,13.0225,13.1361,12.9302,12.9657,6772200
2016-07-22,13.0083,13.1006,12.8947,13.0864,3717400
2016-07-25,13.0509,13.1432,13.0296,13.0793,3740500
2016-07-26,13.0438,13.2568,12.9586,13.2497,5571300
2016-07-27,13.2355,13.3846,13.1645,13.2426,7773200
2016-07-28,13.2426,13.4982,13.1219,13.4343,9016000
2016-07-29,13.4414,13.5621,13.3278,13.4769,5967300
2016-08-01,13.5266,13.5337,13.2923,13.3349,6510600
2016-08-02,13.271,13.3704,13.1077,13.1929,5365500
