date,open,high,low,close,volume
2016-04-21,104.3269,104.4703,101.8831,102.2244,394000
2016-04-22,102.7091,103.3985,101.9445,102.9548,316100
2016-04-25,102.4633,104.1631,102.4633,104.0197,264800
2016-04-26,104.4566,105.2826,103.7672,104.757,261000
2016-04-27,105.1597,105.8424,104.3952,105.5079,368300
2016-04-28,104.6341,105.6171,104.4634,104.8116,225300
2016-04-29,104.204,104.5863,102.9685,103.8149,466600
2016-05-02,104.2518,105.5761,104.0538,105.344,217100
2016-05-03,104.9003,105.8355,104.798,105.5966,338900
2016-05-04,105.4737,107.3305,104.8526,107.037,381400
2016-05-05,106.6001,107.8493,105.3167,107.2145,346900
2016-05-06,106.2178,107.5626,105.6649,107.5558,429900
2016-05-09,107.7401,108.9825,107.4602,108.8528,526100
2016-05-10,109.5013,109.5423,108.1838,108.5251,267500
2016-05-11,108.4568,108.4568,105.4601,106.1973,393100
2016-05-12,106.2041,107.2827,105.1938,106.8731,313300
2016-05-13,106.6411,106.6411,104.7911,105.9789,384400
2016-05-16,106.1837,107.1803,105.8082,107.037,281100
2016-05-17,106.7503,107.1462,104.0266,104.4498,349700
2016-05-18,104.1699,104.3815,102.1766,103.105,390100
2016-05-19,102.4633,103.2279,101.3028,102.8251,326300
2016-05-20,103.5624,104.2177,102.8661,104.1768,367600
2016-05-23,104.245,104.8526,103.3849,103.4737,275200
2016-05-24,104.1495,105.187,104.1495,104.6136,434200
2016-05-25,104.6614,104.6887,103.378,104.0265,343300
2016-05-26,104.0197,104.8867,103.6306,104.6478,201300
2016-05-27,104.9276,105.542,104.6205,104.8526,186200
2016-05-31,105.0915,105.0915,103.9378,104.5727,303700
2016-06-01,104.6136,105.2758,104.129,105.03,363700
2016-06-02,104.7297,105.6649,104.4362,105.6649,259700
2016-06-03,106.2588,107.0507,105.7059,106.2861,280400
2016-06-06,106.6957,107.1121,105.2144,105.9175,346700
2016-06-07,106.327,106.6888,105.8697,105.9243,242400
2016-06-08,106.0608,106.5591,105.5761,106.3612,346400
2016-06-09,106.4977,107.6445,106.3816,107.2554,392200
2016-06-10,106.8663,107.7606,106.1154,107.1872,258700
2016-06-13,107.5148,108.4773,105.4601,106.9687,346900
2016-06-14,107.0438,107.1121,106.2315,106.6274,285000
2016-06-15,106.525,107.7196,106.3407,107.2623,337600
2016-06-16,106.996,108.4364,106.6479,108.3818,332700
2016-06-17,108.1975,108.1975,106.8254,107.392,696300
2016-06-20,107.8383,108.7105,107.4675,107.5911,342600
2016-06-21,107.5911,108.3053,107.1379,107.8795,248400
2016-06-22,108.0375,108.2847,107.4881,107.9139,230100
2016-06-23,108.5456,109.1294,107.7765,108.3465,194700
2016-06-24,105.1188,109.0264,104.9678,107.6804,707900
2016-06-27,107.1378,109.6032,106.9799,109.2667,390300
2016-06-28,110.0771,111.5879,109.6582,111.5467,431200
2016-06-29,112.048,112.9545,112.048,112.6112,402400
2016-06-30,112.8584,113.7374,111.7802,113.6893,438800
2016-07-01,114.2593,114.6096,113.346,113.813,255600
2016-07-05,114.0464,115.6191,113.8129,115.5229,343500
2016-07-06,114.9872,115.8937,114.6233,115.674,576400
2016-07-07,115.3512,115.3512,113.2155,114.2044,336100
2016-07-08,114.7194,115.2963,114.1906,115.2413,343600
2016-07-11,115.3031,115.9006,114.3417,115.4886,323000
2016-07-12,115.4336,115.4336,113.6138,114.5134,336600
2016-07-13,114.5065,115.2139,114.225,115.104,278700
2016-07-14,114.5341,115.2139,113.1056,113.4971,462600
2016-07-15,113.8267,114.1357,113.1331,114.0327,324900
2016-07-18,113.9709,114.4035,113.4352,113.964,231200
2016-07-19,113.9984,114.6027,113.3597,114.5684,224000
2016-07-20,114.6233,114.6233,113.9366,114.1083,367300
2016-07-21,113.8404,114.5615,113.2017,114.3211,443600
2016-07-22,114.273,115.2207,114.225,114.7675,342900
2016-07-25,114.9804,115.3238,114.0121,114.9255,372400
2016-07-26,115.1315,115.2208,114.1426,114.4448,304100
2016-07-27,114.534,114.534,112.8721,113.8679,246300
2016-07-28,113.9434,116.2509,113.9434,115.8594,337700
2016-07-29,115.8251,117.487,115.4474,116.5393,496500
2016-08-01,116.711,117.1711,116.4088,116.9857,246800
2016-08-02,116.3401,116.608,114.8911,115.0079,498800
2016-08-03,115.2139,115.2139,113.8885,114.3898,321400
2016-08-04,114.637,114.637,113.6413,113.6413,261900
2016-08-05,114.5477,114.7675,112.2884,112.9202,469000
2016-08-08,112.9202,112.9202,111.1141,111.5536,438800
2016-08-09,111.6703,112.103,110.5853,111.7596,388000
2016-08-10,111.9381,112.2128,111.1003,111.3819,369800
2016-08-11,111.4712,111.4712,109.2942,109.7612,324200
2016-08-12,109.6994,111.1828,109.6994,110.029,252000
2016-08-15,110.1527,110.5647,109.4934,109.6033,226300
2016-08-16,109.3904,109.4659,107.7628,108.01,421900
2016-08-17,108.1679,109.0401,107.44,108.992,361100
2016-08-18,109.1981,109.6033,108.5457,109.0058,291800
2016-08-19,108.6281,109.2874,108.1611,108.3946,450600
2016-08-22,108.216,109.1157,108.0443,108.477,372500
2016-08-23,108.8615,109.0882,107.8795,108.1679,279400
2016-08-24,108.3808,108.5937,107.2752,108.4289,243900
2016-08-25,108.5457,109.6445,108.3259,109.5689,430200
2016-08-26,109.823,110.7363,108.6761,109.2599,590200
2016-08-29,109.9809,111.2926,109.8573,110.3243,379700
2016-08-30,110.5097,110.86,108.6762,109.3286,325200
2016-08-31,109.2186,109.459,107.9619,109.1912,645600
2016-09-01,109.1019,109.2461,108.0787,108.5525,259900
