date,open,high,low,close,volume
2016-07-05,29.9122,32.9034,29.3037,29.4278,9880426
2016-07-06,28.5014,29.4278,28.0291,28.9131,10634933
2016-07-07,28.8344,29.0645,28.6679,28.9071,8700775
2016-07-08,29.0403,30.6449,28.7799,30.3966,6729194
2016-07-11,29.7972,31.0203,29.6579,30.9537,9581668
2016-07-12,30.881,30.9174,30.4329,30.6207,8805594
2016-07-13,30.6207,30.9416,30.1726,30.6509,7714271
2016-07-14,30.4753,31.3291,30.2452,31.2262,5520999
2016-07-15,31.3533,31.432,30.6449,31.0203,5851156
2016-07-18,30.7418,31.2322,30.5843,31.0566,2469829
2016-07-19,30.9053,31.2201,30.5419,31.2141,3099695
2016-07-20,31.3896,31.4381,30.2816,30.4814,5315009
2016-07-21,30.5177,30.6509,30.2695,30.4208,4804709
2016-07-22,30.2755,30.4511,29.8456,29.9122,3886076
2016-07-25,29.8032,29.9425,28.9797,29.6579,4828337
2016-07-26,29.4036,29.9243,29.234,29.8395,2491871
2016-07-27,29.7184,29.9728,29.4974,29.6216,2582577
2016-07-28,29.5126,29.7245,29.2734,29.4581,4635350
2016-07-29,29.343,29.5489,29.0705,29.1916,7110729
2016-08-01,29.1311,29.3733,28.8162,28.9434,4727165
2016-08-02,28.7617,29.0766,28.568,28.7617,5181170
2016-08-03,28.7617,29.9606,28.6709,29.8395,7468795
2016-08-04,30.0273,30.3421,29.9606,30.2937,4831509
2016-08-05,30.4329,30.8689,30.4329,30.6267,4227491
2016-08-08,30.657,30.8023,30.2392,30.3058,3356272
2016-08-09,29.5065,30.5964,29.3194,30.5541,1709296
2016-08-10,30.5601,30.7599,30.3361,30.548,1875009
2016-08-11,30.7175,31.9164,30.6994,31.8196,3159954
2016-08-12,31.4865,32.0133,31.3654,31.9165,2042148
2016-08-15,32.0618,32.5583,32.0073,32.4917,2311887
2016-08-16,32.4432,32.6673,32.2555,32.4251,1589412
2016-08-17,32.4978,32.5341,32.2979,32.3403,1636668
2016-08-18,32.2253,32.4069,32.0497,32.1889,1387069
2016-08-19,32.0618,32.0618,31.3109,31.4381,1896734
