date,open,high,low,close,volume
2016-04-18,8.6508,8.7518,8.6268,8.7085,4320200
2016-04-19,8.7518,8.8047,8.67,8.7181,5999500
2016-04-20,8.7229,8.7854,8.67,8.6893,4415700
2016-04-21,8.7662,8.7902,8.6748,8.7037,5301100
2016-04-22,8.6652,8.6893,8.5931,8.6604,7281900
2016-04-25,8.646,8.7085,8.6075,8.7037,6058300
2016-04-26,8.7085,8.7566,8.6508,8.6748,7387900
2016-04-27,8.6748,8.7325,8.6364,8.7085,5224600
2016-04-28,8.1218,8.3286,7.9776,8.1074,23284000
2016-04-29,8.0209,8.0786,7.9632,8.0064,18406900
2016-05-02,8.2228,8.2709,7.9535,8.0545,14748700
2016-05-03,7.9776,8.0401,7.9391,7.9968,8468000
2016-05-04,7.9487,8.0353,7.9439,8.016,5568900
2016-05-05,8.0257,8.0545,7.9391,7.9824,7311300
2016-05-06,7.9728,8.0593,7.9247,7.9872,5154300
2016-05-09,8.0064,8.0786,7.9728,8.0016,5098600
2016-05-10,8.0257,8.0786,7.9728,8.0689,4703100
2016-05-11,8.0353,8.1363,7.992,8.0353,4586500
2016-05-12,8.0738,8.1411,7.9968,8.1266,11890200
2016-05-13,7.8333,8.2757,7.8141,8.0738,15918800
2016-05-16,8.117,8.2565,8.0545,8.1315,13116900
2016-05-17,8.1026,8.2469,8.0738,8.1459,9280200
2016-05-18,8.1603,8.2661,8.0882,8.1747,6904000
2016-05-19,8.117,8.2084,8.0641,8.1218,5968100
2016-05-20,8.1507,8.2132,8.1218,8.1363,5567100
2016-05-23,8.1315,8.2421,8.093,8.1363,6673500
2016-05-24,8.1844,8.2421,8.1651,8.2084,7010200
2016-05-25,8.2228,8.3094,8.2132,8.295,10105800
2016-05-26,8.2421,8.3527,8.2036,8.2661,7726500
2016-05-27,8.2805,8.2998,8.1844,8.2469,9728800
2016-05-31,8.2805,8.3863,8.2228,8.3478,14158500
2016-06-01,8.3286,8.3671,8.2757,8.3238,6833700
2016-06-02,8.2517,8.3767,8.194,8.3527,7582000
2016-06-03,8.2805,8.2998,8.1651,8.2998,6358400
2016-06-06,8.3263,8.3505,8.2732,8.2973,6036400
2016-06-07,8.3215,8.4084,8.3118,8.3408,5895700
2016-06-08,8.3456,8.4326,8.3408,8.4181,4953800
2016-06-09,8.3601,8.4326,8.3553,8.3988,4960200
2016-06-10,8.2925,8.3891,8.2732,8.3553,5234900
2016-06-13,8.4712,8.9735,8.3795,8.7948,34030200
2016-06-14,8.761,9.0942,8.761,9.0653,21376600
2016-06-15,9.0556,9.2246,9.0315,9.1715,17875500
2016-06-16,9.1812,9.5917,9.1812,9.5531,24561200
2016-06-17,9.5917,9.9587,9.5579,9.6448,39377200
2016-06-20,9.9491,10.123,9.8622,9.8863,24091100
2016-06-21,9.9008,10.1809,9.896,10.1036,12586400
2016-06-22,10.0795,10.1471,10.0312,10.036,15851700
2016-06-23,10.0795,10.2775,10.0795,10.2582,10549500
2016-06-24,9.8573,10.1036,9.8235,9.867,15979400
2016-06-27,9.7704,9.809,9.5965,9.6352,16393600
2016-06-28,9.6931,9.7849,9.6448,9.7221,8893300
2016-06-29,9.7994,9.8815,9.7559,9.8283,12874700
2016-06-30,9.7994,9.9684,9.7994,9.9201,7784700
2016-07-01,9.8766,9.9732,9.8235,9.8815,7711200
2016-07-05,9.8477,9.9201,9.7366,9.8283,7191500
2016-07-06,9.7656,9.8718,9.6786,9.8428,6038900
2016-07-07,9.838,9.9443,9.838,9.8718,4971500
2016-07-08,9.9539,10.0843,9.8718,9.9974,7467200
