date,open,high,low,close,volume
2016-04-22,71.3393,71.9645,70.5947,71.5992,10301900
2016-04-25,71.536,71.9153,71.2972,71.8521,8292300
2016-04-26,71.6624,72.4211,70.953,71.1778,9342600
2016-04-27,71.1567,71.4938,70.3489,70.7493,8585800
2016-04-28,70.5315,70.7703,67.9957,68.1362,15680300
2016-04-29,64.055,64.9963,61.6738,61.9618,33629200
2016-05-02,62.306,62.8328,60.9362,62.5167,13524000
2016-05-03,62.2849,62.601,61.1119,61.2313,9881800
2016-05-04,60.873,61.1048,59.995,60.1285,12187800
2016-05-05,60.6553,60.6904,59.8475,60.3111,8035800
2016-05-06,60.1776,60.297,59.0326,59.4822,9271300
2016-05-09,59.7,60.7325,59.4963,60.1776,8469000
2016-05-10,60.6974,60.7466,59.6297,60.5358,6840000
2016-05-11,60.6834,60.6904,58.8711,58.9343,8445700
2016-05-12,59.0748,59.2153,57.3889,58.1335,12095700
2016-05-13,58.0633,58.9132,57.8877,58.0914,8332900
2016-05-16,58.0914,58.8852,57.9509,58.7306,6508100
2016-05-17,58.6533,58.8219,57.9158,58.1335,8379200
2016-05-18,58.1195,58.6112,57.8315,58.2178,7475100
2016-05-19,57.8174,58.0141,57.0939,57.698,9272400
2016-05-20,57.7191,58.3583,57.6488,58.0492,7953000
2016-05-23,58.3162,59.0256,57.7753,58.5339,7782700
2016-05-24,58.85,60.7185,58.8008,60.564,13171300
2016-05-25,60.9714,61.1118,60.1987,60.7677,11621400
2016-05-26,60.7185,60.7606,59.7421,59.9107,8126000
2016-05-27,60.283,60.4235,59.8475,60.283,6125900
2016-05-31,60.6904,61.2734,60.4445,61.154,12517800
2016-06-01,61.2734,61.3226,60.6272,60.8168,7451800
2016-06-02,60.8941,61.161,60.3111,60.9152,7281100
2016-06-03,61.0065,61.0978,60.0933,60.5148,7443800
2016-06-06,60.5288,61.723,60.4797,61.5333,8596700
2016-06-07,61.4912,61.9829,61.0416,61.4631,7923800
2016-06-08,61.4771,61.8775,60.9854,61.4069,7331600
2016-06-09,61.0557,61.2875,60.1636,60.2479,8083700
2016-06-10,59.693,59.8264,59.0608,59.3207,8075200
2016-06-13,59.0256,59.5735,58.9343,58.9905,8194100
2016-06-14,58.9834,59.7322,58.4678,59.0329,7488700
2016-06-15,59.3719,59.6474,58.609,58.6585,7416100
2016-06-16,58.4748,59.1247,58.0863,58.9905,6172200
2016-06-17,59.1106,59.4567,58.2982,58.383,15951300
2016-06-20,58.8139,59.4214,58.5596,58.6232,6951800
2016-06-21,58.8775,58.9411,57.5212,57.7755,8412000
2016-06-22,57.613,59.1883,57.613,58.2417,10069600
2016-06-23,58.8351,59.0399,58.3053,58.8916,5844000
2016-06-24,57.3376,58.1005,56.6665,56.8431,12438000
2016-06-27,56.4404,56.8431,55.0418,55.2749,11724000
2016-06-28,56.278,58.2205,56.1226,58.1428,14751000
2016-06-29,58.9057,58.9552,57.7472,58.1146,10452600
2016-06-30,58.1146,58.9269,57.5919,58.9269,9706500
2016-07-01,58.7362,60.2549,58.4536,59.9441,8336300
2016-07-05,59.817,60.156,58.9905,59.2589,7621700
2016-07-06,59.0823,60.6858,58.8633,60.5587,9683800
2016-07-07,60.6788,60.9331,59.8806,60.375,6764500
2016-07-08,60.7211,61.4134,60.5586,61.1379,7628800
2016-07-11,61.145,61.6183,60.813,60.926,7453900
2016-07-12,61.3287,61.6748,61.0885,61.1944,7857700
2016-07-13,61.2509,61.5123,60.5516,60.5728,8334400
2016-07-14,61.0531,61.1097,60.2337,60.4245,8104400
2016-07-15,60.5163,62.1339,60.4245,61.2227,11483300
2016-07-18,61.4134,61.696,61.0814,61.4063,6788300
2016-07-19,61.1026,61.4275,60.2408,60.3538,9832800
2016-07-20,60.368,61.5406,60.1137,61.2156,9055900
2016-07-21,61.5688,62.0421,60.9613,61.6253,9453400
2016-07-22,61.6818,61.7666,60.9754,61.1379,7374700
2016-07-25,61.152,62.7626,60.9472,62.5507,15718500
2016-07-26,59.372,59.4426,56.8713,57.2528,47371900
2016-07-27,57.4576,57.9097,57.2598,57.7755,14103800
2016-07-28,57.8885,57.9097,56.949,57.387,13011000
2016-07-29,56.9349,57.1044,56.0661,56.1367,19465700
2016-08-01,56.3769,57.3658,56.1649,56.836,14758000
2016-08-02,57.2034,57.3517,56.1226,56.2073,13408200
2016-08-03,56.3133,56.6312,55.8824,56.5747,10868100
2016-08-04,56.6594,56.9561,56.1932,56.3486,9738300
2016-08-05,56.6524,56.9773,56.4122,56.8007,10692300
2016-08-08,56.836,57.0691,55.8118,56.3274,9511600
2016-08-09,56.4122,56.4405,55.8118,56.0378,9578200
2016-08-10,56.1084,56.2214,55.4162,55.734,12022200
2016-08-11,55.9107,56.497,55.6634,56.2073,8454700
2016-08-12,56.0449,56.3486,55.7129,56.2709,8434000
2016-08-15,56.4263,56.5746,56.1084,56.2638,7464800
2016-08-16,56.2073,56.3698,55.9742,55.9813,7969900
2016-08-17,56.1296,57.1256,56.0166,57.0056,10583800
2016-08-18,57.1256,57.4082,56.6382,56.9278,8994400
2016-08-19,56.9067,57.3446,56.6735,57.2175,8227900
2016-08-22,57.1398,57.5919,56.9349,57.161,7522000
2016-08-23,57.5424,57.6696,57.2316,57.5495,8279400
2016-08-24,57.5495,57.9945,56.6382,56.8643,9699600
2016-08-25,56.8289,57.2175,56.0166,56.5676,9220100
2016-08-26,56.5888,56.7442,55.9954,56.3486,8928000
2016-08-29,56.2638,56.2991,54.8369,55.2184,15383500
2016-08-30,55.1336,55.3738,54.8581,55.0418,9174200
2016-08-31,54.9146,55.5221,54.8016,55.3667,9758500
2016-09-01,55.402,55.4232,54.3495,54.6886,12403900
2016-09-02,54.8299,54.9288,54.1588,54.3142,7956200
2016-09-06,54.9429,55.3031,54.5685,55.0135,11648400
2016-09-07,55.3667,55.6705,55.0418,55.2537,8232700
2016-09-08,55.3314,55.9036,54.8157,55.7976,8549600
2016-09-09,55.4232,55.8047,55.1336,55.1336,10415200
2016-09-12,54.8793,55.8259,54.8793,55.6987,8896100
2016-09-13,55.5645,55.5645,54.7451,55.1407,9389600
2016-09-14,55.3894,55.7163,55.0341,55.162,8311200
2016-09-15,55.2544,56.2849,54.9133,56.029,10112800
2016-09-16,56.0361,56.2778,55.7234,56.0006,10307900
2016-09-19,56.0859,56.5052,56.0077,56.1356,7234200
2016-09-20,56.5976,58.3245,56.5904,58.1184,17560700
2016-09-21,58.296,58.3103,57.3224,58.0615,13628800
2016-09-22,58.2534,58.2747,57.493,57.9336,8213800
2016-09-23,57.9549,58.2747,57.7204,57.827,7534500
2016-09-26,57.5641,57.6564,56.7965,57.294,9036000
2016-09-27,56.3702,56.7823,55.8869,56.3204,13214300
2016-09-28,56.228,56.498,55.7945,56.1214,6854100
2016-09-29,56.2564,56.3843,55.2544,55.3326,7618600
2016-09-30,55.4747,56.5904,55.4676,56.228,11031500
