date,open,high,low,close,volume
2016-04-21,16.1407,16.2332,16.0098,16.0252,7026000
2016-04-22,15.9404,16.2717,15.9404,16.1716,5901800
2016-04-25,16.0791,16.187,16.0252,16.1561,8113400
2016-04-26,15.848,15.9789,14.7848,14.8079,39904900
2016-04-27,14.8156,14.9466,14.7154,14.8695,18557500
2016-04-28,14.8233,14.8233,14.5459,14.5536,14631800
2016-04-29,14.5459,14.5613,14.2686,14.3841,10593100
2016-05-02,14.4381,14.5922,14.4073,14.492,8493800
2016-05-03,14.3456,14.3995,14.2146,14.3456,9115200
2016-05-04,14.284,14.3533,14.0297,14.153,7729700
2016-05-05,14.1607,14.2763,14.1145,14.1145,7108700
2016-05-06,14.076,14.3148,14.0451,14.2069,5995300
2016-05-09,14.2069,14.3456,14.0914,14.1299,7128100
2016-05-10,14.23,14.5459,14.1684,14.5305,8972400
2016-05-11,14.4766,14.6307,14.4381,14.5382,10805100
2016-05-12,14.5767,14.6846,14.3687,14.5459,14750600
2016-05-13,14.5228,14.6692,14.3918,14.3995,11932900
2016-05-16,14.4072,14.8156,14.4072,14.8002,11122900
2016-05-17,14.7694,14.9157,14.6692,14.7231,8376500
2016-05-18,14.6461,14.962,14.5844,14.623,7966700
2016-05-19,14.5074,14.6615,14.4458,14.5922,9203700
2016-05-20,14.7077,15.0698,14.7077,15.0313,10284600
2016-05-23,15.0775,15.3164,15.0313,15.1931,12146300
2016-05-24,15.2701,15.5398,15.2547,15.4782,8054400
2016-05-25,15.5398,15.5937,15.3703,15.4088,8334300
2016-05-26,15.467,15.6299,15.4437,15.6144,7378000
2016-05-27,15.5678,15.9091,15.5213,15.9091,12534300
2016-05-31,15.8703,16.2504,15.8626,16.2039,15890500
2016-06-01,16.0488,16.1961,15.9324,16.1108,7380400
2016-06-02,16.1108,16.4366,16.0798,16.4133,9981100
2016-06-03,16.2815,16.3901,16.1108,16.3513,6973200
2016-06-06,16.4133,16.5219,16.2892,16.3358,8399500
2016-06-07,16.3668,16.5219,16.3358,16.359,10188900
2016-06-08,16.3668,16.4056,16.1729,16.2737,7927700
2016-06-09,16.1884,16.3435,16.041,16.3125,7787000
2016-06-10,15.8316,15.9789,15.6144,15.9169,10906300
2016-06-13,15.8005,15.9091,15.6842,15.6997,9868500
2016-06-14,15.6532,15.8626,15.6221,15.723,5687200
2016-06-15,15.8393,15.8548,15.6532,15.6687,4995900
2016-06-16,15.5446,15.6532,15.4515,15.5989,6784500
2016-06-17,15.5601,15.8161,15.5523,15.7385,10867000
2016-06-20,16.0255,16.0643,15.8393,15.8471,6495900
2016-06-21,15.8703,15.9014,15.7773,15.8005,5332500
2016-06-22,15.8781,16.1651,15.8393,15.9402,7828700
2016-06-23,16.1263,16.2116,15.9712,16.1263,6270900
2016-06-24,15.5601,15.7618,15.2731,15.2731,13941900
2016-06-27,15.1257,15.1257,14.6448,14.7844,8755400
2016-06-28,14.9628,15.1102,14.8775,15.0326,7098600
2016-06-29,15.2033,15.4049,15.0404,15.3662,9259200
2016-06-30,15.4437,15.9479,15.436,15.8859,9738900
2016-07-01,15.7773,15.9557,15.6997,15.7385,5449200
2016-07-05,15.6687,15.6687,15.3739,15.4592,3731800
2016-07-06,15.4049,15.6221,15.3429,15.5989,3701000
2016-07-07,15.9169,16.1186,15.7773,15.8393,7302600
2016-07-08,15.9557,16.2272,15.9557,16.2194,5830100
2016-07-11,16.1961,16.3823,16.1961,16.2815,4539300
2016-07-12,16.3901,16.6771,16.359,16.6383,7262500
2016-07-13,16.6383,16.7158,16.5607,16.5762,4253300
2016-07-14,16.6771,16.7158,16.5917,16.615,4485200
2016-07-15,16.6383,16.6383,16.4986,16.5607,4907500
2016-07-18,16.5917,16.6305,16.5297,16.584,4386700
2016-07-19,16.5374,16.6305,16.4831,16.5374,3698300
2016-07-20,16.5917,16.7934,16.4831,16.7624,4890700
2016-07-21,16.7856,16.8865,16.646,16.677,3868500
2016-07-22,16.646,16.8089,16.5685,16.7934,3034700
2016-07-25,16.7546,16.8477,16.7081,16.7934,4536700
2016-07-26,16.8322,16.9485,16.7934,16.8399,8220700
2016-07-27,16.2659,16.7003,16.1031,16.6693,17900700
2016-07-28,16.6693,17.5458,16.6072,17.2898,22400800
2016-07-29,17.3441,17.4295,17.2045,17.2355,27644400
2016-08-01,17.2588,17.4295,17.2355,17.2898,12726200
