date,open,high,low,close,volume
2016-04-22,71.9716,72.8693,71.9642,72.398,735000
2016-04-25,72.3756,72.6,71.9791,72.4878,388000
2016-04-26,72.5103,73.5875,72.5103,73.4753,502400
2016-04-27,73.3481,73.6548,72.9142,73.4828,590200
2016-04-28,73.0114,73.4678,72.6449,72.8169,483200
2016-04-29,72.4953,72.4953,71.5004,71.7921,948100
2016-05-02,71.9342,72.4728,71.837,72.3831,479100
2016-05-03,71.7697,72.2484,71.5901,72.1063,760600
2016-05-04,71.8595,72.039,71.3657,71.8669,639000
2016-05-05,72.0839,72.7646,71.7023,71.7846,631200
2016-05-06,71.7472,72.5851,71.3807,72.5626,378700
2016-05-09,72.2634,72.8618,72.1961,72.5701,541300
2016-05-10,72.7497,73.3631,72.7497,73.2733,422600
2016-05-11,72.9516,73.3631,71.8295,71.9043,593600
2016-05-12,72.0539,72.7571,72.0465,72.6449,566900
2016-05-13,72.5178,72.9741,71.7098,71.8669,453900
2016-05-16,72.0465,72.8245,71.8669,72.5178,722700
2016-05-17,72.2858,72.6075,70.3035,70.5653,1114800
2016-05-18,70.3259,70.8795,69.503,70.4531,816400
2016-05-19,69.518,70.296,69.0093,69.9294,700700
2016-05-20,70.3109,71.0216,70.2586,70.4231,696900
2016-05-23,70.3109,70.3483,69.7199,70.1089,535300
2016-05-24,70.3783,71.4779,70.3035,71.2984,555200
2016-05-25,71.3358,72.3008,71.2011,72.0315,547400
2016-05-26,71.9716,72.5102,71.7248,72.0539,452200
2016-05-27,72.2559,72.6075,72.241,72.6075,401000
2016-05-31,72.9067,72.9067,71.9417,72.5028,743800
2016-06-01,72.3506,72.6519,72.1171,72.5389,566400
2016-06-02,72.1699,73.0662,71.8912,73.0059,677000
2016-06-03,72.6519,72.682,72.0268,72.426,582000
2016-06-06,72.3582,73.2695,72.0494,73.036,616000
2016-06-07,73.2771,73.6461,73.134,73.4126,349700
2016-06-08,73.4352,73.744,73.3599,73.5783,418100
2016-06-09,73.149,73.5181,72.6971,73.2319,501500
2016-06-10,72.8628,72.9984,72.313,72.682,331300
2016-06-13,72.3054,72.6067,71.5673,71.6426,489100
2016-06-14,71.3489,72.0795,71.3489,71.9891,528000
2016-06-15,72.0795,72.9004,72.0343,72.2753,437800
2016-06-16,71.9891,72.9456,71.7556,72.7498,438600
2016-06-17,72.7875,73.2469,72.5389,72.9908,725100
