date,open,high,low,close,volume
2016-04-21,71.8866,71.8866,69.9722,70.3892,2818500
2016-04-22,70.3891,70.5124,69.1192,69.4604,36730000
2016-04-25,70.1427,70.4271,69.2898,69.4604,2359600
2016-04-26,69.5646,70.0669,68.7875,69.3656,2328700
2016-04-27,69.6689,71.9814,69.3845,70.8441,2841000
2016-04-28,70.9294,70.9483,68.778,69.0054,1525900
2016-04-29,68.8538,69.2614,67.925,68.4084,2355900
2016-05-02,68.9581,69.4414,68.4178,69.4319,1485300
2016-05-03,68.7401,69.5646,68.4558,69.2424,1718900
2016-05-04,68.6453,69.2993,68.5885,68.8349,1599100
2016-05-05,69.0528,69.1666,68.124,68.5316,1296200
2016-05-06,68.342,69.0623,67.9724,69.0528,1429400
2016-05-09,68.7685,69.4224,68.2662,69.2234,1433100
2016-05-10,69.375,70.6735,69.1097,70.4176,1538700
2016-05-11,70.2186,70.6925,69.9437,70.2091,1340100
2016-05-12,70.4081,70.9294,69.8299,70.4934,1297200
2016-05-13,70.3702,71.2043,70.1238,70.3702,1260600
2016-05-16,70.228,70.9484,70.1427,70.4745,1080400
2016-05-17,70.1996,70.4745,69.7636,70.2849,1625200
2016-05-18,70.2091,70.8441,69.7351,70.4081,1037200
2016-05-19,69.991,70.4839,69.0811,70.3323,985900
2016-05-20,70.9768,71.6782,70.5124,71.0432,902700
2016-05-23,71.0148,71.6404,70.3892,70.9958,886500
2016-05-24,71.4603,73.3086,71.4413,73.1949,1846300
2016-05-25,73.2518,73.3181,72.1807,72.2849,1372700
2016-05-26,72.3228,72.7494,72.1048,72.3892,642100
2016-05-27,72.247,73.2423,72.2186,73.0906,718300
2016-05-31,73.337,74.2186,72.484,73.6404,1878300
2016-06-01,73.2612,73.6972,72.9294,73.6593,1411800
2016-06-02,73.5551,74.8063,73.3181,74.8063,1479900
2016-06-03,74.3039,74.4935,71.6688,72.0954,2565600
2016-06-06,72.4745,73.2138,72.3228,73.1285,1541900
2016-06-07,73.1854,73.4129,72.7588,72.9295,1023200
2016-06-08,72.8062,72.9295,71.8394,72.3418,1738000
2016-06-09,72.1143,73.0053,71.7541,72.6072,693500
2016-06-10,71.8678,72.0195,70.664,70.8441,1083400
2016-06-13,70.1427,70.7588,69.6593,69.9342,1583100
2016-06-14,69.8394,70.0195,69.1475,69.8963,1103800
2016-06-15,70.1238,70.5503,69.6688,70.1996,1489200
2016-06-16,69.7351,70.7493,69.3275,70.6546,1062600
2016-06-17,70.664,70.664,69.5361,70.1332,1141000
2016-06-20,71.1096,71.8963,70.6167,71.1854,1114100
2016-06-21,71.2991,71.6024,70.6925,70.9768,967300
2016-06-22,71.2138,71.4603,70.3513,70.3892,1110800
2016-06-23,71.0527,71.9911,70.7304,71.9342,1002800
2016-06-24,69.2233,69.2612,66.5408,66.6071,2952600
2016-06-27,65.773,65.9436,63.5455,63.9626,3280800
2016-06-28,64.7114,66.3891,64.4649,66.1237,1840500
2016-06-29,66.7019,67.4033,66.4365,67.1474,1175100
2016-06-30,67.5929,67.8678,67.119,67.6593,1572400
2016-07-01,67.7825,68.4745,67.0147,68.0005,946600
