date,open,high,low,close,volume
2016-04-22,32.4241,32.799,32.4241,32.6766,1062400
2016-04-25,32.5542,32.6154,32.0416,32.1946,1036100
2016-04-26,32.4088,32.4164,31.8809,32.3552,1755000
2016-04-27,32.8602,33.9849,32.5618,33.5717,2258600
2016-04-28,33.4723,33.939,32.9903,33.0974,1364400
2016-04-29,32.9673,33.0438,32.3093,32.6154,1130500
2016-05-02,32.8067,32.9138,32.5236,32.9061,808400
2016-05-03,32.5695,32.7607,31.9421,32.3476,880600
2016-05-04,32.011,32.2711,31.5213,31.5825,1218300
2016-05-05,31.6437,31.8732,31.2612,31.4142,872400
2016-05-06,31.2153,31.4065,30.8633,31.2459,793400
2016-05-09,31.3912,31.6208,30.8557,30.9169,979900
2016-05-10,31.1694,31.3071,30.7562,31.2382,1270900
2016-05-11,31.001,31.2306,30.8021,30.8174,640100
2016-05-12,31.0087,31.1082,30.5114,30.7333,770300
2016-05-13,30.6415,30.8557,30.519,30.6109,694600
2016-05-16,30.6109,31.0546,30.3737,30.9245,740800
2016-05-17,30.4272,31.0164,30.4043,30.6491,778000
2016-05-18,30.6262,30.9169,30.4119,30.5573,724600
2016-05-19,30.366,30.5726,30.0217,30.4655,662000
2016-05-20,30.6644,31.0852,30.6032,30.8251,628800
2016-05-23,30.7868,31.1005,30.7868,30.9475,348300
2016-05-24,31.0393,31.5136,31.0393,31.4677,570900
2016-05-25,31.6208,31.8197,31.2306,31.5902,719500
2016-05-26,31.659,31.8197,31.5749,31.7126,285500
2016-05-27,30.9245,32.294,30.8251,31.9115,766100
2016-05-31,32.1028,32.5848,32.0798,32.5312,927600
2016-06-01,32.447,32.5159,32.1334,32.3705,603900
2016-06-02,32.1946,32.7837,32.164,32.7454,607700
2016-06-03,32.4165,32.5159,31.9804,32.4241,969400
2016-06-06,32.6001,32.8755,32.4394,32.7378,893000
2016-06-07,32.8143,33.0897,32.7531,33.0668,892200
2016-06-08,33.0668,33.3039,32.9903,33.0668,664300
2016-06-09,32.9673,33.1127,32.776,33.0821,601000
2016-06-10,32.9443,32.9443,32.447,32.5236,735800
2016-06-13,32.3705,32.6919,32.2175,32.4623,788000
2016-06-14,32.4011,32.6001,32.0569,32.5389,673300
2016-06-15,32.7072,32.7837,32.2481,32.3017,729100
2016-06-16,32.2165,32.6347,31.837,32.4256,598600
2016-06-17,32.4024,32.9677,32.3327,32.5882,1525300
2016-06-20,33.0606,33.2233,32.9212,32.929,571900
2016-06-21,32.9754,33.0529,32.7586,32.9212,526200
2016-06-22,32.9677,33.2078,32.7354,32.7586,720200
2016-06-23,33.1303,33.5872,33.0219,33.5175,909200
2016-06-24,31.7441,32.3869,31.566,31.5737,1579500
2016-06-27,31.2717,31.4033,30.4276,30.7296,972300
2016-06-28,30.9464,31.566,30.807,31.4498,985200
2016-06-29,31.5582,32.1468,31.4963,32.0849,812000
2016-06-30,32.3946,32.8593,31.837,32.8515,909500
2016-07-01,32.8593,33.0839,32.7044,32.8903,749100
2016-07-05,32.836,32.836,32.2165,32.4566,601700
2016-07-06,32.4256,32.565,32.0306,32.5418,848700
2016-07-07,32.6424,33.3781,32.4411,32.9832,859100
2016-07-08,33.2078,33.6415,33.1303,33.5873,894700
2016-07-11,33.7112,34.1216,33.595,33.8738,673600
2016-07-12,34.1836,34.6327,34.1758,34.625,1251700
2016-07-13,34.656,34.656,34.1913,34.3152,540200
