date,open,high,low,close,volume
2016-04-18,128.3291,130.2751,127.9546,129.4772,3031500
2016-04-19,128.4431,133.2877,127.8325,132.4328,5832200
2016-04-20,131.9035,136.341,131.8547,135.9583,4802200
2016-04-21,135.6082,137.5216,134.3543,134.6067,4165100
2016-04-22,134.9895,136.3737,134.8836,135.7711,2680300
2016-04-25,135.1605,136.2922,133.5809,134.4195,2473000
2016-04-26,134.6556,135.1604,133.7111,135.0302,2251600
2016-04-27,135.022,137.3263,134.2892,135.9095,3323600
2016-04-28,134.6312,136.2352,133.5401,133.7681,2528000
2016-04-29,133.3691,134.0856,132.3595,133.6215,2890800
2016-05-02,134.4114,136.1294,133.5239,135.307,1998400
2016-05-03,133.2552,133.6216,131.3906,132.8318,2777000
2016-05-04,131.2522,132.3921,129.5342,130.3322,3203900
2016-05-05,130.9103,130.9429,129.0539,129.8925,2366200
2016-05-06,128.8014,130.4135,127.8406,129.3387,2307000
2016-05-09,128.8096,130.153,127.6615,128.2477,2097900
2016-05-10,129.1922,131.4965,128.9643,131.4314,2379600
2016-05-11,131.3825,132.3351,129.6889,129.8029,2096900
2016-05-12,130.5357,131.472,128.0849,128.7037,2448100
2016-05-13,128.549,130.0471,126.4157,126.4809,2550100
2016-05-16,126.4809,127.7511,125.8784,126.5135,3177700
2016-05-17,125.9923,127.922,125.2026,125.9191,2701500
2016-05-18,126.0493,130.2751,125.9191,130.2263,3653300
2016-05-19,129.2003,130.2344,125.8132,125.9598,4712000
2016-05-20,126.8228,127.3521,125.3247,125.805,3247800
2016-05-23,125.7481,127.0915,125.1781,126.5704,2767600
2016-05-24,127.5638,129.0945,127.3765,128.3129,3038800
2016-05-25,128.6956,132.1397,128.6711,131.2929,3259900
2016-05-26,131.2196,131.358,129.5993,129.64,2576100
2016-05-27,129.7463,131.1362,129.4357,130.4249,2157000
2016-05-31,131.1362,132.1581,129.6237,130.384,2916100
2016-06-01,129.0923,131.2588,127.5389,130.7846,2581600
2016-06-02,130.9237,131.079,129.5502,130.2206,2257100
2016-06-03,127.4245,127.9804,125.7894,127.2691,4329300
2016-06-06,127.7433,129.1005,127.3509,128.4056,2540400
2016-06-07,128.52,128.7407,126.8604,126.8604,2489700
2016-06-08,126.8849,128.0131,125.8302,126.427,2426800
2016-06-09,125.7321,126.1409,124.6447,125.2252,2711700
2016-06-10,123.7373,123.9907,122.282,122.5436,4335700
2016-06-13,121.816,123.7128,121.4808,121.5135,3385800
2016-06-14,121.1783,121.8569,118.9137,119.5187,5069600
2016-06-15,120.3117,121.5708,119.2816,119.4942,2981400
2016-06-16,118.5458,120.1727,117.344,119.8784,3499200
2016-06-17,119.8784,121.1865,118.9219,119.069,4296500
2016-06-20,121.4072,123.0423,120.6551,120.794,3338900
2016-06-21,121.4072,121.677,120.279,121.2846,2424600
2016-06-22,121.0067,122.7317,120.9903,121.113,2487600
2016-06-23,123.0914,124.9227,122.748,124.8083,2940500
2016-06-24,116.9352,119.7067,115.2102,115.9787,9442200
2016-06-27,114.5152,115.4636,112.9864,114.0574,7381000
2016-06-28,116.2648,116.6,114.3109,116.4283,5041500
2016-06-29,117.4012,118.9954,116.8534,118.9545,3804100
2016-06-30,119.9111,121.7179,118.8483,121.4727,4528600
2016-07-01,121.399,123.2058,121.0557,121.2028,3096800
2016-07-05,119.952,120.1319,117.1805,118.0961,3943000
2016-07-06,116.8616,119.3143,116.6,119.02,2941800
2016-07-07,119.3633,121.072,118.8401,120.1809,2578300
2016-07-08,122.1103,123.3857,121.2519,122.9442,3281400
2016-07-11,123.8518,125.0699,123.7618,124.424,3041600
2016-07-12,125.9038,128.5608,125.8384,128.291,5110800
2016-07-13,128.3565,129.3948,127.6615,129.1086,4276400
2016-07-14,131.0462,133.458,130.8173,132.8857,5087700
2016-07-15,133.1474,133.3763,131.3814,132.1499,3078400
2016-07-18,132.7386,134.1529,132.4524,133.5316,4734500
2016-07-19,132.4606,134.1448,131.406,131.9619,5399700
2016-07-20,132.8939,133.1719,130.1714,132.2562,3547800
2016-07-21,132.2072,132.3625,130.6211,130.8501,2855500
2016-07-22,131.0462,131.4059,130.6947,131.1443,1811700
2016-07-25,130.5148,131.8965,130.4903,131.2261,1956100
2016-07-26,131.365,132.0354,130.3349,131.7575,2150100
2016-07-27,131.7902,132.5832,131.1443,131.6185,2317200
2016-07-28,130.9563,131.594,129.8608,131.2425,2047400
2016-07-29,130.4086,130.9645,129.7055,129.8363,2388200
2016-08-01,129.8362,130.7437,129.1168,129.3212,2316300
2016-08-02,128.8879,129.5501,127.0239,127.588,3182800
2016-08-03,127.9068,129.9507,127.6861,129.452,2284700
2016-08-04,129.3539,129.9099,128.6917,129.2149,2005700
2016-08-05,130.6048,132.5505,130.1551,132.5178,2676100
2016-08-08,132.526,134.063,132.4524,133.1228,2266600
2016-08-09,132.853,134.5535,132.853,133.6215,1957400
2016-08-10,133.6297,133.7524,132.4524,132.5996,1656100
2016-08-11,132.6077,134.2837,132.387,133.9649,1827700
2016-08-12,132.992,133.5643,132.5015,133.4662,1440800
2016-08-15,133.9731,135.5837,133.9159,135.3466,2222200
2016-08-16,134.8887,136.3358,134.668,135.4283,2523800
2016-08-17,135.6655,135.9761,134.6844,135.4447,2061700
2016-08-18,135.1749,136.1723,134.5944,135.7635,1750500
2016-08-19,135.1913,136.4503,134.4882,135.9025,1840900
2016-08-22,135.7145,136.4585,134.807,135.927,1448100
2016-08-23,136.5321,137.227,135.6982,135.78,1965500
2016-08-24,135.5347,136.2868,134.7743,135.1422,2035300
2016-08-25,134.9623,135.7472,134.5781,135.6327,1441400
2016-08-26,136.3358,137.4068,135.1912,135.69,2402200
2016-08-29,136.205,137.2351,135.8371,136.4258,2620900
2016-08-30,136.4258,139.126,136.4258,139.0111,2934100
2016-08-31,138.9126,139.7252,137.4517,139.085,3688200
2016-09-01,139.5282,139.5856,136.7869,138.3053,2843300
2016-09-02,138.3135,139.3148,137.8046,138.8552,1747500
2016-09-06,138.4776,139.3558,137.4517,138.9783,2034900
2016-09-07,138.4612,139.7006,138.4202,139.2573,1584300
2016-09-08,138.9947,141.0712,138.4694,140.8907,3031600
2016-09-09,140.2094,141.5144,138.3053,138.3545,3411800
2016-09-12,137.0742,140.8989,136.434,140.3982,2647900
2016-09-13,138.3299,139.5036,136.5571,137.0659,2788200
2016-09-14,137.0659,137.7718,135.9087,136.3765,1995900
2016-09-15,136.0646,138.5105,136.0482,137.9524,1645200
2016-09-16,137.7636,137.9277,135.9251,136.2452,4534900
2016-09-19,137.345,138.1411,135.9825,136.4175,2030700
2016-09-20,137.6241,138.1165,136.5653,136.631,1532900
2016-09-21,137.4107,138.1165,136.1878,137.0906,2333600
2016-09-22,138.256,138.9783,137.6404,137.9031,2467700
2016-09-23,137.6815,137.9688,135.4655,135.5311,3421200
2016-09-26,134.4641,134.579,132.1414,132.5354,2772200
2016-09-27,131.9117,134.1523,131.173,133.6927,2602700
2016-09-28,134.062,134.4314,132.6996,134.1523,1678100
2016-09-29,134.0948,134.5709,129.4904,130.4589,3733800
2016-09-30,131.2796,133.2987,129.515,132.363,4497200
2016-10-03,131.7311,132.7324,131.5259,132.1989,2444700
2016-10-04,132.3384,134.7268,132.3302,133.1838,2469900
2016-10-05,134.0456,136.713,133.7911,136.5735,2548200
2016-10-06,137.2136,137.3039,135.2767,137.189,2858000
2016-10-07,137.4764,139.5118,136.4422,139.3887,3390200
2016-10-10,139.955,140.9645,139.6103,140.3818,2532000
2016-10-11,139.3969,140.2423,137.8128,138.7403,2680000
2016-10-12,138.7403,139.52,138.1329,138.9537,2404000
2016-10-13,137.5584,137.583,135.843,137.4107,2713700
2016-10-14,140.8414,141.9494,138.7977,139.955,5282300
2016-10-17,139.9385,140.5705,138.256,138.7074,3061400
2016-10-18,141.178,142.3763,140.4311,141.6868,4482500
2016-10-19,142.2941,144.19,142.1382,143.2298,3676000
2016-10-20,142.8112,144.2803,142.647,143.2298,2471100
2016-10-21,141.8591,143.5499,141.5883,143.3611,2004400
2016-10-24,144.0424,144.2804,143.0985,143.7305,1943200
2016-10-25,143.6648,144.4199,143.3365,144.0834,2423300
2016-10-26,143.4597,146.0122,142.7538,145.331,2533800
2016-10-27,146.2502,146.7919,144.9205,145.889,3021900
2016-10-28,146.5128,146.5128,144.0095,145.3884,2042800
2016-10-31,145.8316,146.5046,145.4623,146.2912,1828200
2016-11-01,146.915,147.0627,144.9534,146.1435,2900600
2016-11-02,145.331,145.6839,144.5102,144.9288,2104800
2016-11-03,145.0848,146.0697,144.6251,144.6251,1972700
2016-11-04,144.7236,145.5525,143.4104,144.3871,1846500
2016-11-07,146.915,148.9669,146.915,148.9505,3338800
2016-11-08,147.826,149.9354,146.4718,149.3116,2646200
2016-11-09,151.8395,158.8488,150.5674,158.1019,7823800
2016-11-10,159.6613,167.9837,159.2263,164.8649,11345400
2016-11-11,162.7145,168.2546,162.7145,167.3846,6290200
2016-11-14,167.557,173.8111,167.557,171.6854,8248100
2016-11-15,169.535,173.3433,168.3941,173.3351,4893800
2016-11-16,170.1834,170.7826,168.1151,169.2888,5276200
2016-11-17,169.2888,172.104,168.8045,172.0547,3572400
2016-11-18,172.2517,174.0573,172.1286,172.6456,4278200
2016-11-21,173.5567,173.7454,171.6853,173.2448,2860200
2016-11-22,173.4746,173.9588,172.2681,173.2694,2945700
2016-11-23,173.5895,175.1572,171.8413,174.2543,3717400
2016-11-25,173.4746,174.6155,173.1791,173.491,1974000
2016-11-28,172.3584,173.8029,172.0301,172.6456,3297400
2016-11-29,172.8845,175.2967,172.8268,174.3335,2577600
2016-11-30,177.1738,181.7595,176.9844,180.541,6507900
2016-12-01,181.8913,187.0204,181.4138,186.5841,7606500
2016-12-02,186.0654,186.2712,182.13,183.8919,5297400
2016-12-05,185.6702,188.7,185.4397,188.1648,4599300
2016-12-06,189.5068,191.5568,187.6296,190.4947,5259300
2016-12-07,189.6879,194.3725,189.6879,193.9361,6595200
2016-12-08,195.0229,199.5839,194.2984,198.7853,7343700
2016-12-09,198.0938,199.2382,196.6695,199.1147,5456000
2016-12-12,198.0032,199.9215,194.603,195.2617,5022000
2016-12-13,196.7682,197.7397,193.8949,196.3978,4680500
2016-12-14,194.0267,200.1603,193.7797,197.5339,6172400
2016-12-15,199.6416,202.1773,198.9253,200.0615,4829700
2016-12-16,199.8968,200.2179,196.2743,196.686,6876400
2016-12-19,196.2249,197.3775,194.5124,196.8259,3743300
2016-12-20,198.0197,200.5966,197.7809,200.1356,4487700
2016-12-21,199.4358,199.5675,197.6575,198.7772,3277800
2016-12-22,198.6042,199.9462,197.2211,197.6904,2636500
2016-12-23,197.2128,199.1558,196.6942,198.3902,2187500
2016-12-27,199.197,199.7239,197.9209,198.8759,1998200
2016-12-28,200.6295,201.2964,197.9538,198.1267,3053000
2016-12-29,198.2091,198.4725,194.8253,196.0932,2619000
2016-12-30,196.3649,198.0032,195.451,197.1388,2355500
2017-01-03,199.8145,201.6834,195.9203,198.8842,4384200
2017-01-04,198.7771,200.3249,197.6163,200.1685,2728700
2017-01-05,199.831,200.2509,194.9406,198.6784,3562600
2017-01-06,199.4769,202.696,198.7195,201.6257,3591100
2017-01-09,200.2673,201.4528,198.8018,199.9709,3022800
2017-01-10,198.3078,200.4237,196.8094,199.7075,3432900
2017-01-11,199.8721,202.3997,199.2382,202.3338,3532600
2017-01-12,201.7575,202.095,198.8842,200.753,4022300
2017-01-13,202.0621,203.9886,199.9874,201.1318,4186100
2017-01-17,200.0121,200.1109,193.9773,194.0844,6277200
2017-01-18,194.2984,195.6898,190.61,192.8905,7590500
2017-01-19,192.7094,193.2693,189.869,190.5195,4561800
2017-01-20,190.6923,192.0178,189.8032,191.1698,5211800
2017-01-23,190.8899,192.4459,189.976,191.5568,3136200
2017-01-24,190.89,194.3478,190.0502,192.3884,4448200
2017-01-25,193.9114,195.3934,193.0552,195.3275,3716800
2017-01-26,195.5086,198.242,195.5086,197.2458,4195600
2017-01-27,195.0394,195.9203,194.3066,195.0805,3253100
2017-01-30,193.9526,194.5372,190.61,192.5695,3803300
2017-01-31,191.705,192.9399,187.8437,188.7987,5156400
2017-02-01,189.7785,191.7132,188.9634,189.9102,4024500
2017-02-02,188.1319,191.2769,186.9299,189.6961,2775700
2017-02-03,193.0799,198.5054,192.8165,198.3737,7381000
2017-02-06,197.2623,200.5966,196.9082,197.5751,4639200
2017-02-07,198.5384,198.7772,197.0894,197.2787,2660200
2017-02-08,196.192,196.7189,194.5536,195.7227,2744700
2017-02-09,195.7227,200.3002,195.4675,198.8677,3550800
2017-02-10,200.3661,201.0165,198.6042,199.8309,3072800
2017-02-13,201.2882,203.7498,201.2882,202.7536,2998200
2017-02-14,202.5396,205.8246,202.2762,205.38,4141500
2017-02-15,206.3021,207.43,204.5978,206.2691,4296600
2017-02-16,206.0716,206.4667,204.5402,205.3635,2286300
2017-02-17,203.7745,206.2856,203.4452,206.1374,3262300
2017-02-21,206.6479,208.0063,206.4091,207.2736,2794900
2017-02-22,205.874,207.7593,205.8246,207.2489,2378800
2017-02-23,206.9031,207.3888,205.2647,206.8043,2594700
2017-02-24,203.931,204.9025,202.6137,203.6428,3565400
2017-02-27,203.5276,205.627,203.0336,205.273,2372600
2017-02-28,204.7116,205.5371,202.7388,204.7612,3627100
2017-03-01,209.425,210.6136,207.4026,208.5995,5218300
2017-03-02,209.2681,209.8625,207.1632,207.2375,3020000
2017-03-03,207.2375,210.2834,207.2375,208.7481,3163700
2017-03-06,208.1538,208.6161,206.7753,208.0217,2467000
2017-03-07,208.4179,208.8389,206.6184,207.1055,2497300
2017-03-08,209.3507,210.2999,206.0406,206.5606,3574400
2017-03-09,207.3696,208.6243,205.9663,206.5111,3061500
2017-03-10,207.8813,207.9309,203.7788,205.0253,3365900
2017-03-13,205.8013,205.8013,204.0596,204.8438,1801100
2017-03-14,203.7294,204.5713,202.5737,204.4805,2144200
2017-03-15,205.0006,206.5937,202.6976,203.7046,3427000
2017-03-16,204.5878,206.5276,204.1421,204.8932,2940600
2017-03-17,206.0984,206.0984,201.2943,201.3603,5438100
2017-03-20,200.8485,202.1775,199.3627,199.8745,2759100
2017-03-21,200.8403,200.8403,192.1565,192.3299,5660900
2017-03-22,190.8606,192.2639,189.1602,190.7368,6291300
