date,open,high,low,close,volume
2016-04-21,195.6539,197.6924,195.1143,195.1913,515000
2016-04-22,194.6431,196.9557,194.6431,196.2534,849200
2016-04-25,195.8679,197.324,195.3455,196.3048,564100
2016-04-26,196.7759,200.9728,196.7759,200.6988,500200
2016-04-27,201.2812,204.9043,199.9536,204.476,585000
2016-04-28,203.4225,205.5209,201.3326,202.1034,941700
2016-04-29,201.144,201.7179,199.1227,200.87,852500
2016-05-02,201.0842,201.8893,198.5917,200.8101,640600
2016-05-03,199.7223,200.2619,197.5638,199.4139,366600
2016-05-04,198.5574,198.8144,195.4483,196.2191,503700
2016-05-05,198.105,202.7807,197.8811,199.9994,644300
2016-05-06,198.6303,200.8864,198.6303,200.1889,539200
2016-05-09,200.1372,200.1372,196.9511,198.5528,530700
2016-05-10,198.9058,201.1188,198.2513,199.9046,589300
2016-05-11,199.8616,201.3341,197.8553,198.9833,487200
2016-05-12,199.0953,199.655,194.4281,196.1245,752700
2016-05-13,195.9608,196.8133,193.7478,194.9533,484000
2016-05-16,195.2289,197.5539,194.7294,197.063,354400
2016-05-17,196.8822,198.0447,194.1009,194.497,328100
2016-05-18,193.92,196.6497,191.9222,193.765,395100
2016-05-19,190.9664,192.7833,188.9084,190.9492,495100
2016-05-20,192.1031,192.8695,190.9665,191.6726,442800
2016-05-23,191.5176,192.7834,189.8987,192.0859,301000
2016-05-24,193.0933,195.5991,192.9383,194.8327,335800
2016-05-25,194.8328,195.4356,194.2731,194.9017,301400
2016-05-26,194.2559,196.8478,194.2559,195.9178,365100
2016-05-27,196.288,196.555,193.8942,194.5056,399000
2016-05-31,194.2731,196.8908,194.2731,196.6325,733200
2016-06-01,196.2192,196.5206,194.1009,196.4775,424900
2016-06-02,196.2192,197.8208,196.1417,197.8208,301400
2016-06-03,197.1922,197.8638,194.7639,196.1503,458600
2016-06-06,195.1342,197.1836,193.7909,196.8478,468500
2016-06-07,197.1922,198.0189,196.5636,197.0114,323600
2016-06-08,197.8122,199.1211,196.6583,198.5786,521500
2016-06-09,197.0631,198.725,195.272,195.6164,388800
2016-06-10,193.7478,194.5744,189.2786,191.5692,1162200
2016-06-13,189.6576,190.7856,186.3337,187.2465,739400
2016-06-14,187.479,190.0537,187.2551,189.4079,550400
2016-06-15,189.5629,191.1645,188.7706,189.2701,564500
2016-06-16,188.5037,191.3195,186.7299,190.6479,367500
2016-06-17,189.9676,191.5262,189.1409,190.7598,661400
2016-06-20,192.0169,194.5055,191.8017,191.8792,436200
2016-06-21,192.1548,193.145,191.3712,191.9309,403300
2016-06-22,192.2494,194.583,191.8705,192.8952,396500
2016-06-23,194.8931,195.7972,193.9631,194.5831,386800
2016-06-24,189.1409,192.8781,186.1701,187.1776,1128500
2016-06-27,184.801,187.0484,183.1046,186.1787,673900
2016-06-28,188.0301,188.7534,185.576,187.1776,472500
2016-06-29,186.8504,189.5715,186.8504,188.6673,583000
2016-06-30,189.9589,195.8316,189.1581,195.6853,778300
2016-07-01,195.2633,199.2847,195.2633,197.8208,541100
2016-07-05,197.7261,197.7606,192.3615,194.4195,481100
2016-07-06,193.1278,194.2128,189.537,192.4561,943400
2016-07-07,193.1278,195.5475,192.6111,194.1267,537200
2016-07-08,195.9953,198.7594,195.3667,198.4581,475800
2016-07-11,195.1514,200.7141,195.1514,199.3966,477100
2016-07-12,196.5808,199.4741,196.133,198.4322,701400
2016-07-13,199.0694,199.4224,197.02,198.5441,392400
2016-07-14,200.2491,200.6452,199.1727,199.4311,266500
2016-07-15,200.3783,200.8519,198.8456,199.1814,542200
2016-07-18,199.3794,200.3438,196.09,197.063,995600
2016-07-19,193.7478,193.7478,186.9365,187.5307,1699900
2016-07-20,186.9624,191.1645,184.9818,186.9021,943700
2016-07-21,186.902,188.0387,185.0851,185.3692,535700
2016-07-22,185.1368,187.832,184.9559,187.5823,898800
2016-07-25,187.5134,188.96,186.6437,187.9784,503200
2016-07-26,187.9784,189.8728,187.9698,188.9859,464300
2016-07-27,189.2356,190.2173,187.677,188.8481,296200
2016-07-28,188.3659,190.3292,188.1334,189.6317,348600
2016-07-29,188.9257,189.6145,186.9021,188.4521,735100
2016-08-01,188.1249,188.3574,186.4026,187.8837,435700
2016-08-02,187.8837,187.8837,185.2746,186.437,364300
2016-08-03,186.3423,187.6081,185.3693,187.1604,343700
2016-08-04,189.0395,192.0617,188.39,189.0914,538100
2016-08-05,190.2865,191.7153,189.715,191.3863,506800
2016-08-08,192.1484,193.1009,190.6936,191.1005,257400
2016-08-09,191.3516,191.4642,189.7496,190.1393,309300
2016-08-10,190.2519,192.0531,190.096,190.3385,242900
2016-08-11,192.7632,199.4744,191.9665,198.6344,849400
2016-08-12,198.5045,200.9898,197.6645,198.2793,516100
2016-08-15,198.0715,200.4702,197.9156,200.0285,321900
2016-08-16,199.6389,200.8253,198.799,200.0373,357400
2016-08-17,199.7341,200.5481,198.9808,199.9333,341700
2016-08-18,200.0459,200.4702,199.1193,200.3144,308500
2016-08-19,199.1367,200.9725,198.7903,200.3663,289900
2016-08-22,199.8034,200.5655,198.6344,199.8294,320400
2016-08-23,200.4183,200.8599,199.1886,199.8641,280300
2016-08-24,200.0632,201.4748,198.9375,200.0719,270200
2016-08-25,199.2666,200.427,198.4179,199.9767,313500
2016-08-26,201.2149,203.2499,200.4529,201.4747,581200
2016-08-29,201.4315,203.3192,201.0244,203.2673,342900
2016-08-30,203.3019,203.96,202.1848,203.0594,343700
2016-08-31,202.2367,202.6091,199.4397,199.7428,618100
2016-09-01,199.9766,199.9766,195.9066,197.9762,538300
2016-09-02,199.4311,199.9766,198.0369,199.3531,247300
2016-09-06,199.4657,200.1152,198.8422,199.5263,362500
2016-09-07,197.2402,197.4134,195.1965,197.1363,566700
2016-09-08,196.9197,198.9894,195.7161,198.7209,508600
2016-09-09,196.4695,197.1969,192.6246,192.6333,905900
2016-09-12,191.7586,194.6683,190.8754,194.192,550300
2016-09-13,198.3832,199.0414,192.2955,192.3128,635300
2016-09-14,193.5079,195.2485,192.8584,193.9669,432900
2016-09-15,193.6032,197.933,192.3908,197.3874,560800
2016-09-16,195.8547,196.6427,186.3551,188.9789,1640500
2016-09-19,189.7064,192.0098,189.5418,191.0053,656700
2016-09-20,191.6894,191.75,187.5587,187.5587,415200
2016-09-21,187.9138,189.4032,186.814,189.1434,509300
