date,open,high,low,close,volume
2016-04-22,62.2238,62.7679,62.1092,62.5961,1608000
2016-04-25,62.2882,62.7178,62.0305,62.4601,1123400
2016-04-26,62.4887,62.8109,62.0663,62.7393,954000
2016-04-27,62.4243,62.9899,62.3742,62.4028,729500
2016-04-28,62.1003,62.626,61.2649,61.4449,860600
2016-04-29,61.4017,61.4305,60.6528,60.9552,709400
2016-05-02,61.5242,62.1795,61.0128,61.6394,736700
2016-05-03,61.2793,61.625,61.0849,61.1353,491700
2016-05-04,60.912,61.3873,60.5303,60.696,746100
2016-05-05,60.7032,60.7896,60.0334,60.1703,1195000
2016-05-06,60.0766,61.3369,60.0262,61.2793,858100
2016-05-09,60.9913,62.2516,60.9913,62.0139,924600
2016-05-10,61.4305,62.2587,61.0344,62.1723,902200
2016-05-11,61.7978,62.1219,60.7464,60.8544,927300
2016-05-12,60.8472,61.5098,60.7464,61.4305,694300
2016-05-13,61.3873,61.7258,61.1857,61.2937,861800
2016-05-16,61.1425,61.9059,60.8832,61.5458,612000
2016-05-17,61.3729,61.7474,60.6528,60.948,748200
2016-05-18,60.912,61.5674,60.3935,61.1425,852400
2016-05-19,60.8688,61.3081,60.3503,61.1209,493600
2016-05-20,61.3225,61.5962,60.5952,60.7752,872500
2016-05-23,60.9625,61.3585,60.588,61.1929,457500
2016-05-24,61.3225,62.7773,61.2217,62.4532,849500
2016-05-25,62.2948,62.7413,62.1003,62.482,753500
2016-05-26,62.626,62.8781,62.1219,62.4748,516900
2016-05-27,62.1508,63.0582,62.1508,62.8565,413700
2016-05-31,62.8493,63.1158,62.2444,62.8637,643800
2016-06-01,62.3523,62.77,62.0571,62.7412,886200
2016-06-02,62.3956,62.7413,62.0067,62.4604,681800
2016-06-03,62.0715,62.2371,61.4522,61.7834,720700
2016-06-06,62.1939,62.6116,61.8987,62.1075,687600
2016-06-07,62.1003,62.8277,62.0355,62.6189,707600
2016-06-08,62.5252,62.9285,62.3956,62.7341,366500
2016-06-09,62.4604,62.7701,61.7186,62.7052,524700
2016-06-10,62.374,62.5396,61.5674,61.8771,446700
2016-06-13,61.769,61.9347,61.2433,61.2577,457200
2016-06-14,61.1425,61.5674,60.84,61.5314,1208900
2016-06-15,61.6394,62.4892,61.5458,61.9491,741900
2016-06-16,61.5674,62.1147,60.9192,61.8554,710500
2016-06-17,61.805,61.8771,61.1137,61.517,786400
2016-06-20,62.4748,62.7269,61.9707,62.0427,601900
2016-06-21,62.1363,62.5252,61.7114,61.805,972300
2016-06-22,61.8915,62.5324,61.6826,61.841,514200
2016-06-23,62.3956,62.41,61.5962,62.0787,1234400
2016-06-24,60.0982,60.6384,59.2917,59.3205,2621100
2016-06-27,58.9676,59.0684,57.8585,58.0529,983200
2016-06-28,58.2618,59.7886,58.1034,59.6013,1286200
2016-06-29,59.9038,60.1919,59.6013,59.8246,1825300
2016-06-30,59.5869,60.5879,59.4717,60.4871,2309100
2016-07-01,60.5303,60.6744,60.1558,60.4223,1046800
2016-07-05,60.0118,60.1847,58.8667,59.2916,1482700
2016-07-06,59.2412,59.9182,59.1548,59.7814,3448600
2016-07-07,59.947,60.3575,59.3637,59.8534,1301000
2016-07-08,60.2063,61.1713,59.9038,61.0057,3082800
2016-07-11,61.1785,61.8627,61.1785,61.5746,727300
2016-07-12,61.7474,62.6549,61.7474,62.1147,1083400
2016-07-13,62.2371,62.6188,61.2001,61.6034,831100
2016-07-14,61.9779,62.0427,61.3513,61.4017,664800
2016-07-15,61.5026,61.7474,61.1569,61.5746,1418600
2016-07-18,60.1343,60.6744,56.555,57.484,7940300
2016-07-19,58.197,58.982,57.7577,58.3914,3289100
2016-07-20,58.6939,58.8163,58.1394,58.5715,2197400
2016-07-21,58.7587,58.8955,57.9449,58.2906,1288900
2016-07-22,58.2186,58.3626,57.8153,57.9017,1078500
2016-07-25,57.7937,58.5139,57.5848,58.4418,1733600
2016-07-26,58.4707,58.7659,57.9089,58.2474,1009200
2016-07-27,58.2042,58.6651,57.9809,58.305,1203800
2016-07-28,58.2905,58.7688,58.1238,58.6964,991900
2016-07-29,58.5079,59.1022,58.3847,58.8703,953800
2016-08-01,58.7254,59.1892,58.7036,58.7181,882500
2016-08-02,58.7833,59.0225,58.1601,58.2688,1004700
2016-08-03,58.1311,58.6819,58.0803,58.5659,910100
2016-08-04,58.392,58.9428,58.3123,58.392,695100
2016-08-05,58.6964,59.4719,58.5297,59.3487,1098500
2016-08-08,59.1819,59.5878,58.979,59.2399,628300
2016-08-09,59.2834,59.7472,58.9428,59.0732,745600
2016-08-10,59.1674,59.5226,58.6891,59.5153,655400
2016-08-11,59.5805,60.0951,59.3849,60.0444,675000
2016-08-12,60.0009,60.0226,59.5153,59.7327,619900
2016-08-15,59.7255,59.9719,59.1819,59.2762,733900
2016-08-16,59.2254,59.3197,58.3123,58.5949,962700
2016-08-17,58.6311,58.8413,58.2688,58.7471,660600
2016-08-18,58.6819,58.8413,58.3413,58.4645,662900
2016-08-19,58.2108,58.5732,58.1311,58.479,616300
