date,open,high,low,close,volume
2016-04-18,6.5223,6.6414,6.5025,6.5885,8267800
2016-04-19,6.6017,6.7076,6.5885,6.6877,10978900
2016-04-20,6.6679,6.8465,6.6216,6.8002,16621500
2016-04-21,6.7539,6.8531,6.7142,6.7605,7863800
2016-04-22,6.7803,6.8332,6.7208,6.7803,12753700
2016-04-25,6.7605,6.7737,6.6348,6.7208,10935800
2016-04-26,6.7539,6.8332,6.6811,6.7869,9072300
2016-04-27,6.7605,6.8399,6.7274,6.7935,8022500
2016-04-28,6.7539,6.8002,6.6679,6.6943,7755900
2016-04-29,6.6546,6.7009,6.5951,6.6546,16772600
2016-05-02,6.7076,6.7539,6.6149,6.7406,9808200
2016-05-03,6.6282,6.6877,6.5422,6.6216,8797100
2016-05-04,6.5488,6.6149,6.443,6.5223,14186300
2016-05-05,6.5289,6.5951,6.476,6.5289,9908200
2016-05-06,6.476,6.5488,6.4628,6.5356,12839100
2016-05-09,6.5356,6.5753,6.443,6.476,8158700
2016-05-10,6.5422,6.6216,6.5157,6.6083,5963300
2016-05-11,6.5819,6.6745,6.5753,6.5951,6791700
2016-05-12,6.6149,6.6877,6.5091,6.5422,8613200
2016-05-13,6.529,6.6149,6.3636,6.3967,10131200
2016-05-16,6.4165,6.4959,6.3768,6.4694,6322600
2016-05-17,6.443,6.5488,6.3967,6.4628,10915100
2016-05-18,6.4496,6.8134,6.443,6.8068,15573200
2016-05-19,6.7605,6.8399,6.6612,6.7605,11327700
2016-05-20,6.7803,6.8663,6.7472,6.7671,8453500
2016-05-23,6.7737,6.8002,6.6943,6.7472,6666700
2016-05-24,6.7869,6.8928,6.7737,6.8663,7458100
2016-05-25,6.8862,7.0383,6.8663,7.0251,9380800
2016-05-26,6.9457,7.0317,6.8795,6.9192,8511200
2016-05-27,6.9457,6.9986,6.8928,6.9986,6891700
2016-05-31,7.0383,7.0449,6.8994,6.9126,10286200
2016-06-01,6.8332,6.9523,6.5819,6.9523,11805500
2016-06-02,6.9391,6.992,6.8663,6.9854,7496100
2016-06-03,6.8729,6.8795,6.6811,6.8531,13627400
2016-06-06,6.8663,7.0118,6.8531,6.9655,7930100
2016-06-07,6.9655,6.9722,6.8862,6.8862,6658800
2016-06-08,6.8928,6.9325,6.8068,6.8465,18204100
2016-06-09,6.7803,6.8663,6.648,6.7274,17555500
2016-06-10,6.6149,6.6745,6.5554,6.5819,11713000
2016-06-13,6.5554,6.6613,6.5223,6.5223,9175000
2016-06-14,6.4826,6.5554,6.2577,6.271,16309900
2016-06-15,6.291,6.4309,6.2643,6.3043,10806000
2016-06-16,6.2443,6.2576,6.1443,6.2043,11060000
2016-06-17,6.1977,6.2643,6.1377,6.1977,14017100
2016-06-20,6.3443,6.4042,6.171,6.1843,11977000
2016-06-21,6.1977,6.2177,6.0644,6.171,14464100
2016-06-22,6.171,6.2576,6.131,6.1443,6110300
2016-06-23,6.2243,6.3309,6.211,6.2843,9374400
2016-06-24,5.9644,5.9977,5.7378,5.7378,25194000
2016-06-27,5.6579,5.6912,5.3646,5.3913,19206000
2016-06-28,5.5246,5.6112,5.4579,5.5779,17511000
2016-06-29,5.6379,5.7045,5.5312,5.6712,15852400
2016-06-30,5.7045,5.9644,5.6978,5.9578,25206000
2016-07-01,5.9244,5.9578,5.8378,5.8844,12682800
2016-07-05,5.8045,5.8111,5.6245,5.6712,14169600
2016-07-06,5.6112,5.7178,5.4846,5.6779,16886800
2016-07-07,5.6712,5.7712,5.6379,5.7178,11964500
2016-07-08,5.8045,5.8911,5.7845,5.8111,14223700
2016-07-11,5.8844,5.9311,5.8645,5.8978,6669600
2016-07-12,5.9977,6.0844,5.9644,6.0644,8788800
2016-07-13,6.071,6.1177,5.9977,6.051,6518600
2016-07-14,6.1577,6.2177,6.131,6.151,7686200
2016-07-15,6.2043,6.2043,6.1377,6.171,5797400
2016-07-18,6.1777,6.211,6.1443,6.1977,6313500
2016-07-19,6.191,6.231,6.1443,6.1777,7687300
2016-07-20,6.1777,6.231,6.111,6.1577,8461700
2016-07-21,6.111,6.2243,6.071,6.1044,12386200
2016-07-22,6.0644,6.1977,6.0644,6.1843,6192000
2016-07-25,6.171,6.2243,6.1577,6.1977,7510600
2016-07-26,6.1977,6.2776,6.1577,6.271,7418300
2016-07-27,6.251,6.3576,6.251,6.2776,8083000
2016-07-28,6.2443,6.3309,6.1843,6.3043,7452500
2016-07-29,6.271,6.3509,6.271,6.3309,7686600
2016-08-01,6.3576,6.3843,6.2443,6.251,10336300
2016-08-02,6.2376,6.2776,6.1377,6.1777,9449700
2016-08-03,6.1843,6.2776,6.151,6.251,7165900
2016-08-04,6.2243,6.291,6.211,6.231,6384900
2016-08-05,6.291,6.4975,6.251,6.4975,6341400
2016-08-08,6.5375,6.5642,6.4709,6.4909,6554500
2016-08-09,6.4842,6.5109,6.4442,6.4642,5128200
2016-08-10,6.4776,6.4842,6.3443,6.3576,5160400
2016-08-11,6.3909,6.3976,6.3309,6.3776,6531800
2016-08-12,6.3376,6.3443,6.2643,6.3176,5138300
2016-08-15,6.3176,6.4642,6.3043,6.4509,4859400
2016-08-16,6.4242,6.4642,6.3643,6.4242,41796500
2016-08-17,6.4109,6.5309,6.4109,6.4376,20580900
2016-08-18,6.4376,6.4909,6.3243,6.3376,99726200
2016-08-19,6.311,6.3709,6.2843,6.3376,21860900
2016-08-22,6.3376,6.4376,6.3043,6.4309,13992100
2016-08-23,6.4509,6.4642,6.3909,6.4242,17468800
2016-08-24,6.4176,6.4709,6.3309,6.3376,23739400
2016-08-25,6.3443,6.4442,6.3243,6.3976,21377900
2016-08-26,6.4509,6.4709,6.3709,6.4576,15014400
2016-08-29,6.4642,6.5775,6.4442,6.5042,14774400
2016-08-30,6.5042,6.5908,6.5042,6.5908,8631700
2016-08-31,6.6108,6.6708,6.5642,6.6708,22272800
2016-09-01,6.6975,6.7375,6.5509,6.6375,15098100
2016-09-02,6.6642,6.6975,6.5908,6.6775,8990700
2016-09-06,6.6708,6.6775,6.5109,6.5709,14467500
2016-09-07,6.5442,6.6242,6.5109,6.5975,10031700
2016-09-08,6.6042,6.6175,6.5242,6.5908,11886300
2016-09-09,6.5975,6.6375,6.5509,6.5709,13489200
2016-09-12,6.4576,6.6708,6.4576,6.6642,14645500
2016-09-13,6.6108,6.6175,6.5042,6.5842,10465100
2016-09-14,6.5975,6.6042,6.4909,6.5309,21652500
2016-09-15,6.5376,6.6248,6.5174,6.5711,13484800
2016-09-16,6.5174,6.5376,6.457,6.5309,18595900
2016-09-19,6.5644,6.598,6.4772,6.5242,10542200
2016-09-20,6.551,6.5711,6.4705,6.5174,8953300
2016-09-21,6.5443,6.5644,6.4436,6.5309,11205400
2016-09-22,6.5846,6.6383,6.5779,6.6315,12495600
2016-09-23,6.6181,6.692,6.5846,6.645,9261500
2016-09-26,6.5913,6.6114,6.4503,6.4503,8010800
2016-09-27,6.4436,6.5376,6.3899,6.5376,9189300
2016-09-28,6.6517,6.6584,6.5376,6.6584,11634000
2016-09-29,6.6584,6.6852,6.4973,6.5174,8124500
2016-09-30,6.5644,6.6584,6.5107,6.6181,10208700
2016-10-03,6.598,6.6517,6.5376,6.5779,8295900
2016-10-04,6.6181,6.692,6.5644,6.6315,8099900
2016-10-05,6.6651,6.8463,6.6383,6.8061,10745100
2016-10-06,6.7994,6.8598,6.7792,6.8195,9731500
2016-10-07,6.8262,6.8799,6.7322,6.8262,8896500
2016-10-10,6.853,6.9,6.8195,6.8195,5875300
2016-10-11,6.7457,6.8329,6.6584,6.7255,10420300
2016-10-12,6.7457,6.7725,6.6785,6.692,6066900
2016-10-13,6.6114,6.6584,6.4235,6.5242,15157000
2016-10-14,6.598,6.6718,6.5577,6.5913,7450300
2016-10-17,6.6047,6.6181,6.4772,6.4839,7854200
2016-10-18,6.5443,6.5846,6.4772,6.5779,7428200
2016-10-19,6.6047,6.7591,6.5779,6.7322,13416200
2016-10-20,6.7188,6.8262,6.7054,6.8061,8984700
2016-10-21,6.6987,6.7859,6.6785,6.7524,11869100
2016-10-24,6.8128,6.8262,6.7591,6.7792,6884200
2016-10-25,6.7792,6.8732,6.7389,6.8396,11335300
2016-10-26,6.8732,7.2356,6.8665,7.1819,28691000
2016-10-27,7.2356,7.2893,7.1551,7.2155,16197300
2016-10-28,7.2222,7.2356,7.0276,7.088,11847500
2016-10-31,7.0544,7.1484,7.0544,7.1148,14652300
2016-11-01,7.1484,7.1887,7.0074,7.088,16268800
2016-11-02,7.0678,7.0813,6.8732,6.9336,18456700
2016-11-03,6.9336,6.9739,6.8396,6.8799,17179400
2016-11-04,6.8866,6.947,6.7591,6.8195,12223200
2016-11-07,6.9739,7.0813,6.9739,7.0141,12007200
2016-11-08,7.0745,7.0745,6.7994,6.8799,16032300
2016-11-09,7.0141,7.3632,6.9537,7.3229,26319300
2016-11-10,7.4034,7.8263,7.3967,7.786,25992800
2016-11-11,7.7726,7.8867,7.7189,7.8532,16750200
2016-11-14,7.9471,8.1888,7.927,8.0277,24603100
2016-11-15,8.0075,8.0277,7.8129,8.0277,24681900
2016-11-16,7.9404,8.0411,7.9001,8.0075,16608600
2016-11-17,8.0411,8.2357,7.9874,8.2089,17202300
2016-11-18,8.2559,8.417,8.2357,8.3901,19530200
2016-11-21,8.4505,8.4572,8.3364,8.3498,14973600
2016-11-22,8.4505,8.4505,8.323,8.4035,14351800
2016-11-23,8.4371,8.5109,8.3834,8.464,9111200
2016-11-25,8.5042,8.5109,8.4103,8.4304,4265700
2016-11-28,8.3498,8.4438,8.1955,8.229,11444900
2016-11-29,8.2089,8.3096,8.182,8.2425,12097300
2016-11-30,8.3834,8.4572,8.3431,8.3633,17093400
2016-12-01,8.4572,8.8197,8.4237,8.7459,24429200
2016-12-02,8.7324,8.7996,8.5915,8.6855,24055000
2016-12-05,8.7526,8.8398,8.6922,8.7459,14661300
2016-12-06,8.7794,8.9002,8.6519,8.8734,15768900
2016-12-07,8.8398,8.8935,8.7928,8.8667,18660200
2016-12-08,8.9808,9.1553,8.9002,9.0345,23825000
2016-12-09,9.0345,9.0815,8.9069,9.068,17121400
2016-12-12,9.0412,9.1419,8.8935,8.9271,15915900
2016-12-13,8.9942,9.0211,8.8197,8.8935,13909900
2016-12-14,8.7928,9.0211,8.6519,8.7928,18113100
2016-12-15,8.8667,9.0076,8.7794,8.9539,21239200
2016-12-16,8.9404,9.0282,8.7851,8.7919,26217700
2016-12-19,8.7986,8.8662,8.7379,8.8391,12653600
2016-12-20,8.9539,9.0282,8.9337,9.0215,16827400
2016-12-21,9.0012,9.035,8.9134,9.0012,6723700
2016-12-22,9.0215,9.0687,8.9607,9.0012,12561800
2016-12-23,9.0012,9.062,8.9674,9.062,5035700
2016-12-27,9.143,9.143,9.0215,9.0755,5248900
2016-12-28,9.1565,9.1565,8.9202,8.9472,6545100
2016-12-29,8.9742,8.9809,8.7919,8.8324,8328200
2016-12-30,8.8391,8.9404,8.8121,8.9269,8770200
2017-01-03,9.089,9.1363,8.9269,8.9944,10926200
2017-01-04,8.9945,9.1498,8.9945,9.1025,12001900
2017-01-05,9.0755,9.17,8.8864,8.9539,12436100
2017-01-06,9.0215,9.1025,8.9269,8.9742,12037300
2017-01-09,8.9202,9.035,8.8594,8.9944,18797300
2017-01-10,9.0147,9.089,8.9742,9.0012,13106600
2017-01-11,9.0012,9.143,8.9472,9.0755,11258000
2017-01-12,8.9877,9.0755,8.8729,8.9944,8551900
2017-01-13,9.0417,9.2308,9.0282,9.0957,10808300
2017-01-17,9.008,9.0215,8.7311,8.7446,12562500
2017-01-18,8.7851,8.8864,8.6838,8.8797,12260000
2017-01-19,8.9202,8.9742,8.7446,8.7851,10144500
2017-01-20,8.8256,8.9404,8.7851,8.8594,7818100
2017-01-23,8.8324,8.8999,8.7514,8.8189,10099200
2017-01-24,8.8526,8.9809,8.8121,8.9472,14194900
2017-01-25,9.1835,9.4806,9.0822,9.4671,18265100
2017-01-26,9.5279,9.5684,9.4334,9.4604,16825700
2017-01-27,9.4401,9.4604,9.2443,9.3051,10164400
2017-01-30,9.2443,9.251,9.0417,9.197,8551900
2017-01-31,9.1295,9.2375,9.035,9.1363,11980000
2017-02-01,9.2511,9.3794,9.0822,9.116,9740100
2017-02-02,9.035,9.0755,8.8864,8.9404,12209300
2017-02-03,9.0552,9.2308,8.9945,9.1903,16564500
2017-02-06,9.0957,9.197,9.0485,9.1363,7300800
2017-02-07,9.1633,9.1768,9.0552,9.1025,13113000
2017-02-08,9.0417,9.0552,8.9134,9.0485,10240900
2017-02-09,9.0957,9.1903,9.0282,9.1498,7830200
2017-02-10,9.1768,9.224,9.116,9.197,6862600
2017-02-13,9.2646,9.4131,9.251,9.3253,11977000
2017-02-14,9.3388,9.5482,9.2713,9.5347,10105000
2017-02-15,9.6224,9.6427,9.5212,9.6022,8533300
2017-02-16,9.5684,9.6157,9.4671,9.5684,6351200
2017-02-17,9.4671,9.5482,9.3996,9.5414,6958800
2017-02-21,9.5954,9.6832,9.5144,9.5819,7918100
2017-02-22,9.5076,9.6292,9.5076,9.5819,5586700
2017-02-23,9.6022,9.6224,9.4874,9.5752,6013300
2017-02-24,9.4536,9.5752,9.4199,9.5752,8740000
2017-02-27,9.5617,9.6089,9.5212,9.5954,4843000
2017-02-28,9.5752,9.5954,9.4469,9.5482,9723400
2017-03-01,9.7778,9.9533,9.771,9.8993,10392500
2017-03-02,9.9533,9.9533,9.6427,9.6495,7967000
2017-03-03,9.6562,9.771,9.6427,9.7237,5936200
2017-03-06,9.6089,9.7102,9.5752,9.663,6991800
2017-03-07,9.8318,9.8318,9.5819,9.6157,6513900
2017-03-08,9.7102,9.7372,9.5414,9.5752,8919800
2017-03-09,9.6157,9.6765,9.5482,9.5954,9858800
2017-03-10,9.6832,9.6967,9.4536,9.5819,10345800
2017-03-13,9.5752,9.6157,9.5076,9.5954,6303600
2017-03-14,9.5482,9.5482,9.3794,9.5076,7603900
2017-03-15,9.5482,9.5887,9.3456,9.4064,13096300
2017-03-16,9.5014,9.515,9.386,9.4539,10064500
2017-03-17,9.4539,9.4879,9.2637,9.3249,26067700
2017-03-20,9.3113,9.3384,9.1687,9.1822,9308900
2017-03-21,9.1822,9.2637,8.605,8.6253,21459400
2017-03-22,8.5574,8.8223,8.4012,8.6797,18859500
2017-03-23,8.6525,8.9377,8.6457,8.8427,24181100
2017-03-24,8.9174,8.9445,8.8155,8.9038,13203800
2017-03-27,8.6253,8.8427,8.5302,8.8427,16548700
2017-03-28,8.7951,9.0328,8.7951,8.9785,10633200
2017-03-29,8.9785,9.0532,8.9174,8.9785,13044000
2017-03-30,8.9649,9.2502,8.9445,9.2298,9722500
2017-03-31,9.1754,9.2298,9.0736,9.0939,10820200
2017-04-03,9.1822,9.1822,8.9242,9.0668,15629900
2017-04-04,9.0124,9.0804,8.9649,9.0396,7910700
2017-04-05,9.1279,9.1822,8.8698,8.8766,8065300
2017-04-06,8.8562,9.0124,8.7815,8.9649,7684700
2017-04-07,8.897,8.9853,8.8291,8.9106,7942500
2017-04-10,8.8834,8.9785,8.7815,8.8291,6331100
2017-04-11,8.7679,8.8291,8.6525,8.8291,8248500
2017-04-12,8.7951,8.8291,8.6661,8.734,15162600
2017-04-13,8.6864,8.7612,8.5506,8.5506,9686200
2017-04-17,8.571,8.7815,8.5302,8.7679,9116300
2017-04-18,8.7,8.7747,8.5982,8.6932,14465200
2017-04-19,8.5235,8.6797,8.5031,8.5506,21970800
2017-04-20,8.5846,8.7,8.5031,8.6389,20334200
2017-04-21,8.6525,8.7,8.5302,8.5574,8948800
2017-04-24,8.7747,8.8562,8.734,8.8223,11841300
2017-04-25,8.9309,8.9513,8.8427,8.8562,9917700
2017-04-26,8.8291,8.9785,8.8223,8.9106,7703200
2017-04-27,8.9309,8.9309,8.7679,8.8223,6528800
2017-04-28,8.8359,8.897,8.7272,8.734,12050200
2017-05-01,8.7883,8.9038,8.7,8.8902,9195400
2017-05-02,8.8902,8.9106,8.734,8.7951,10160300
2017-05-03,8.7544,8.9513,8.7272,8.9242,12769600
2017-05-04,8.9853,9.0532,8.8427,8.863,10433500
2017-05-05,8.8834,8.8834,8.7951,8.8223,5661400
2017-05-08,8.8155,8.8834,8.7883,8.863,6625600
2017-05-09,8.8834,8.9445,8.7612,8.7815,7441700
2017-05-10,8.7612,8.7951,8.7068,8.7612,7839800
2017-05-11,8.7136,8.7815,8.6253,8.6865,8402800
2017-05-12,8.6253,8.6729,8.5438,8.6661,7009200
2017-05-15,8.7136,8.8223,8.6932,8.7951,7430600
2017-05-16,8.8087,8.863,8.7476,8.8562,7333300
2017-05-17,8.6185,8.6729,8.3061,8.3469,13118900
2017-05-18,8.3401,8.537,8.3333,8.4895,10626100
2017-05-19,8.5235,8.6457,8.4895,8.537,7563900
2017-05-22,8.571,8.605,8.4827,8.5846,5352400
2017-05-23,8.6049,8.7883,8.5574,8.7544,5565100
2017-05-24,8.7747,8.7747,8.6525,8.7068,4360100
2017-05-25,8.7136,8.7951,8.6593,8.7408,4816600
2017-05-26,8.7408,8.8019,8.6932,8.734,7298100
2017-05-30,8.734,8.734,8.5914,8.6525,8308600
2017-05-31,8.6525,8.7,8.3944,8.5167,15343500
2017-06-01,8.5574,8.6457,8.4148,8.6389,8907100
2017-06-02,8.5302,8.6117,8.4759,8.5438,5932300
2017-06-05,8.537,8.6457,8.5302,8.537,5619100
2017-06-06,8.4691,8.5031,8.3672,8.4555,9073800
2017-06-07,8.4963,8.6253,8.4623,8.6185,10827600
2017-06-08,8.5982,8.8834,8.5574,8.7747,8710100
2017-06-09,8.8359,9.0668,8.8019,9.026,9971100
2017-06-12,9.0192,9.1483,8.9649,9.0804,9137200
2017-06-13,9.1347,9.1687,9.0124,9.0668,9280700
2017-06-14,8.9785,9.1279,8.8834,9.1075,8674400
2017-06-15,9.0324,9.1895,9.0187,9.0802,5900300
2017-06-16,8.9299,9.0939,8.9299,9.0324,8585200
2017-06-19,9.0802,9.1485,9.046,9.1007,4827000
2017-06-20,9.0802,9.1075,9.0324,9.0392,5549100
2017-06-21,9.0665,9.0665,8.9162,8.9231,7800600
2017-06-22,8.9026,8.9299,8.7386,8.8411,7962600
2017-06-23,8.8752,8.9231,8.6634,8.6839,15526100
2017-06-26,8.6908,8.8684,8.6839,8.7386,10510400
2017-06-27,8.8137,8.9162,8.7591,8.8206,10695300
2017-06-28,8.8957,9.0324,8.8821,8.9777,8821000
2017-06-29,9.2852,9.4218,9.0392,9.1417,15035800
2017-06-30,9.2032,9.3057,9.1007,9.2373,17302100
2017-07-03,9.3193,9.4355,9.2715,9.3945,4809900
2017-07-05,9.4082,9.5106,9.3535,9.4287,11309100
2017-07-06,9.4286,9.497,9.3193,9.333,10690900
2017-07-07,9.3603,9.4082,9.2852,9.3535,10691100
2017-07-10,9.3057,9.4013,9.2783,9.3535,8233600
2017-07-11,9.3467,9.4423,9.3193,9.3672,9747200
2017-07-12,9.333,9.4013,9.2852,9.3808,11150100
2017-07-13,9.3945,9.4833,9.3535,9.4765,7108700
2017-07-14,9.3808,9.4833,9.2647,9.4218,8335000
2017-07-17,9.4218,9.4491,9.333,9.4355,5953900
2017-07-18,9.3603,9.4082,9.2988,9.3672,7679800
2017-07-19,9.4013,9.4491,9.3125,9.3603,6141200
2017-07-20,9.3603,9.4423,9.2647,9.2647,11204100
2017-07-21,9.2168,9.3398,8.8137,8.8616,22572700
2017-07-24,8.8752,9.0734,8.8752,9.0119,11629900
2017-07-25,9.1895,9.2305,9.0119,9.1554,19004100
2017-07-26,9.1759,9.1827,8.9709,9.005,9282800
2017-07-27,8.9982,9.0392,8.9231,8.964,13071000
2017-07-28,8.9436,9.0324,8.8957,8.9982,7231600
2017-07-31,9.0187,9.1349,9.0119,9.0529,7563400
2017-08-01,9.1144,9.1349,9.046,9.1007,8544600
2017-08-02,9.087,9.1417,9.0119,9.1007,7145300
2017-08-03,9.0665,9.1349,8.9572,8.9914,13027700
2017-08-04,9.087,9.2168,9.0392,9.087,9120900
2017-08-07,9.087,9.1212,9.046,9.0734,5434000
2017-08-08,9.046,9.2647,9.0392,9.1212,8658200
2017-08-09,9.046,9.0734,8.9572,8.9982,8095200
2017-08-10,8.9231,8.9572,8.7522,8.7522,8248800
2017-08-11,8.8752,8.8752,8.6566,8.6908,7865800
2017-08-14,8.7864,8.8821,8.7522,8.8547,5664700
2017-08-15,8.8616,8.9777,8.8616,8.8821,5180400
2017-08-16,8.8957,8.9367,8.8069,8.8821,8857900
2017-08-17,8.8411,8.8752,8.6293,8.6361,10454200
2017-08-18,8.6088,8.7317,8.5678,8.6498,7073300
2017-08-21,8.6293,8.6634,8.5678,8.6088,5118100
2017-08-22,8.6429,8.6976,8.6293,8.6771,4258200
2017-08-23,8.6019,8.7113,8.5814,8.6566,6006000
2017-08-24,8.6908,8.7181,8.6361,8.6771,4900200
2017-08-25,8.7044,8.7727,8.6839,8.7181,7727600
2017-08-28,8.7386,8.7727,8.6498,8.6908,5827200
2017-08-29,8.5746,8.6498,8.5199,8.6019,6435200
2017-08-30,8.5814,8.6839,8.5678,8.6566,4608000
2017-08-31,8.7181,8.7181,8.5951,8.6019,6058900
2017-09-01,8.6293,8.7591,8.6156,8.6771,6546400
2017-09-05,8.6293,8.6429,8.4585,8.4585,12242200
2017-09-06,8.5063,8.5746,8.479,8.5473,8174100
2017-09-07,8.5473,8.5541,8.2945,8.3218,11028200
2017-09-08,8.315,8.4858,8.3013,8.4175,8736500
2017-09-11,8.5268,8.6088,8.5199,8.5678,9042600
2017-09-12,8.5678,8.8001,8.5541,8.7386,9006500
2017-09-13,8.7317,8.8137,8.6839,8.8137,9568700
2017-09-14,8.8821,8.8889,8.7113,8.7454,12740000
2017-09-15,8.7317,8.7798,8.6423,8.7729,16064000
2017-09-18,8.8142,9.0479,8.7798,8.9998,10663700
2017-09-19,8.9929,9.1442,8.9585,9.1098,7600700
2017-09-20,9.0961,9.1992,8.986,9.1854,9330800
2017-09-21,9.1648,9.2611,9.1579,9.2129,5855800
2017-09-22,9.1648,9.2061,9.1236,9.2061,6183000
2017-09-25,9.1717,9.2817,9.1167,9.1992,5371600
2017-09-26,9.2473,9.2679,9.1786,9.2473,6287500
2017-09-27,9.3642,9.5636,9.3229,9.4536,11233000
2017-09-28,9.4742,9.5636,9.3986,9.5361,15272900
2017-09-29,9.543,9.6598,9.4811,9.598,8818500
2017-10-02,9.6323,9.653,9.5086,9.653,9670700
2017-10-03,9.6461,9.6461,9.4536,9.5567,9063000
2017-10-04,9.5567,9.5773,9.4536,9.4604,4382000
2017-10-05,9.4811,9.6255,9.4329,9.598,4556300
2017-10-06,9.6255,9.6942,9.5086,9.5567,6774700
2017-10-09,9.5773,9.6048,9.5086,9.5223,5385400
2017-10-10,9.5223,9.6392,9.5223,9.6117,6637400
2017-10-11,9.5567,9.5773,9.4673,9.5223,8996300
2017-10-12,9.5361,9.5705,9.4536,9.4811,5982700
2017-10-13,9.4467,9.5636,9.3504,9.4192,7185400
2017-10-16,9.4398,9.5705,9.4398,9.5705,8487300
2017-10-17,9.6186,9.6186,9.4742,9.4948,5243800
2017-10-18,9.5292,9.6117,9.4948,9.5911,6675800
2017-10-19,9.5017,9.653,9.4536,9.6117,7517400
2017-10-20,9.7423,9.7973,9.6942,9.7561,8030500
2017-10-23,9.763,9.7698,9.6667,9.7011,5684300
2017-10-24,9.7698,9.8111,9.6805,9.7698,9735800
2017-10-25,9.7423,9.7423,9.4605,9.543,12205400
2017-10-26,9.4879,9.6048,9.4329,9.5636,12749500
2017-10-27,9.5223,9.6392,9.5154,9.5842,8316100
2017-10-30,9.5361,9.5842,9.4536,9.4673,6403300
2017-10-31,9.4742,9.6117,9.4467,9.4879,7376200
2017-11-01,9.5842,9.6255,9.4673,9.4948,7642800
2017-11-02,9.488,9.5567,9.3986,9.5361,9130700
2017-11-03,9.4742,9.5155,9.4123,9.4742,7819900
2017-11-06,9.4742,9.5292,9.4467,9.4742,5686000
2017-11-07,9.4604,9.5017,9.2061,9.2129,9368300
2017-11-08,9.2198,9.2336,9.1029,9.1373,8270400
2017-11-09,9.0754,9.1923,8.9998,9.0823,10764900
2017-11-10,9.1098,9.1511,9.0342,9.0342,8767600
2017-11-13,8.9998,9.1992,8.9654,9.1854,8477100
2017-11-14,9.1304,9.3779,9.1236,9.3573,11459000
2017-11-15,9.2611,9.3779,9.1854,9.2886,8394000
2017-11-16,9.3367,9.3779,9.2129,9.2129,8297200
2017-11-17,9.1579,9.3161,9.1579,9.3092,6074700
2017-11-20,9.3229,9.3779,9.2954,9.3298,4565500
2017-11-21,9.3573,9.3848,9.2817,9.3161,5714000
2017-11-22,9.3436,9.3917,9.2817,9.3092,5128000
2017-11-24,9.3504,9.3779,9.2542,9.2542,2257300
2017-11-27,9.2473,9.3367,9.2336,9.2817,5934600
2017-11-28,9.3092,9.6186,9.2886,9.6048,11494500
2017-11-29,9.6942,10.0242,9.6873,9.9555,14562400
2017-11-30,10.0242,10.1549,9.8798,9.9005,13866100
2017-12-01,9.9348,9.9898,9.5705,9.928,14848800
2017-12-04,10.1136,10.2649,10.0655,10.1067,9744000
2017-12-05,10.1274,10.1686,9.9211,9.9417,8688400
2017-12-06,9.9623,10.1274,9.9142,9.983,11095700
2017-12-07,9.9692,10.1549,9.9211,10.1136,7786000
2017-12-08,10.1892,10.2099,10.0517,10.2099,6531500
2017-12-11,10.1961,10.2236,10.0242,10.0517,7732900
2017-12-12,10.1067,10.2649,10.0449,10.1824,9383200
2017-12-13,10.203,10.2511,10.0105,10.0242,7884300
2017-12-14,10.0861,10.0861,9.8661,9.928,10346400
2017-12-15,9.9488,10.2536,9.8933,10.1012,18245200
2017-12-18,10.2051,10.2744,10.0735,10.1705,10669700
2017-12-19,10.2397,10.2397,10.122,10.122,13655400
2017-12-20,10.2259,10.2744,10.0942,10.1427,9899700
2017-12-21,10.1843,10.3367,10.1497,10.2813,6335200
2017-12-22,10.309,10.309,10.1497,10.2397,4921800
2017-12-26,10.212,10.309,10.0942,10.1358,4436200
2017-12-27,10.1497,10.1912,10.0527,10.1081,5264400
2017-12-28,10.1358,10.212,10.0804,10.212,6961500
2017-12-29,10.2051,10.2259,10.0735,10.0873,7305700
2018-01-02,10.1912,10.2189,10.0388,10.115,13411000
2018-01-03,10.1427,10.2467,10.0873,10.1982,15133700
2018-01-04,10.309,10.3298,10.219,10.2882,15114300
2018-01-05,10.3298,10.3991,10.2952,10.3783,9988300
2018-01-08,10.3298,10.3991,10.2882,10.3575,11481400
2018-01-09,10.406,10.6623,10.3714,10.5515,6983800
2018-01-10,10.6554,10.8702,10.6,10.7247,8935400
2018-01-11,10.7732,10.8494,10.7178,10.8286,6850300
2018-01-12,10.8771,10.981,10.8425,10.981,7951800
2018-01-16,11.085,11.085,10.8009,10.8633,10524200
2018-01-17,10.9118,10.9464,10.7663,10.9187,9992400
2018-01-18,10.9533,10.988,10.7386,10.7455,9854500
2018-01-19,10.7663,10.9533,10.7524,10.9533,9001600
2018-01-22,10.9672,11.1196,10.9118,11.1057,10999700
