date,open,high,low,close,volume
2016-04-22,106.1458,106.7991,105.0123,106.7834,4180900
2016-04-25,106.4055,106.8385,105.6971,106.7755,2835400
2016-04-26,106.3347,107.2399,106.1694,106.5315,3507200
2016-04-27,106.5551,107.2714,106.075,106.8542,3488100
2016-04-28,106.1143,106.6102,104.2882,104.4771,5553600
2016-04-29,104.4613,105.7129,103.7057,105.3902,4610100
2016-05-02,105.768,107.2478,105.7208,107.0904,4284400
2016-05-03,106.6181,106.9251,105.5082,105.9018,3408700
2016-05-04,105.154,106.5787,104.7919,106.3898,3192100
2016-05-05,106.1615,106.5551,105.2799,106.0041,3474900
2016-05-06,105.8546,106.9015,105.7207,106.8149,3356800
2016-05-09,106.7283,107.421,106.4528,107.2399,3552300
2016-05-10,107.3029,108.4836,107.2872,108.2396,3662800
2016-05-11,107.6807,107.8775,105.5082,105.7129,6058400
2016-05-12,106.2639,106.2639,104.7683,105.6263,5355600
2016-05-13,105.3272,106.5236,104.7132,104.7919,5295800
2016-05-16,105.3508,107.4839,104.7526,106.5315,8394800
2016-05-17,104.8077,105.8624,103.194,103.9025,15989600
2016-05-18,103.1389,104.5085,102.3439,103.7214,8258900
2016-05-19,103.4695,104.0048,102.9421,103.6899,4577200
2016-05-20,103.8159,104.7368,103.7057,103.7844,5089800
2016-05-23,103.7765,104.2803,103.3514,103.4459,3854500
2016-05-24,104.0441,105.3744,103.9418,104.973,5181500
2016-05-25,105.0517,105.8861,104.729,104.847,5017500
2016-05-26,104.7919,105.7601,104.5794,105.5161,3996800
2016-05-27,105.5318,106.1851,104.9887,105.4295,4025300
2016-05-31,105.6827,105.8646,104.2189,104.5354,6366900
2016-06-01,104.5354,104.5354,103.768,104.306,4744300
2016-06-02,104.3218,104.9943,103.9104,104.7649,3858500
2016-06-03,104.8598,105.0181,103.586,104.2348,4155900
2016-06-06,103.5069,103.5464,101.6475,102.2172,8051700
2016-06-07,102.3675,103.491,102.32,102.7948,4434000
2016-06-08,102.866,103.0875,102.2646,102.5336,3742400
2016-06-09,102.2805,102.7315,102.0985,102.3042,3450500
2016-06-10,101.6317,102.2488,101.4418,101.9323,3926000
2016-06-13,102.0194,102.4229,101.1095,101.1411,4830900
2016-06-14,100.7297,100.8325,98.6725,99.0919,7303500
2016-06-15,99.4875,101.0778,99.2897,100.1126,5140000
2016-06-16,99.7328,100.9117,99.4242,100.7692,4431800
2016-06-17,100.8958,101.1015,100.2708,100.5952,7541900
2016-06-20,101.3785,101.9482,100.8167,100.975,3880300
2016-06-21,101.244,101.5209,100.7139,101.0699,3600900
2016-06-22,101.0303,102.0431,100.8009,100.9591,3723700
2016-06-23,102.051,102.1459,100.8404,101.5051,4784500
2016-06-24,99.7723,101.1174,99.2976,100.0097,8979800
2016-06-27,99.171,99.4954,97.8101,98.6409,5656900
2016-06-28,99.6061,100.9037,99.3767,100.9037,5385000
2016-06-29,101.1965,101.6475,100.4053,100.7772,5782100
2016-06-30,100.698,101.1648,99.7723,101.0303,6642000
2016-07-01,101.505,103.04,101.3705,102.5574,5645200
2016-07-05,102.5416,103.2378,101.6712,102.3438,4096600
2016-07-06,102.2251,104.1319,102.0906,104.1003,4933200
2016-07-07,103.8471,104.5829,103.3011,103.7759,3973600
2016-07-08,104.7016,106.3077,104.6383,106.2919,4806200
2016-07-11,106.6796,107.5104,106.379,106.9328,4577000
2016-07-12,107.004,107.5974,106.2603,106.6875,3615800
2016-07-13,106.6875,106.9724,105.3108,105.6748,4235500
2016-07-14,106.3394,106.648,105.8884,106.4502,3122300
2016-07-15,106.9091,107.2809,106.5372,106.6401,5323000
2016-07-18,107.1781,107.9851,106.6638,107.8743,3730900
2016-07-19,107.6607,108.4361,107.2572,108.3807,3831500
2016-07-20,108.7131,108.7526,108.2146,108.721,3092000
2016-07-21,108.2066,108.5073,107.186,107.6607,4938100
2016-07-22,107.9298,108.1117,107.5737,108.0168,2627200
2016-07-25,108.0405,108.2779,107.724,108.0009,3352600
2016-07-26,108.0009,108.8001,107.6528,108.1987,2575600
2016-07-27,108.4045,108.9425,107.5737,107.8506,3030800
2016-07-28,107.7557,109.2827,107.6845,109.1561,3230000
2016-07-29,108.7605,109.7575,108.7447,109.3777,3662600
2016-08-01,109.2353,109.9315,109.0691,109.797,3157800
2016-08-02,109.9078,109.979,108.2542,108.5707,3898100
2016-08-03,108.4994,108.5706,107.368,108.444,3642600
2016-08-04,107.4392,108.5548,107.1781,107.6449,3802900
2016-08-05,108.3966,108.9821,108.0801,108.3254,3022100
2016-08-08,108.3254,108.7131,107.732,107.7715,3182800
2016-08-09,107.819,108.4677,107.0831,107.6924,3180400
2016-08-10,107.8427,108.3095,106.8616,107.2889,3438000
2016-08-11,107.8506,108.7922,106.9487,108.4282,4183300
2016-08-12,107.6054,108.7051,107.3126,108.0564,4090000
2016-08-15,108.4836,109.1641,108.3412,108.444,6327400
2016-08-16,108.9108,109.7021,107.3363,107.7873,7286100
2016-08-17,107.2097,107.9772,106.6163,107.724,5222200
2016-08-18,107.6291,107.724,106.3711,106.6559,4430800
2016-08-19,106.3552,107.4155,106.2761,107.1781,3959000
2016-08-22,107.2889,107.4867,106.8299,107.0831,2752500
2016-08-23,107.55,108.0405,107.55,107.7794,2961100
2016-08-24,107.4234,107.8031,106.6638,106.8616,4113000
2016-08-25,106.6005,107.7319,106.3156,107.1543,3168900
2016-08-26,107.1544,107.7478,105.9596,106.3078,4193400
