date,open,high,low,close,volume
2016-04-18,36.9592,37.2983,36.9027,37.2095,1565100
2016-04-19,37.4517,37.5567,37.1207,37.2015,1956000
2016-04-20,37.2902,37.6939,37.1288,37.589,2191700
2016-04-21,37.1692,37.2095,36.1358,36.1842,3818300
2016-04-22,36.2488,36.5637,36.2165,36.4022,2779100
2016-04-25,36.2892,36.3376,35.7725,36.1681,2293700
2016-04-26,36.3134,36.4587,36.1842,36.3699,1623400
2016-04-27,36.4184,36.5475,36.273,36.3215,2127200
2016-04-28,36.0308,36.0631,35.28,35.3285,4829600
2016-04-29,34.9167,35.8936,34.6907,35.829,4388100
2016-05-02,36.0631,36.4022,35.8936,36.2972,2828600
2016-05-03,35.8936,36.1842,35.6998,35.9824,2201200
2016-05-04,35.6917,35.9824,35.4576,35.5949,1656100
2016-05-05,35.498,35.9662,35.4899,35.6675,1861900
2016-05-06,35.4173,35.5787,35.0862,35.4173,2245900
2016-05-09,35.4334,35.7564,35.2235,35.6595,1964200
2016-05-10,35.8774,36.2407,35.7806,36.1196,1838000
2016-05-11,36.0631,36.2246,35.7321,35.7321,1878700
2016-05-12,35.9582,36.0954,35.7321,35.9259,2488500
2016-05-13,35.9824,36.1681,35.7321,35.8774,2916600
2016-05-16,35.829,36.047,35.716,35.7644,1970900
2016-05-17,35.4657,35.8209,35.167,35.3123,2909100
2016-05-18,35.2477,35.9663,35.2477,35.8452,3113200
2016-05-19,35.6272,35.6998,35.2962,35.5626,2201400
2016-05-20,35.8613,36.4749,35.7967,36.3295,2734500
2016-05-23,36.3215,36.4022,36.047,36.0712,1748700
2016-05-24,36.3053,36.8624,36.2084,36.709,1889200
2016-05-25,36.822,37.048,36.4829,36.6928,2055200
2016-05-26,36.6848,36.6848,36.2327,36.3538,1483300
2016-05-27,36.4268,36.7431,36.1672,36.662,1551200
2016-05-31,36.8323,36.9621,36.3943,36.6376,3512600
2016-06-01,36.3781,36.6863,36.151,36.6052,1577500
2016-06-02,36.5079,36.6052,36.3457,36.4754,1945700
2016-06-03,36.0131,36.1591,35.6968,35.9482,1684400
2016-06-06,35.9725,36.297,35.9644,36.0455,1603700
2016-06-07,36.151,36.4268,36.0536,36.1348,1786400
2016-06-08,36.1267,36.3538,36.0374,36.1104,1328300
2016-06-09,36.0293,36.151,35.8833,36.078,1867300
2016-06-10,35.6643,35.8184,35.3642,35.5021,1932700
2016-06-13,35.4372,36.0293,35.3967,35.7454,2495800
2016-06-14,35.6075,35.9401,35.494,35.6156,3080700
2016-06-15,35.6805,35.7941,35.129,35.1452,2417700
2016-06-16,34.9019,35.6238,34.7964,35.5427,2463700
2016-06-17,35.7049,35.7698,35.3967,35.6887,3944700
2016-06-20,36.1915,36.443,35.7373,35.7698,1861000
2016-06-21,35.9644,36.0942,35.7049,35.8671,1419700
2016-06-22,35.9482,36.1915,35.7049,35.7373,1710800
2016-06-23,36.3375,36.4916,36.2159,36.4673,1583000
2016-06-24,34.5855,35.567,34.3584,34.3909,4610300
2016-06-27,33.8474,33.8556,33.1256,33.2391,2992900
2016-06-28,33.8231,34.1962,33.5554,34.1557,2397700
2016-06-29,34.5369,35.0235,34.253,35.0073,2416800
2016-06-30,35.129,36.0131,34.8775,35.9969,3910000
2016-07-01,35.8184,36.1753,35.7616,35.8995,2455900
2016-07-05,35.5346,35.5589,34.7802,34.9343,2285000
2016-07-06,34.7072,34.8532,34.326,34.6586,3817100
2016-07-07,34.6342,35.0803,34.4477,34.6504,2208500
2016-07-08,34.9911,35.4453,34.9911,35.348,3485200
2016-07-11,35.4616,35.6806,35.3886,35.5102,2051000
2016-07-12,35.859,35.9969,35.5264,35.5589,2424900
2016-07-13,35.5345,35.6238,35.0965,35.2263,1889400
2016-07-14,35.8184,35.9563,35.4534,35.5264,2542900
2016-07-15,35.6562,35.6805,35.3642,35.4859,1958400
2016-07-18,35.5508,36.005,35.4129,35.4778,3444700
2016-07-19,35.2425,35.6157,35.1695,35.494,1812200
2016-07-20,35.567,35.6156,35.348,35.4697,2304300
2016-07-21,35.494,35.5102,35.129,35.2588,1828800
2016-07-22,35.3318,36.3213,35.3318,36.3132,3297000
2016-07-25,36.2645,36.3456,35.8671,35.9969,1496300
2016-07-26,35.9563,36.224,35.786,35.8509,1668200
2016-07-27,35.7617,35.9239,35.5264,35.5345,1811800
2016-07-28,35.4129,35.8265,35.4129,35.6319,2274300
2016-07-29,33.1012,33.1093,31.5682,32.3226,16921700
2016-08-01,32.3469,32.5983,32.0306,32.4523,7797800
2016-08-02,32.3631,32.5659,32.1766,32.5416,7446300
2016-08-03,32.6713,32.8903,32.4442,32.8903,5001700
2016-08-04,32.8822,33.0201,32.5253,32.6389,4542200
2016-08-05,32.8741,33.1175,32.7768,32.9715,3008900
2016-08-08,33.085,33.1986,32.8417,32.9552,2288200
2016-08-09,32.8984,33.0444,32.6957,32.7687,2267100
2016-08-10,32.5416,32.7849,32.3956,32.6632,3086400
2016-08-11,32.6876,32.8984,32.6146,32.647,1593600
2016-08-12,32.4604,32.6227,32.2333,32.5172,2735600
2016-08-15,32.6714,32.8011,32.5578,32.6146,1430400
2016-08-16,32.4442,32.7687,32.4199,32.4361,2124900
2016-08-17,32.4361,32.5902,32.3144,32.4442,1907800
2016-08-18,32.3631,32.6389,32.3631,32.6227,2624300
2016-08-19,32.4686,32.7119,32.2901,32.647,2572100
2016-08-22,32.647,32.8011,32.4767,32.7525,2509300
2016-08-23,32.793,32.8903,32.5253,32.5416,2461800
2016-08-24,32.6227,32.6227,32.3793,32.4767,2246200
2016-08-25,32.4686,32.6713,32.3875,32.5091,2477800
2016-08-26,32.5334,32.7443,32.1847,32.3388,2941800
2016-08-29,32.4118,32.7768,32.4118,32.72,3046400
2016-08-30,32.72,33.413,32.6874,33.3723,4057300
2016-08-31,33.3886,33.5272,33.144,33.4864,3248200
2016-09-01,33.5843,33.5924,32.8668,33.1766,3428300
2016-09-02,33.2744,33.462,33.1766,33.4212,1910600
2016-09-06,33.3397,33.3397,33.0706,33.2174,2533500
2016-09-07,33.0625,33.8452,32.9646,33.837,3019500
2016-09-08,33.8289,34.0001,33.3886,33.4131,3970200
2016-09-09,33.2581,33.7881,33.0298,33.4701,4016800
2016-09-12,33.2663,34.3344,32.9401,34.2529,5811700
2016-09-13,33.8778,34.2529,33.7555,34.1306,4636200
2016-09-14,34.0898,34.2529,33.9267,34.0816,3815900
2016-09-15,33.9267,34.473,33.886,34.367,2841400
2016-09-16,34.2936,34.2936,33.9267,34.0816,4650000
2016-09-19,34.2529,34.4485,34.0735,34.2773,3699400
2016-09-20,34.4485,34.4485,34.1795,34.2202,2893700
2016-09-21,34.4486,34.9133,34.3263,34.6524,7195600
2016-09-22,34.7176,35.2231,34.5709,35.1661,4350800
2016-09-23,34.8481,35.1334,34.8481,34.8725,2434500
2016-09-26,34.6524,34.7502,34.4649,34.5546,1881900
2016-09-27,34.4893,34.9052,34.4078,34.8236,1892500
2016-09-28,34.9378,35.0193,34.6198,34.9948,1640100
2016-09-29,34.8888,35.0845,34.3507,34.5301,1893200
2016-09-30,34.7095,35.0111,34.579,34.9133,3564800
2016-10-03,34.8562,34.9459,34.5627,34.6524,1839700
2016-10-04,34.8073,35.7857,34.6524,35.696,5011300
2016-10-05,35.7531,36.2097,35.7286,35.9814,3401300
2016-10-06,36.1282,36.3728,35.5982,35.6227,3091300
2016-10-07,35.7042,35.8265,35.4351,35.5574,2203800
2016-10-10,35.7123,35.8917,35.5493,35.6145,1835300
2016-10-11,35.5167,35.7286,35.0193,35.215,2644800
2016-10-12,35.2231,35.5411,35.215,35.3862,1807700
2016-10-13,35.0601,35.1824,34.6769,34.9459,2073200
2016-10-14,35.2231,35.7286,35.2231,35.3128,2129800
2016-10-17,35.4025,35.5085,35.1579,35.1742,1512900
2016-10-18,35.484,35.59,35.1824,35.2639,1286300
2016-10-19,35.2965,35.4677,35.2313,35.2802,2340400
2016-10-20,35.1334,35.215,34.8725,34.9704,2891100
