date,open,high,low,close,volume
2016-04-18,117.4615,119.0745,117.4615,119.0745,255800
2016-04-19,119.3227,120.1747,118.6692,119.5046,394100
2016-04-20,119.4385,119.4633,118.2639,119.1655,219800
2016-04-21,119.0,119.6204,118.1149,118.9091,213700
2016-04-22,118.603,119.6205,118.115,119.2813,270900
2016-04-25,118.6857,119.5543,117.6021,118.297,167800
2016-04-26,118.7436,119.819,118.0901,119.4302,256800
2016-04-27,119.5791,121.5148,118.6775,121.1177,262300
2016-04-28,120.7703,121.1012,119.3558,120.0754,283200
2016-04-29,119.6618,120.3318,118.7767,119.7528,321500
2016-05-02,119.8852,120.9026,119.546,120.7455,238700
2016-05-03,119.7777,121.1591,119.4385,120.7289,252200
2016-05-04,119.8355,120.6131,118.5699,120.0506,366900
2016-05-05,120.4394,126.8997,120.1085,125.0137,461800
2016-05-06,125.7168,129.7205,125.4439,128.3804,724500
2016-05-09,127.818,128.3722,126.2132,127.6856,320700
2016-05-10,128.4135,129.828,127.7022,129.1828,601800
2016-05-11,129.4393,130.192,126.5855,127.1149,300200
2016-05-12,127.5284,128.0578,126.0064,127.0734,307100
2016-05-13,126.9328,127.5284,124.7904,125.9319,317000
2016-05-16,126.7178,128.5211,125.9733,127.6112,289900
2016-05-17,127.4374,128.2067,126.4448,127.3216,257700
2016-05-18,126.9577,128.8519,126.3538,127.6608,308900
2016-05-19,126.9742,127.8593,126.1801,127.4209,156500
2016-05-20,127.8179,128.6203,126.9411,127.8179,271500
2016-05-23,128.1571,128.1571,126.8915,127.4871,271500
2016-05-24,123.6488,125.783,122.8878,125.3694,454000
2016-05-25,125.7761,126.7223,125.5769,126.0002,238500
2016-05-26,126.3654,128.0418,126.3654,127.992,258400
2016-05-27,127.743,128.7805,127.3613,128.3655,318300
2016-05-31,128.739,129.046,126.2243,127.3198,247200
2016-06-01,126.8301,130.1084,126.8301,129.9839,320300
2016-06-02,129.8843,130.2743,129.3863,130.0835,374300
2016-06-03,130.0088,131.1292,129.8345,130.7889,335200
2016-06-06,131.0047,131.9176,130.5067,131.4777,314600
2016-06-07,131.7765,132.3741,130.7142,131.2288,337900
2016-06-08,131.2122,135.503,131.2122,135.0963,531100
2016-06-09,134.8805,136.142,134.2913,135.9013,375100
