date,open,high,low,close,volume
2016-04-21,43.0957,44.0351,43.0957,43.2914,4251901
2016-04-22,43.1544,43.5262,42.078,42.3715,4794006
2016-04-25,42.4498,43.0956,42.4498,42.5477,3844152
2016-04-26,42.5477,42.7434,41.53,42.352,5203606
2016-04-27,42.0388,44.0351,41.941,43.6045,4117251
2016-04-28,43.4283,44.3678,43.1739,43.5262,4018860
2016-04-29,43.4871,43.5849,42.8216,43.1544,2915497
2016-05-02,43.4283,43.5849,42.9391,43.5458,3118372
2016-05-03,43.0956,43.7023,43.0174,43.4479,3166959
2016-05-04,43.0956,43.4675,42.8412,43.1348,4359600
2016-05-05,43.2326,43.5849,42.9978,43.1348,1761940
2016-05-06,42.8021,43.3109,42.5672,43.1152,2451608
2016-05-09,43.0761,43.3696,42.7434,43.3305,2113694
2016-05-10,43.6436,44.8571,43.1544,44.7005,4084893
2016-05-11,44.4069,44.6809,43.4479,43.6045,4019834
2016-05-12,43.6828,43.8002,42.4302,42.9195,3265546
2016-05-13,42.7434,43.3109,41.9997,42.0779,2875585
2016-05-16,42.1758,42.7629,42.0192,42.5868,2151072
2016-05-17,42.4302,42.9782,42.1171,42.5672,3917544
2016-05-18,42.2727,42.8028,40.9965,41.3892,5630994
2016-05-19,40.1129,40.5645,39.7595,40.486,8099805
2016-05-20,40.5253,40.8394,40.2504,40.3289,3129825
2016-05-23,40.2504,40.8001,40.1522,40.486,3892982
2016-05-24,40.7412,41.1928,40.2111,40.9179,2877047
2016-05-25,40.9376,41.3892,40.2307,41.1536,4668129
2016-05-26,41.2125,41.2321,40.1522,40.2504,2600828
2016-05-27,40.3093,40.9179,40.2504,40.7412,2296248
2016-05-31,40.8198,41.0357,40.3682,40.8001,3399074
2016-06-01,40.8001,41.1732,40.7216,41.1143,1708382
2016-06-02,41.1536,42.6654,40.9572,42.4298,4807749
2016-06-03,42.2531,42.7047,41.7229,42.6458,6970760
2016-06-06,42.7047,43.3526,42.6458,43.2152,5536501
