date,open,high,low,close,volume
2016-04-21,7.6257,7.8016,7.6169,7.6784,10272415
2016-04-22,7.6696,7.784,7.6213,7.6916,13692194
2016-04-25,7.6345,7.6565,7.397,7.5685,10051667
2016-04-26,7.5861,7.6806,7.5773,7.6345,10813874
2016-04-27,7.6081,7.7048,7.5861,7.6125,10948938
2016-04-28,7.5509,7.6455,7.441,7.4893,8237340
2016-04-29,7.4278,7.4366,7.2607,7.3266,12195481
2016-05-02,7.3266,7.3662,7.1595,7.2123,14557979
2016-05-03,7.1375,7.1463,6.9396,7.0056,19039170
2016-05-04,6.9484,7.0364,6.8956,7.0056,11420887
2016-05-05,7.0144,7.0232,6.8781,6.9132,6054985
2016-05-06,6.8737,6.9748,6.8429,6.9396,8574569
2016-05-09,6.9088,7.0188,6.8912,6.9748,8505230
2016-05-10,6.988,6.9924,6.8649,6.988,8192777
2016-05-11,6.988,7.1925,6.9836,7.0452,11132349
2016-05-12,7.076,7.0979,6.9722,6.9924,9321807
2016-05-13,6.9924,7.0869,6.9,6.9352,11680863
2016-05-16,6.9308,7.0782,6.9088,7.0188,15174282
2016-05-17,6.9836,7.1243,6.9,6.9572,25107403
2016-05-18,6.944,7.0056,6.8231,6.8912,11315244
2016-05-19,6.8209,6.944,6.7637,6.9396,11501753
2016-05-20,6.9308,7.032,6.8869,6.9792,15455593
2016-05-23,6.9836,7.1551,6.9792,7.0672,14882648
2016-05-24,7.0804,7.1859,7.032,7.1463,21613812
2016-05-25,8.061,8.1358,7.5289,7.6301,75418560
2016-05-26,7.4761,7.7796,7.4058,7.6477,37393042
2016-05-27,7.6784,8.0654,7.6784,8.0303,39501412
2016-05-31,7.9159,8.1226,7.8104,8.1226,42932892
2016-06-01,8.0522,8.083,7.9775,8.0435,21150982
2016-06-02,7.9775,8.149,7.9599,8.1358,23508489
2016-06-03,8.0918,8.1358,8.0391,8.0698,15976234
2016-06-06,8.0632,8.3676,8.0632,8.3367,22094191
