date,open,high,low,close,volume
2016-04-22,29.2112,29.2573,28.8192,28.9499,3745200
2016-04-25,29.0267,29.3496,28.8807,29.142,2832300
2016-04-26,29.3188,29.6033,29.242,29.3957,3437300
2016-04-27,29.4495,30.2182,29.4111,29.6494,3270900
2016-04-28,29.5495,29.9953,29.5341,29.7724,2478100
2016-04-29,29.6494,29.8492,29.365,29.634,2854600
2016-05-02,29.6417,30.1106,29.634,29.757,2344000
2016-05-03,29.7109,29.8492,29.4803,29.6186,2577400
2016-05-04,29.5418,29.9799,29.5418,29.7724,2971300
2016-05-05,29.7801,30.0876,29.2727,29.3573,3464200
2016-05-06,29.365,29.7262,29.1036,29.634,2765600
2016-05-09,29.8339,30.764,29.757,30.5488,4691600
2016-05-10,30.641,30.8255,30.4412,30.7486,3115200
2016-05-11,30.6718,31.01,30.6641,30.7563,3387600
2016-05-12,30.8178,31.1253,30.6487,30.9101,2594200
2016-05-13,30.8255,31.1561,30.5641,30.6718,2120100
2016-05-16,30.641,31.0254,30.5949,30.9331,2916800
2016-05-17,30.7486,30.9178,29.6417,29.8262,5410700
2016-05-18,29.7032,29.7032,27.0127,27.2741,12774800
2016-05-19,27.2664,27.4201,26.7206,27.1895,8261800
2016-05-20,27.2587,27.3509,26.6975,26.7974,7726200
2016-05-23,26.8282,27.0357,26.7513,26.8051,3291400
2016-05-24,26.9281,27.0511,26.5976,26.7513,3385100
2016-05-25,26.7436,26.8128,26.3516,26.6053,4454200
2016-05-26,26.6514,26.9666,26.4515,26.8282,3754700
2016-05-27,26.8666,26.9051,26.6129,26.7359,2106000
2016-05-31,26.7744,27.005,26.3746,26.4515,4306600
2016-06-01,26.4746,26.7283,26.2824,26.4669,2934200
2016-06-02,26.4515,26.5822,26.2901,26.3516,2493400
2016-06-03,26.49,26.7821,26.4131,26.6514,2786800
2016-06-06,26.5745,26.6514,26.0748,26.144,3789600
2016-06-07,26.144,26.613,26.0825,26.4438,3424400
2016-06-08,26.3593,26.5745,26.2209,26.5515,3363000
2016-06-09,26.5438,26.882,26.4669,26.8282,2656100
2016-06-10,26.6591,26.7974,26.5361,26.7206,2653900
2016-06-13,26.5976,26.7898,26.2901,26.4746,3114900
2016-06-14,26.3516,26.4746,26.2132,26.4054,3115800
2016-06-15,26.49,26.5438,26.2055,26.2747,2276500
2016-06-16,26.2747,26.8974,26.267,26.8743,2824300
2016-06-17,26.8051,26.8589,26.4823,26.8128,2907400
2016-06-20,26.9358,27.0896,26.613,26.6283,2366000
2016-06-21,26.6591,26.9819,26.5668,26.8436,3015600
2016-06-22,26.8436,26.9358,26.5745,26.5745,1624100
2016-06-23,26.8359,26.8743,26.4669,26.5899,2048200
2016-06-24,26.0057,27.3663,25.9057,27.1664,5930700
2016-06-27,26.9742,27.6892,26.9358,27.5277,5820300
2016-06-28,27.5585,27.8813,26.6514,26.8897,4093800
2016-06-29,27.0972,27.3048,26.8282,27.1511,2552000
2016-06-30,27.1587,28.1658,27.1357,28.135,4686000
2016-07-01,28.2426,28.5194,27.7814,27.889,2908400
2016-07-05,27.7968,28.381,27.7353,28.2349,3785200
2016-07-06,28.1427,28.7346,28.0812,28.1581,3829500
2016-07-07,28.2503,28.3041,27.9582,28.012,2377900
2016-07-08,28.0658,28.2196,27.8967,28.1427,3079600
2016-07-11,28.1504,28.1965,27.9275,27.9966,2159500
2016-07-12,27.889,28.0197,27.8121,27.8813,2148600
2016-07-13,27.889,28.1427,27.7814,28.1043,2059100
2016-07-14,28.0387,28.3551,28.0078,28.3319,2586900
2016-07-15,28.3242,28.3782,27.9692,27.9924,2556000
2016-07-18,28.0464,28.3088,27.9924,28.193,1896200
2016-07-19,28.2162,28.4323,28.1544,28.4168,2060500
2016-07-20,28.5172,28.5403,28.3011,28.4323,1430100
2016-07-21,28.3782,28.44,28.1776,28.44,1560500
2016-07-22,28.4091,28.5866,28.3628,28.4631,1411400
2016-07-25,28.4323,28.6098,28.247,28.4091,1354700
2016-07-26,28.4631,28.6329,28.2085,28.2085,1451700
2016-07-27,28.2856,28.3628,27.9306,27.946,2737500
2016-07-28,28.0232,28.3011,27.7377,28.2547,2809800
2016-07-29,28.3242,28.903,28.3242,28.8259,5806200
2016-08-01,28.8259,28.9957,28.5017,28.9802,2119200
2016-08-02,28.7873,28.9725,28.4246,28.4863,2080900
2016-08-03,28.5249,28.5249,27.784,27.8843,2502100
2016-08-04,28.0232,28.2085,27.838,28.0078,1734900
2016-08-05,28.0541,28.193,27.8766,28.1004,1743500
2016-08-08,28.1467,28.1544,27.8303,28.1544,1441900
2016-08-09,28.0001,28.2933,27.8997,28.1621,1447500
2016-08-10,28.1699,28.4091,28.1081,28.3782,1016800
2016-08-11,28.4246,28.5017,28.0001,28.1158,1713000
2016-08-12,28.2162,28.6329,28.193,28.6021,1720300
2016-08-15,28.4554,28.4786,28.1621,28.3319,2214900
2016-08-16,28.2702,28.3242,27.7917,27.9306,3694300
2016-08-17,27.8843,28.193,27.6836,28.0541,3689400
2016-08-18,28.5789,29.2812,28.4554,28.5866,5737600
2016-08-19,28.7487,29.8678,28.6484,29.8369,5060200
2016-08-22,30.2305,30.8711,30.0453,30.4929,3918700
2016-08-23,30.5469,30.601,30.0762,30.161,1911700
2016-08-24,30.2691,30.3,29.7674,29.8369,2344600
2016-08-25,29.8832,29.9141,29.6054,29.6594,3040100
2016-08-26,29.6131,29.6594,29.1655,29.2658,2384000
2016-08-29,29.3275,29.6671,29.204,29.6362,2529900
2016-08-30,29.5513,29.6054,29.1423,29.2349,2117500
2016-08-31,29.3815,29.6054,29.2272,29.5282,2505400
2016-09-01,29.4047,29.5822,29.2118,29.4896,2024300
2016-09-02,29.5128,29.7597,29.4819,29.6825,1694600
2016-09-06,29.6825,29.8369,29.5745,29.8292,1351200
2016-09-07,29.7752,29.8215,29.2118,29.3738,1956300
2016-09-08,29.2967,29.3507,28.9416,28.9494,2269200
2016-09-09,28.8182,28.8182,27.784,27.7917,3090400
2016-09-12,27.784,28.2162,27.784,28.1621,2896500
2016-09-13,28.0618,28.3165,27.9152,28.2007,3248500
2016-09-14,28.3088,28.3705,27.9923,28.0387,1385600
2016-09-15,27.9692,28.3242,27.9229,28.3088,1592200
2016-09-16,28.3088,28.3474,27.8843,28.0695,2560600
2016-09-19,28.3242,28.3242,28.0387,28.2316,2190700
2016-09-20,28.3551,28.5095,28.085,28.085,1381200
2016-09-21,28.7333,28.9108,28.0541,28.8413,2757400
2016-09-22,28.9185,29.204,28.7796,29.1346,2393200
2016-09-23,29.0111,29.3198,29.0111,29.2272,2226100
2016-09-26,29.1346,29.1577,28.7796,28.8104,2113700
2016-09-27,29.0651,29.5899,29.042,29.5205,2546700
2016-09-28,29.5591,29.6903,29.4201,29.6131,2104000
2016-09-29,29.4587,29.5976,29.2195,29.2349,2036000
2016-09-30,29.3121,29.5205,29.1963,29.2735,2599200
2016-10-03,29.1963,29.6362,29.0574,29.3584,2445800
2016-10-04,29.2735,29.3507,28.5712,28.6329,2440800
2016-10-05,28.6021,28.6715,28.3628,28.4863,3167800
2016-10-06,28.44,29.0574,28.3397,28.849,3509100
2016-10-07,28.849,28.9416,28.4245,28.903,2720400
2016-10-10,29.1346,29.3816,28.9339,29.1809,2509100
2016-10-11,29.1346,29.2812,29.0034,29.1732,1843000
2016-10-12,29.2041,29.5128,29.1192,29.4124,1564100
2016-10-13,29.2581,29.4896,29.0574,29.3661,1922000
2016-10-14,29.3661,29.451,29.2272,29.2658,1150600
2016-10-17,29.4819,29.5128,29.2658,29.3738,1272500
2016-10-18,29.5205,29.7289,29.3352,29.5359,1360700
2016-10-19,29.5745,29.5745,29.2041,29.3661,2043700
2016-10-20,29.4165,29.4785,29.0833,29.246,1847900
2016-10-21,29.1841,29.2693,28.9981,29.215,1409000
2016-10-24,29.277,29.5017,29.1686,29.432,1386800
2016-10-25,29.4087,29.4939,29.0833,29.4629,2489100
2016-10-26,29.5017,29.7883,29.4397,29.4862,1707000
2016-10-27,29.463,29.5482,29.1686,29.3777,2157700
2016-10-28,29.3545,29.7574,29.308,29.6102,1660400
2016-10-31,29.6102,29.9278,29.5017,29.8271,2666000
2016-11-01,29.7961,30.0905,29.4707,29.5327,2380900
2016-11-02,29.5559,29.7341,29.2305,29.2693,2304400
2016-11-03,29.2073,29.2305,28.1614,28.2234,4060400
2016-11-04,28.2776,28.5798,28.1924,28.2234,3049700
2016-11-07,28.479,28.8044,28.2621,28.7347,3825700
2016-11-08,28.7734,29.7109,28.7734,28.9904,3289300
2016-11-09,28.3551,28.727,27.774,28.572,3577700
2016-11-10,28.4326,28.4791,26.7824,26.9451,5857800
2016-11-11,26.8599,27.1465,26.7282,26.9451,3578400
2016-11-14,26.9451,27.4254,26.8289,27.1698,3813400
2016-11-15,27.3402,27.7585,27.3092,27.6501,2485900
2016-11-16,27.6733,27.7663,27.5106,27.6966,1975000
2016-11-17,27.6578,27.898,27.3944,27.8438,2138300
2016-11-18,27.867,27.8903,27.4409,27.5649,2633000
2016-11-21,27.5649,27.5649,26.1549,27.069,5697200
