date,open,high,low,close,volume
2016-04-21,10.3992,10.6752,10.3992,10.4934,13442300
2016-04-22,10.5405,10.6415,10.0963,10.3251,19606300
2016-04-25,10.2646,10.3655,10.2107,10.278,10830100
2016-04-26,10.3184,10.5271,10.2848,10.4396,10353900
2016-04-27,10.4126,10.7559,10.379,10.729,11896300
2016-04-28,10.6146,10.8703,10.6011,10.6482,15191100
2016-04-29,10.3453,10.8367,10.1905,10.6482,11999000
2016-05-02,10.7021,10.8636,10.6482,10.7761,8380400
2016-05-03,10.655,10.8569,10.6078,10.8434,9678300
2016-05-04,10.729,10.9511,10.7223,10.8771,8367500
2016-05-05,10.8771,11.0252,10.7963,10.8905,6031800
2016-05-06,10.8636,11.0521,10.8367,11.0117,7615500
2016-05-09,11.0319,11.1194,10.9511,11.0454,5451600
2016-05-10,11.1261,11.254,11.1059,11.2204,5775800
2016-05-11,11.2069,11.2338,10.7559,10.8165,10739300
2016-05-12,10.8636,10.9578,10.5607,10.6953,9750500
2016-05-13,10.6819,10.729,10.4732,10.5069,7811400
2016-05-16,10.5203,10.628,10.5002,10.5203,6985300
2016-05-17,10.4867,10.628,10.3925,10.4261,10817700
2016-05-18,10.48,10.48,9.9684,10.0963,18463600
2016-05-19,9.9886,10.0155,9.6251,9.8674,17185500
2016-05-20,9.9078,9.9684,9.7126,9.8136,7921100
2016-05-23,9.8338,9.9751,9.7665,9.9482,8153300
2016-05-24,10.0357,10.1838,9.9751,10.1434,11310900
2016-05-25,10.1636,10.4396,10.0896,10.3319,12336400
2016-05-26,10.3251,10.3521,10.1771,10.2309,6489000
2016-05-27,10.2376,10.3857,10.1973,10.2982,4546600
2016-05-31,10.2915,10.4261,10.204,10.3655,7987000
2016-06-01,10.2848,10.4194,10.2713,10.3925,6759000
2016-06-02,10.3453,10.7761,10.2982,10.6146,13732000
2016-06-03,10.5809,10.7223,10.3453,10.5338,9276300
2016-06-06,10.5607,11.0925,10.4328,10.554,7827100
2016-06-07,10.554,10.7357,10.5405,10.5944,7618100
2016-06-08,10.6011,10.655,10.4665,10.5607,9308300
2016-06-09,10.5271,10.5944,10.4396,10.4934,5943400
2016-06-10,10.3857,10.4396,10.305,10.3655,6432400
2016-06-13,10.3655,10.554,10.3386,10.3521,5808700
2016-06-14,10.3319,10.5002,10.3117,10.4598,8465300
2016-06-15,10.453,10.9511,10.4261,10.7559,10308600
2016-06-16,10.6886,10.8098,10.5473,10.7963,9284100
2016-06-17,10.7357,11.0992,10.7357,11.0655,21600200
2016-06-20,11.1598,11.3415,11.1127,11.1396,9176400
2016-06-21,11.1598,11.2809,11.0723,11.2069,9840500
2016-06-22,11.2338,11.3752,11.153,11.3079,8352000
2016-06-23,11.4357,11.5232,11.3348,11.4088,7334400
2016-06-24,11.0521,11.0857,10.5675,10.5675,19918800
2016-06-27,10.4463,10.4598,9.9415,9.955,16062500
2016-06-28,10.1324,10.5008,10.1324,10.337,11770600
2016-06-29,10.4599,10.9989,10.3985,10.9511,15163500
2016-06-30,10.9579,11.0603,10.7737,11.0603,10087600
2016-07-01,11.1081,11.2923,11.0671,11.2241,6167100
2016-07-05,11.1285,11.1626,10.8693,10.9784,6812700
2016-07-06,10.9034,11.1012,10.7737,11.0944,7110700
2016-07-07,11.1285,11.5789,11.0876,11.1968,8267800
2016-07-08,11.3537,11.6061,11.3128,11.4356,9307300
2016-07-11,11.5311,11.7221,11.4697,11.5925,7672000
2016-07-12,11.7426,11.804,11.5789,11.7085,9559600
2016-07-13,11.5379,11.572,11.0671,11.2445,15258800
2016-07-14,11.3128,11.4697,11.2036,11.4015,10338500
