date,open,high,low,close,volume
2016-04-18,73.6162,74.1598,73.2144,74.0889,967200
2016-04-19,74.1598,74.7901,73.8841,74.4986,1429200
2016-04-20,73.1908,73.8211,71.8593,72.1587,2543300
2016-04-21,72.0484,72.3399,70.7327,70.7327,2113400
2016-04-22,70.8115,71.3472,70.5042,71.3393,1296600
2016-04-25,71.2369,72.466,71.0557,71.9854,1634200
2016-04-26,69.4564,70.906,69.2673,70.5909,3052700
2016-04-27,70.78,71.7884,70.4255,71.5915,2268600
2016-04-28,71.2999,72.5211,71.0793,72.2138,1384800
2016-04-29,72.2769,73.435,72.009,73.3562,1820900
2016-05-02,73.3326,73.9392,73.1593,73.8368,1304800
2016-05-03,73.6635,74.4829,73.0017,73.1593,1796400
2016-05-04,72.7653,73.1514,72.3635,72.592,1507400
2016-05-05,72.5448,73.2223,72.1981,72.4029,1621000
2016-05-06,72.1666,72.3084,71.0715,72.1745,1060900
2016-05-09,72.3163,73.2302,72.2532,72.852,874500
2016-05-10,73.0726,73.4823,72.9229,73.3956,740300
2016-05-11,73.2065,73.569,72.3951,72.6708,919800
2016-05-12,72.8363,73.4587,72.5132,73.3956,804500
2016-05-13,73.2696,73.5847,72.7733,72.8284,929100
2016-05-16,72.6865,73.1829,72.5526,73.0253,741000
2016-05-17,72.7575,73.0962,71.2054,71.4575,1105000
2016-05-18,71.103,71.6466,70.3782,70.8115,1076000
2016-05-19,70.5909,71.4103,70.2521,71.4103,1219100
2016-05-20,71.6072,71.7727,71.1818,71.5127,1043300
2016-05-23,71.5547,72.419,71.3485,71.856,869200
2016-05-24,71.9353,72.6965,71.8164,72.4269,761200
2016-05-25,72.5062,72.7758,72.0384,72.4428,1483900
2016-05-26,72.53,73.545,72.419,73.0692,918400
2016-05-27,73.1961,73.6877,73.1485,73.426,762200
2016-05-31,73.545,74.0049,72.8472,73.6243,3257000
2016-06-01,73.7591,74.1635,73.315,73.7432,1147700
2016-06-02,73.5926,73.6956,72.9503,73.5529,873900
2016-06-03,73.545,74.3855,73.545,74.1397,1028600
2016-06-06,74.1397,74.5282,73.5767,73.9732,1083500
2016-06-07,74.0287,74.2666,73.8225,73.9097,406800
2016-06-08,73.8304,74.3141,73.2357,74.3141,939700
2016-06-09,74.2745,76.685,74.1714,76.455,2991900
2016-06-10,76.1934,77.0735,75.5987,76.4392,1631500
2016-06-13,76.1379,76.685,75.8049,75.8286,1086300
2016-06-14,75.5907,76.7643,75.2101,76.5819,1231800
2016-06-15,76.574,76.7643,75.7335,76.1617,2317900
2016-06-16,76.1775,76.796,75.9396,76.7405,1422700
2016-06-17,76.6216,77.0339,75.7573,77.0022,2133300
2016-06-20,76.9546,77.5097,76.5819,76.6295,1225500
2016-06-21,76.8753,77.3511,76.7484,77.2797,1333900
2016-06-22,77.2797,77.2797,76.8357,77.1925,1315100
2016-06-23,77.5017,77.6048,76.5661,77.0101,1169600
2016-06-24,75.8524,78.0964,75.6859,77.6841,1920300
2016-06-27,77.1053,77.2163,76.4471,77.0815,1631200
2016-06-28,77.1449,77.1449,75.6938,76.3044,1456100
2016-06-29,77.0656,77.1053,76.3123,77.026,1603700
2016-06-30,77.3511,93.4001,77.2956,89.9905,19899400
2016-07-01,88.8883,90.8627,86.0655,88.7694,6594200
2016-07-05,87.2232,89.6892,86.5095,87.6593,2600800
2016-07-06,87.9685,88.5553,86.1923,86.6602,4177300
2016-07-07,87.2231,87.8892,86.4302,87.2549,2007900
2016-07-08,87.5641,87.9051,86.7712,87.7782,1113900
2016-07-11,87.6196,89.3086,86.9298,87.3342,2617600
2016-07-12,87.3659,87.6593,86.224,86.224,1545800
2016-07-13,86.0655,86.898,85.7879,85.8989,1130300
2016-07-14,86.121,87.0091,85.5342,85.7086,1312700
2016-07-15,85.9783,88.809,85.5025,87.7465,2810000
