date,open,high,low,close,volume
2016-04-22,88.3187,89.1388,87.3931,87.8559,339097
2016-04-25,87.6286,88.1401,86.5405,87.1576,266305
2016-04-26,88.2863,90.3162,86.7029,86.8653,395152
2016-04-27,86.6623,88.4242,86.0208,86.6298,240499
2016-04-28,85.9802,86.8734,85.2657,85.7204,122468
2016-04-29,85.6798,86.0289,84.6242,85.8747,278804
2016-05-02,86.1751,86.4187,85.4606,86.1832,209658
2016-05-03,85.4849,86.029,84.6648,85.9478,200676
2016-05-04,85.355,85.5418,84.3725,84.8841,114703
2016-05-05,85.3144,85.7773,84.8273,85.4362,176795
2016-05-06,84.9977,86.0533,84.8597,85.7042,86233
2016-05-09,85.282,85.5012,84.6892,84.7136,100730
2016-05-10,84.9815,86.6217,84.3644,86.5973,346568
2016-05-11,86.5567,87.7991,85.9884,86.3213,174388
2016-05-12,86.7273,87.458,85.4281,86.435,245842
2016-05-13,86.0533,86.3861,83.9746,84.5755,195107
2016-05-16,84.0802,85.8544,84.0802,85.4687,193704
2016-05-17,85.9883,86.5323,84.4781,85.1601,264152
2016-05-18,84.8516,86.4593,84.34,84.9571,229894
2016-05-19,84.2508,84.4213,82.9678,84.0802,131461
2016-05-20,84.2101,85.2575,83.9584,85.0952,227654
2016-05-23,84.7217,85.8097,84.5268,85.2657,122630
2016-05-24,85.834,85.9152,85.2575,85.6392,202499
2016-05-25,85.8259,86.443,85.696,86.2807,206313
2016-05-26,86.2725,86.8443,86.101,86.4114,117211
2016-05-27,86.4277,86.7054,85.9294,86.5502,150722
2016-05-31,86.7626,87.0403,86.2362,86.8034,184847
2016-06-01,86.2317,86.7462,85.8559,86.5257,158315
2016-06-02,86.0846,86.444,84.6715,86.444,204871
2016-06-03,86.1745,86.4971,85.2678,85.2678,220499
2016-06-06,85.4965,86.5992,85.1616,86.444,240701
2016-06-07,86.5502,86.6972,85.9539,86.4114,169721
2016-06-08,86.4359,86.9954,86.0356,86.542,163381
2016-06-09,85.9131,86.4277,85.3087,86.3542,178062
2016-06-10,85.7824,85.7824,83.7812,83.871,156056
2016-06-13,83.7159,84.4837,82.8459,84.1406,201534
2016-06-14,84.0671,84.4673,83.2135,83.675,234988
2016-06-15,84.0671,84.4592,83.2748,83.3973,283616
2016-06-16,82.8337,83.1277,81.878,82.9072,490961
2016-06-17,82.9072,83.5443,82.0495,82.2538,632680
2016-06-20,83.528,84.3693,83.1808,83.2748,448441
2016-06-21,83.2748,83.9474,82.801,82.8337,161775
2016-06-22,83.2503,83.6097,83.0869,83.1849,194966
2016-06-23,84.1324,84.4755,83.675,84.4183,245282
2016-06-24,80.8651,83.2012,80.5548,82.4253,817577
2016-06-27,81.5186,81.5186,79.5174,80.1872,401878
2016-06-28,80.8325,80.955,79.9421,80.7671,161332
2016-06-29,81.8208,83.0542,81.682,82.8664,422077
2016-06-30,83.2993,86.3215,83.2993,86.15,441048
2016-07-01,86.1745,87.8163,85.7661,86.2153,250612
2016-07-05,85.7171,85.7661,84.4347,84.9411,113249
2016-07-06,85.0554,85.7334,84.4837,85.3903,174081
2016-07-07,85.7579,86.3624,85.2719,85.7252,113252
2016-07-08,86.4522,86.8443,86.0152,86.6319,159003
2016-07-11,86.9831,87.5953,86.9831,87.0811,121922
2016-07-12,87.7673,87.7836,86.2807,86.5666,347260
2016-07-13,86.9504,87.1056,86.2561,86.7381,218098
2016-07-14,87.4324,87.9388,87.1138,87.1547,243696
2016-07-15,87.2772,87.5467,87.0403,87.3344,90835
2016-07-18,87.1138,87.4569,87.0485,87.2037,57674
2016-07-19,86.9341,87.4732,86.6074,87.0076,100139
2016-07-20,87.0729,87.3869,86.5257,86.9586,78786
2016-07-21,87.0811,87.3099,86.2032,86.3542,97444
2016-07-22,86.101,86.346,85.7252,86.2562,251717
2016-07-25,85.9539,86.1745,84.9492,85.1126,169825
2016-07-26,85.9458,87.1056,84.9901,87.0076,284012
2016-07-27,87.024,87.2037,86.1745,86.5502,192890
2016-07-28,86.3623,87.2772,85.8232,86.7626,187133
2016-07-29,86.6237,88.143,85.9049,88.0777,275885
2016-08-01,88.045,88.2002,85.9784,86.5992,305620
2016-08-02,86.6482,86.6482,85.2188,85.6517,266553
2016-08-03,85.4639,86.1908,85.2515,85.8396,120634
2016-08-04,85.7171,86.5012,85.1045,85.3577,220111
2016-08-05,85.7987,86.5012,85.6925,86.3623,104711
2016-08-08,86.7463,86.7463,85.9131,86.4114,124300
2016-08-09,86.3052,86.8851,85.7497,86.15,152790
2016-08-10,86.5584,87.4896,86.3583,87.2118,194507
2016-08-11,87.5876,87.6284,86.199,87.3589,178360
2016-08-12,87.0158,87.8449,86.5747,87.3262,96384
2016-08-15,87.3262,87.8898,86.9668,87.7019,140330
2016-08-16,87.4487,88.1512,87.1914,87.3997,131677
2016-08-17,87.22,87.6039,86.7871,87.0893,102219
2016-08-18,89.0334,89.0334,87.2855,88.3064,197514
2016-08-19,87.6856,88.3431,87.3997,88.1349,163789
2016-08-22,87.7101,88.2737,87.4079,88.1349,111889
2016-08-23,88.3962,89.1232,87.947,88.6331,127910
2016-08-24,88.4616,89.2539,87.7673,87.8898,95460
2016-08-25,87.5876,88.5024,87.2935,88.3064,150689
2016-08-26,88.4534,89.0742,87.8491,88.1512,152507
2016-08-29,88.373,89.1864,87.9375,88.9317,103023
2016-08-30,88.4305,89.5726,88.4305,89.0878,95989
2016-08-31,88.6524,89.2686,87.6254,88.9893,265137
2016-09-01,89.096,89.2624,88.0362,88.8906,154189
2016-09-02,89.2029,89.8273,89.2029,89.3836,134015
2016-09-06,89.4904,89.6219,88.332,88.6441,141516
2016-09-07,88.562,88.7345,87.839,88.2087,116024
2016-09-08,88.2087,88.2087,87.3706,87.7239,107088
2016-09-09,86.812,87.0831,84.7908,85.2345,285467
2016-09-12,84.7004,86.5162,84.3389,86.1136,248639
2016-09-13,85.3413,85.4563,84.3964,84.7086,181018
2016-09-14,84.6511,84.7497,83.7186,83.9034,212549
2016-09-15,84.0924,85.2016,83.9938,84.6675,121880
2016-09-16,84.0678,84.7744,83.5748,84.4128,379459
2016-09-19,84.8729,85.6288,84.6429,85.103,172006
2016-09-20,85.3248,85.5959,84.4293,84.4621,128041
2016-09-21,85.0537,86.2533,84.8319,86.1218,207010
2016-09-22,86.7627,88.4388,86.434,88.0937,198469
2016-09-23,88.1676,88.2908,87.1159,87.1488,178894
2016-09-26,86.9845,87.6089,86.9434,86.9434,97923
2016-09-27,86.5901,88.3402,86.2697,87.6746,166319
2016-09-28,87.9951,88.9482,87.2885,88.8167,174337
2016-09-29,88.5209,89.022,87.5185,87.5925,124975
2016-09-30,88.2416,88.9625,87.6295,88.5209,194605
2016-10-03,87.9293,88.5127,87.3172,87.3953,113551
2016-10-04,87.5925,88.0608,86.2615,86.5572,113375
2016-10-05,86.4997,87.1406,86.0396,86.7544,153457
2016-10-06,86.3108,87.2145,86.1711,86.6558,257115
2016-10-07,86.4504,86.4504,85.407,85.5795,146019
2016-10-10,86.015,86.3683,85.3988,85.6124,113453
2016-10-11,85.2755,85.8424,84.1581,84.4539,135448
2016-10-12,84.5279,85.0948,83.6487,84.38,184560
2016-10-13,84.0842,84.0842,83.1065,83.4351,199450
2016-10-14,84.2321,85.1359,83.9774,85.0373,328116
2016-10-17,84.8729,85.1276,84.4375,84.8319,207264
2016-10-18,85.7767,85.7767,84.7209,84.8236,146187
2016-10-19,84.7332,85.9575,84.1745,85.4152,181572
2016-10-20,85.0866,85.9164,84.3142,85.3166,115027
2016-10-21,84.6264,86.1136,84.3142,85.941,135761
2016-10-24,86.853,87.6171,85.6452,86.1711,365153
2016-10-25,86.7627,87.5843,85.1441,86.1218,338178
2016-10-26,85.0373,86.7216,84.9756,86.434,270248
2016-10-27,86.738,86.738,85.8342,86.2039,198122
2016-10-28,86.1136,87.3337,85.5795,85.941,141394
2016-10-31,86.549,86.927,85.8301,85.8753,272722
2016-11-01,86.3436,86.5819,84.914,85.0701,414898
2016-11-02,84.8072,86.3354,83.887,83.9199,196113
2016-11-03,84.076,84.5443,83.4844,84.3224,171298
2016-11-04,84.2074,85.5878,84.1417,84.7661,183407
2016-11-07,86.0396,87.0642,86.0396,86.5983,138162
2016-11-08,86.3354,87.0749,86.204,86.6969,254962
2016-11-09,86.5326,90.1888,86.5326,89.0467,406821
2016-11-10,90.0327,91.1337,88.6031,90.5996,1219336
2016-11-11,89.8684,91.3473,89.7819,90.7311,614696
2016-11-14,91.3884,92.2018,90.7968,92.1853,573142
2016-11-15,92.3579,92.7187,91.1994,91.9553,402299
2016-11-16,91.6677,92.7769,91.1295,91.8978,506734
2016-11-17,92.4072,92.7235,91.2035,91.528,535104
2016-11-18,91.5198,91.5609,90.6078,90.8214,213251
2016-11-21,91.3966,92.0949,90.2956,91.3473,601980
2016-11-22,91.8156,92.7522,90.0245,92.5961,678403
2016-11-23,92.4565,93.2863,92.1196,92.859,403471
2016-11-25,92.8262,92.9905,92.5386,92.9905,102940
2016-11-28,92.4283,92.5978,91.8827,92.1472,403607
2016-11-29,91.9902,92.7838,90.9154,92.139,162973
2016-11-30,92.883,93.3749,92.6267,92.8252,332384
2016-12-01,93.6519,93.8172,92.9161,93.2302,356934
2016-12-02,93.0897,93.7263,92.5523,93.5444,231329
2016-12-05,94.0983,94.3629,93.6188,93.9826,294104
2016-12-06,93.718,94.4621,93.6714,93.9081,337563
2016-12-07,93.9082,95.0932,93.4535,94.9995,561168
2016-12-08,95.4045,96.1445,94.3918,94.8672,281347
2016-12-09,94.9994,96.2065,94.2058,96.1073,284802
2016-12-12,95.8097,97.0828,94.9829,96.5454,446677
2016-12-13,96.7852,98.1741,96.595,96.7439,517853
2016-12-14,96.8183,97.3308,95.4872,95.5038,250385
2016-12-15,95.1979,96.5537,94.2554,95.3715,187091
2016-12-16,95.9419,96.9175,95.6112,96.7273,635906
2016-12-19,96.4049,97.3267,95.8097,96.5041,214101
2016-12-20,98.2567,98.4221,97.3887,98.0005,307897
2016-12-21,97.8186,98.108,97.2647,97.4218,145619
2016-12-22,97.2316,97.8028,96.6777,97.3969,166718
2016-12-23,97.1242,97.9633,97.1242,97.6946,113121
