date,open,high,low,close,volume
2016-04-21,160.1749,161.2507,158.4187,159.4853,503000
2016-04-22,159.9726,161.2047,159.5588,161.1863,561600
2016-04-25,160.7266,161.9771,159.7151,161.9311,546300
2016-04-26,162.1058,164.3677,160.9197,164.1103,749900
2016-04-27,164.4964,164.7355,162.3816,163.2643,711800
2016-04-28,163.3839,164.9562,162.6391,163.5494,431200
2016-04-29,163.062,163.8252,160.9564,162.8138,605900
2016-05-02,163.669,164.3954,163.0437,163.3104,529000
2016-05-03,162.8598,163.954,161.8299,162.6851,507800
2016-05-04,161.0576,163.3839,160.5886,161.5541,577700
2016-05-05,161.1771,162.1885,159.9818,160.0921,1369900
2016-05-06,159.0715,160.3955,155.9636,156.9382,1275200
2016-05-09,157.5911,159.9082,156.7727,157.4899,727200
2016-05-10,157.775,160.1933,157.5176,159.568,584000
2016-05-11,159.9634,160.9013,156.0464,156.3682,532000
2016-05-12,156.405,157.7107,152.2213,152.4604,858400
2016-05-13,152.5247,153.196,147.7158,151.9271,2070100
2016-05-16,151.6328,158.1152,150.695,157.7107,1847700
2016-05-17,157.6279,158.391,155.0901,157.0486,1244000
2016-05-18,156.8003,159.4576,156.1842,156.5153,875200
2016-05-19,155.2924,156.2946,153.8672,154.7775,898000
2016-05-20,155.3476,156.3039,154.7591,155.9453,1410200
2016-05-23,156.313,159.0439,155.4671,155.936,1160900
2016-05-24,156.5062,157.9773,155.8993,157.0303,1227100
2016-05-25,156.8923,161.0392,156.3406,160.6346,1773800
2016-05-26,160.6071,160.745,159.0531,160.2209,1020300
2016-05-27,160.0645,160.8921,158.6117,159.7519,585400
2016-05-31,160.4508,160.7818,157.582,158.621,1279400
2016-06-01,158.4002,163.5034,157.7198,163.1172,1015900
2016-06-02,163.4942,172.3121,161.1587,172.2754,3518100
2016-06-03,171.8524,171.9352,169.4433,171.2088,1094100
2016-06-06,171.7145,174.5373,171.2547,174.1327,968000
2016-06-07,174.2431,174.6109,172.68,173.2316,880700
2016-06-08,172.5236,174.1235,172.3857,172.8638,1464200
2016-06-09,171.9719,173.3971,171.9443,173.1856,621200
2016-06-10,172.8638,173.3236,171.0065,171.7237,323700
2016-06-13,171.2455,172.735,169.7651,169.8203,544800
2016-06-14,169.995,172.3489,169.6456,170.7398,813000
2016-06-15,171.2271,172.4224,170.326,170.6111,717700
2016-06-16,170.1605,172.4317,169.4985,171.9811,682400
2016-06-17,172.1834,172.7995,170.4732,172.0823,844300
2016-06-20,173.5167,176.22,172.8638,174.6109,1935300
2016-06-21,175.374,175.4016,173.4891,174.7672,1236400
2016-06-22,174.4453,175.6223,172.2478,172.5604,1231700
2016-06-23,173.6454,175.2729,170.6663,172.2294,1396700
2016-06-24,169.8203,170.9329,167.7699,168.1744,917000
2016-06-27,166.832,167.3469,162.6943,162.6943,1576700
2016-06-28,165.1717,168.5149,164.8862,168.4965,2650500
2016-06-29,169.3439,170.3109,168.5795,169.1413,2122300
2016-06-30,169.0031,169.0031,163.8455,165.6691,3772800
2016-07-01,166.2125,166.894,156.5512,160.2536,4784000
2016-07-05,159.9589,163.6245,158.8445,163.2101,1381400
2016-07-06,162.5469,167.1519,162.4364,165.7612,1964900
2016-07-07,166.1204,166.1204,146.0703,149.8832,9068700
2016-07-08,147.1386,151.1358,144.8362,145.6558,5565500
2016-07-11,147.1755,151.9186,140.3048,141.8337,5154600
2016-07-12,143.077,143.2336,139.347,142.4876,3666700
2016-07-13,142.7547,150.1227,141.6495,148.557,3056600
2016-07-14,149.4043,149.6069,146.9452,148.5293,1687900
2016-07-15,149.5792,149.8463,146.3373,146.3373,1699600
2016-07-18,147.5347,148.1425,144.2191,147.0281,1853400
2016-07-19,146.3465,147.6543,138.1496,141.2626,8660000
2016-07-20,142.2112,147.5438,140.7376,145.8952,3881700
2016-07-21,141.6035,160.9629,141.4469,157.9788,10358200
2016-07-22,157.8038,164.1218,157.8038,162.1417,5476600
2016-07-25,161.8009,162.1509,158.8445,159.3418,1696300
2016-07-26,159.5352,160.7694,157.9327,160.2168,1456300
2016-07-27,159.4339,160.1339,157.8038,158.4761,906500
2016-07-28,157.8222,158.7616,157.3709,158.605,635900
2016-07-29,156.4315,159.3327,156.4315,158.9182,522000
2016-08-01,159.3326,159.6734,156.938,157.6564,487000
2016-08-02,158.1261,159.3326,154.2856,156.1736,1423400
2016-08-03,156.9196,159.8484,155.4737,159.7747,1307300
2016-08-04,158.5774,162.593,157.9972,160.0971,2382600
2016-08-05,160.5668,167.3546,159.9497,164.8218,2188500
2016-08-08,164.5731,165.052,163.4771,163.6153,848700
2016-08-09,163.9008,164.9599,162.8601,163.1364,526600
2016-08-10,162.9982,166.2217,162.4548,165.5033,1987300
2016-08-11,165.7796,166.1388,164.7665,165.8625,946200
2016-08-12,164.7941,168.9939,164.4257,166.5717,1247100
2016-08-15,166.5716,167.1887,164.1955,165.4388,590800
2016-08-16,165.2454,166.5072,163.5876,165.4388,601200
2016-08-17,166.0928,166.148,164.0482,164.7481,883100
2016-08-18,164.3705,165.8441,164.3705,165.3007,907500
2016-08-19,164.8218,165.6415,163.8547,163.9376,421100
2016-08-22,164.4534,166.673,164.3705,166.1664,610100
2016-08-23,166.4703,166.5901,165.1533,165.6507,553500
2016-08-24,165.7797,166.4704,164.5271,165.1442,492900
2016-08-25,164.3428,165.5862,162.9061,163.2837,531600
2016-08-26,163.56,163.8087,161.7825,163.3666,526000
2016-08-29,163.3205,164.8217,162.7863,162.9521,529400
2016-08-30,162.5745,164.5178,162.243,164.3705,603800
2016-08-31,164.3797,164.8678,163.4034,164.5915,430500
2016-09-01,165.0704,165.0704,162.3719,162.5837,566100
2016-09-02,163.1455,164.0021,162.1232,163.3205,469400
2016-09-06,163.1824,164.7757,161.3035,162.814,683300
2016-09-07,162.2798,163.6705,161.6535,162.243,606300
2016-09-08,162.2154,163.5047,161.0917,162.4824,687700
