date,open,high,low,close,volume
2016-11-01,16.2795,16.5723,13.7248,13.8493,0
2016-11-02,13.8054,13.8859,12.905,13.1319,0
2016-11-03,12.9782,13.2125,12.7513,12.8025,0
2016-11-04,12.8831,13.0295,12.8172,12.9416,0
2016-11-07,13.1027,13.1759,12.6488,12.6927,0
2016-11-08,12.7737,12.9135,12.6707,12.8105,8524770
2016-11-09,12.472,13.0239,12.3248,12.8988,0
2016-11-10,12.9135,13.6346,12.9135,13.5757,0
2016-11-11,13.561,13.9363,13.4727,13.8774,6987745
2016-11-14,13.9363,14.0687,13.8553,14.0466,0
2016-11-15,14.0981,14.6868,14.0981,14.65,0
2016-11-16,14.5323,14.5691,14.3115,14.4293,0
2016-11-17,14.3851,14.4366,14.2453,14.3483,0
2016-11-18,14.3189,14.65,14.2527,14.65,0
2016-11-21,14.6353,14.856,14.5838,14.8487,0
2016-11-22,14.7677,14.9222,14.5691,14.6353,0
2016-11-23,14.5764,15.0105,14.5028,14.9222,0
2016-11-25,14.9517,15.1945,14.8928,15.1062,0
2016-11-28,15.0105,15.0326,14.6574,14.8266,0
2016-11-29,14.7456,14.7456,14.3557,14.4734,0
2016-11-30,14.4145,14.6058,14.1644,14.1864,0
2016-12-01,14.2306,14.5838,14.1717,14.3483,0
2016-12-02,14.2674,14.5102,14.2379,14.4881,0
2016-12-05,14.4513,14.9222,14.4293,14.9075,0
2016-12-06,14.6353,14.9664,14.4955,14.9517,0
2016-12-07,15.0179,15.3784,14.9958,15.3637,0
2016-12-08,15.4594,15.6065,15.3711,15.3858,0
2016-12-09,15.5477,16.0554,15.533,16.0407,0
2016-12-12,15.9892,16.335,15.8273,15.8788,0
2016-12-13,15.8714,16.0112,15.3858,15.5918,0
2016-12-14,15.3858,15.739,15.2313,15.2681,0
2016-12-15,15.2386,15.4594,15.0326,15.1283,0
2016-12-16,15.0768,15.3564,14.8119,14.9075,0
2016-12-19,14.753,14.8634,14.6058,14.7309,0
2016-12-20,14.7162,14.9885,14.7162,14.7898,0
2016-12-21,14.7309,14.8634,14.6647,14.7309,0
2016-12-22,14.6574,14.8119,14.5764,14.7677,0
2016-12-23,14.7162,14.7824,14.4734,14.5543,2820291
2016-12-27,14.5691,14.8119,14.444,14.5543,3161287
2016-12-28,14.4881,14.6132,14.1496,14.1644,4229394
2016-12-29,14.1717,14.2012,13.7449,13.7597,6064252
2016-12-30,13.8185,14.0393,13.5904,13.6419,6590416
2017-01-03,13.7891,14.1276,13.7155,14.1202,5587901
2017-01-04,14.1276,14.5176,13.9878,14.4955,5782849
2017-01-05,14.4955,14.8634,14.4219,14.7898,7053988
2017-01-06,14.8266,15.2386,14.7236,15.1798,7218422
2017-01-09,15.1503,15.1798,14.9296,15.0032,6366389
2017-01-10,14.8487,15.4005,14.8487,15.2386,5622066
2017-01-11,15.2534,15.5256,15.1945,15.5256,5475887
2017-01-12,15.4005,15.4741,15.0841,15.452,7235505
2017-01-13,15.4079,15.6213,15.3711,15.5477,6019525
2017-01-17,15.2313,15.3784,15.143,15.2607,3969898
2017-01-18,15.2534,15.4226,15.1798,15.3637,3360930
2017-01-19,15.2975,15.7096,15.2975,15.6801,4805110
2017-01-20,15.6728,15.9229,15.555,15.6654,7332914
2017-01-23,15.6433,15.7243,15.5183,15.6948,5454371
2017-01-24,15.8052,16.4822,15.7611,16.3129,10834675
2017-01-25,16.4527,16.7176,16.3571,16.6955,4958982
2017-01-26,16.5925,16.8354,16.4159,16.8206,4269426
2017-01-27,16.8133,16.8354,16.5631,16.6293,3523538
2017-01-30,16.644,16.6735,16.3056,16.5557,4940856
2017-01-31,16.4086,16.7691,16.2835,16.7691,7382335
2017-02-01,17.1675,18.8127,17.0347,18.6504,21366562
2017-02-02,18.4512,18.8127,18.311,18.5914,10545057
2017-02-03,18.5692,19.1226,18.5692,19.1078,7777186
2017-02-06,18.6061,19.4103,18.6061,19.3291,13364826
2017-02-07,19.3291,19.7128,19.2332,19.639,9796561
2017-02-08,19.5357,20.2218,19.425,20.1407,9996334
2017-02-09,20.1407,20.7604,20.03,20.6276,11826237
2017-02-10,20.8268,22.0219,20.7456,21.8522,15049203
2017-02-13,21.7416,22.0367,21.4317,21.8744,13249683
2017-02-14,21.7268,22.2506,21.6457,21.7785,15496866
2017-02-15,21.6457,21.7785,21.4539,21.5498,6616366
2017-02-16,21.4981,21.7563,21.4391,21.7563,6581158
2017-02-17,21.6604,22.1916,21.5793,22.0662,6065556
2017-02-21,21.8891,22.4129,21.8744,22.3465,5062910
2017-02-22,22.0441,22.5457,22.0441,22.5384,5890168
2017-02-23,22.5605,22.6416,21.7785,21.8154,9063843
2017-02-24,21.3875,21.7859,21.203,21.6309,5881040
2017-02-27,21.6162,21.867,21.476,21.5719,3999498
2017-02-28,21.4686,21.6752,21.1292,21.2399,5402733
2017-03-01,21.6162,22.0514,21.6162,21.7932,4718524
2017-03-02,21.5719,21.7342,21.0407,21.0555,3909653
2017-03-03,21.0702,21.2399,20.4727,20.7235,4725044
2017-03-06,20.6645,20.6792,20.3325,20.4358,4628809
2017-03-07,20.362,20.3915,19.6611,19.9046,8165518
2017-03-08,19.8972,20.0595,19.6611,19.8087,5336620
2017-03-09,19.7275,19.9193,19.3808,19.5431,5255381
2017-03-10,19.6169,19.8603,19.4988,19.7939,5169708
2017-03-13,19.7644,19.9415,19.6021,19.7718,4141504
2017-03-14,19.6095,19.7423,19.5136,19.6759,2488814
2017-03-15,19.7939,20.2366,19.757,20.1112,2964253
2017-03-16,20.1997,20.3251,19.9046,20.1554,3481158
2017-03-17,20.1702,20.5169,20.1333,20.2882,7816437
2017-03-20,20.3177,20.7899,20.2144,20.5612,4938639
2017-03-21,20.6054,20.6497,19.6759,19.7349,8356293
2017-03-22,19.6906,19.971,19.4914,19.5505,4547961
2017-03-23,19.5505,19.8013,19.5136,19.6833,5213392
2017-03-24,19.6833,19.8382,19.4546,19.6833,3822285
2017-03-27,19.2627,19.6685,19.189,19.5947,3680279
2017-03-28,19.5136,20.0079,19.5136,19.9488,3320114
2017-03-29,19.7423,19.9267,19.2701,19.3291,4206834
2017-03-30,19.2627,19.6095,19.2037,19.5947,3326634
2017-03-31,19.5283,19.5873,19.3291,19.4324,3278778
2017-04-03,19.5357,19.698,19.0857,19.3144,3058402
2017-04-04,19.2922,19.5357,19.2406,19.4619,6896465
2017-04-05,19.5873,19.8087,19.0709,19.1004,4870049
2017-04-06,19.0562,19.3586,19.0193,19.2996,2068535
2017-04-07,19.1816,19.5505,19.1816,19.4841,2363500
2017-04-10,19.4841,19.8013,19.4841,19.5726,3410090
2017-04-11,19.58,19.8013,19.2258,19.6169,4193794
2017-04-12,19.5505,19.5505,18.9676,19.0709,7089848
2017-04-13,19.0488,19.1742,18.9455,19.1078,6053298
2017-04-17,20.1038,20.9817,19.5505,19.6906,16474345
2017-04-18,19.4103,19.4103,18.1487,19.034,12056262
2017-04-19,19.0488,19.5357,19.0488,19.1595,6661875
2017-04-20,19.3218,19.4177,19.2258,19.2627,3008980
2017-04-21,19.2922,19.3365,19.1594,19.1816,3883573
2017-04-24,19.4472,19.5873,19.1594,19.2554,5968930
2017-04-25,19.4029,19.9193,19.3513,19.9046,6499136
2017-04-26,19.9562,20.6497,19.9341,20.2882,7444406
2017-04-27,20.2587,20.2882,19.8456,20.0816,4748516
2017-04-28,20.1628,20.2808,20.0521,20.1628,5689352
2017-05-01,20.2366,20.3103,19.8308,20.1038,4207486
2017-05-02,19.912,20.2144,19.912,20.03,4294594
2017-05-03,19.9487,19.9487,19.6159,19.8008,3355844
2017-05-04,19.7268,19.7934,19.4089,19.6825,3841062
2017-05-05,19.6899,20.1853,19.6233,20.1853,3092045
2017-05-08,20.1187,20.1779,19.9635,20.0226,2429743
2017-05-09,20.0374,20.2518,19.9708,20.1557,2751570
2017-05-10,20.0817,20.2222,20.0522,20.1705,2603436
2017-05-11,20.0744,20.1557,19.8747,20.1187,2466777
2017-05-12,20.0596,20.5328,20.0004,20.481,3719399
2017-05-15,20.5328,20.9247,20.5328,20.7768,3879139
2017-05-16,20.7768,20.8433,20.2666,20.2666,3165330
2017-05-17,20.2666,20.2666,19.7934,19.8451,4417039
2017-05-18,19.7342,20.0004,19.6307,19.9043,2515286
2017-05-19,20.03,20.5476,19.9708,20.3923,2622866
2017-05-22,20.555,21.1834,20.3701,20.4293,3510890
2017-05-23,20.4588,20.725,20.274,20.6067,2584528
2017-05-24,20.6659,20.8433,20.5697,20.762,2576834
2017-05-25,20.7842,20.8655,20.0226,20.1187,3909001
2017-05-26,20.1187,20.3775,20.0374,20.274,2857325
2017-05-30,20.2962,20.3036,19.9413,20.1261,5367394
2017-05-31,20.1039,20.3405,19.7564,20.311,10558227
2017-06-01,20.3036,20.7472,20.1779,20.6807,7362384
2017-06-02,20.7398,20.932,20.6289,20.8211,3160635
2017-06-05,20.799,20.8951,20.3036,20.311,3359104
2017-06-06,20.1853,20.4219,19.993,20.311,2380322
2017-06-07,20.4293,20.4293,19.8378,19.8895,3724094
2017-06-08,19.8895,20.3849,19.7712,20.2962,2112350
2017-06-09,20.3331,20.4736,20.0965,20.2296,2585962
2017-06-12,20.03,20.311,19.8304,19.8304,2727577
2017-06-13,19.8525,20.4588,19.8304,20.4515,2924481
2017-06-14,20.4441,20.4441,19.823,19.8895,2723404
2017-06-15,19.6751,19.9043,19.5494,19.7416,3757867
2017-06-16,19.7786,19.8304,19.2832,19.542,4224699
2017-06-19,19.6381,19.7268,19.4902,19.6751,3219446
2017-06-20,19.5716,19.6455,19.4015,19.5272,1831990
2017-06-21,19.5346,19.5494,18.6769,18.7213,4138896
2017-06-22,18.7213,18.8987,18.529,18.7065,3689146
2017-06-23,18.6326,18.9653,18.566,18.8839,6684174
2017-06-26,16.7619,18.2333,16.7471,17.7527,26356970
2017-06-27,17.5013,17.6787,16.0891,16.1482,27554824
2017-06-28,16.3035,17.3386,16.2887,17.0798,14174610
2017-06-29,17.0429,17.2203,16.858,16.8728,7859599
2017-06-30,16.8728,16.9615,16.3626,16.7471,9985771
2017-07-03,16.8137,17.1464,16.7767,16.8876,4411562
2017-07-05,16.9246,17.0355,16.7619,16.9985,7358342
2017-07-06,16.9689,17.1907,16.8211,16.9467,5794976
2017-07-07,16.9542,17.2425,16.8506,17.102,4078260
2017-07-10,17.3608,17.8562,17.1908,17.6196,7051510
2017-07-11,17.6861,17.9006,17.5235,17.7601,5650493
2017-07-12,17.908,18.078,17.8044,17.8858,3638160
2017-07-13,18.0854,18.1446,17.8636,18.078,5811667
2017-07-14,17.9449,18.1593,17.8192,18.0336,3421696
2017-07-17,18.0411,18.6547,17.9819,18.4477,5603158
2017-07-18,18.4181,18.5143,18.2481,18.396,3658372
2017-07-19,18.4847,18.6326,18.3516,18.5734,2918482
2017-07-20,18.529,18.7213,18.2924,18.2998,7933145
2017-07-21,18.322,18.6399,18.2407,18.6399,4952853
2017-07-24,19.054,19.2241,18.3368,18.6104,7415587
2017-07-25,18.8544,19.298,18.7878,19.1649,6073250
2017-07-26,19.1871,19.1871,18.9061,18.9209,3918259
2017-07-27,19.0096,19.0762,18.5142,18.5734,4363184
