date,open,high,low,close,volume
2016-04-21,92.0597,94.283,91.9844,93.768,6294514
2016-04-22,93.856,94.8357,92.6375,93.2656,5430727
2016-04-25,93.0521,93.5168,92.3926,93.4603,2979949
2016-04-26,93.3598,94.0758,92.8888,93.6299,3116871
2016-04-27,93.7994,94.6976,93.5608,94.5029,3254315
2016-04-28,94.0507,94.3207,92.154,92.3675,3965909
2016-04-29,92.0032,92.5371,90.5587,91.6578,4420187
2016-05-02,92.0472,92.3235,90.7095,91.237,3663510
2016-05-03,90.8476,91.0046,89.7485,90.521,3749178
2016-05-04,90.0374,91.0674,90.006,90.5964,2695647
2016-05-05,91.6641,92.512,91.3501,91.9907,6800255
2016-05-06,91.8575,93.8296,91.6102,93.3984,5121007
2016-05-09,93.6584,93.9754,93.2208,93.4301,4500310
2016-05-10,94.0008,95.1422,93.6837,95.0978,4176364
2016-05-11,94.9329,95.808,94.3179,94.451,3235278
2016-05-12,94.6159,94.73,93.2842,94.3812,3398663
2016-05-13,94.3495,95.028,93.4808,93.671,2508308
2016-05-16,93.6266,95.1105,93.4935,94.7744,3210279
2016-05-17,94.6159,94.7998,93.3984,93.8486,3651168
2016-05-18,93.8423,94.1783,92.8087,93.4301,2605691
2016-05-19,92.8847,93.1701,91.2868,91.9019,3855138
2016-05-20,92.3965,93.5379,92.295,93.373,3840389
2016-05-23,93.6013,93.8169,92.9989,93.0686,2200575
2016-05-24,93.1384,94.3242,93.1384,94.0452,3064048
2016-05-25,94.4383,96.4421,94.1657,96.1885,4555644
2016-05-26,96.0997,96.7085,95.7827,96.6641,3203793
2016-05-27,96.607,96.9748,96.4802,96.9177,2570127
2016-05-31,96.7402,97.5328,96.5563,97.4884,6105084
2016-06-01,97.0192,97.1904,96.0934,96.7085,2785916
2016-06-02,96.7592,97.3362,96.4612,97.3362,2764160
2016-06-03,96.6387,97.0445,96.1948,96.9494,2435402
2016-06-06,97.0762,97.6216,96.6007,96.848,2488120
2016-06-07,97.2157,97.6089,96.8035,97.2284,4670390
2016-06-08,97.3552,97.7104,97.0445,97.6533,3070010
2016-06-09,96.9684,97.5011,96.848,97.2855,2114803
2016-06-10,96.886,97.2284,96.2963,96.6197,3264148
2016-06-13,96.1504,96.7021,95.2944,95.9285,3776478
2016-06-14,95.9285,96.2519,95.3705,95.789,2997627
2016-06-15,96.0426,96.2519,95.4973,95.548,2364378
2016-06-16,95.2373,95.9348,94.4827,95.789,2561759
