date,open,high,low,close,volume
2016-04-22,42.3375,42.7268,42.26,42.4802,2898000
2016-04-25,42.3921,42.5419,42.2124,42.3498,2897000
2016-04-26,42.4961,43.0721,42.2776,43.0492,2367500
2016-04-27,42.9506,43.0932,42.4978,42.8924,2000000
2016-04-28,42.5313,42.9048,42.3076,42.4291,1738000
2016-04-29,42.186,42.415,41.9535,42.2829,3020500
2016-05-02,42.371,43.1144,42.1737,43.1021,4452000
2016-05-03,42.6775,42.9453,41.9429,42.4503,3408000
2016-05-04,44.9218,46.2764,44.9218,45.5348,14339000
2016-05-05,45.6246,45.8166,44.7139,44.7474,7107000
2016-05-06,44.7385,45.5489,44.536,45.4766,3986500
2016-05-09,45.5753,46.2235,45.5224,45.8888,5617000
2016-05-10,45.8941,46.2588,45.681,45.9805,5001500
2016-05-11,45.947,46.0861,45.3745,45.5453,2994000
2016-05-12,45.8166,46.3803,45.5136,46.1777,2766500
2016-05-13,45.9963,46.3838,45.7831,45.799,3528000
2016-05-16,45.917,46.3469,45.6792,46.0844,3592500
2016-05-17,45.9769,46.2394,45.1525,45.3745,3748500
2016-05-18,45.2723,46.0932,45.1296,46.058,3054500
2016-05-19,46.065,46.3257,45.7197,45.9117,4610500
2016-05-20,46.1954,46.7908,46.109,46.3275,5796000
2016-05-23,46.2042,46.6234,46.065,46.5019,3196000
2016-05-24,46.5952,47.8213,46.5036,47.6839,6396500
2016-05-25,47.7033,47.8653,47.4549,47.5623,3890500
2016-05-26,47.4707,47.6064,47.0497,47.21,3203500
2016-05-27,47.4602,47.6874,47.2065,47.5993,2842500
2016-05-31,47.7737,47.9058,47.4566,47.7596,3266500
2016-06-01,47.7596,47.7596,46.8648,47.4003,3996000
2016-06-02,47.1818,47.3791,46.7784,47.0761,3801500
2016-06-03,46.6868,46.8366,46.3328,46.7714,4872000
2016-06-06,46.7379,46.819,46.109,46.5935,4609500
2016-06-07,46.5952,47.0444,46.5547,46.7326,3855000
2016-06-08,46.6111,46.708,46.3557,46.6498,2272500
2016-06-09,46.3997,46.4948,46.0421,46.2447,3510500
2016-06-10,45.9928,46.2517,45.8237,46.028,2980500
2016-06-13,45.8008,46.2887,45.5207,45.8994,3665500
2016-06-14,45.7616,46.1115,45.4275,45.6007,3985500
2016-06-15,45.6325,45.9913,45.2384,45.3374,3974500
2016-06-16,45.0016,45.4682,44.7878,45.3427,2927000
2016-06-17,45.3763,45.3851,44.7666,44.8302,3280500
2016-06-20,45.1836,45.6219,44.5368,44.5722,4078500
2016-06-21,44.6199,44.7966,44.3071,44.353,3463500
2016-06-22,44.4414,44.5951,44.1091,44.5368,3391500
2016-06-23,44.9133,45.2809,44.816,45.2526,3844500
2016-06-24,43.7981,44.5739,43.4322,43.5471,12361500
2016-06-27,43.3492,43.3492,42.5486,42.8066,4475500
2016-06-28,43.1441,43.8882,42.8031,43.8882,5460500
2016-06-29,44.2081,44.816,44.0649,44.6711,4377000
2016-06-30,44.7153,45.3763,44.4679,45.2367,4280000
2016-07-01,45.0529,45.5513,44.6128,44.6676,2740500
2016-07-05,44.3707,45.1165,44.3406,45.044,2731500
2016-07-06,44.7453,45.1006,44.5774,45.0458,3859000
2016-07-07,45.0387,45.2402,44.4184,44.8832,3344000
2016-07-08,44.9344,45.6944,44.9344,45.401,2346500
2016-07-11,45.4116,45.675,45.1766,45.5866,1897500
2016-07-12,45.8711,46.1574,45.652,46.0355,3095500
2016-07-13,46.313,46.313,45.6997,45.8764,1821000
2016-07-14,46.3041,46.3996,46.0443,46.3996,1978000
2016-07-15,46.5675,46.5675,46.389,46.4897,2296500
2016-07-18,46.5127,46.7371,46.336,46.465,2020000
2016-07-19,46.2122,46.8644,46.1751,46.6876,1545000
2016-07-20,46.8344,46.8344,46.3695,46.4279,3432000
2016-07-21,46.2829,46.4049,46.0797,46.3819,1464500
2016-07-22,46.5922,46.5975,46.4084,46.5109,1401000
2016-07-25,46.4756,46.5798,46.2228,46.5533,1518000
2016-07-26,46.4332,46.5957,46.1415,46.3218,1286000
2016-07-27,46.3253,46.776,46.3253,46.6647,1866000
2016-07-28,46.5763,47.0217,46.4986,46.8803,2936000
2016-07-29,46.8078,47.0358,46.6647,46.693,1873500
2016-08-01,46.7813,46.8662,46.5463,46.7689,2236000
2016-08-02,46.7053,46.7053,46.3483,46.6452,3097000
2016-08-03,47.9054,50.0597,47.7198,49.1354,10269500
2016-08-04,49.2238,49.4871,48.911,49.192,3666500
2016-08-05,49.4977,49.5278,48.8279,49.1442,3286500
2016-08-08,49.0223,49.0223,48.5186,48.9198,2953000
2016-08-09,49.0064,49.0559,48.7766,48.9498,1960000
2016-08-10,48.9127,49.0046,48.7148,48.9251,1937000
2016-08-11,49.146,49.268,48.8014,49.2379,1798000
2016-08-12,48.9198,49.3015,48.8279,49.245,1714000
2016-08-15,49.427,49.5419,49.2485,49.4889,2393000
2016-08-16,49.3086,49.5878,49.1513,49.1513,1932500
2016-08-17,49.2397,49.8052,49.1955,49.754,2056500
2016-08-18,49.7292,49.8247,49.6179,49.7257,1989000
2016-08-19,49.6727,49.8194,49.3386,49.5437,1828500
2016-08-22,49.5436,49.6232,49.3245,49.3952,1676000
2016-08-23,49.7151,49.7151,49.2432,49.2874,1542000
2016-08-24,49.1796,49.268,48.8756,48.9799,2212000
2016-08-25,48.8915,49.0453,48.7872,48.987,1888000
2016-08-26,49.0965,49.3687,48.7872,49.0753,1674000
2016-08-29,49.0789,49.556,49.0082,49.2308,2274500
2016-08-30,49.2856,49.5119,48.9163,49.4783,2975000
2016-08-31,49.3563,49.8653,49.2626,49.8423,3154500
2016-09-01,49.9395,50.6288,49.7787,50.2541,3703500
2016-09-02,50.4079,50.4697,50.1074,50.4344,1921000
2016-09-06,50.4945,50.726,50.1569,50.3443,3946000
2016-09-07,50.0367,50.1852,49.7769,50.1304,2363000
2016-09-08,50.0244,50.1039,49.7681,49.9325,2683000
2016-09-09,49.7875,50.0756,49.549,49.883,4113500
2016-09-12,49.2733,50.498,49.2733,50.3672,4145500
2016-09-13,50.0332,50.2205,49.5984,49.7769,4095000
2016-09-14,49.7752,50.0358,49.566,49.5997,4206000
2016-09-15,49.6121,50.096,49.6015,49.94,2561000
2016-09-16,49.7592,50.0003,49.4933,49.901,3187000
2016-09-19,50.0304,50.2449,49.8337,50.034,1803000
2016-09-20,50.1208,50.3141,49.6724,49.6724,1459000
2016-09-21,49.7858,50.0819,49.6351,50.0358,1703000
2016-09-22,50.2113,50.2733,49.5571,49.7628,1952000
2016-09-23,49.6936,49.6989,48.9456,48.9456,2997500
2016-09-26,48.8817,49.0005,48.4474,48.5786,2608000
2016-09-27,48.4634,48.7275,48.2844,48.4882,2403000
2016-09-28,48.5414,48.6407,47.7614,48.0326,3871000
2016-09-29,47.8678,48.3056,47.3448,47.5788,2953500
2016-09-30,47.8359,48.0503,47.6852,47.749,3410500
2016-10-03,47.5682,47.7933,47.3626,47.4494,4497000
2016-10-04,47.5061,47.9068,47.398,47.4654,2449000
2016-10-05,47.5008,47.6214,47.265,47.5629,3207500
2016-10-06,47.4264,47.5753,47.2899,47.4583,1792500
2016-10-07,47.5256,47.5558,47.1144,47.3856,1692500
2016-10-10,47.6604,47.827,47.32,47.5788,2680000
2016-10-11,47.5965,47.71,46.9619,47.0382,3266500
2016-10-12,47.1179,47.4654,46.8963,47.3891,2350500
2016-10-13,47.1303,47.3235,46.9176,47.2526,3073000
