date,open,high,low,close,volume
2016-04-21,73.966,74.2313,73.5151,73.6389,399200
2016-04-22,73.3825,74.134,73.3029,73.8068,349600
2016-04-25,73.4974,74.0367,73.0554,73.0907,215200
2016-04-26,73.7008,74.4169,73.1526,74.3816,315100
2016-04-27,74.5142,74.8236,73.7008,74.0898,295900
2016-04-28,73.8511,73.9041,72.6575,72.8343,253600
2016-04-29,72.8166,73.02,72.0032,72.4099,268600
2016-05-02,72.463,73.0642,71.906,72.9139,320700
2016-05-03,72.5249,72.6045,71.7027,72.0652,225100
2016-05-04,71.7822,72.1535,70.8716,71.4286,414100
2016-05-05,71.6408,72.2331,71.5081,71.8972,567700
2016-05-06,71.4639,72.7194,71.4639,72.6752,245400
2016-05-09,72.3039,72.5602,71.906,72.0563,241800
2016-05-10,72.2243,72.8609,72.2243,72.7371,297500
2016-05-11,72.7194,72.9846,72.2243,72.3304,247300
2016-05-12,72.6575,73.2676,72.127,72.7901,314000
2016-05-13,72.6398,73.0023,71.5789,71.8087,179500
2016-05-16,71.9856,73.1438,71.9856,72.7813,246500
2016-05-17,72.7636,73.2675,71.8618,72.295,222300
2016-05-18,72.074,72.9316,71.6142,72.1978,322600
2016-05-19,71.8441,72.1624,71.1368,72.0298,265300
2016-05-20,72.4541,72.852,72.3215,72.516,216500
2016-05-23,72.3304,72.967,72.127,72.7282,157700
2016-05-24,73.1614,74.0721,72.8166,73.9572,294400
2016-05-25,74.0279,74.4877,73.9483,74.1871,194300
2016-05-26,74.2666,74.6998,73.798,73.8157,205400
2016-05-27,73.9041,75.5486,73.5328,73.8599,263900
2016-05-31,73.8599,73.913,73.409,73.6831,351200
2016-06-01,73.524,74.355,73.1349,74.2047,160900
2016-06-02,74.1959,74.9386,74.0367,74.8413,256000
2016-06-03,74.6291,74.7706,74.1252,74.6556,142800
2016-06-06,74.859,75.9907,74.6998,75.8846,364700
2016-06-07,75.8934,76.3178,75.8669,76.1587,251100
2016-06-08,76.4151,77.0516,76.1675,76.866,223000
2016-06-09,76.3709,76.8129,76.0614,76.7599,127700
2016-06-10,76.6715,76.6803,75.8138,75.9818,326000
2016-06-13,75.9906,76.6449,75.5397,75.6458,284000
2016-06-14,75.3276,75.8492,74.6026,75.2745,241000
