date,open,high,low,close,volume
2016-04-22,94.232,94.749,93.5349,94.6393,388600
2016-04-25,94.1693,94.2555,93.4644,94.0832,403000
2016-04-26,94.1302,94.9683,93.715,94.2868,374500
2016-04-27,94.4043,94.7098,93.8247,94.2085,225500
2016-04-28,93.4095,94.42,93.151,93.5897,289800
2016-04-29,93.433,93.7464,92.6654,93.5819,318200
2016-05-02,93.809,94.2712,93.48,93.8482,436500
2016-05-03,93.0414,93.6915,92.6419,93.4957,338600
2016-05-04,93.151,94.3338,92.8064,92.9317,407800
2016-05-05,93.433,93.8795,92.7124,92.916,308600
2016-05-06,92.587,92.9709,91.7019,92.8925,614600
2016-05-09,92.963,93.9813,92.7594,93.9108,763800
2016-05-10,95.5636,99.8953,94.796,98.8848,1845500
2016-05-11,98.7125,99.1982,96.7934,96.8326,807000
2016-05-12,97.3182,98.9553,96.9501,98.8222,789400
2016-05-13,98.6107,99.3157,98.313,98.8927,740200
2016-05-16,98.83,100.3653,98.8222,100.1068,747200
2016-05-17,99.5507,100.0206,98.9945,99.8718,1130700
2016-05-18,99.4802,100.1146,98.8613,99.1903,1042100
2016-05-19,99.0885,100.3653,98.5089,100.2635,442300
2016-05-20,100.7648,101.1878,99.8405,100.287,584200
2016-05-23,100.099,100.334,99.3235,100.2008,329200
2016-05-24,100.381,100.6316,99.1198,100.4593,404800
2016-05-25,100.5063,101.3131,100.5063,101.0468,275100
2016-05-26,101.0859,101.2818,100.7648,100.9919,450900
2016-05-27,100.9841,101.3366,100.3888,101.3131,254500
2016-05-31,101.2113,101.3993,100.287,101.0468,513900
2016-06-01,101.0468,101.3758,100.428,100.9841,616400
2016-06-02,100.9058,100.9058,100.0128,100.8196,446800
2016-06-03,100.6473,100.8196,99.6995,100.522,580800
2016-06-06,100.9528,101.5481,100.4828,100.9214,495100
2016-06-07,101.1251,101.9632,100.7099,101.4619,314800
2016-06-08,101.6421,102.8484,100.9214,102.6212,380700
2016-06-09,101.9554,102.3001,101.4384,101.6734,482300
2016-06-10,101.0624,101.2269,99.8718,100.8588,726100
2016-06-13,100.6473,100.7178,99.7073,99.7465,403000
2016-06-14,99.1277,100.0285,97.5062,99.77,785500
2016-06-15,100.334,100.334,98.7752,98.8614,511300
2016-06-16,98.5559,98.8379,97.4592,98.642,767700
2016-06-17,98.6577,98.6969,97.3339,98.3052,568900
2016-06-20,98.8613,99.8953,98.8222,99.4801,692600
2016-06-21,99.9423,100.2087,99.5194,99.6995,431900
2016-06-22,99.9031,100.0676,99.0258,99.3705,723800
2016-06-23,100.3068,101.0778,99.7403,100.1022,569200
2016-06-24,97.3564,99.2918,95.7435,96.0975,1237200
2016-06-27,95.2871,95.6333,92.6986,94.0676,1452900
2016-06-28,94.4138,95.3815,93.7135,95.3186,613000
2016-06-29,96.3099,97.671,96.0896,97.4114,845600
2016-06-30,97.9543,99.2131,97.3799,99.1895,676500
2016-07-01,99.5043,100.7867,98.8748,99.1581,374700
2016-07-05,98.8748,99.2761,98.1667,98.8906,389500
2016-07-06,98.7017,99.9842,98.4578,99.9134,604300
2016-07-07,99.8898,101.0778,99.7246,100.354,445800
2016-07-08,101.125,102.0849,101.0385,101.9118,462900
2016-07-11,102.2816,102.5491,101.6443,101.7938,218000
2016-07-12,102.5334,103.446,101.6364,103.2257,416700
2016-07-13,103.4303,104.1384,103.273,104.044,384400
2016-07-14,104.697,104.9094,103.4618,103.6585,335900
2016-07-15,103.981,104.4138,103.7057,103.9338,353800
2016-07-18,103.7529,104.4374,103.2887,104.0282,262500
2016-07-19,103.5877,104.7521,103.5562,104.2564,325200
2016-07-20,104.6262,105.83,103.7765,105.3658,317700
2016-07-21,105.0589,105.232,104.1384,104.5397,216800
2016-07-22,104.6891,105.767,104.3666,105.4523,252500
2016-07-25,105.531,106.42,105.3107,106.4122,336300
2016-07-26,106.6482,106.6482,105.3658,105.7513,296600
2016-07-27,105.7198,105.7198,104.1305,104.7993,335900
2016-07-28,104.5869,105.1219,104.4531,104.8465,243700
2016-07-29,104.8072,105.0747,104.1856,104.8386,354700
2016-08-01,104.9173,105.1061,104.2564,104.9488,316300
2016-08-02,104.7993,104.8308,104.0676,104.5397,288700
2016-08-03,104.7757,105.4602,104.0597,105.4602,273600
2016-08-04,105.6412,107.5924,105.4995,106.8135,484700
2016-08-05,107.0337,107.1282,104.3587,105.4366,636700
2016-08-08,105.1612,105.3815,103.9732,104.4138,769500
2016-08-09,107.2934,109.9999,106.3414,107.3013,1327100
2016-08-10,107.3878,107.616,105.7907,106.6404,420600
2016-08-11,106.8213,107.4665,106.6168,107.0337,214200
2016-08-12,106.5774,107.3563,106.3492,106.6797,330800
2016-08-15,107.0022,107.018,106.4436,106.9157,292600
2016-08-16,106.8764,106.8764,105.2635,105.4602,394600
2016-08-17,105.6018,105.83,104.9016,105.6018,236300
2016-08-18,105.7277,107.2934,105.7277,107.1596,322400
2016-08-19,106.8292,108.3713,106.3964,108.206,328200
2016-08-22,108.1116,108.2611,107.4743,108.2532,156000
2016-08-23,109.0007,109.4177,108.0959,108.6467,205000
2016-08-24,108.623,109.0872,108.269,108.4657,279800
2016-08-25,108.2848,109.1502,107.9228,109.0007,171500
2016-08-26,109.1817,109.4885,106.7741,107.3327,310800
2016-08-29,107.4036,108.3713,107.4036,108.1431,259700
2016-08-30,108.4578,109.5278,108.1588,108.9299,417400
2016-08-31,108.7411,109.3233,108.6939,109.0322,358500
2016-09-01,108.7647,109.2131,108.1982,108.867,334300
2016-09-02,109.3941,109.575,108.7568,109.3547,280500
2016-09-06,109.6773,109.7954,108.686,109.1817,245200
2016-09-07,109.4492,109.6301,108.5916,109.6223,330800
2016-09-08,109.5672,109.575,108.985,109.0715,331200
2016-09-09,108.2611,108.4342,106.0109,106.0188,517400
2016-09-12,105.3973,106.3965,105.0983,106.2155,662900
2016-09-13,106.4987,108.5286,105.9165,106.2312,602500
2016-09-14,106.3807,106.3807,105.4051,105.885,306000
2016-09-15,105.7749,106.6875,105.3972,106.4358,269700
2016-09-16,106.365,107.1361,105.594,106.8843,453700
2016-09-19,107.3327,108.505,107.3327,108.4106,305500
2016-09-20,109.2682,109.3075,108.6073,108.7647,381800
2016-09-21,109.2131,111.0856,109.2131,111.0148,480300
2016-09-22,111.8526,112.3032,111.3942,112.1451,341900
2016-09-23,111.9949,112.1609,111.3626,111.3626,575800
2016-09-26,110.7224,111.3547,110.7145,110.8015,308100
2016-09-27,110.7224,111.6788,110.2561,111.6551,215300
2016-09-28,111.9554,112.3269,111.1255,112.232,357600
2016-09-29,112.153,112.8169,111.5918,112.2162,476400
2016-09-30,112.319,113.3623,112.0108,112.9987,369000
2016-10-03,112.9671,113.5282,112.1135,112.2004,432900
2016-10-04,112.153,112.8406,110.8252,110.9832,269400
2016-10-05,111.1966,111.3547,109.4736,109.5052,643600
2016-10-06,108.9362,109.7028,108.2881,109.2444,710100
2016-10-07,109.4341,109.4341,107.6953,108.6201,367000
2016-10-10,109.3314,109.6159,108.5252,108.8335,269500
2016-10-11,108.6991,108.6991,106.7311,107.0788,227800
2016-10-12,106.7864,106.7864,103.783,103.8146,836400
2016-10-13,102.7476,103.3641,101.4593,102.9136,851000
2016-10-14,103.538,103.538,102.1786,102.2023,451800
2016-10-17,102.5026,102.803,101.6649,102.0363,442800
2016-10-18,102.8425,102.8583,101.5779,102.7476,357100
2016-10-19,102.8504,103.2298,101.7439,102.2971,426000
2016-10-20,102.2102,102.9136,101.9888,102.1232,269800
2016-10-21,101.6411,102.6607,101.2854,102.55,259100
2016-10-24,102.9374,103.459,102.637,103.1587,367700
2016-10-25,102.8267,103.1507,101.8387,103.1428,358200
2016-10-26,103.0243,104.8342,102.8662,104.3758,743800
2016-10-27,104.5655,105.6562,104.3284,105.4191,720900
2016-10-28,105.593,106.6679,105.593,106.3359,812900
2016-10-31,106.6125,106.6125,103.2772,103.3641,726400
2016-11-01,103.459,105.9012,103.459,105.7826,785000
2016-11-02,105.751,105.8854,103.1428,103.2614,493900
2016-11-03,103.2693,103.5222,102.1311,102.1865,380200
2016-11-04,102.4078,103.0638,101.0958,101.6886,715400
2016-11-07,102.7713,104.3047,102.2734,103.6328,715500
2016-11-08,98.3137,100.8112,94.6148,99.6336,2196700
2016-11-09,97.7762,98.8353,96.4247,98.0292,1540100
2016-11-10,98.3295,98.4718,93.2712,93.6347,2154400
2016-11-11,93.5873,94.5594,93.2711,93.5794,680700
2016-11-14,93.6426,94.0931,92.2595,92.8839,837700
2016-11-15,92.9155,94.0931,92.7574,93.3107,596000
2016-11-16,93.3107,95.6739,93.121,95.5,644000
2016-11-17,95.7845,96.0453,94.2591,94.4093,693600
2016-11-18,94.1642,95.0178,92.7179,94.6701,608900
2016-11-21,94.4962,95.6106,94.4962,94.8835,413900
2016-11-22,94.8044,95.5158,94.5831,95.1127,747200
2016-11-23,94.8361,95.8082,94.757,95.1048,623900
2016-11-25,95.0969,96.3457,95.0574,95.1443,365100
2016-11-28,95.3261,95.7371,94.6622,95.1206,452900
2016-11-29,95.168,96.3456,94.844,95.8319,345200
2016-11-30,95.7529,96.1006,95.247,95.6738,564200
2016-12-01,95.6897,95.9821,93.3265,93.6663,772100
2016-12-02,94.0457,94.9783,93.5478,94.8993,607300
2016-12-05,95.3419,95.8319,94.1563,95.6422,631100
2016-12-06,95.6659,96.5195,95.1127,96.2587,535100
2016-12-07,96.0532,98.8511,96.0532,98.5271,547600
2016-12-08,98.5271,99.7284,98.0212,99.3965,657900
2016-12-09,99.3965,99.7917,98.1003,99.0329,485500
2016-12-12,99.4123,99.6494,97.1439,97.3731,446500
2016-12-13,97.3811,97.792,95.824,96.2271,738000
2016-12-14,96.5986,96.9701,93.5083,93.6031,800400
2016-12-15,93.5478,95.0099,93.2632,94.9783,636500
2016-12-16,94.2828,94.844,92.1883,93.2711,1460400
2016-12-19,93.5398,93.777,92.7179,93.1605,620400
2016-12-20,93.1526,93.5478,92.4729,93.0973,373900
2016-12-21,93.3581,94.267,92.6547,93.4529,535000
2016-12-22,93.1842,94.3302,93.0657,94.3302,466600
