date,open,high,low,close,volume
2017-02-01,15.8652,16.1178,15.6284,15.7863,30833000
2017-02-02,15.8178,16.1099,15.8178,15.9678,4901200
2017-02-03,16.0625,16.4177,16.0231,16.2835,2631500
2017-02-06,16.6861,16.6861,16.2204,16.3625,1836800
2017-02-07,16.3783,16.4651,16.2756,16.4177,3521100
2017-02-08,16.4177,16.5124,16.3625,16.4493,973600
2017-02-09,16.4888,16.5519,16.4414,16.4809,1798600
2017-02-10,16.5124,17.2623,16.4019,16.5914,1560800
2017-02-13,16.6861,16.7255,16.5401,16.5756,896000
2017-02-14,16.4888,16.615,16.3783,16.5993,1143100
2017-02-15,16.7019,16.7019,16.4651,16.5045,1065700
2017-02-16,16.4177,16.615,16.4019,16.544,740500
2017-02-17,16.5203,16.7453,16.3862,16.694,664000
2017-02-21,16.8124,16.9702,16.7966,16.9466,793300
2017-02-22,16.9308,17.0886,16.8913,17.0255,675100
2017-02-23,17.1123,17.2149,16.8676,17.0334,641400
2017-02-24,16.986,17.136,16.9702,17.0492,763700
2017-02-27,17.0334,17.357,17.0097,17.2149,1159300
2017-02-28,17.2939,17.4833,17.1794,17.1991,1583600
2017-03-01,17.4754,17.4801,16.7098,16.9939,1414400
2017-03-02,17.0492,17.1912,16.8361,17.1439,1123500
2017-03-03,17.0176,17.3254,16.7808,17.2149,1077800
2017-03-06,17.1912,17.3649,17.065,17.3018,1333200
2017-03-07,17.207,17.3491,16.9702,17.2149,709000
2017-03-08,17.1912,17.2228,16.986,17.0097,797600
2017-03-09,17.0492,17.1597,16.6072,16.765,1303100
2017-03-10,16.7966,17.0018,16.7966,16.8913,1193700
2017-03-13,16.8834,17.2386,16.6229,16.8755,1841000
2017-03-14,16.8755,16.9308,16.615,16.7729,778200
2017-03-15,16.8834,17.0492,16.769,16.986,1520800
2017-03-16,17.0492,17.1123,16.7729,16.9545,1181800
2017-03-17,17.0097,17.1991,16.9466,17.0492,8630200
2017-03-20,16.9702,17.0886,16.8518,17.0018,1357800
2017-03-21,17.0334,17.0334,16.8242,16.8834,1762900
2017-03-22,16.8992,16.9939,16.7737,16.9702,1419100
2017-03-23,16.8518,17.0097,16.7887,16.9623,1571300
2017-03-24,16.9939,17.1281,16.9702,17.0334,1069100
2017-03-27,16.9387,17.0492,16.8913,16.9939,894600
2017-03-28,16.9308,17.1123,16.9308,17.0807,988400
2017-03-29,17.136,17.1991,17.065,17.1202,878500
2017-03-30,17.1912,17.2544,17.0413,17.1676,551700
2017-03-31,17.1912,17.3491,16.986,17.2307,5648400
2017-04-03,17.2465,17.2781,17.0176,17.0728,1013700
2017-04-04,16.9387,17.2544,16.9308,17.0018,1355800
2017-04-05,17.0965,17.1028,16.9308,17.0334,766800
2017-04-06,16.9623,17.2228,16.9387,17.1281,924900
2017-04-07,17.1755,17.2386,17.0334,17.0571,394100
2017-04-10,17.0492,17.1794,17.0492,17.0807,400700
2017-04-11,17.1202,17.1202,16.915,17.0097,1138800
