date,open,high,low,close,volume
2016-04-21,20.5561,20.7023,20.3591,20.5307,3097600
2016-04-22,20.5879,20.7785,20.4227,20.5625,2330200
2016-04-25,20.4417,20.5498,20.1304,20.2193,3400400
2016-04-26,20.3591,20.6197,20.2193,20.607,2610300
2016-04-27,20.5307,20.8738,20.4799,20.7976,3289400
2016-04-28,20.2765,20.41,19.908,20.0097,5301500
2016-04-29,19.8,19.9207,19.3869,19.7047,3882000
2016-05-02,19.5903,19.9715,19.495,19.7364,3829300
2016-05-03,19.4505,19.4505,18.8341,19.1455,5328100
2016-05-04,18.9421,19.0883,18.7388,18.8849,2746500
2016-05-05,18.9421,19.0565,18.6562,18.7261,3499700
2016-05-06,18.6054,18.8722,18.4783,18.8468,2937600
2016-05-09,18.8405,18.9294,18.7007,18.7706,2314900
2016-05-10,18.8913,19.101,18.8595,19.0565,2768400
2016-05-11,18.8897,19.018,18.6139,18.6332,3562300
2016-05-12,18.8128,18.9603,18.5305,18.6396,2679700
2016-05-13,18.5819,18.8641,18.1842,18.2034,3403800
2016-05-16,18.2419,18.4023,18.1329,18.2483,5191400
2016-05-17,18.1842,18.4792,18.011,18.2227,5230800
2016-05-18,18.2227,18.5947,18.1842,18.5947,5730000
2016-05-19,18.3894,18.6011,18.2034,18.4664,4261500
2016-05-20,18.6268,18.9988,18.5755,18.9475,5756600
2016-05-23,18.8705,19.2169,18.8705,19.1591,4309400
2016-05-24,19.2874,19.7941,19.2618,19.7108,4962900
2016-05-25,19.8711,20.1598,19.8134,20.1213,4559800
2016-05-26,20.102,20.1405,19.9288,19.9481,3212000
2016-05-27,19.993,20.2431,19.8839,20.1726,2535700
2016-05-31,20.2431,20.3137,20.0058,20.1405,3503800
2016-06-01,19.9224,20.1405,19.6594,20.0828,2468600
2016-06-02,19.8839,19.8839,19.6017,19.7749,2800700
2016-06-03,19.4991,19.5953,19.2489,19.5055,5252900
2016-06-06,19.5568,19.8006,19.4734,19.6338,6585000
2016-06-07,19.6594,19.6915,19.1399,19.1463,5261600
2016-06-08,19.1399,19.3259,18.9475,18.9795,6012100
2016-06-09,18.8256,18.8256,18.4151,18.646,5232400
2016-06-10,18.3445,18.383,18.1457,18.2291,4298200
2016-06-13,18.088,18.4151,17.902,17.9276,6001200
2016-06-14,17.8442,17.9918,17.4658,17.5748,4759500
2016-06-15,17.6903,17.9725,17.5492,17.5748,4708500
2016-06-16,17.3439,17.6646,17.2028,17.6454,4304900
2016-06-17,17.6839,17.9982,17.6326,17.7865,8511500
2016-06-20,18.2419,18.4857,18.2419,18.3638,7407000
2016-06-21,18.4279,18.5049,18.2868,18.3766,4109100
2016-06-22,18.4728,18.6973,18.4087,18.4536,3621200
2016-06-23,18.7807,19.0116,18.7615,18.9988,3043200
2016-06-24,17.6069,17.639,16.3882,16.401,13759700
2016-06-27,16.0162,16.0162,14.7654,14.8552,10701900
2016-06-28,15.2465,15.5095,15.0669,15.3876,10607100
2016-06-29,15.6762,15.9456,15.5351,15.9392,6766500
2016-06-30,16.0354,16.3818,15.8815,16.3818,8218500
2016-07-01,16.3433,16.6833,16.2022,16.2471,4681600
