date,open,high,low,close,volume
2016-04-21,33.0993,33.3513,33.0535,33.1299,657680
2016-04-22,33.2444,33.6415,33.2215,33.4277,690443
2016-04-25,33.2444,33.5881,33.0993,33.3055,656108
2016-04-26,33.4582,34.0005,33.4582,33.8936,713051
2016-04-27,33.9088,34.3976,33.8707,34.3289,501481
2016-04-28,33.9929,34.5962,33.8783,33.9852,767091
2016-04-29,33.9012,34.4358,33.8095,34.0463,776521
2016-05-02,34.0768,34.2754,33.7637,34.2754,587680
2016-05-03,33.8401,34.5045,33.5499,34.4205,2586954
2016-05-04,34.3671,34.5274,33.6568,33.947,1282596
2016-05-05,34.3671,35.6043,33.9394,35.5814,2128029
2016-05-06,35.5508,37.1699,35.421,37.1546,3394909
2016-05-09,37.4601,38.2162,37.2081,37.6052,2971769
2016-05-10,37.8496,38.6362,37.651,38.514,1925889
2016-05-11,38.4911,38.5827,38.1932,38.2391,1373027
2016-05-12,38.4147,38.7355,38.0252,38.0405,1618932
2016-05-13,38.0405,38.3384,37.4066,37.5288,1320074
2016-05-16,37.7503,38.4758,37.6969,38.2773,1581212
2016-05-17,38.1856,38.3766,37.6052,37.6663,1648551
2016-05-18,37.567,38.3002,37.1928,37.7274,2564830
2016-05-19,37.3837,37.7045,36.9179,37.3608,1272683
2016-05-20,37.6968,37.9489,37.4219,37.5899,1272925
2016-05-23,37.5517,37.6816,36.9713,37.147,2028047
2016-05-24,37.4219,37.4907,37.1775,37.4219,1448346
2016-05-25,37.7885,38.3536,37.7045,38.2009,1056035
2016-05-26,38.3231,38.4835,37.9031,38.2009,732999
2016-05-27,38.1169,38.3155,37.9565,38.3002,685365
2016-05-31,38.3155,38.8195,38.2009,38.7126,1246569
2016-06-01,38.5446,38.9493,38.3765,38.8577,1144774
2016-06-02,38.6897,38.9952,38.5369,38.7813,1468415
2016-06-03,39.0028,39.5221,38.5598,39.3312,1254790
2016-06-06,39.4228,39.6978,39.2472,39.6825,1015897
2016-06-07,39.6214,39.7131,39.3694,39.5374,748715
2016-06-08,39.7054,40.4691,39.6749,40.1789,1407846
2016-06-09,39.8887,40.1331,39.5374,40.1025,819803
2016-06-10,39.6596,39.7971,39.2701,39.377,849785
2016-06-13,39.209,39.4228,38.7279,38.7431,935985
2016-06-14,38.7355,39.0181,38.5751,38.9646,634588
2016-06-15,39.1632,39.3541,38.9188,38.9722,1243305
2016-06-16,38.7202,38.957,38.3231,38.9264,789095
2016-06-17,38.9493,39.3006,38.8042,39.1326,1263374
2016-06-20,39.6825,40.0796,39.6443,40.0109,860666
2016-06-21,39.9269,39.9956,39.5527,39.8658,712325
2016-06-22,40.0338,40.2095,39.8429,39.9574,540772
2016-06-23,40.4615,40.7288,40.2476,40.5531,1038384
2016-06-24,38.1551,39.293,37.7579,37.9336,2179168
2016-06-27,37.5747,38.4453,36.2534,36.3909,1389832
2016-06-28,36.8873,37.0324,36.0014,36.5513,1454633
2016-06-29,37.0935,37.399,36.5055,37.231,1345342
2016-06-30,37.3379,38.178,37.0477,38.0405,1417034
2016-07-01,38.1092,38.6286,37.8114,37.9871,785710
2016-07-05,37.8878,37.8878,36.7575,37.1546,1279332
2016-07-06,37.0935,38.0405,36.8568,38.0176,1235688
2016-07-07,38.1169,38.5293,37.9947,38.1627,1052167
2016-07-08,38.4835,39.2243,38.4147,39.1403,662999
2016-07-11,39.3541,39.8887,39.3541,39.5985,1285014
2016-07-12,39.7283,40.683,39.7283,40.5455,1209212
2016-07-13,40.8892,41.0419,40.156,40.3164,758266
2016-07-14,40.5837,40.851,40.3317,40.3546,768421
2016-07-15,40.4004,40.6753,40.1255,40.2477,742670
2016-07-18,40.2018,40.5379,39.8658,40.1865,906002
2016-07-19,40.2018,40.2782,39.8505,40.0873,616816
2016-07-20,40.0643,40.7899,39.7512,40.7211,710753
2016-07-21,40.8204,41.2328,40.5073,40.7441,779181
2016-07-22,40.6753,40.7364,40.3928,40.5379,907574
2016-07-25,40.3775,40.5837,40.2171,40.4691,500151
2016-07-26,40.6295,41.1641,40.576,41.1412,635435
2016-07-27,41.1641,41.6529,41.0648,41.5994,1012754
2016-07-28,41.4925,41.6223,40.9732,41.3016,484434
2016-07-29,41.2634,41.2634,40.7059,40.8739,723206
2016-08-01,40.8204,41.0343,40.3775,40.851,748957
2016-08-02,40.767,40.8204,40.24,40.4691,973704
2016-08-03,40.4233,40.5531,40.0949,40.4768,776763
2016-08-04,40.4233,40.8052,40.3087,40.4844,695762
2016-08-05,40.6753,41.1946,40.6677,41.0572,1422111
2016-08-08,41.1794,41.5307,40.7059,40.7746,1365894
2016-08-09,41.4619,42.6839,40.8815,42.4395,1752402
2016-08-10,42.2944,42.3861,41.6223,41.714,1495496
2016-08-11,41.5994,42.0042,40.767,41.5536,1481593
2016-08-12,41.4085,41.4849,40.767,40.8663,874932
2016-08-15,41.0495,41.6452,40.8663,41.4314,751738
2016-08-16,41.187,41.4161,40.7823,41.0037,897781
2016-08-17,41.0725,41.1183,40.5302,40.6906,964758
2016-08-18,40.767,41.271,40.683,41.2176,630720
2016-08-19,41.1106,41.1412,40.576,41.0343,955933
2016-08-22,40.9426,41.3627,40.6677,41.3092,650305
2016-08-23,41.4085,41.8285,41.4085,41.7292,491084
2016-08-24,41.5383,41.8591,41.2328,41.3245,505349
2016-08-25,41.271,41.5612,41.1717,41.5078,923169
2016-08-26,41.7216,42.1875,41.3932,41.6071,866348
2016-08-29,41.546,42.1035,41.4925,41.8133,1099558
2016-08-30,41.8133,41.8973,40.7975,40.8434,943843
2016-08-31,40.6142,40.6142,39.9727,40.24,901771
2016-09-01,40.2629,40.5073,39.4992,39.736,1229885
2016-09-02,40.0338,40.0644,39.6443,39.904,1156259
2016-09-06,40.0644,40.3164,39.2548,39.4534,857160
2016-09-07,39.3312,39.6061,39.1555,39.545,969715
2016-09-08,39.6061,39.7742,39.3618,39.3847,895605
2016-09-09,39.0944,39.1632,38.2925,38.3002,917246
2016-09-12,38.0634,38.8882,37.9565,38.6515,965725
2016-09-13,38.2544,38.5751,38.1169,38.3002,810856
2016-09-14,38.3002,38.3918,37.5823,37.651,853170
2016-09-15,37.7045,38.4224,37.5517,38.2925,719095
2016-09-16,38.0787,38.0787,37.5365,37.9336,890286
2016-09-19,38.094,38.6286,38.094,38.3918,953877
2016-09-20,38.6744,38.7737,38.1092,38.1169,456023
2016-09-21,38.1551,38.705,37.9107,38.6744,678232
2016-09-22,39.0715,39.3083,38.85,39.1097,458200
2016-09-23,38.9952,39.3083,38.6744,38.682,498579
2016-09-26,38.5522,39.0028,38.4911,38.7279,406214
2016-09-27,38.6668,38.8959,38.4453,38.7584,1098591
2016-09-28,39.0257,39.9116,39.0257,39.8734,1012029
2016-09-29,39.8734,40.3164,39.6672,39.6825,644381
2016-09-30,39.6901,39.8582,39.4687,39.4992,1409175
2016-10-03,39.3159,39.7054,38.9646,39.6825,939974
2016-10-04,39.6596,39.9498,39.1632,39.1937,682947
2016-10-05,39.5068,40.1178,39.4687,39.9651,753188
2016-10-06,39.8047,40.0262,39.461,40.0109,778093
2016-10-07,40.0338,40.0338,39.5221,39.5832,784259
2016-10-10,39.9193,40.156,39.5603,39.5909,434987
2016-10-11,39.4152,39.4228,38.178,38.262,689476
2016-10-12,38.2391,38.6973,37.8954,38.4606,983618
2016-10-13,38.0482,38.4758,37.9412,38.3307,628181
2016-10-14,38.5217,38.7737,38.2238,38.2238,946986
2016-10-17,38.2238,38.7508,38.1322,38.3995,522880
2016-10-18,38.9112,39.0486,38.5369,38.6286,616575
2016-10-19,38.8271,39.041,38.7355,38.7813,543069
2016-10-20,38.5598,38.8042,38.346,38.6973,599649
2016-10-21,38.3613,38.7355,38.0634,38.6057,621531
2016-10-24,38.9111,39.125,38.7966,38.934,468718
2016-10-25,38.7279,39.0028,38.4835,38.514,964879
2016-10-26,38.2238,39.0868,38.1093,38.8501,566161
2016-10-27,39.125,39.2014,38.6515,38.705,599407
2016-10-28,38.766,39.5909,38.7508,39.0257,616816
2016-10-31,39.2395,39.545,39.0868,39.3923,643535
2016-11-01,39.7054,39.7054,38.3536,38.7584,1157105
2016-11-02,38.7355,39.1021,38.4147,38.6057,626730
2016-11-03,38.7584,39.1097,38.262,38.9722,690080
2016-11-04,38.789,38.7966,37.6128,37.6128,1304116
2016-11-07,38.3002,38.4071,37.5441,37.7427,1803904
2016-11-08,37.7503,38.4758,37.5517,38.178,1050595
2016-11-09,40.4997,42.7297,40.4997,41.9355,3411955
2016-11-10,42.4548,43.2949,42.2257,42.6839,2023211
2016-11-11,42.5922,42.9283,42.2409,42.4777,1356827
2016-11-14,42.8977,44.9827,42.5541,44.7765,3275946
2016-11-15,44.9903,45.2729,44.3641,45.2042,1855164
2016-11-16,44.8452,45.2041,44.5321,44.7765,1760986
2016-11-17,44.8376,45.0438,44.6619,44.9292,1077071
2016-11-18,44.7688,44.8681,44.2266,44.4099,1154687
2016-11-21,44.6772,44.8299,44.2342,44.2953,1311491
2016-11-22,43.9517,45.6089,43.7378,45.3034,3814542
2016-11-23,45.2118,47.1669,45.2118,47.1134,2357612
2016-11-25,47.4265,47.5564,46.8767,47.48,770356
2016-11-28,47.4495,47.8237,47.2203,47.2891,1942694
2016-11-29,47.1974,47.4418,46.6399,47.1363,1657981
2016-11-30,47.6404,48.4347,47.3425,47.3578,2126578
2016-12-01,47.7167,48.2361,46.9301,47.0676,1560780
2016-12-02,47.1898,47.1898,45.9526,46.3268,1754457
2016-12-05,46.7392,46.7621,45.4944,45.7082,2589009
2016-12-06,45.7693,46.4185,45.6624,46.197,2168409
2016-12-07,46.4796,46.5559,45.9297,46.0519,1998911
2016-12-08,46.0519,47.1822,45.8457,46.5025,2113763
2016-12-09,46.701,47.1516,46.2352,47.0218,1287069
2016-12-12,47.0218,47.3502,46.7316,47.0294,1118176
2016-12-13,47.06,47.2738,46.197,46.281,1027141
2016-12-14,46.3192,46.6781,45.6853,45.7846,1466481
2016-12-15,45.7235,46.0748,45.2576,45.334,1051804
2016-12-16,45.3263,45.4791,44.8605,44.8987,2012572
2016-12-19,44.9674,45.4103,44.6237,44.8605,804570
2016-12-20,45.1125,45.3951,44.8299,45.3874,799613
2016-12-21,45.3416,45.3569,44.4175,44.6466,1042978
2016-12-22,44.6314,44.8223,44.1044,44.5626,706885
2016-12-23,44.471,44.6619,44.3259,44.4404,363054
2016-12-27,44.4557,44.723,44.2648,44.6543,517560
2016-12-28,44.7459,44.7459,43.6309,43.9058,835761
2016-12-29,44.0357,44.2724,43.5927,43.7454,538717
2016-12-30,43.8295,43.86,43.3789,43.5316,767091
2017-01-03,44.0586,45.3569,44.0586,44.4099,1493078
2017-01-04,44.7001,45.2271,44.5626,44.891,793689
2017-01-05,44.9063,45.2729,44.4252,44.723,780269
2017-01-06,44.7383,45.0514,44.2342,44.2801,857039
2017-01-09,44.1349,44.2495,43.3178,43.333,634709
2017-01-10,43.6309,43.9058,43.2796,43.7531,1325273
2017-01-11,43.8753,43.9898,43.3483,43.7684,826331
