date,open,high,low,close,volume
2016-04-22,28.9554,29.5385,28.9404,29.2993,3357398
2016-04-25,29.2694,29.2918,29.0675,29.2619,2772079
2016-04-26,29.2694,29.6357,29.2694,29.4862,2754602
2016-04-27,29.4862,29.8376,29.4488,29.6955,2936243
2016-04-28,29.4189,29.9871,29.3142,29.4563,2443750
2016-04-29,29.075,29.0974,28.5367,28.7984,3601974
2016-05-02,28.903,29.0301,28.5517,28.6488,2313010
2016-05-03,28.432,28.432,27.9087,28.2526,3342596
2016-05-04,28.1106,28.2526,27.647,27.9087,3548494
2016-05-05,27.9162,28.2377,27.819,27.8414,2581270
2016-05-06,27.6022,28.2003,27.4527,28.1554,2410802
2016-05-09,27.9984,28.2601,27.9685,28.1704,1664374
2016-05-10,28.275,28.6937,28.1853,28.6189,2625295
2016-05-11,28.6937,28.918,28.4769,28.7685,2674573
2016-05-12,28.7685,29.1946,28.6862,28.933,3431411
2016-05-13,28.8582,29.2918,28.5442,28.6862,1982771
2016-05-16,28.746,30.2114,28.5741,30.0768,4917391
2016-05-17,29.9572,30.3086,29.6432,29.9946,5730764
2016-05-18,29.845,30.3609,29.6581,30.0544,3836713
2016-05-19,29.875,30.2861,29.7329,30.1665,2989437
2016-05-20,30.3534,30.7796,30.346,30.7497,3933741
2016-05-23,30.7721,30.9964,30.6002,30.7945,3506760
2016-05-24,30.9291,31.7216,30.8693,31.6618,3276032
2016-05-25,31.7141,32.1403,31.6842,31.916,2980078
2016-05-26,32.1402,32.1926,31.7664,31.8711,2630739
2016-05-27,31.8412,32.0281,31.8038,31.9085,1953357
2016-05-31,31.9533,32.0431,31.6842,31.8636,2642772
2016-06-01,31.6692,32.3496,31.4599,32.3271,4078805
2016-06-02,32.2972,32.5215,32.1103,32.4767,3328175
2016-06-03,32.4468,32.4767,32.073,32.3421,2121628
2016-06-06,32.4542,32.5589,32.2299,32.3869,2966994
2016-06-07,32.4692,32.6412,32.4169,32.4617,2592157
2016-06-08,32.4991,32.6486,32.387,32.4767,3023817
2016-06-09,32.2524,32.7159,32.1627,32.6636,3172892
2016-06-10,32.4692,32.7757,32.3421,32.5141,2365535
2016-06-13,32.4916,32.7383,32.357,32.372,2686606
2016-06-14,32.3346,32.5739,32.1552,32.372,2121055
2016-06-15,32.4318,32.5141,32.1403,32.1851,2040835
2016-06-16,32.0655,32.3944,31.8038,32.3271,3423102
2016-06-17,32.3346,32.3496,32.0057,32.1403,2608965
2016-06-20,32.4991,32.7309,32.2225,32.2673,2521773
2016-06-21,32.2972,32.4842,32.1851,32.2823,2623576
2016-06-22,32.3346,32.5739,32.215,32.4991,1488463
2016-06-23,32.8355,32.8804,32.7084,32.8729,1699041
2016-06-24,31.6917,31.9608,30.9889,31.1011,8887517
2016-06-27,30.7646,30.802,29.7628,30.0693,4473889
2016-06-28,30.3759,30.66,29.9049,30.6076,5789115
2016-06-29,31.1011,31.273,30.8319,31.1758,3204025
2016-06-30,31.3253,32.073,31.3253,31.8487,4774618
2016-07-01,31.9533,32.4019,31.8487,32.058,2084479
2016-07-05,31.9533,31.9533,31.0487,31.0936,3520321
2016-07-06,30.9441,31.1085,30.5553,31.0711,3560909
2016-07-07,31.0712,31.3179,30.7721,31.1983,3152360
2016-07-08,31.3851,32.0206,30.1441,31.9758,4759816
2016-07-11,32.1253,32.3272,32.0206,32.1178,1666093
2016-07-12,32.3272,32.4991,32.1627,32.2225,3214244
2016-07-13,32.2374,32.4542,32.0206,32.3795,3308884
2016-07-14,32.6935,32.8654,32.387,32.4019,2038257
2016-07-15,32.5066,32.529,32.1178,32.2898,3139085
2016-07-18,32.4094,32.4169,32.1552,32.2599,1476526
2016-07-19,32.2524,32.372,32.1253,32.3047,2122679
2016-07-20,32.331,32.5338,32.2033,32.4737,3269252
2016-07-21,32.4888,34.3141,32.4888,33.5029,9185954
2016-07-22,33.4428,34.4043,33.3076,34.3742,5151175
2016-07-25,34.3592,34.3592,33.7958,33.931,2359041
2016-07-26,33.9536,34.3442,33.9536,34.239,2551092
2016-07-27,34.2616,34.6522,34.2165,34.3592,3130777
2016-07-28,34.2015,34.2015,33.7057,34.1113,1994518
2016-07-29,33.8109,34.3667,33.7958,34.2315,2258862
2016-08-01,34.2315,34.6973,33.9611,34.3742,3112632
2016-08-02,34.2616,34.3217,33.6231,33.8109,2564557
2016-08-03,33.6976,33.9392,33.4182,33.9392,3362937
2016-08-04,34.0072,34.0902,33.5164,33.6901,2056211
2016-08-05,33.8788,34.2563,33.8637,34.2186,1371667
2016-08-08,34.2563,34.4526,34.0298,34.1053,1204160
2016-08-09,34.2035,34.2035,33.6221,33.7731,1299851
2016-08-10,33.7429,33.8562,33.5919,33.7354,1175319
2016-08-11,33.7656,33.8335,33.3578,33.5919,2689185
