date,open,high,low,close,volume
2016-04-18,83.5509,84.3864,83.3002,84.2573,7772500
2016-04-19,84.8041,86.5511,84.675,85.5865,10526400
2016-04-20,85.9739,86.7334,85.8675,86.2701,8213400
2016-04-21,86.065,86.384,85.6548,86.2625,7884500
2016-04-22,86.1561,86.3992,85.7004,86.0726,7508700
2016-04-25,86.065,86.2473,85.4346,86.2169,6139900
2016-04-26,86.1713,86.2549,85.5637,85.7612,5853600
2016-04-27,85.7992,85.9815,85.4194,85.6549,5759300
2016-04-28,85.1459,85.6093,84.7965,85.4346,6640000
2016-04-29,85.1156,85.2371,84.6978,85.1308,7774500
2016-05-02,85.2371,85.67,85.0168,85.6396,5178800
2016-05-03,85.4953,85.9055,85.1611,85.5941,7554500
2016-05-04,85.1004,85.4802,84.8421,85.2371,5214600
2016-05-05,85.1308,85.9055,85.1004,85.7384,5404300
2016-05-06,85.5105,85.8675,85.2826,85.632,6099900
2016-05-09,85.8144,86.5815,85.6245,86.3764,6512700
2016-05-10,86.5891,87.3487,86.5283,87.098,8356400
2016-05-11,87.022,87.1664,86.8246,86.8701,6680700
2016-05-12,86.9689,87.1663,86.2397,86.7638,7156300
2016-05-13,86.5132,86.6575,86.103,86.2549,6779900
2016-05-16,86.1258,87.0676,86.065,86.9233,6222900
2016-05-17,86.9993,87.0144,86.0118,86.46,9233900
2016-05-18,86.2929,86.6119,85.7384,86.2777,8267900
2016-05-19,85.8219,85.8599,85.2219,85.7156,8232200
2016-05-20,85.8304,86.3811,85.4938,86.1669,7435200
2016-05-23,86.2664,86.3046,85.708,85.7998,6462300
2016-05-24,86.0751,86.8248,86.0751,86.2052,6125300
2016-05-25,86.58,87.0008,86.3276,86.7101,5453800
2016-05-26,86.5265,86.6871,86.3276,86.3658,3973600
2016-05-27,86.4729,86.7024,86.2052,86.4882,4647000
2016-05-31,86.6412,86.9243,85.9222,86.2052,10104700
2016-06-01,86.2052,86.4882,85.7309,86.274,4748900
2016-06-02,86.3429,87.7045,86.3352,87.5821,7310800
2016-06-03,87.5668,88.2706,87.2991,87.7887,6881700
2016-06-06,87.9493,88.7373,87.9187,88.5613,6349400
2016-06-07,88.7449,88.9132,88.3165,88.5307,6417400
2016-06-08,88.3701,88.699,88.2859,88.5843,5863800
2016-06-09,88.569,89.6476,88.4389,89.5022,7375500
2016-06-10,89.3033,89.6782,89.0127,89.5099,6067400
2016-06-13,89.6017,89.9918,89.3416,89.3416,7940900
2016-06-14,89.0815,89.6399,88.9668,89.594,6378400
2016-06-15,89.9918,90.0683,88.9973,89.0509,6371400
2016-06-16,88.5001,89.4181,88.1406,89.2268,6664300
2016-06-17,89.2116,89.2498,87.9799,88.3395,10702200
2016-06-20,89.1963,89.6094,89.0662,89.1504,5588200
2016-06-21,89.4946,89.617,88.875,88.875,5493500
2016-06-22,89.1504,89.6629,88.9744,89.0892,5833800
2016-06-23,89.6552,89.7929,89.2574,89.7929,6775900
2016-06-24,88.0258,89.594,87.9723,88.4542,13939500
2016-06-27,87.9723,89.2269,87.9723,89.158,10877400
2016-06-28,89.6323,90.5503,89.158,90.4432,10089600
2016-06-29,90.9098,91.3458,90.3437,91.2846,8341500
2016-06-30,91.1699,92.8758,91.1546,92.7916,11559900
2016-07-01,92.7917,92.9752,92.4015,92.784,7051400
2016-07-05,92.8376,94.2681,92.8223,93.5337,9334100
2016-07-06,93.2736,93.832,92.9752,93.8167,9332400
2016-07-07,93.7785,93.9468,93.3348,93.7173,6058700
2016-07-08,94.0921,94.1686,93.2965,93.9774,6129900
2016-07-11,93.8703,94.4363,93.6408,94.0386,6711600
2016-07-12,93.8244,94.2451,93.7938,94.0309,6415900
2016-07-13,93.8473,94.3981,93.5566,94.0921,5230800
2016-07-14,94.0768,94.6582,94.0232,94.2298,5322700
2016-07-15,94.6811,95.0866,93.8703,94.0921,7192800
2016-07-18,94.0921,94.2604,93.6637,94.1992,6599200
2016-07-19,95.4538,96.1958,94.3522,95.8133,11325700
2016-07-20,96.2646,96.4406,95.6527,95.7291,7334600
2016-07-21,95.7827,96.1881,95.5379,95.7368,5492600
2016-07-22,95.7138,95.8898,95.3543,95.645,5839200
2016-07-25,95.6756,95.7215,94.9642,95.5379,4880600
2016-07-26,95.645,96.0428,95.4308,95.7368,5589900
2016-07-27,95.6985,95.798,95.1172,95.4461,4812600
2016-07-28,95.6068,95.6221,95.1707,95.209,4320400
2016-07-29,95.1172,95.8668,95.1172,95.798,7020900
2016-08-01,95.8592,96.1652,95.6986,95.9281,4615100
2016-08-02,96.1193,96.3105,95.2243,95.5073,7158700
2016-08-03,95.6221,95.6221,94.6199,94.7806,5310600
2016-08-04,95.0407,95.1554,94.5817,94.75,4728200
2016-08-05,95.1478,95.1478,94.6735,95.0407,5146900
2016-08-08,94.8571,94.9718,94.2681,94.5893,5232500
2016-08-09,94.7882,94.8571,94.3446,94.4211,3941500
2016-08-10,94.5434,94.6888,94.2757,94.3675,4333500
2016-08-11,94.7423,94.9642,94.4517,94.6811,4052000
2016-08-12,94.4516,94.6811,94.0539,94.2604,4234800
2016-08-15,94.1839,94.2987,93.5413,93.5643,6469500
2016-08-16,93.4113,93.5719,91.8431,92.0496,11289100
2016-08-17,92.1797,92.8146,91.6825,92.7993,10442800
2016-08-18,92.6922,92.8605,91.7207,92.3479,8728000
2016-08-19,92.3402,92.4018,91.8859,92.3479,7798300
2016-08-22,92.3326,92.3326,91.601,91.7396,6544900
2016-08-23,92.1554,92.3788,91.6549,91.9783,5603200
2016-08-24,92.0091,92.1092,91.3469,91.4162,6303900
2016-08-25,91.5317,91.8012,91.1235,91.3084,5566000
2016-08-26,91.5163,92.2093,91.3007,91.6703,6482700
2016-08-29,91.8705,92.5097,91.6857,92.3479,5074900
2016-08-30,92.9255,92.9255,91.8397,92.0014,3820500
2016-08-31,92.0553,92.1169,91.6472,91.9013,5693100
2016-09-01,91.7858,91.9398,91.3314,91.7011,4551800
2016-09-02,91.9167,92.2632,91.5625,91.8859,5806400
2016-09-06,92.2402,92.3865,91.9167,92.2171,5280700
2016-09-07,92.2864,92.3711,91.9783,92.1092,4753800
2016-09-08,91.9244,92.271,91.7473,92.0014,4833000
2016-09-09,91.6626,91.7627,91.008,91.0465,7957300
2016-09-12,90.6846,91.986,90.392,91.7627,7239800
