date,open,high,low,close,volume
2016-04-21,49.6932,49.7762,48.9592,49.0224,2110700
2016-04-22,48.9969,49.9232,48.9969,49.8912,2409800
2016-04-25,49.7507,50.3639,49.5335,50.2937,2323800
2016-04-26,50.2809,50.8175,50.1531,50.2745,2315700
2016-04-27,50.6067,50.7856,49.821,50.53,2249600
2016-04-28,50.1787,50.6131,49.8848,50.0573,1962600
2016-04-29,49.5782,50.0094,49.2716,49.872,3208700
2016-05-02,49.872,51.2647,49.8273,50.7983,3700700
2016-05-03,50.4789,50.6514,49.9685,50.2617,2508200
2016-05-04,50.134,51.2966,50.0126,51.0922,4687000
2016-05-05,52.9958,53.7688,52.702,53.0022,8629300
2016-05-06,52.9128,53.6858,52.3443,53.6602,3993600
2016-05-09,53.6602,54.1649,53.4302,53.8263,3272300
2016-05-10,53.9413,55.0656,53.8071,55.0273,3593700
2016-05-11,54.9187,55.2828,54.4204,54.4268,2824500
2016-05-12,54.6057,55.3595,54.3948,55.155,2427500
2016-05-13,54.957,55.2253,54.1202,54.3821,2857300
2016-05-16,54.5098,55.0911,54.3246,54.8548,2061900
2016-05-17,54.7398,54.9761,52.2356,52.4848,7395100
2016-05-18,52.3506,52.5608,51.3988,51.8588,8695600
2016-05-19,51.648,53.0342,51.4946,53.0214,3932800
2016-05-20,52.6381,52.932,52.2676,52.6509,2720100
2016-05-23,52.7084,53.1811,52.6509,52.9,1996900
2016-05-24,53.1044,53.8998,52.8297,53.8007,2385600
2016-05-25,53.7461,54.5308,53.4695,54.2027,2563100
2016-05-26,54.042,54.5565,53.8747,53.9069,2424000
2016-05-27,53.8104,54.1963,53.7075,54.0934,1272800
2016-05-31,54.132,54.3121,53.1762,53.5081,3943700
2016-06-01,53.4438,54.0226,53.3859,53.9969,1955400
2016-06-02,53.9519,54.5372,53.7396,54.5308,2207200
2016-06-03,54.6723,54.9424,54.4793,54.8652,3031400
2016-06-06,54.9939,55.0582,54.4729,54.6659,2551900
2016-06-07,54.7816,55.1097,54.4279,54.5115,2454400
2016-06-08,54.7109,54.9424,54.2413,54.7881,1757200
2016-06-09,54.6208,55.1418,54.5308,55.0711,2098600
2016-06-10,55.0582,55.0582,54.4858,54.891,2118000
2016-06-13,54.846,55.1547,54.444,54.6401,2790400
2016-06-14,54.6337,54.8588,54.2413,54.5951,2637500
2016-06-15,54.6723,54.9231,54.2606,54.5694,2967400
2016-06-16,54.4665,54.8781,54.0162,54.8524,2333400
2016-06-17,54.891,54.9103,54.0419,54.5565,5526500
2016-06-20,54.9875,55.6371,54.8254,54.9939,2854100
2016-06-21,55.0196,55.5985,54.9874,55.1161,1953700
2016-06-22,55.2769,55.309,54.7237,54.8074,1961400
2016-06-23,55.2769,55.5651,54.9457,55.5535,2452200
2016-06-24,53.8361,54.7366,53.656,53.8554,11942100
2016-06-27,53.5338,53.9326,53.0643,53.7911,3458500
2016-06-28,53.95,54.5372,53.3859,54.5243,3569400
2016-06-29,54.6916,55.5278,54.4793,55.3798,3348300
2016-06-30,55.5663,57.0071,55.4248,56.9106,5571200
2016-07-01,56.975,57.5024,56.6984,56.7563,2551300
2016-07-05,56.7241,57.5603,56.2803,57.0779,3320400
2016-07-06,57.02,57.7372,56.7627,57.7211,3331700
2016-07-07,57.6117,57.7725,57.1229,57.4445,2525600
2016-07-08,57.8433,58.0555,57.3287,57.7918,3703300
2016-07-11,57.8433,57.9848,57.4445,57.7854,2860500
2016-07-12,57.5603,57.7082,56.3639,56.4733,4362900
2016-07-13,56.4926,57.2966,56.3639,57.258,2702400
2016-07-14,57.3351,57.404,56.5118,56.8206,3457800
2016-07-15,57.1808,57.3866,56.6855,57.155,2311700
2016-07-18,57.2966,57.4381,56.9492,57.3094,1769400
2016-07-19,57.1422,57.3159,56.7691,57.2258,1751700
2016-07-20,57.1615,57.2129,56.5633,56.7112,2229500
2016-07-21,56.6662,56.7241,56.169,56.3703,2081100
2016-07-22,56.6147,56.9171,56.4829,56.7048,2022900
2016-07-25,56.7048,56.8785,56.4925,56.8656,1447400
2016-07-26,56.9492,57.11,55.9844,55.9973,1553100
2016-07-27,56.2031,56.2546,54.8009,55.0775,3931700
2016-07-28,55.1096,55.4505,54.8266,55.2897,2190300
2016-07-29,55.4634,55.7207,55.2254,55.5663,1778900
2016-08-01,55.5085,55.6885,55.0067,55.2962,2778500
2016-08-02,55.1547,55.1547,54.4407,54.7688,2832300
2016-08-03,54.8717,54.9784,54.1899,54.608,2491500
2016-08-04,54.7559,55.0839,54.4665,55.0196,3221800
2016-08-05,57.7918,58.2035,56.9235,57.11,5106200
2016-08-08,57.0586,57.11,56.3382,57.0843,2428000
2016-08-09,57.2001,57.8818,57.0746,57.7468,2275800
2016-08-10,57.7404,57.8561,57.2258,57.4702,1423100
2016-08-11,57.7018,58.1649,57.4316,57.5281,2588800
2016-08-12,57.393,58.1906,57.393,57.6053,1539100
2016-08-15,57.7018,57.8176,57.1486,57.2966,1661000
2016-08-16,57.2644,57.3544,56.7659,57.2194,2259300
2016-08-17,57.2773,57.5474,56.7563,57.5088,1832700
2016-08-18,57.4381,57.7982,57.3094,57.7339,1823000
2016-08-19,57.631,58.0169,57.4702,57.8368,1694900
2016-08-22,57.8111,58.1392,57.5796,57.869,2092800
2016-08-23,58.0491,58.197,57.4683,57.5474,2020000
2016-08-24,57.528,57.6251,57.0035,57.5992,2581200
2016-08-25,57.6251,58.2403,57.4328,57.5668,1825900
2016-08-26,57.6575,57.923,56.9322,57.0941,1863600
2016-08-29,57.2107,57.5086,57.0682,57.3531,1685100
2016-08-30,57.392,57.5183,56.8351,56.9646,1841500
2016-08-31,57.0553,58.1626,57.0553,57.9489,2696400
2016-09-01,58.0007,58.0913,57.3337,57.9424,2215500
2016-09-02,58.2144,58.6288,57.7028,58.0266,2062100
2016-09-06,58.0784,58.3957,57.719,58.1108,1786400
2016-09-07,57.7805,58.1561,57.6057,58.1432,3344800
2016-09-08,58.0849,58.1431,57.4438,57.7546,2191600
2016-09-09,57.1395,57.2236,55.6566,55.6695,3837900
2016-09-12,55.417,57.4373,55.268,57.3467,3015000
2016-09-13,57.8064,57.8064,56.6279,57.1589,2579800
2016-09-14,57.0682,57.515,56.5826,56.7768,1898400
2016-09-15,56.5696,57.7999,56.5437,57.7416,1912600
2016-09-16,57.5215,57.7158,56.7574,57.5928,4476800
2016-09-19,57.5539,57.6316,56.2717,56.3171,4032400
2016-09-20,56.6473,56.8027,56.4012,56.4142,3018400
2016-09-21,56.5049,57.0877,56.1811,56.9258,2592400
2016-09-22,57.392,57.7352,57.2042,57.6639,1516800
2016-09-23,57.7546,57.9554,57.4179,57.5215,1467000
2016-09-26,57.4891,57.6186,57.0229,57.3272,1487400
2016-09-27,57.4762,57.9489,57.3208,57.7805,1530300
2016-09-28,58.0072,58.0331,57.5085,57.9877,1628700
2016-09-29,57.7805,57.91,57.2495,57.3531,1411800
2016-09-30,57.6316,58.2208,57.5344,57.9618,2499200
2016-10-03,57.7935,57.9294,57.4697,57.6834,1857900
2016-10-04,57.8194,57.8194,56.7833,56.997,1940500
2016-10-05,57.1912,57.1912,56.5566,56.5825,1910900
2016-10-06,56.3559,56.7639,56.194,56.6538,1172000
2016-10-07,56.8286,56.8286,56.1422,56.5955,1723500
2016-10-10,56.6214,57.4179,56.6214,57.3078,2012500
2016-10-11,57.1394,57.3078,56.3753,56.4919,2508700
2016-10-12,57.2819,57.2819,56.3365,56.4271,3072600
2016-10-13,56.2005,56.5437,56.0127,56.3689,2861900
2016-10-14,56.5567,57.4373,56.3753,57.3272,2388900
2016-10-17,57.4503,57.6316,57.0035,57.5215,2208400
2016-10-18,58.3374,58.3763,57.5668,57.5863,2740000
2016-10-19,57.5863,57.5992,56.6926,57.0358,2721000
2016-10-20,56.4789,57.4762,56.4789,56.9581,2662100
2016-10-21,56.7574,57.1006,56.3236,56.9322,2086600
2016-10-24,57.3791,57.7741,57.315,57.5733,1744500
2016-10-25,57.7805,58.0719,57.0941,57.2171,3220100
2016-10-26,57.3143,57.4373,56.9258,57.0358,1513400
2016-10-27,57.0941,57.2236,56.4537,56.7833,2127800
2016-10-28,56.6473,57.4179,56.6473,57.0358,1771100
2016-10-31,57.269,57.7352,57.1848,57.5992,3577400
2016-11-01,57.6316,57.7481,57.0553,57.2236,2542700
2016-11-02,57.392,57.4308,56.9711,57.0812,1916700
2016-11-03,57.0617,57.2236,55.7731,55.8508,5041900
2016-11-04,53.1182,55.1968,52.4512,54.4262,7825200
2016-11-07,55.2486,55.7472,54.5881,55.7084,4101100
2016-11-08,55.8379,57.528,55.7343,57.2042,2791200
2016-11-09,55.8055,56.3171,54.5104,55.0025,5097200
2016-11-10,55.0608,55.3846,52.1663,52.7232,7643600
2016-11-11,52.4512,52.9304,51.9073,52.5872,4151100
2016-11-14,52.4577,52.8592,51.7519,51.8555,4463400
2016-11-15,52.1728,52.9175,51.9461,52.5419,5723900
2016-11-16,52.6973,53.5844,52.639,53.3578,3327200
2016-11-17,53.2995,53.6427,52.775,53.6427,3161600
2016-11-18,53.552,53.701,53.1117,53.442,2715700
2016-11-21,53.442,54.2773,53.2315,54.1607,2508600
2016-11-22,54.3032,54.6982,54.1996,54.4521,2648000
2016-11-23,54.2644,54.5946,52.9239,53.3837,3459900
2016-11-25,53.5067,53.9341,53.5067,53.7139,1230300
2016-11-28,53.7139,54.1802,53.3319,53.8888,2642300
2016-11-29,54.0053,54.7176,53.8305,54.3938,3744600
2016-11-30,54.1982,54.4656,53.2525,53.2525,3309900
2016-12-01,53.1612,53.3373,52.1307,52.496,4043300
2016-12-02,52.659,53.1677,52.4046,52.7699,2779300
2016-12-05,52.7699,52.9264,52.2514,52.359,4415500
2016-12-06,52.5742,52.749,51.9742,52.1503,3566800
2016-12-07,52.4633,54.27,52.3525,54.1004,4870200
2016-12-08,53.8656,53.996,53.3895,53.683,2497500
2016-12-09,53.8395,54.6502,53.5264,54.6417,2380900
2016-12-12,54.5243,55.3265,54.3221,54.9156,2536300
2016-12-13,55.1765,55.8287,54.8047,55.3982,3644100
2016-12-14,55.4244,55.6983,54.6026,55.02,3348600
2016-12-15,55.5222,56.1287,54.8699,55.6787,4410100
2016-12-16,56.0113,56.4548,55.3461,56.3896,6037700
2016-12-19,56.3179,56.6701,55.907,56.4809,3365400
2016-12-20,56.2722,56.4809,55.6526,56.0765,2665500
2016-12-21,56.0439,56.7353,55.9591,56.4874,2202000
2016-12-22,56.3831,56.9309,56.2853,56.9244,1966300
2016-12-23,56.807,57.1462,56.7157,57.1135,2484700
2016-12-27,57.1723,57.4462,56.9375,57.1201,1993200
