date,open,high,low,close,volume
2016-04-18,11.4135,11.7229,11.3717,11.6644,1846500
2016-04-19,11.6978,12.0824,11.656,12.0072,3300000
2016-04-20,12.0741,12.4085,12.0156,12.3835,2715600
2016-04-21,12.3835,12.5758,12.2497,12.4336,2876300
2016-04-22,12.4504,12.6343,12.3835,12.4922,2088000
2016-04-25,11.9737,12.3918,11.84,12.1159,3546300
2016-04-26,12.141,12.5089,12.1243,12.141,2019500
2016-04-27,12.0072,12.1661,11.7647,12.0156,2214600
2016-04-28,11.957,12.1075,11.6226,11.6393,2370000
2016-04-29,11.6142,11.7396,11.1376,11.3717,2401500
2016-05-02,11.3717,11.4888,11.2379,11.2379,3534400
2016-05-03,11.1618,11.4664,10.9333,11.4241,4023100
2016-05-04,11.3902,11.5933,11.0771,11.331,3945100
2016-05-05,11.3818,11.5003,11.1195,11.1448,1791000
2016-05-06,11.0518,11.3903,11.0433,11.1448,1831600
2016-05-09,11.0771,11.1787,11.001,11.0433,1780700
2016-05-10,11.0433,11.2125,10.9925,11.001,3304500
2016-05-11,10.9756,11.0856,10.8741,10.8741,2595900
2016-05-12,10.8825,11.001,10.6794,10.9841,2440200
2016-05-13,10.8825,11.0856,10.6963,10.7217,2295100
2016-05-16,10.7556,11.0687,10.7556,11.0094,3438800
2016-05-17,10.9671,11.4241,10.9502,11.111,2719600
2016-05-18,11.1025,11.4156,11.001,11.111,1917800
2016-05-19,11.0687,11.0856,10.5779,10.8487,5565400
2016-05-20,10.9333,11.2295,10.891,11.0433,2978900
2016-05-23,10.9164,11.1702,10.9164,11.0518,2482000
2016-05-24,11.0856,11.3479,11.0771,11.3225,2861900
2016-05-25,11.331,11.6018,11.331,11.4833,4073100
2016-05-26,11.4833,11.5426,11.3564,11.3564,1977300
2016-05-27,11.3225,11.4918,11.221,11.441,1430400
2016-05-31,11.4495,11.5341,11.3649,11.4326,1797300
2016-06-01,11.331,11.5764,11.2464,11.5341,1647100
2016-06-02,11.4241,11.5933,11.4241,11.5595,1467300
2016-06-03,11.4495,11.5003,11.3564,11.4579,1960200
2016-06-06,11.458,11.9234,11.4241,11.8811,2279500
2016-06-07,11.9064,12.1095,11.898,11.9064,3621400
2016-06-08,11.8811,12.0334,11.7457,11.7711,2105800
2016-06-09,11.6949,11.7203,11.4579,11.5426,2151900
2016-06-10,11.3649,11.4072,11.221,11.3141,3163500
2016-06-13,11.1956,11.3564,11.0433,11.0941,2745900
2016-06-14,11.0264,11.1872,10.7387,10.764,2727100
2016-06-15,10.8317,10.9841,10.7048,10.7387,3858800
2016-06-16,10.6456,10.6794,10.2986,10.5017,2842600
2016-06-17,10.5356,10.7048,10.4848,10.544,2191300
2016-06-20,10.7048,11.001,10.6794,10.8148,2585300
2016-06-21,10.874,11.111,10.8148,11.0687,2248500
2016-06-22,11.0856,11.2464,11.001,11.0094,2110900
2016-06-23,11.1872,11.3479,11.1195,11.2125,2662100
2016-06-24,10.5356,10.9248,10.4509,10.5102,4347400
2016-06-27,10.3325,10.3325,10.0701,10.1378,4007600
2016-06-28,10.4932,10.5779,10.0701,10.1632,2318000
2016-06-29,10.3325,10.5948,10.2055,10.5609,1909400
2016-06-30,10.5356,10.6625,10.3663,10.4425,1903900
2016-07-01,10.3663,10.5356,10.3663,10.4425,1595300
2016-07-05,10.3325,10.3832,10.1124,10.2055,3207100
2016-07-06,10.1463,10.1886,9.8416,10.1548,3974600
2016-07-07,10.2394,10.4002,10.1463,10.2309,3116400
2016-07-08,10.3663,10.4679,10.2986,10.4086,3093300
2016-07-11,10.4255,10.5863,10.3748,10.5609,3443600
2016-07-12,10.6794,10.7133,10.4594,10.5609,4814900
2016-07-13,10.5186,10.5694,10.2817,10.4932,3177000
2016-07-14,10.5948,10.6963,10.5779,10.6371,2066400
2016-07-15,10.6371,10.9417,10.6286,10.8741,2264700
2016-07-18,10.874,11.111,10.874,10.9333,1934800
2016-07-19,11.0264,11.0687,10.891,11.0518,2655500
2016-07-20,11.0348,11.6018,11.001,11.5764,7604500
2016-07-21,11.5764,11.7626,11.4749,11.7203,2626300
2016-07-22,11.7203,11.9488,11.5849,11.9318,3044900
2016-07-25,12.0588,12.0588,11.7118,11.7795,3919200
2016-07-26,11.8726,12.2619,11.5595,12.2449,5613700
2016-07-27,12.2703,12.6342,12.1011,12.4565,4972800
2016-07-28,12.3973,12.465,12.2026,12.4226,2893600
2016-07-29,12.3549,12.4311,12.1772,12.2196,1930800
2016-08-01,12.2365,12.6342,12.2365,12.3126,3257100
2016-08-02,12.338,12.4565,11.8472,11.9657,2519400
2016-08-03,11.9314,12.3765,11.9229,12.2053,3787200
2016-08-04,12.2225,12.4964,12.2139,12.4022,1820900
2016-08-05,12.4792,12.6247,12.4108,12.522,1942000
2016-08-08,12.5819,12.8387,12.5648,12.7189,3171900
2016-08-09,12.6076,12.8216,12.6076,12.7274,1356500
2016-08-10,12.6761,12.7103,12.4108,12.522,1693500
2016-08-11,12.5391,12.7274,12.5391,12.6761,1424800
2016-08-12,12.6333,12.7274,12.5819,12.6504,1194900
2016-08-15,12.6675,12.8986,12.6675,12.7702,1946800
2016-08-16,12.7446,12.8815,12.6247,12.6419,1686200
2016-08-17,12.659,12.6847,12.445,12.5648,1275200
2016-08-18,12.5477,12.8986,12.5477,12.8815,1705000
2016-08-19,12.8815,12.9842,12.7874,12.9158,1577000
2016-08-22,12.8387,12.9329,12.6932,12.9158,1974800
2016-08-23,12.9414,12.95,12.7874,12.813,1992300
2016-08-24,12.7702,12.873,12.6504,12.6675,1033800
2016-08-25,12.6247,12.7274,12.5049,12.5648,1147400
2016-08-26,12.5648,12.736,12.4621,12.4707,1281500
2016-08-29,12.4707,12.7189,12.4621,12.6675,850900
2016-08-30,12.6247,12.7702,12.6247,12.7189,826000
2016-08-31,12.7103,12.8473,12.5135,12.8302,1152200
2016-09-01,12.8302,12.9329,12.5734,12.6504,864900
2016-09-02,12.6761,12.8216,12.659,12.6675,842900
2016-09-06,12.6761,12.8302,12.4792,12.7018,1453300
2016-09-07,12.6932,12.9414,12.5819,12.8387,1868500
2016-09-08,12.9157,13.2068,12.8473,13.0784,1559500
2016-09-09,13.0099,13.0527,12.5905,12.6162,1768600
2016-09-12,12.5135,12.7874,12.3423,12.736,1437100
2016-09-13,12.5905,12.6162,12.368,12.4621,1574200
2016-09-14,12.4964,12.5819,12.3337,12.3851,1031700
2016-09-15,12.3851,12.7959,12.3594,12.6162,1252900
2016-09-16,12.4792,12.5648,12.231,12.2824,1805500
2016-09-19,12.2909,12.4792,12.1968,12.3081,1374900
2016-09-20,12.4364,12.445,12.2653,12.3081,1152200
2016-09-21,12.368,12.4878,12.1882,12.3337,1458500
2016-09-22,12.445,12.4963,12.2824,12.3936,1311900
2016-09-23,12.2909,12.4193,12.2139,12.2738,1061500
2016-09-26,12.1968,12.1968,11.94,12.0427,1621700
2016-09-27,11.9742,12.0941,11.9058,11.9914,1286100
2016-09-28,12.0085,12.1283,11.9571,12.1026,1003800
2016-09-29,12.0855,12.2481,12.017,12.0256,1364500
2016-09-30,12.0256,12.2909,12.017,12.2053,5548300
2016-10-03,12.1882,12.3337,12.1711,12.2139,1314000
2016-10-04,12.2738,12.2909,12.1112,12.154,1552900
2016-10-05,12.1797,12.3423,12.1711,12.2909,1254200
2016-10-06,12.2909,12.3337,12.1369,12.2053,1332000
2016-10-07,12.2053,12.2567,12.1026,12.1797,1062100
2016-10-10,12.1968,12.4022,12.1968,12.2995,1295200
2016-10-11,12.2995,12.3081,12.1454,12.1882,2352000
2016-10-12,12.1711,12.1968,11.9571,11.9828,4329100
2016-10-13,11.9058,11.9314,11.7175,11.7859,9175700
2016-10-14,11.9143,11.9999,11.7175,11.7688,1284900
2016-10-17,11.8031,11.8544,11.6661,11.6747,1376300
2016-10-18,11.8116,11.8801,11.726,11.7431,1448800
2016-10-19,11.7431,11.8972,11.726,11.8801,1510800
2016-10-20,11.8801,11.9742,11.8373,11.8887,3612700
2016-10-21,11.8116,12.1369,11.8116,11.9999,1598000
2016-10-24,12.1026,12.522,12.1026,12.3936,2632700
2016-10-25,12.5734,12.8986,12.4878,12.736,7098900
2016-10-26,12.6419,12.9585,12.6162,12.7274,2367500
2016-10-27,12.7531,12.8216,12.5991,12.6247,1924200
2016-10-28,12.5648,12.6847,12.3423,12.4193,1980000
2016-10-31,12.3508,12.4878,12.1369,12.1454,1961600
2016-11-01,12.231,12.4108,11.9999,12.0427,2439500
2016-11-02,12.1553,12.2678,11.9648,12.1899,3294900
2016-11-03,12.2765,12.2938,11.9908,12.0254,1884900
2016-11-04,11.9648,12.0514,11.8003,11.809,1375300
2016-11-07,11.9302,12.1553,11.9042,12.086,3517700
2016-11-08,11.9561,12.1206,11.8696,12.0254,2182800
2016-11-09,11.9388,12.06,11.757,11.783,4406900
2016-11-10,11.8609,12.3544,11.809,12.3371,10375700
2016-11-11,12.2851,12.8219,12.1812,12.7613,4682200
2016-11-14,12.77,13.1855,12.7613,13.0989,5500900
2016-11-15,13.073,13.2288,12.9345,13.0297,3780700
2016-11-16,12.9171,12.9864,12.77,12.7786,3518900
2016-11-17,12.8046,13.3067,12.8046,13.1769,4167900
2016-11-18,13.2028,13.5318,13.2028,13.3327,4208600
2016-11-21,13.3327,13.4106,13.2375,13.3846,3059900
2016-11-22,13.4106,13.4626,13.2808,13.3673,2332400
2016-11-23,13.3154,13.5665,13.3154,13.4626,1811800
2016-11-25,13.4452,13.8002,13.4366,13.8002,1265500
2016-11-28,13.6271,13.6963,13.2894,13.3067,1499300
2016-11-29,13.2894,13.2981,13.1076,13.2115,1661000
2016-11-30,13.2721,13.4106,13.1509,13.2461,1701000
2016-12-01,13.35,13.6703,13.3154,13.5665,3006800
2016-12-02,13.6011,13.6011,13.376,13.402,1268800
2016-12-05,13.4626,13.6097,13.4279,13.5665,1829100
2016-12-06,13.6184,13.7656,13.5058,13.7396,8538800
2016-12-07,13.7396,14.2071,13.7309,14.1465,4030900
2016-12-08,14.285,14.8738,14.1725,14.7093,5193100
2016-12-09,14.7266,15.2114,14.5534,14.8305,5247900
2016-12-12,14.7352,14.8738,14.5361,14.6833,3143600
2016-12-13,14.7179,14.7958,14.5188,14.5881,2194300
2016-12-14,14.4928,14.614,14.2244,14.3024,1805200
2016-12-15,13.9387,14.6313,13.9387,14.4149,3750400
2016-12-16,14.4755,14.5621,14.3889,14.4149,5213900
2016-12-19,14.3716,14.4582,14.285,14.4149,1930000
2016-12-20,14.4842,14.7785,14.4842,14.5794,2158000
2016-12-21,14.5534,14.6573,14.3803,14.3889,1275400
2016-12-22,14.337,14.4842,14.1292,14.1465,1425400
2016-12-23,14.1205,14.1205,13.8262,13.9128,2695200
2016-12-27,13.8781,14.0167,13.7483,13.7829,2077600
2016-12-28,13.7396,13.8089,13.4972,13.5145,1359000
2016-12-29,13.5058,13.6184,13.3846,13.3933,1638100
2016-12-30,13.3846,13.3933,13.2461,13.324,1840200
2017-01-03,13.5665,13.7136,13.4279,13.705,1514600
2017-01-04,13.8175,14.4149,13.7916,14.1811,3192300
2017-01-05,14.1379,14.2244,13.9214,14.2071,1635700
2017-01-06,14.2331,14.5534,14.1811,14.4842,2818200
2017-01-09,14.8824,14.9517,14.5101,14.8391,6670100
2017-01-10,14.9084,15.0642,14.7525,14.8131,3653500
2017-01-11,14.8997,14.9863,14.7179,14.9344,2774100
2017-01-12,15.0123,15.0556,14.7266,14.917,2319300
2017-01-13,14.9344,15.1248,14.7352,14.917,2577400
2017-01-17,14.7699,14.8824,14.5881,14.7093,3467500
2017-01-18,14.6746,14.8564,14.5967,14.8391,2414400
2017-01-19,14.8391,14.8478,14.666,14.7525,1932700
2017-01-20,14.7612,14.9257,14.7266,14.9084,1576400
2017-01-23,14.8824,15.0209,14.8218,14.8824,3526000
2017-01-24,14.9257,15.298,14.8824,15.2547,3477200
2017-01-25,15.3672,15.4625,15.1508,15.3153,2644600
2017-01-26,15.3326,15.4365,15.3153,15.4105,1645600
2017-01-27,15.4105,15.4105,15.3066,15.3586,1869500
2017-01-30,15.2287,15.2287,15.0296,15.1854,1372500
2017-01-31,15.0123,15.2201,14.8911,15.0296,2431100
