date,open,high,low,close,volume
2016-04-21,30.1409,30.1898,29.6351,29.7493,7719100
2016-04-22,29.6596,29.8064,28.6563,29.0233,12971600
2016-04-25,28.9173,30.0593,28.8683,29.994,9599800
2016-04-26,29.9696,30.2714,29.6025,29.6922,6247300
2016-04-27,29.7575,29.9451,29.5128,29.6188,4874000
2016-04-28,29.472,29.888,29.2028,29.3007,5912200
2016-04-29,29.0967,29.1294,28.3707,28.8683,8253900
2016-05-02,28.9744,29.007,28.6807,28.901,9010600
2016-05-03,28.697,28.8683,28.6236,28.7134,6469200
2016-05-04,28.5747,28.6155,27.8895,28.5502,8048200
2016-05-05,28.126,28.5421,27.9139,28.485,11364400
2016-05-06,28.4605,28.542,27.9221,28.1831,5042700
2016-05-09,28.3871,29.2762,28.1913,29.2354,8410100
2016-05-10,28.9091,29.0152,28.5257,28.746,7819500
2016-05-11,28.6192,28.791,28.3901,28.3983,5619600
2016-05-12,28.4474,28.7174,28.2346,28.5455,4972800
2016-05-13,28.4064,28.7992,28.3819,28.521,6262900
2016-05-16,28.4637,28.6682,28.161,28.4392,5932900
2016-05-17,28.341,28.4883,28.071,28.1937,5443900
2016-05-18,28.0628,28.2183,27.5065,28.1201,9776300
2016-05-19,28.2183,28.5619,28.0628,28.4964,8330400
2016-05-20,28.5946,28.5946,28.2019,28.3246,6173400
2016-05-23,28.3492,28.5946,28.3246,28.4719,5940300
2016-05-24,28.4883,29.0855,28.4637,29.061,7771600
2016-05-25,29.0855,29.2001,28.4964,28.5864,6992700
2016-05-26,28.6273,29.2164,28.5946,29.1182,6631500
2016-05-27,29.2328,29.2328,28.9382,29.2164,5271000
2016-05-31,29.2246,29.4946,29.1428,29.2573,9953500
2016-06-01,29.2819,29.83,29.1919,29.7973,7869300
2016-06-02,29.6991,29.8791,29.5273,29.8137,5360700
2016-06-03,29.6173,29.74,29.4537,29.6582,4697100
2016-06-06,29.6337,29.7973,29.4455,29.47,3684300
2016-06-07,29.5437,29.8791,29.3882,29.6909,3577200
2016-06-08,29.7073,30.0264,29.5928,29.8791,5173000
2016-06-09,29.8628,30.1082,29.7155,29.9282,7083500
2016-06-10,29.7646,30.2718,29.5928,30.1164,7768800
2016-06-13,29.8219,29.9118,29.3882,29.5682,9015100
2016-06-14,29.421,29.601,28.971,29.2573,8839800
2016-06-15,29.0282,29.4619,28.7501,29.2164,13499800
2016-06-16,30.2555,30.2555,28.9219,29.0201,19034000
2016-06-17,28.9382,29.0446,28.2428,28.7828,16578200
2016-06-20,28.881,29.1837,28.3983,28.3983,9017900
2016-06-21,28.431,28.4883,28.0465,28.2019,13322800
2016-06-22,28.2264,28.2592,27.8828,27.9974,16952500
2016-06-23,28.2592,28.3655,28.1037,28.3655,8560700
2016-06-24,27.8174,29.0446,27.7356,28.7501,14689500
2016-06-27,28.5373,30.1655,28.431,29.9609,19450000
2016-06-28,30.1164,30.2718,29.3555,29.4946,11941500
