date,open,high,low,close,volume
2016-04-21,97.2376,99.8737,96.8856,99.055,2622026
2016-04-22,99.2269,99.89,98.0153,99.6854,1796052
2016-04-25,102.567,104.3352,100.1111,102.4114,2912328
2016-04-26,102.7307,104.0078,102.4524,103.754,2099623
2016-04-27,103.9668,104.1224,102.5833,103.9668,1392493
2016-04-28,103.1482,105.0311,102.5506,102.7962,870206
2016-04-29,102.4687,102.9353,101.7729,102.5915,913507
2016-05-02,102.6406,103.3692,102.3214,103.0336,913391
2016-05-03,102.1003,103.14,101.691,102.5997,1004416
2016-05-04,101.8957,102.7143,101.2981,101.6583,942491
2016-05-05,101.601,102.5424,101.2571,101.9121,795012
2016-05-06,101.3308,102.0594,100.5695,101.7483,1048531
2016-05-09,101.4618,102.9354,100.7005,102.2805,712484
2016-05-10,102.698,103.7704,102.174,103.7213,924216
2016-05-11,103.8768,105.1457,103.6967,103.7458,869974
2016-05-12,103.9259,104.1224,101.953,102.9517,614010
2016-05-13,102.8126,104.0323,102.8126,103.8195,1287733
2016-05-16,103.8359,104.8346,103.361,104.327,1018733
2016-05-17,104.2861,104.589,102.436,103.3037,1006627
2016-05-18,103.2955,103.7949,102.3377,103.3774,690252
2016-05-19,102.8453,104.2288,102.4032,103.2301,546614
2016-05-20,103.6394,103.9996,103.1236,103.6476,602486
2016-05-23,103.4429,103.885,102.0922,103.6394,630888
2016-05-24,104.0569,105.2357,102.3378,104.9165,749383
2016-05-25,105.0966,105.8415,104.1797,104.4417,1320442
2016-05-26,104.4416,104.7445,103.3938,104.2206,810726
2016-05-27,104.3843,105.1047,104.237,104.7937,473050
2016-05-31,104.9001,105.424,104.2206,104.7445,776272
2016-06-01,104.3107,105.1539,104.0815,104.9819,734018
2016-06-02,104.9656,106.0707,104.368,106.0626,1099049
2016-06-03,106.2345,106.2345,104.4498,105.5223,946798
2016-06-06,105.203,106.4473,104.5644,106.4063,1033050
2016-06-07,106.3409,106.5865,105.3995,106.0789,960533
2016-06-08,106.1362,107.6507,105.8333,107.6343,1176338
2016-06-09,107.5361,108.0518,106.7911,107.3969,552318
2016-06-10,106.6438,107.3888,106.1199,106.6684,891973
2016-06-13,105.997,106.5292,104.2615,104.4089,1345817
2016-06-14,104.0323,105.1948,104.0323,104.6136,1117324
2016-06-15,104.851,105.1375,103.361,103.4675,837847
2016-06-16,102.6734,104.3434,102.3296,104.2534,911645
2016-06-17,104.0487,104.368,102.395,102.9026,1067388
2016-06-20,104.9901,105.7269,103.9259,104.3843,2054576
2016-06-21,104.3925,105.4731,104.0651,104.9738,908851
2016-06-22,105.2439,106.8566,104.6299,106.2263,1192402
2016-06-23,106.8812,107.7326,106.652,107.3887,1209163
2016-06-24,104.2943,106.5374,103.3037,106.1117,2089147
2016-06-27,105.9643,106.611,101.9448,102.7634,2212415
2016-06-28,103.7949,104.0078,102.9108,103.533,1502840
2016-06-29,104.5645,106.5619,104.499,105.9152,1199851
2016-06-30,106.1853,106.8812,105.0229,106.6438,1639610
2016-07-01,106.8157,107.5443,106.1608,107.4788,1136297
