date,open,high,low,close,volume
2016-04-21,65.6955,66.0511,65.0671,65.2821,733200
2016-04-22,65.1911,66.4397,65.1911,66.0097,782800
2016-04-25,65.7369,65.7617,64.7446,65.1333,547800
2016-04-26,65.3317,65.8609,65.1911,65.7121,641600
2016-04-27,65.5219,66.8697,65.5219,66.7787,650100
2016-04-28,66.3405,66.7457,65.9932,66.1917,690800
2016-04-29,66.0098,66.357,65.4061,66.1586,1009500
2016-05-02,66.2578,66.9359,65.7452,66.8614,1643400
2016-05-03,63.8268,64.7942,62.9668,63.1984,2250800
2016-05-04,62.5947,62.9255,60.6268,61.5198,2138800
2016-05-05,61.5942,61.9002,61.0981,61.834,1038000
2016-05-06,61.6769,61.8671,60.9575,61.6769,932200
2016-05-09,61.7348,62.9999,61.7348,62.5699,1351600
2016-05-10,62.7022,63.3389,62.2888,63.3389,790100
2016-05-11,63.2562,63.2976,62.5699,62.8841,1026200
2016-05-12,63.0743,63.3059,62.5203,62.9338,633900
2016-05-13,62.7601,63.1901,62.3632,62.7766,729900
2016-05-16,62.7601,64.0087,62.603,63.7275,711200
2016-05-17,63.6118,64.3808,63.4629,64.0748,1078000
2016-05-18,63.9343,64.604,63.5953,64.0666,1042100
2016-05-19,63.5539,64.141,63.2976,64.0914,848600
2016-05-20,64.5462,65.1912,64.1824,65.1085,692100
2016-05-23,65.1084,65.158,64.6206,64.7694,490200
2016-05-24,64.9431,65.4475,64.7198,65.3069,541300
2016-05-25,65.3565,65.9767,65.0671,65.6211,592900
2016-05-26,65.7369,66.3322,65.7369,65.9519,736400
2016-05-27,65.877,66.3097,65.8187,66.0933,738100
2016-05-31,65.9935,65.9935,64.5373,65.5441,1208100
2016-06-01,65.1946,66.3346,65.1198,66.2015,494500
2016-06-02,66.2015,66.4428,65.877,66.3762,473900
2016-06-03,66.318,66.734,65.7937,66.5593,555200
2016-06-06,66.5676,67.7825,66.1016,67.3415,932500
2016-06-07,67.4579,68.1319,67.4579,67.6909,741700
2016-06-08,67.7326,68.365,67.6077,68.1236,840000
2016-06-09,67.8074,68.1735,67.433,67.5828,543400
2016-06-10,67.6161,68.2318,67.2,67.3997,929100
2016-06-13,67.1501,67.9156,67.0003,67.0752,1031100
2016-06-14,66.967,67.5994,66.8256,67.3831,1264400
2016-06-15,67.5578,67.9073,67.2666,67.5744,1198200
2016-06-16,67.1085,68.2984,66.7756,68.2235,1254400
2016-06-17,68.2651,69.0639,67.7409,68.1569,1627300
2016-06-20,69.0639,69.5132,68.8642,69.2054,1398100
2016-06-21,69.1055,69.871,69.1055,69.4799,1239900
2016-06-22,69.6713,70.129,69.2553,69.3884,898300
2016-06-23,70.2122,70.5201,69.6048,70.0125,766600
2016-06-24,68.2651,68.7477,67.3415,67.3831,1460800
2016-06-27,66.5843,66.7257,65.2529,65.3112,1426200
2016-06-28,66.2015,66.8505,65.4609,66.8173,1282000
2016-06-29,67.3415,68.4066,67.225,68.3067,729900
2016-06-30,68.6229,69.4383,67.9156,69.43,1025300
2016-07-01,69.4799,69.8294,68.4731,68.7227,710100
2016-07-05,68.2401,68.2901,67.5994,67.849,794800
2016-07-06,67.7159,68.7227,67.2166,68.5979,822100
2016-07-07,68.8559,69.1721,68.315,68.4565,515800
2016-07-08,69.2469,70.2871,68.8475,70.0624,829600
2016-07-11,70.1623,70.4785,69.5382,70.2372,440600
2016-07-12,70.6532,71.0942,70.4784,70.6948,471500
2016-07-13,70.8529,71.1192,70.6615,71.0027,406500
2016-07-14,71.5602,71.7432,71.1441,71.1941,558000
2016-07-15,71.4187,71.5019,70.8363,70.9528,617700
2016-07-18,70.8612,71.1275,70.7197,70.7697,497700
2016-07-19,70.5783,71.0692,70.4784,70.9943,444500
2016-07-20,71.2606,71.7516,71.0443,71.5851,646500
2016-07-21,71.5768,71.8597,71.2606,71.5019,451500
2016-07-22,71.5103,72.1094,71.427,72.0262,391200
2016-07-25,71.7849,71.9762,70.9694,71.1441,693000
2016-07-26,71.0776,71.9513,70.9944,71.8264,673400
2016-07-27,71.9346,71.9762,71.3688,71.5851,651900
2016-07-28,71.3854,72.1094,71.219,72.0012,423600
2016-07-29,71.9097,72.2009,71.6101,72.0761,452900
2016-08-01,71.9596,72.0428,71.0693,71.269,1263100
2016-08-02,71.269,73.241,71.1858,73.1994,1686900
2016-08-03,73.1495,73.3825,72.2841,73.2826,1347400
2016-08-04,73.2743,73.6321,73.0164,73.4324,842200
2016-08-05,73.5572,74.3144,73.4157,73.8401,694900
2016-08-08,73.9483,74.3976,73.4491,74.0315,957800
2016-08-09,74.0898,75.2381,73.9067,74.7139,701100
2016-08-10,74.6472,75.3462,74.5973,74.8719,755800
2016-08-11,74.8719,74.8886,74.2562,74.7887,583200
2016-08-12,74.7637,74.8719,74.5141,74.7471,417600
2016-08-15,74.8886,76.0535,74.8886,75.5126,754000
2016-08-16,75.4544,75.521,74.8636,74.8886,775000
2016-08-17,75.055,75.3629,74.4309,74.822,554900
2016-08-18,74.822,75.5127,74.797,75.4211,375500
2016-08-19,75.1798,75.8205,75.0383,75.6707,368100
2016-08-22,75.4544,76.1534,75.3213,75.9204,627800
2016-08-23,76.1367,76.4612,75.9952,76.0036,572300
2016-08-24,76.0119,76.5444,75.6458,75.7373,638600
2016-08-25,75.8871,76.1617,75.5626,75.9453,661200
2016-08-26,76.0119,76.2366,75.2547,75.5875,618200
2016-08-29,75.6708,77.1269,75.5875,77.0687,810400
2016-08-30,77.31,77.31,76.5777,77.1602,660400
2016-08-31,77.0769,77.4347,76.5111,77.3682,574600
2016-09-01,77.5679,77.8924,76.8356,77.26,826000
2016-09-02,77.6844,77.984,77.4015,77.959,425800
2016-09-06,78.0089,78.2918,77.4098,78.0505,708000
2016-09-07,78.084,78.6028,77.7995,78.0756,749600
2016-09-08,77.9752,78.0672,77.4313,77.6572,486100
2016-09-09,76.9627,77.0966,76.0338,76.0338,532100
2016-09-12,75.5652,77.0129,75.2723,76.9208,637900
2016-09-13,76.3016,76.8539,74.8957,75.1886,2894000
2016-09-14,75.1467,76.1091,74.6949,74.9375,756200
2016-09-15,74.7534,75.6907,74.5777,75.5903,729800
2016-09-16,75.2472,75.5651,74.6697,74.7785,719400
2016-09-19,75.2723,75.6991,74.7785,74.9124,469200
2016-09-20,75.197,75.4229,74.402,74.7367,570200
2016-09-21,74.8204,75.381,74.5442,75.2304,596100
2016-09-22,75.8915,76.1509,75.4815,75.992,417400
2016-09-23,75.9919,76.3434,75.7325,76.0505,503200
2016-09-26,75.4397,76.151,75.3141,75.4229,480400
2016-09-27,75.3894,76.6782,75.1049,76.6363,579500
2016-09-28,76.6447,77.0882,76.3852,76.9459,651800
2016-09-29,76.9208,77.3309,75.515,75.8246,544300
2016-09-30,76.1677,76.9292,75.6321,76.6614,701200
2016-10-03,76.4104,76.7786,76.1844,76.5694,696000
2016-10-04,76.6363,77.0045,75.7577,76.3685,704300
2016-10-05,76.7786,77.1133,76.3853,76.812,536400
2016-10-06,76.5443,77.2807,76.2765,77.2221,400900
2016-10-07,77.3895,77.7409,76.9041,77.5066,515700
2016-10-10,77.7744,78.1509,77.3141,77.3643,396700
2016-10-11,77.1468,77.1886,75.9334,76.2932,367200
2016-10-12,76.1761,76.8288,76.0171,76.2012,543700
2016-10-13,75.5651,76.0087,74.7953,75.13,644600
2016-10-14,75.6656,75.9919,75.038,75.038,524300
2016-10-17,75.0296,75.2388,74.812,74.9626,600300
2016-10-18,75.6488,75.7242,74.9041,75.6405,817900
2016-10-19,75.1635,76.8371,75.1635,76.6865,529300
2016-10-20,76.6949,76.7367,76.0505,76.1928,287200
2016-10-21,75.5903,76.0003,75.2137,75.766,299700
2016-10-24,76.3518,76.6028,76.1342,76.3852,351700
2016-10-25,76.3852,76.5693,75.5735,75.9082,525100
2016-10-26,75.6488,76.6279,75.4898,76.4689,749700
2016-10-27,76.6614,76.7033,74.3852,74.4606,685800
2016-10-28,74.971,75.4731,74.494,74.8036,557000
2016-10-31,75.222,75.3141,74.4856,74.653,844300
2016-11-01,77.2221,78.1593,76.1091,77.5986,1484700
2016-11-02,77.8497,78.5694,77.4146,77.9585,1422300
2016-11-03,77.8162,78.176,77.3225,77.6572,563600
2016-11-04,77.6405,79.2137,77.2806,78.8706,1133900
2016-11-07,80.335,81.356,79.9334,81.1551,1056400
2016-11-08,81.1468,81.9669,80.8957,81.5568,778200
2016-11-09,81.3141,84.9125,81.0212,84.6865,1530700
2016-11-10,85.2054,86.2096,84.4271,86.0338,1214800
2016-11-11,85.5066,87.0213,85.4146,86.5443,866600
2016-11-14,87.0046,88.6196,86.7033,87.9251,1229500
2016-11-15,88.084,88.6447,87.3058,87.7577,805100
2016-11-16,87.7072,87.9259,87.2194,87.4717,784700
2016-11-17,87.3624,87.6399,86.6979,87.2951,1140100
2016-11-18,87.3708,87.4717,86.4035,87.11,827300
2016-11-21,87.4044,88.0184,86.6138,87.3876,603000
2016-11-22,87.5642,87.8166,86.9166,87.5138,1088300
2016-11-23,87.5306,87.9175,86.9419,87.6147,678000
2016-11-25,87.9091,88.3717,87.5979,88.1362,170000
2016-11-28,87.7997,88.0773,87.1942,87.4801,956100
2016-11-29,87.6904,88.7501,87.5053,88.0436,743000
2016-11-30,88.4558,88.9688,87.0848,87.1016,776700
2016-12-01,87.5222,88.1614,87.0848,87.7577,833500
2016-12-02,87.724,88.9099,87.5306,88.2791,696500
2016-12-05,88.8679,89.2969,88.6408,89.1034,785500
2016-12-06,88.9688,89.5912,88.3632,89.5576,692800
2016-12-07,89.7006,90.4491,89.5155,90.1043,784500
2016-12-08,90.0286,90.365,88.6324,89.0782,983900
2016-12-09,89.423,89.423,87.9007,88.7418,671100
2016-12-12,88.3633,88.481,87.5895,88.3296,839800
2016-12-13,88.7754,89.1707,88.01,88.6913,759600
2016-12-14,88.6324,89.1118,88.1614,88.4389,682200
2016-12-15,88.5987,89.0866,88.153,88.3128,550700
2016-12-16,88.3801,88.6829,87.3624,87.4717,1295200
2016-12-19,87.7072,88.3128,87.1269,87.7661,569200
2016-12-20,87.9343,88.0016,87.3792,87.6483,515600
2016-12-21,87.7409,87.8418,87.253,87.2951,465400
2016-12-22,87.5811,87.8082,86.597,87.2194,362900
2016-12-23,87.1773,87.3119,86.8409,87.2362,212000
2016-12-27,87.2362,87.6063,86.7316,86.9923,326200
2016-12-28,87.0512,87.4213,86.8325,86.9166,474100
2016-12-29,86.7905,87.0512,86.3194,86.7232,429800
2016-12-30,87.1016,87.1016,85.8653,86.1849,521000
2017-01-03,86.9503,87.3456,86.1681,86.3952,698100
2017-01-04,86.6306,87.1269,86.2017,86.8661,660300
2017-01-05,86.7231,87.4128,86.3699,86.9755,638900
2017-01-06,87.0596,88.0688,87.0259,87.9343,683700
2017-01-09,87.6315,87.7913,85.8905,85.9073,602500
2017-01-10,85.9914,86.0082,85.0831,85.5457,477900
2017-01-11,85.3017,85.7475,84.9905,85.6129,427400
2017-01-12,85.5961,85.8484,84.9569,85.6129,383200
2017-01-13,85.6802,85.7895,85.1083,85.5877,377400
2017-01-17,85.1167,85.2681,84.0149,84.2588,527000
2017-01-18,84.3513,85.2849,84.1831,84.8223,698400
2017-01-19,84.9989,85.5456,83.9392,84.099,579000
2017-01-20,84.4859,84.6962,84.0149,84.2672,478300
2017-01-23,84.1915,84.898,83.3757,84.7046,548800
2017-01-24,84.7214,86.1344,84.5952,85.8484,436000
2017-01-25,86.1008,86.1008,84.8055,85.0494,463000
2017-01-26,84.9569,85.4952,84.9401,85.142,377700
2017-01-27,85.3354,87.1437,84.9737,86.2353,720400
2017-01-30,87.7156,87.7156,85.6886,86.1092,555400
2017-01-31,85.9326,86.4036,84.6205,86.3867,658100
2017-02-01,86.4793,86.9166,85.369,85.6466,748700
2017-02-02,84.7887,88.5819,84.7719,88.296,1395700
2017-02-03,88.4894,88.7081,87.6736,87.724,1023600
2017-02-06,87.5979,89.0697,87.4885,88.4221,1410800
2017-02-07,88.2539,88.7081,87.5054,88.5988,864000
2017-02-08,88.296,88.8258,87.9595,88.2371,2214300
2017-02-09,88.5904,88.9941,87.867,87.8839,878000
2017-02-10,88.3212,89.095,87.6063,88.9352,708400
2017-02-13,89.1623,90.0202,88.9856,90.0033,676800
2017-02-14,89.4566,90.8108,89.1539,90.7855,708800
2017-02-15,90.3903,90.9117,90.0875,90.2641,1004500
2017-02-16,90.4744,91.5257,90.4323,91.3827,1107200
2017-02-17,91.3154,92.0724,90.836,92.064,609400
2017-02-21,92.1313,93.5274,92.1313,93.376,727400
2017-02-22,92.9471,93.1069,92.207,92.8882,714600
2017-02-23,92.8967,93.1406,92.1733,92.3836,1252900
2017-02-24,92.1733,93.4433,92.0976,93.4433,742800
2017-02-27,93.4602,93.9228,93.3088,93.6704,1609700
2017-02-28,93.3256,93.8807,92.106,92.4341,882100
2017-03-01,93.191,93.5779,92.8378,93.2835,859600
2017-03-02,93.1995,93.5863,92.5602,92.7705,754400
2017-03-03,92.9387,93.0144,92.5013,92.9051,822200
2017-03-06,92.249,92.678,91.9462,92.4341,718800
2017-03-07,92.207,92.9555,92.1145,92.2911,556800
2017-03-08,92.2911,92.6443,91.9294,92.5434,759800
2017-03-09,92.4425,93.1994,92.1986,92.5098,1056400
2017-03-10,92.5097,93.507,92.29,93.4901,765700
2017-03-13,93.2535,93.9972,92.7717,93.6338,757900
2017-03-14,92.9661,93.5577,92.8647,93.4394,547800
2017-03-15,93.6845,94.5888,93.4479,94.4451,802200
2017-03-16,94.5888,94.9438,94.1916,94.3606,543500
2017-03-17,94.6395,95.2396,94.293,94.9184,1487500
2017-03-20,95.0029,95.3494,94.7747,95.1212,448400
2017-03-21,95.155,95.5016,93.6084,93.7268,1125600
2017-03-22,93.7352,94.0057,93.1859,93.8028,460800
2017-03-23,93.676,94.6226,93.5831,94.1662,569900
2017-03-24,93.9888,94.7916,93.3464,93.7183,514300
2017-03-27,93.0084,93.7859,92.4844,93.6338,1134400
2017-03-28,93.5915,94.648,93.3887,94.3944,440800
2017-03-29,94.2676,94.4536,93.3042,93.9211,552700
2017-03-30,93.9803,94.6987,93.7099,94.479,680400
2017-03-31,94.3184,94.3184,93.5915,94.0395,812800
2017-04-03,94.1324,94.3944,92.7887,93.1943,1366900
2017-04-04,93.1605,93.769,92.7041,93.0591,601900
2017-04-05,93.431,93.5155,92.1295,92.1633,800900
2017-04-06,92.3661,93.0253,92.1379,92.5351,687100
2017-04-07,92.8732,93.6084,92.6027,93.1098,777000
2017-04-10,93.3042,93.6676,92.7717,93.0168,589400
2017-04-11,92.721,92.9154,92.3323,92.9154,426300
2017-04-12,93.431,94.1155,92.907,93.2112,439300
2017-04-13,93.0844,93.6169,92.9408,92.983,654800
2017-04-17,93.4225,93.4563,92.7887,93.1436,1068000
2017-04-18,92.7295,93.245,92.3914,92.5943,906100
2017-04-19,93.0253,93.1774,92.4337,92.4759,868400
2017-04-20,92.7464,93.3972,92.5351,92.9239,1374600
2017-04-21,93.1098,94.0733,92.9746,93.1943,828700
2017-04-24,94.2592,94.724,94.0395,94.3944,646700
2017-04-25,94.6733,94.817,93.9887,93.9887,894200
2017-04-26,94.0901,94.5043,93.7014,93.9211,976900
2017-04-27,94.2846,95.7805,94.1831,95.7467,731100
2017-04-28,95.4931,95.9918,94.4198,94.5635,1340500
2017-05-01,94.2846,94.2846,92.29,92.721,1082200
2017-05-02,92.6027,92.9154,92.2224,92.5774,1061700
2017-05-03,92.3661,93.3211,91.5717,92.3323,953400
2017-05-04,92.738,93.3803,92.5436,92.9661,847000
2017-05-05,93.2027,94.4874,93.1605,93.5746,970600
2017-05-08,93.6592,93.8958,91.1491,91.2758,1382000
2017-05-09,91.0983,91.7238,90.6166,91.6984,1279800
2017-05-10,91.6899,92.0872,91.4195,92.0872,716400
2017-05-11,91.7069,92.1632,91.3096,92.0956,571800
2017-05-12,92.2478,92.2478,90.9378,91.073,551500
2017-05-15,91.1829,91.9689,91.0477,91.8083,623200
2017-05-16,91.9435,92.1125,91.597,91.8167,637200
2017-05-17,91.8167,91.8167,90.4814,90.5828,1216600
2017-05-18,90.5067,90.9716,89.7376,90.8025,912000
2017-05-19,91.2336,91.6646,90.8195,91.1153,2390800
2017-05-22,91.5548,92.3661,91.335,91.7407,788100
2017-05-23,91.8336,92.2985,91.1998,92.0703,515000
2017-05-24,91.8674,92.9661,91.8167,92.8647,775100
2017-05-25,92.9661,94.1071,92.645,93.8535,602300
2017-05-26,93.7521,93.9465,93.0929,93.4394,801200
2017-05-30,93.4394,94.0479,92.8478,93.4141,912700
2017-05-31,93.7538,95.3078,93.3801,95.2484,1276500
2017-06-01,95.3333,96.2674,95.121,96.2674,668300
2017-06-02,96.4373,97.0827,96.3354,96.6581,661700
2017-06-05,96.3354,96.5392,95.6984,95.7409,811500
2017-06-06,95.5541,95.5541,93.9915,94.1699,1400700
2017-06-07,94.0255,94.9427,93.6009,93.7962,1314200
2017-06-08,93.7962,94.5095,93.414,94.4416,649200
2017-06-09,94.5096,94.7219,92.361,92.6158,1908100
2017-06-12,92.7177,92.8026,91.5288,92.1657,1090000
2017-06-13,92.5818,93.0234,92.344,92.8281,831900
2017-06-14,92.8366,93.3886,92.3865,92.8791,739400
2017-06-15,92.4374,93.3206,91.9364,92.9894,906300
2017-06-16,93.2187,93.9236,92.6752,93.8726,2234200
2017-06-19,94.034,95.3673,93.7452,95.3503,713300
2017-06-20,95.121,95.6984,94.9766,95.0021,544100
2017-06-21,94.9511,95.3927,94.6794,94.8662,424200
2017-06-22,94.7898,95.3248,94.2548,94.2548,407900
2017-06-23,94.2803,94.7728,93.9745,94.5945,1451900
2017-06-26,94.7049,95.4777,94.017,94.1869,582900
2017-06-27,94.0934,94.3482,92.8281,92.8621,478600
2017-06-28,93.431,94.1189,93.0149,93.7707,514900
2017-06-29,93.6688,93.6688,91.9619,92.5564,949600
2017-06-30,92.7432,93.5924,92.3101,92.6328,467200
2017-07-03,93.2442,93.5924,92.6328,93.1338,466400
2017-07-05,93.1253,94.2208,93.0404,94.1189,713500
2017-07-06,93.7368,94.2803,93.5839,93.6518,647200
2017-07-07,94.3991,95.9872,93.9745,95.8003,1010100
2017-07-10,95.8089,96.9978,95.4522,96.726,1608700
2017-07-11,96.726,97.6347,96.5052,97.4224,795700
2017-07-12,98.0338,98.5858,97.6601,98.1612,555200
2017-07-13,98.2207,98.3311,97.4818,97.7791,664500
2017-07-14,97.847,98.0253,96.8704,97.813,1047900
2017-07-17,97.6601,97.7875,96.2929,96.3778,1057900
2017-07-18,96.0382,96.6411,95.9023,96.6241,599100
2017-07-19,96.9298,97.3629,96.9298,97.1761,523300
2017-07-20,97.312,97.4563,96.7685,97.0063,519100
2017-07-21,96.743,97.2525,96.5137,96.76,1050500
2017-07-24,96.8788,97.1591,96.5307,96.76,674800
2017-07-25,97.1676,97.7451,96.8534,97.6347,351000
2017-07-26,97.8894,98.1102,97.295,97.8555,419500
2017-07-27,98.2037,98.2037,96.1995,96.709,715400
2017-07-28,96.6581,97.21,96.5561,97.1591,374600
2017-07-31,97.4903,97.6347,96.7855,97.2101,786000
2017-08-01,96.4882,98.9255,94.8747,98.382,1085000
2017-08-02,98.5518,99.2992,98.4839,98.7217,1008900
2017-08-03,98.4754,99.3161,98.4669,99.2822,592400
2017-08-04,99.5794,99.9615,98.8321,99.0953,390600
2017-08-07,99.0953,99.7152,99.0359,99.6813,575000
2017-08-08,99.5794,100.0465,99.1293,99.2652,646900
2017-08-09,99.1463,100.7088,99.1293,100.6749,602300
2017-08-10,100.0889,101.0485,100.0889,100.4031,949800
2017-08-11,100.4371,101.1165,100.3607,100.522,532000
2017-08-14,101.057,102.1525,101.0485,101.7703,822700
2017-08-15,101.9317,102.3648,101.643,101.7279,587600
2017-08-16,101.8978,102.9848,101.8893,102.1186,510200
2017-08-17,101.3543,102.4583,101.1505,101.1505,565400
2017-08-18,101.0315,101.3458,100.7683,100.8107,527900
2017-08-21,100.8022,101.1165,99.7492,100.6834,462100
2017-08-22,100.9381,102.195,100.7343,101.8978,477700
2017-08-23,101.6345,101.8977,101.0061,101.125,501900
2017-08-24,101.3288,101.5071,100.8362,100.9211,339600
2017-08-25,101.3118,101.9657,101.108,101.6175,333500
2017-08-28,102.144,103.9189,102.144,103.0357,1433500
2017-08-29,102.5516,103.3499,102.3903,103.1886,779600
2017-08-30,103.231,103.9359,102.8913,103.8934,938600
2017-08-31,103.9868,104.6747,103.8934,104.369,881100
2017-09-01,104.8955,104.938,104.0718,104.5813,453100
2017-09-05,104.4539,104.7171,103.6301,104.3605,670800
2017-09-06,104.7766,104.7766,103.6896,104.2161,795700
2017-09-07,104.6342,104.7366,103.7554,104.4721,598600
2017-09-08,104.2076,104.9669,103.5592,104.5233,516800
2017-09-11,105.0096,105.3423,104.856,105.1717,655900
2017-09-12,105.3679,105.5812,104.9499,105.513,411900
2017-09-13,105.2655,105.5897,104.7792,105.1887,583500
2017-09-14,104.9413,106.0931,104.6086,106.0078,911700
2017-09-15,106.4344,108.337,106.4344,108.2431,1501000
2017-09-18,108.6356,110.0433,108.3284,110.0433,1007100
2017-09-19,110.231,111.7412,109.7362,111.69,1066000
2017-09-20,111.8692,112.3043,111.4596,112.2787,751200
2017-09-21,112.1336,112.5346,111.5279,111.8179,648300
2017-09-22,112.1166,112.5261,111.818,112.4493,553800
2017-09-25,112.2104,112.3725,110.7942,111.5535,753900
2017-09-26,111.7668,112.364,111.5535,112.2104,358100
2017-09-27,112.2872,112.62,111.5876,112.0739,609500
