date,open,high,low,close,volume
2016-04-21,122.3387,123.3604,121.6279,121.7434,390000
2016-04-22,121.4413,122.6141,121.4236,122.2765,266700
2016-04-25,121.7612,122.8895,121.2103,121.6279,323200
2016-04-26,122.1255,124.009,121.9034,122.0455,525600
2016-04-27,122.0455,122.5252,120.6595,122.2143,309100
2016-04-28,121.3791,122.9428,119.7888,120.0554,444800
2016-04-29,119.8866,120.4907,119.238,119.8954,379400
2016-05-02,120.0465,120.9083,119.9576,120.6151,310900
2016-05-03,120.0998,120.2597,118.0031,119.0781,347800
2016-05-04,118.9715,120.1886,118.0564,120.0021,387800
2016-05-05,120.2509,120.5263,119.3713,120.313,434400
2016-05-06,120.1531,121.6191,119.7622,121.5213,224700
2016-05-09,121.3614,122.7829,120.9793,121.85,267900
2016-05-10,122.5963,124.0445,122.0721,123.307,457900
2016-05-11,123.3515,124.3288,120.8194,121.2992,344500
2016-05-12,122.1965,123.1383,121.7079,122.8362,515400
2016-05-13,122.4453,123.8312,121.3081,122.1698,253900
2016-05-16,122.3653,123.4759,121.8056,122.1077,288600
2016-05-17,122.081,122.8806,119.9932,120.7217,383400
2016-05-18,120.2863,120.5529,117.5677,119.4068,565100
2016-05-19,118.5805,119.0958,117.1857,118.234,417500
2016-05-20,118.8293,118.9892,118.0119,118.6605,257000
2016-05-23,118.4739,118.7227,117.6032,118.3406,266600
2016-05-24,119.0692,121.1304,118.0475,120.4019,390200
2016-05-25,120.8905,121.3436,120.1886,121.0327,285000
2016-05-26,121.4946,121.9389,120.6861,121.237,189800
2016-05-27,121.0948,122.9162,120.9438,121.6101,399600
2016-05-31,121.7612,122.4897,120.5973,122.0277,514700
2016-06-01,121.5746,122.5963,120.4729,122.4986,230100
2016-06-02,122.2409,122.6674,121.388,122.5252,220100
2016-06-03,121.6191,123.3604,121.4414,122.4187,297800
2016-06-06,122.8984,123.3249,121.8589,122.8096,289100
2016-06-07,123.1205,124.0001,122.4453,123.7069,269200
2016-06-08,123.8224,125.5992,123.7069,125.3594,384700
2016-06-09,124.853,125.9369,124.3377,125.0928,318000
2016-06-10,124.2843,124.3821,122.3831,122.6318,291300
2016-06-13,121.5213,121.8767,119.5667,119.7533,562700
2016-06-14,119.4957,120.6684,117.932,120.313,413300
2016-06-15,120.7128,121.2193,119.9221,120.3663,269900
2016-06-16,119.9132,120.0465,119.1758,119.851,307300
2016-06-17,119.8421,120.9171,119.5489,120.0909,531400
2016-06-20,121.3258,123.6447,121.2636,123.307,288600
2016-06-21,123.4137,123.6447,122.3209,123.2715,384000
2016-06-22,123.3159,124.2577,122.8539,123.0938,215000
2016-06-23,124.1955,126.1146,123.849,126.0168,431300
2016-06-24,121.6546,124.6753,120.9349,124.6131,803100
2016-06-27,123.4937,123.5736,120.7039,121.7434,811500
2016-06-28,122.4475,123.3833,122.0465,123.2675,381600
2016-06-29,124.5152,124.9162,122.8575,123.2407,476200
2016-06-30,123.3922,127.1354,123.2407,127.0909,411000
2016-07-01,127.0285,128.2673,126.5026,127.18,308000
2016-07-05,126.6809,127.5097,126.467,127.1354,224000
2016-07-06,127.1799,130.219,127.0017,129.7556,401200
2016-07-07,129.4705,130.2102,128.1425,128.6773,249600
2016-07-08,129.6666,131.6718,129.4081,131.3777,308500
2016-07-11,132.0728,132.7145,131.2707,131.2707,320200
2016-07-12,131.8679,132.7502,131.4668,131.957,347900
2016-07-13,132.3046,132.4472,131.7609,132.0372,345700
2016-07-14,132.6076,132.8215,130.7895,130.8875,407000
2016-07-15,131.1638,132.1086,130.4419,131.9036,377800
2016-07-18,133.4276,133.686,129.7022,132.973,731800
2016-07-19,133.5969,134.9783,132.7948,134.5416,300000
2016-07-20,134.9249,135.3081,133.8999,134.5773,374000
2016-07-21,134.4168,135.2189,133.7662,133.8553,260600
