date,open,high,low,close,volume
2016-04-22,173.8765,174.851,173.1092,174.053,1037300
2016-04-25,173.4468,174.1757,172.9096,173.6463,986300
2016-04-26,174.8357,178.1889,174.8357,178.1429,1918300
2016-04-27,176.5545,180.0075,176.4547,179.2862,1405700
2016-04-28,178.1736,179.9231,177.9434,178.5726,1034900
2016-04-29,178.0968,178.7643,177.1146,178.3116,952200
2016-05-02,178.5879,179.4013,178.35,178.9716,1008100
2016-05-03,178.281,180.1916,177.5367,180.0919,1166400
2016-05-04,179.4397,181.3503,178.8565,181.0971,1382900
2016-05-05,181.1661,182.7468,180.6597,182.7315,1198900
2016-05-06,182.6241,184.5424,182.4629,184.3582,1140800
2016-05-09,184.3582,185.6933,183.7904,184.4042,1498800
2016-05-10,185.1639,187.6501,185.1486,187.5043,1141400
2016-05-11,187.205,187.604,185.4018,185.5629,1006700
2016-05-12,185.7164,188.2792,185.3097,187.9493,969300
2016-05-13,185.9849,187.6116,185.4631,185.7854,1198700
2016-05-16,185.0871,187.2203,184.8569,186.4376,921200
2016-05-17,186.4606,186.8673,184.3658,185.3327,1016100
2016-05-18,184.8417,186.6065,184.2585,185.3711,738000
2016-05-19,183.9131,184.9797,182.4629,183.307,1360600
2016-05-20,183.7674,184.3889,182.9233,184.2124,1009000
2016-05-23,184.4886,184.5577,183.422,183.7904,849600
2016-05-24,184.4657,185.5016,184.3889,184.903,741200
2016-05-25,185.1562,185.3557,184.5424,184.8033,737300
2016-05-26,184.6114,185.6933,184.2431,185.3403,648700
2016-05-27,185.4253,186.0589,184.815,185.4948,794100
2016-05-31,185.2245,185.8967,182.4508,182.5126,2546000
2016-06-01,182.5126,184.3282,181.8405,183.9419,972700
2016-06-02,183.9806,184.0733,182.9453,183.7488,921400
2016-06-03,183.5557,185.155,182.5127,184.591,1516700
2016-06-06,184.2819,185.7112,184.2819,184.9618,1154100
2016-06-07,185.5799,186.4761,184.9695,185.0391,993000
2016-06-08,184.8537,186.0048,184.8305,185.719,918900
2016-06-09,185.4641,186.0976,185.4254,185.9431,894100
2016-06-10,185.4331,186.7388,185.2245,185.8735,760200
2016-06-13,185.4331,185.9662,183.8107,183.8416,1073000
2016-06-14,183.7102,185.5181,183.3007,185.1936,1220000
2016-06-15,185.5103,185.8812,184.8304,185.0004,854200
2016-06-16,184.6914,185.773,183.9497,185.3249,1212300
2016-06-17,185.5953,185.5953,182.8449,183.5402,1455700
2016-06-20,184.8073,185.2709,183.772,184.3747,1067000
2016-06-21,185.0314,185.3095,184.1197,184.3051,928300
2016-06-22,184.6141,184.8614,183.911,184.0115,1001700
2016-06-23,185.2631,185.4254,184.0193,185.4254,755800
2016-06-24,181.4465,187.6427,181.3692,185.1936,3471200
2016-06-27,184.4828,185.4022,182.389,184.8768,1868200
