date,open,high,low,close,volume
2016-04-22,63.2997,63.6752,62.8324,63.4582,2754800
2016-04-25,63.1411,63.575,62.9158,63.575,3258300
2016-04-26,63.7002,64.0006,63.1244,63.6835,3480500
2016-04-27,63.8253,64.4428,63.5583,64.2008,3245800
2016-04-28,63.6585,63.9422,62.7656,62.9075,3188900
2016-04-29,62.9659,63.525,62.4653,63.4332,6631900
2016-05-02,62.8574,64.0256,62.5987,63.5333,4256400
2016-05-03,63.3164,63.4916,62.6989,63.1745,3020500
2016-05-04,62.6906,63.4916,62.4569,63.2747,2764700
2016-05-05,63.2496,63.3498,62.5988,62.6989,4079100
2016-05-06,62.6738,63.0994,62.2149,63.0326,3420800
2016-05-09,63.2496,63.7002,63.016,63.283,3153800
2016-05-10,63.5166,64.4178,63.3581,64.2426,4664900
2016-05-11,63.8587,64.0173,62.5821,62.6905,4770200
2016-05-12,62.8491,63.2663,62.5904,62.9158,3898100
2016-05-13,62.6488,63.6668,62.5737,62.5904,5646900
2016-05-16,62.5987,64.5513,62.5904,64.2509,6820800
2016-05-17,63.7169,63.9672,63.0493,63.4749,9063100
2016-05-18,64.6681,66.3286,64.5513,65.586,13724600
2016-05-19,65.5943,66.7542,65.2773,66.6374,7037500
2016-05-20,66.8627,67.0296,66.3453,66.604,4900600
2016-05-23,66.4204,66.7208,65.7445,65.8113,5122000
2016-05-24,65.9782,66.7125,65.8614,66.4204,5556000
2016-05-25,66.4705,67.2632,66.4621,66.7041,4137500
2016-05-26,66.7041,67.0963,66.5039,66.8877,3805100
2016-05-27,66.8877,67.33,66.7292,67.0463,2683500
2016-05-31,67.0463,67.1547,66.554,66.8627,5581100
2016-06-01,66.8627,67.2215,66.3286,66.9795,4205800
2016-06-02,67.1047,67.3884,66.604,67.3884,4693900
2016-06-03,67.1464,67.2215,66.387,66.7625,3685300
2016-06-06,66.0449,66.1367,65.052,65.4608,6643100
2016-06-07,65.7279,66.871,65.6194,66.3704,5259700
2016-06-08,66.1951,66.3287,65.5026,65.8196,4251100
2016-06-09,65.7111,65.9698,65.4358,65.6444,3367000
2016-06-10,65.4191,65.5109,65.0353,65.344,3883400
2016-06-13,65.3273,65.4608,64.6014,64.6681,4697600
2016-06-14,64.4345,64.5013,63.0911,63.4833,8076700
2016-06-15,63.817,65.0687,63.7753,64.2843,6237000
2016-06-16,64.1341,65.3857,63.9589,65.2272,5775100
2016-06-17,64.9769,65.6945,64.9018,65.4358,7968600
2016-06-20,65.8697,66.3453,65.5109,65.5777,4146600
2016-06-21,65.6277,65.7779,65.1521,65.3607,3765000
2016-06-22,65.5776,66.12,65.2689,65.3774,3572400
2016-06-23,65.8864,66.0199,65.052,65.561,3701900
2016-06-24,63.8504,65.1271,63.7503,64.301,5995300
2016-06-27,63.7085,63.9672,62.8741,63.6835,5755800
2016-06-28,64.2426,65.1438,63.8504,65.1104,4652000
2016-06-29,65.2939,65.6694,64.6598,64.8851,5958800
2016-06-30,64.8851,66.5873,64.6848,66.0616,7606600
2016-07-01,66.2035,66.9461,66.095,66.4204,4136600
2016-07-05,66.3203,66.4204,65.7696,66.2702,4100800
2016-07-06,66.2535,66.846,66.2035,66.8293,4372800
2016-07-07,66.6791,67.2298,66.6457,67.1547,3838100
2016-07-08,67.622,68.7735,67.5719,68.7067,5307200
2016-07-11,68.9905,69.4744,68.9905,69.0906,3479400
2016-07-12,69.3493,69.7999,68.9404,69.2074,5347200
2016-07-13,69.174,69.174,67.8306,68.131,5405700
2016-07-14,68.5983,68.8319,68.1727,68.5315,3332100
2016-07-15,68.6233,69.0489,68.0392,68.1477,5409100
2016-07-18,68.6254,69.1449,68.3572,68.6505,3728000
2016-07-19,68.508,68.7594,68.022,68.2315,5296100
2016-07-20,68.5751,68.5918,67.6616,68.0555,6853500
2016-07-21,67.5359,67.7454,66.7649,67.1672,6020600
2016-07-22,67.427,67.6868,67.2175,67.5862,3384900
2016-07-25,67.7622,68.0304,67.4019,67.8711,2865500
2016-07-26,67.7035,68.3991,67.67,67.9298,2889200
2016-07-27,68.198,68.6756,67.4605,67.6784,2946600
2016-07-28,67.6784,69.0611,67.6197,68.9438,4343500
2016-07-29,68.6924,69.1701,68.617,68.9522,3471400
2016-08-01,68.6421,69.17,68.4745,68.9773,2912800
2016-08-02,69.1868,69.2371,68.1309,68.6924,3768200
2016-08-03,68.6338,68.7343,67.9047,68.7343,3398600
2016-08-04,68.0304,68.793,67.4773,67.8293,4027700
2016-08-05,68.2399,68.8516,68.2399,68.4829,3706000
2016-08-08,68.4829,68.617,68.1309,68.3991,2410800
2016-08-09,68.1645,68.7175,67.9885,68.1645,3172300
2016-08-10,68.4075,68.5835,67.5108,67.8628,3785200
2016-08-11,68.3572,68.793,67.7035,68.3907,4117700
2016-08-12,67.8795,68.8265,67.8795,68.4829,4095000
2016-08-15,68.793,69.2874,68.1393,68.3321,5315400
2016-08-16,68.3823,68.9857,67.7203,68.2818,6050200
2016-08-17,65.0889,65.4074,63.5302,64.4269,19108700
2016-08-18,64.4269,64.5275,63.9827,64.0498,7807000
2016-08-19,63.9576,65.2565,63.8319,65.2146,6491200
2016-08-22,65.3655,65.8515,64.6951,64.7705,4502700
2016-08-23,65.2314,65.3655,64.7453,64.7789,3252600
2016-08-24,65.399,65.4828,64.3515,64.4939,5404300
2016-08-25,64.2593,65.1224,64.2593,64.9213,4935500
2016-08-26,64.8878,65.3571,64.2258,64.4436,3827400
2016-08-29,64.452,64.8208,64.318,64.6783,4544200
2016-08-30,64.6448,64.8711,64.0498,64.1587,3026100
2016-08-31,64.1839,64.2928,63.9157,64.1587,4638600
2016-09-01,64.2677,64.3934,63.5889,64.0582,3852200
2016-09-02,64.3179,64.5945,64.1503,64.4939,3314900
2016-09-06,64.4353,64.5274,63.3207,63.6978,4779700
2016-09-07,63.6643,63.6894,62.8598,63.2201,5481100
2016-09-08,62.4911,62.9017,61.9463,62.1223,7495400
2016-09-09,61.6279,61.8207,60.1446,60.1446,7632800
2016-09-12,59.6669,60.8905,59.382,60.7564,6165800
2016-09-13,60.2787,60.4211,59.3988,59.5664,5405700
