date,open,high,low,close,volume
2016-04-18,49.9543,50.317,48.3562,50.1413,2151500
2016-04-19,50.5097,51.7054,50.5097,51.6261,3483400
2016-04-20,51.4617,51.8018,51.0764,51.2521,2584300
2016-04-21,51.5071,53.1278,51.2804,51.3937,4673300
2016-04-22,52.7878,52.7878,50.045,51.1161,5242000
2016-04-25,50.5324,51.0027,49.841,50.011,3272300
2016-04-26,50.351,51.0424,50.198,50.7987,2597900
2016-04-27,50.7477,51.1614,49.875,50.5267,3680800
2016-04-28,50.0733,50.436,48.7983,48.9399,3555700
2016-04-29,48.5432,48.7699,46.2425,46.8488,6077700
2016-05-02,47.0358,47.7045,46.4691,47.5005,3874400
2016-05-03,46.8148,47.2285,45.9874,47.0188,3860200
2016-05-04,46.5258,47.0245,46.0044,46.1291,3241800
2016-05-05,46.4238,46.9962,46.0725,46.2538,2786500
2016-05-06,46.1518,46.7525,46.0214,46.5258,1922000
2016-05-09,46.2085,46.7525,45.3641,45.9931,2623400
2016-05-10,46.1065,46.8262,45.9024,46.6505,2940900
2016-05-11,46.6561,47.0358,46.0498,46.3955,2386900
2016-05-12,47.1662,47.3192,45.9478,46.0441,2590700
2016-05-13,45.9194,46.6675,45.5568,45.7438,2549300
2016-05-16,45.9308,47.4835,45.7891,47.1888,3504300
2016-05-17,47.0698,48.1692,47.0358,47.5402,3539900
2016-05-18,47.1208,47.4722,46.0214,46.2538,2727100
2016-05-19,46.2254,46.2765,45.3414,45.8061,3164500
2016-05-20,46.2184,46.7282,45.8576,46.0695,2224200
2016-05-23,45.8863,46.4017,45.7259,45.8748,2187700
2016-05-24,46.0409,46.1497,45.703,46.0753,3141800
2016-05-25,46.5105,47.53,46.4475,47.3696,3050300
2016-05-26,47.53,47.9366,46.585,46.6022,1850500
2016-05-27,46.459,46.9458,46.2184,46.6194,1913800
2016-05-31,46.8885,47.0775,46.3903,46.5964,3238200
2016-06-01,46.2185,47.3925,45.8691,47.2494,2625100
2016-06-02,46.9,46.9573,45.8748,46.1497,3679200
2016-06-03,45.9951,46.0409,45.0444,45.6801,3455900
2016-06-06,46.0524,46.9401,45.8004,46.6824,3380100
2016-06-07,46.8885,47.4613,46.4876,47.1405,3514900
2016-06-08,47.3811,47.8278,47.0374,47.1634,2700400
2016-06-09,46.7396,46.7396,45.6858,45.7718,4533700
2016-06-10,45.3078,46.4819,45.2047,46.0867,3743000
2016-06-13,45.6228,46.1268,45.1647,45.3708,3670600
2016-06-14,45.2448,46.1726,44.3228,45.0444,5036700
2016-06-15,45.2677,45.9607,45.1475,45.3078,3209400
2016-06-16,44.8554,45.3766,44.506,45.2964,2969500
2016-06-17,45.3479,45.955,45.2162,45.8462,3674900
2016-06-20,46.3215,47.3066,45.577,45.5942,4025700
2016-06-21,45.7374,45.9722,44.9585,45.1933,3326800
2016-06-22,45.5713,45.703,45.1589,45.2277,1543900
2016-06-23,45.0329,45.5999,44.7237,45.2735,3999800
2016-06-24,44.3227,44.3227,42.805,42.9024,7179600
2016-06-27,42.2495,42.3469,39.9873,40.8464,8556000
2016-06-28,41.6882,42.5588,40.4512,41.4305,4994600
2016-06-29,42.2381,42.5702,41.7913,42.387,2796300
2016-06-30,42.6733,42.7421,41.9288,42.6218,3750700
2016-07-01,42.7249,43.4007,42.4328,42.7764,2845700
2016-07-05,42.3125,42.3755,41.4993,41.7226,3557700
2016-07-06,41.6424,41.8887,40.938,41.8715,4557800
2016-07-07,42.1751,43.0685,42.072,42.6791,3480200
2016-07-08,43.2174,44.254,43.12,43.9505,2928100
2016-07-11,44.1853,44.5404,43.4236,43.5038,3653200
2016-07-12,43.8818,44.7237,43.8646,44.3628,3516900
2016-07-13,44.3972,44.5862,43.6126,43.962,3017200
2016-07-14,44.6721,44.9012,44.2598,44.4488,2861500
2016-07-15,44.6549,44.8726,44.3514,44.6206,2303000
2016-07-18,44.4144,45.0501,44.2999,44.9585,1891200
2016-07-19,44.7867,45.3307,44.5805,45.0959,2393800
2016-07-20,44.9928,45.7374,44.7924,45.5197,2120500
2016-07-21,45.325,45.955,45.2334,45.2964,2200300
2016-07-22,45.2964,45.4625,44.7466,44.7637,3137300
2016-07-25,44.6664,45.1761,44.506,45.1704,2258800
2016-07-26,45.1131,45.3995,44.8554,45.1589,1684900
2016-07-27,45.2277,45.3365,44.5519,44.7523,2337100
2016-07-28,44.6148,45.4796,44.4316,45.2563,2795600
2016-07-29,43.6699,43.6699,42.2495,43.1029,7180300
2016-08-01,43.1029,43.2002,42.5301,42.8909,3864900
2016-08-02,42.6848,42.891,41.0926,41.2186,5507100
2016-08-03,41.2702,42.3011,40.9781,42.1292,2898400
2016-08-04,42.072,42.8967,42.0433,42.576,3147700
2016-08-05,42.7478,43.1601,42.576,42.6676,2988900
2016-08-08,42.8222,43.3148,42.7191,43.1945,3085100
2016-08-09,43.3205,43.3778,42.6046,42.6962,2534100
2016-08-10,42.8967,43.2117,42.5702,42.6103,2287100
2016-08-11,42.7993,44.0421,42.6218,43.8875,3454500
2016-08-12,43.7311,44.3045,43.43,43.6269,2574500
2016-08-15,43.7195,45.1037,43.7195,44.8778,3263900
2016-08-16,45.0168,45.2369,44.4493,44.4782,3478000
2016-08-17,44.3276,44.8605,44.1887,44.7041,3111000
2016-08-18,44.8431,45.3296,44.455,45.2369,3108300
2016-08-19,45.0458,46.5226,45.0458,46.2562,4193300
2016-08-22,45.9087,46.0419,45.3875,45.4222,2687600
2016-08-23,45.8624,46.3199,45.3469,45.735,2487400
2016-08-24,45.5844,45.9666,45.1384,45.2253,2139800
2016-08-25,45.2311,46.1635,45.15,45.7176,2341900
2016-08-26,45.9666,46.5226,45.6075,45.8508,2841800
2016-08-29,45.7987,46.1867,45.7987,46.1404,1776500
2016-08-30,46.1404,46.5921,45.4686,46.2967,2059500
2016-08-31,46.0593,46.5226,45.3643,45.6886,2838000
2016-09-01,45.677,45.9087,45.3006,45.4512,2415900
2016-09-02,45.8855,46.3488,45.8276,46.1693,1677500
2016-09-06,46.1346,46.3141,45.4048,46.0245,2501000
2016-09-07,45.874,46.4994,45.8334,46.0419,2937100
2016-09-08,46.094,46.1925,45.3354,45.4801,3423200
2016-09-09,45.3006,45.7407,44.1134,44.1249,3804000
2016-09-12,43.8585,44.7388,43.7543,44.4493,3050400
2016-09-13,43.9164,44.1828,42.8682,43.1288,3696000
2016-09-14,43.1636,43.8643,42.903,43.7022,7890600
2016-09-15,43.7022,44.4029,43.6269,44.3161,4585100
2016-09-16,43.9686,44.7736,43.7601,44.6635,5193600
2016-09-19,45.0979,45.6307,45.0342,45.428,2882300
2016-09-20,45.5844,45.7465,44.8662,44.9068,2835700
2016-09-21,45.2311,45.6365,44.8952,45.2543,3230900
2016-09-22,45.5496,45.9492,45.179,45.2774,1873900
2016-09-23,45.0805,45.3817,44.8199,44.8199,2132400
2016-09-26,44.791,44.791,44.206,44.2987,2373300
2016-09-27,44.1018,45.0921,43.8759,45.0458,3777700
2016-09-28,45.3064,46.372,44.7041,46.3315,4113900
2016-09-29,46.3199,47.345,46.2446,46.6037,4314100
2016-09-30,46.818,47.1654,46.4994,46.7137,3776700
2016-10-03,46.8237,46.9164,46.3141,46.8179,3204400
2016-10-04,46.9743,47.4608,46.0072,46.2388,3076600
2016-10-05,46.6095,47.7504,46.5515,47.1017,3249700
2016-10-06,47.0959,48.9897,47.0264,48.7002,5045100
2016-10-07,48.5554,48.6133,46.8874,47.1654,3353000
2016-10-10,47.6114,48.2542,47.484,47.6403,2351200
2016-10-11,47.2002,47.3566,46.2446,46.5052,3283000
2016-10-12,46.4763,46.5979,45.845,46.3315,2106900
2016-10-13,45.7176,46.4473,45.2427,46.2736,2854000
2016-10-14,46.8353,47.1423,46.0709,46.0709,2735300
2016-10-17,46.0419,46.401,45.7408,46.0593,3454100
2016-10-18,46.8122,47.2002,46.3778,46.4357,4162400
2016-10-19,46.5689,47.3971,46.1288,47.2871,2887700
2016-10-20,46.9801,47.6925,46.9338,47.2349,2089200
2016-10-21,46.8932,47.4782,46.7369,47.4145,2772600
2016-10-24,47.4608,48.0457,47.1017,47.2697,1798000
2016-10-25,47.2871,47.3681,46.2214,46.3083,3571800
2016-10-26,45.9666,46.6268,45.845,46.5342,2242300
2016-10-27,46.9917,47.0033,46.2909,46.4763,1567800
2016-10-28,46.6326,47.1538,46.0651,46.4936,2118700
2016-10-31,46.3778,46.4705,45.984,46.0709,4374300
2016-11-01,46.3373,46.65,44.7273,45.2948,4303200
2016-11-02,45.1384,45.2543,44.4261,44.8199,3749400
2016-11-03,44.9994,45.5091,44.9241,45.3527,2764300
2016-11-04,45.457,45.8682,44.9647,45.4338,2701300
2016-11-07,46.123,46.4068,45.7234,45.845,1938200
2016-11-08,45.6886,45.984,45.0979,45.7234,2009000
2016-11-09,45.3354,47.3334,45.0863,46.8759,2918900
2016-11-10,47.1075,48.8623,46.9801,48.2716,4628100
2016-11-11,48.1905,48.4859,46.8527,47.6056,3754200
2016-11-14,47.623,47.8662,46.7253,47.7214,3539900
2016-11-15,47.5477,48.3527,47.5477,48.3121,3564400
2016-11-16,48.2079,48.6133,47.8604,48.1847,2971500
2016-11-17,48.5148,48.538,47.901,48.0747,2380300
2016-11-18,47.9068,48.2658,47.8373,48.1384,1901000
2016-11-21,48.4743,49.343,48.3816,49.3199,3355300
2016-11-22,49.5863,49.7311,49.1635,49.6731,2860500
2016-11-23,49.4415,50.1944,49.2272,50.177,2853100
2016-11-25,50.177,50.7268,50.1302,50.6917,1853800
2016-11-28,50.7151,50.873,49.943,50.0542,3687200
2016-11-29,49.5746,49.7851,48.5803,48.9663,4271200
2016-11-30,50.177,53.2184,50.177,52.8265,8648700
2016-12-01,53.2067,54.2068,53.0137,53.3295,6803300
2016-12-02,53.1365,53.2242,51.8556,52.1363,3804900
2016-12-05,52.6452,52.9786,51.4579,51.8205,4147500
2016-12-06,51.5982,51.5982,50.9139,51.3409,3601100
2016-12-07,51.4637,52.4054,51.1888,52.2943,2239000
2016-12-08,52.3177,53.1131,51.996,52.9552,2741600
2016-12-09,52.9201,53.0487,51.5046,51.7152,3021400
2016-12-12,52.1071,52.5925,52.0077,52.3995,3411700
2016-12-13,52.2943,52.5808,51.7562,52.4171,2414600
2016-12-14,52.1363,52.5224,51.2941,51.5222,3031000
2016-12-15,51.1771,52.0778,50.487,51.955,3684400
2016-12-16,52.1188,52.1247,51.645,51.8673,6179100
2016-12-19,52.0194,52.1422,51.066,51.5515,1931700
2016-12-20,51.7328,52.0311,51.3526,51.5456,1708200
2016-12-21,51.5983,51.5983,51.1538,51.3351,2155500
2016-12-22,51.4754,51.5632,50.8379,51.1947,1458500
2016-12-23,51.1479,51.3117,50.8613,51.2941,842500
2016-12-27,51.3584,51.6158,50.8204,50.9432,1139000
2016-12-28,51.1011,51.2941,50.2589,50.5221,1283300
2016-12-29,50.5572,50.8964,50.1477,50.3057,1583800
2016-12-30,50.4694,50.4694,49.7968,50.1711,1831400
2017-01-03,50.8964,51.3526,50.2238,50.8145,2560300
2017-01-04,51.0309,52.2182,51.0192,51.9316,3022900
2017-01-05,51.7035,52.3995,51.4169,51.8673,2330800
2017-01-06,51.9492,51.9843,51.1069,51.569,1937600
2017-01-09,51.3584,51.762,50.7619,50.8204,3227400
2017-01-10,50.8964,51.2005,50.4753,50.8145,2707900
2017-01-11,50.99,51.7386,50.6273,51.7269,2841000
2017-01-12,51.7328,52.6393,51.5865,52.4171,3429400
2017-01-13,52.4814,53.0487,52.2007,52.4814,1920000
2017-01-17,52.4288,52.768,52.2709,52.6218,2778100
2017-01-18,52.6335,53.0546,52.4112,52.6686,2030500
2017-01-19,52.7797,52.9142,52.0895,52.499,2095200
2017-01-20,53.1774,53.7798,52.7329,53.1599,3372700
2017-01-23,52.9844,53.3412,52.7739,53.3178,2396700
2017-01-24,53.7389,56.0843,53.6629,55.6398,4948400
2017-01-25,55.6222,56.6341,55.09,56.3709,4606500
2017-01-26,56.0434,57.1078,55.4936,55.7919,4841400
2017-01-27,55.7509,55.9615,55.2596,55.7392,2579300
2017-01-30,55.5462,55.5462,54.7683,55.1543,2846600
2017-01-31,54.8443,54.9087,54.2828,54.5519,3850100
2017-02-01,54.8326,55.786,54.7917,55.6047,2506300
2017-02-02,55.4819,55.6749,54.6279,54.8326,4174800
2017-02-03,54.8326,56.1018,54.394,55.3824,5093800
2017-02-06,55.1017,55.8094,55.049,55.5287,2788400
2017-02-07,54.4934,55.1017,53.4582,54.0138,4435000
2017-02-08,54.043,54.1015,53.4172,53.6102,4523100
2017-02-09,53.6102,54.2829,53.6102,53.9495,3110500
2017-02-10,53.8091,54.2712,53.4406,53.7272,3765200
2017-02-13,54.201,54.2653,53.6687,53.9378,2646700
2017-02-14,53.9846,54.5402,53.8442,54.4817,1991000
2017-02-15,54.4057,54.5577,54.0138,54.4466,1765000
2017-02-16,54.394,54.7098,54.0547,54.2127,1698400
2017-02-17,54.084,54.6864,53.9553,54.3413,2401800
2017-02-21,54.5344,55.3941,54.3121,55.283,2704500
2017-02-22,54.9906,55.4409,54.7859,54.9847,2244400
2017-02-23,55.1075,55.359,54.16,54.47,2015100
2017-02-24,53.9436,54.1015,53.4348,54.0606,2639200
2017-02-27,53.4114,54.1834,52.9786,53.4172,2683900
2017-02-28,53.2359,53.6219,52.5574,53.3646,4352800
2017-03-01,54.1659,55.4643,54.1308,54.9145,3413400
2017-03-02,54.8555,55.1919,54.4305,54.4719,2671900
2017-03-03,54.4778,54.6961,54.1472,54.4423,1672600
2017-03-06,54.2712,54.4896,53.9466,54.0351,2361900
2017-03-07,53.9052,54.0056,53.2737,53.8462,2455300
2017-03-08,53.8226,54.0056,52.8369,52.9963,2968300
2017-03-09,53.0612,53.0671,52.2998,52.8251,3085600
2017-03-10,53.1616,53.1734,52.4179,52.9963,2666400
2017-03-13,53.0258,53.3091,52.8488,53.2265,1673600
2017-03-14,52.6481,52.772,51.8808,52.2821,3030500
2017-03-15,52.9254,53.9465,52.6717,53.6455,3070100
2017-03-16,53.7813,53.8167,53.1734,53.3268,1900800
2017-03-17,53.5039,53.6987,53.1261,53.1675,2405900
2017-03-20,53.197,53.3976,52.7248,53.2973,1694100
2017-03-21,53.2619,53.6396,51.9103,52.0283,2728600
2017-03-22,52.0401,52.3412,51.6978,52.0283,2252200
2017-03-23,51.9693,52.5654,51.5384,52.1168,2165500
2017-03-24,52.1464,52.4179,51.3732,51.6801,1698100
2017-03-27,51.1961,52.4592,50.5587,52.3057,2467100
2017-03-28,52.3234,54.1,52.3234,53.6515,3151600
2017-03-29,53.5039,54.0233,53.2796,53.5511,1996100
2017-03-30,53.6278,54.2535,53.4803,53.8698,1487700
2017-03-31,53.6987,54.0174,53.4803,53.8226,1850300
2017-04-03,53.9997,54.1531,52.6717,53.2737,1643900
2017-04-04,53.3386,53.6396,52.955,53.5275,2083800
2017-04-05,53.9406,54.3184,52.1346,52.1759,4072900
2017-04-06,52.2703,52.7897,51.9398,52.6422,2492900
2017-04-07,52.4828,52.7425,51.7922,52.4061,2198100
2017-04-10,52.8546,53.0612,52.1523,52.2526,1822600
2017-04-11,52.2113,52.3471,51.568,51.9516,2212700
2017-04-12,51.987,52.0755,50.7889,50.96,2838400
2017-04-13,50.9069,51.4322,49.9803,50.116,3579000
2017-04-17,50.3344,50.476,50.116,50.3344,2377500
2017-04-18,50.1219,50.9069,50.0098,50.6649,2726800
2017-04-19,50.9364,51.3437,50.3049,50.4819,2426800
2017-04-20,50.7653,51.2433,50.4465,50.4701,2569800
2017-04-21,50.476,50.9246,50.3698,50.417,2529200
2017-04-24,51.1194,51.2787,50.8538,51.0662,2194700
2017-04-25,51.3378,51.7804,51.0958,51.3555,2020200
2017-04-26,51.2138,51.686,51.0131,51.385,1863800
2017-04-27,51.3024,51.6329,50.8125,51.5975,3117300
2017-04-28,50.9954,50.9954,49.6379,50.0274,4565400
2017-05-01,50.1691,50.2813,49.2248,49.2602,3379500
2017-05-02,49.1303,49.4136,48.6759,49.3074,5118800
2017-05-03,48.9887,49.3723,48.2509,48.3276,3729300
2017-05-04,48.3276,48.3866,47.5367,48.0561,3873200
2017-05-05,48.2037,49.6792,48.1092,49.6733,3830800
2017-05-08,48.1683,48.7644,47.5131,47.6784,5066800
2017-05-09,47.7728,48.4693,47.7197,48.3453,3279900
2017-05-10,48.5047,49.0123,48.3512,48.67,3111800
2017-05-11,48.6818,49.0477,48.0856,48.3807,2192700
2017-05-12,48.062,48.428,47.7433,47.8318,1980900
2017-05-15,48.2863,49.39,48.186,48.7113,2948100
2017-05-16,48.8116,49.2012,48.605,49.0241,2690900
2017-05-17,49.0241,49.0241,47.1472,47.2062,3411800
2017-05-18,46.9524,47.6843,46.6455,47.46,3130500
2017-05-19,47.7138,48.304,47.5367,47.8672,3608200
2017-05-22,48.2509,48.4221,47.0763,47.3951,2569000
2017-05-23,47.6016,47.8023,47.3124,47.5544,1557600
2017-05-24,48.1388,48.7408,47.8141,48.1801,2542600
2017-05-25,48.2509,48.5578,47.218,47.6134,2906500
2017-05-26,47.5839,47.7905,47.2298,47.6489,1841700
2017-05-30,47.5367,47.7315,47.3715,47.5485,2086000
2017-05-31,47.4128,47.5721,46.9052,47.5249,3092600
2017-06-01,47.5965,48.2352,47.4951,48.08,3605200
2017-06-02,48.0263,48.3248,47.6025,47.7756,4657600
2017-06-05,47.6204,47.7398,47.0653,47.1011,2901900
2017-06-06,46.8206,47.322,46.5639,47.2384,3710500
2017-06-07,47.3041,47.9606,47.1071,47.2981,2934600
2017-06-08,47.2981,47.8532,47.1906,47.4413,2386800
2017-06-09,47.513,49.0828,47.4891,48.8739,3394500
2017-06-12,48.862,49.5245,48.6232,48.8142,2419200
2017-06-13,48.5337,49.6737,48.3904,49.5126,2714600
2017-06-14,49.6439,49.6439,48.1576,48.3068,4056800
2017-06-15,47.8592,48.1994,47.4712,47.8353,2326000
2017-06-16,47.8234,48.2889,47.6025,48.277,3133400
2017-06-19,48.6292,48.862,48.4262,48.5277,1535500
2017-06-20,47.9845,48.1337,47.0832,47.8114,2052400
2017-06-21,48.0024,48.1099,47.31,47.4951,2440100
