date,open,high,low,close,volume
2016-04-18,61.7274,61.7456,60.7167,61.4998,4991900
2016-04-19,61.5726,62.6744,61.3541,61.7456,5440700
2016-04-20,61.1811,62.2829,60.8897,61.7912,5106300
2016-04-21,61.6728,63.0569,61.6728,62.1281,4476900
2016-04-22,62.1281,62.21,59.6969,60.5892,5375700
2016-04-25,60.7804,61.0809,60.4709,60.9899,3443800
2016-04-26,61.3723,61.4725,60.5528,61.0081,4445600
2016-04-27,61.0536,62.7473,61.0172,62.5379,6220500
2016-04-28,61.5817,64.4227,61.518,63.0478,7220900
2016-04-29,62.811,64.1313,62.5014,63.8217,6485400
2016-05-02,64.0403,64.1678,63.3209,63.7762,4575600
2016-05-03,63.4211,64.0949,62.9476,63.8308,4670900
2016-05-04,63.2481,63.5759,62.6198,63.0387,4332500
2016-05-05,63.239,63.585,62.8656,63.0751,3058300
2016-05-06,62.8383,63.2663,62.2373,63.0295,1872200
2016-05-09,63.1935,63.3209,62.547,62.9476,2320700
2016-05-10,63.0022,64.1586,62.5105,64.1586,6235900
2016-05-11,64.0312,64.0312,62.6016,62.7564,2660400
2016-05-12,63.1388,63.2754,61.4087,61.8913,2574500
2016-05-13,61.6546,62.3284,60.3798,60.8988,3812200
2016-05-16,60.8988,62.0643,60.6803,61.6546,2647800
2016-05-17,61.6546,62.292,61.0172,61.2448,2726000
2016-05-18,61.2814,61.5284,59.5619,60.1015,4548700
2016-05-19,59.5802,59.6808,58.6381,59.4247,3533000
2016-05-20,59.2509,59.7905,59.1777,59.4338,3008200
2016-05-23,59.4704,59.5619,58.9856,59.3241,2001900
2016-05-24,59.6076,60.0101,59.3332,59.7905,2271600
2016-05-25,59.7905,60.6777,59.5985,60.5497,2750500
2016-05-26,60.5314,60.5405,59.7905,59.9643,2025500
2016-05-27,60.1473,60.6777,59.9826,60.6503,1619200
2016-05-31,60.6777,60.9979,60.2844,60.4033,2373600
2016-06-01,60.568,61.5466,60.0649,61.4186,3899400
2016-06-02,61.0893,62.9369,60.943,62.6717,3879500
2016-06-03,62.0863,62.5619,61.2814,62.2235,2901800
2016-06-06,62.2326,62.4247,61.7753,62.0588,1827900
2016-06-07,62.2601,62.3333,61.4735,61.565,2302800
2016-06-08,61.7204,62.0863,60.6594,61.7936,3493400
2016-06-09,61.4095,61.6656,60.9796,61.4826,2551800
2016-06-10,60.7509,60.9979,60.4308,60.8149,2553100
2016-06-13,60.6869,61.2814,60.3119,60.3302,2872600
2016-06-14,60.01,60.3576,59.4247,59.7997,3358800
2016-06-15,59.8729,61.0345,59.8271,60.1107,2933800
2016-06-16,59.8911,60.1289,58.8393,59.9917,2741000
2016-06-17,59.9826,60.9064,59.9186,60.7966,3229500
2016-06-20,61.4278,62.6168,61.3363,62.0497,3091000
2016-06-21,61.9491,62.0406,61.4003,61.9308,2429200
2016-06-22,62.0955,62.5802,61.6656,61.9674,3592200
2016-06-23,62.5528,63.1016,62.2326,63.065,2472600
2016-06-24,60.696,61.5924,58.3911,58.4552,6184400
2016-06-27,57.9064,58.3728,55.6746,55.9856,6495400
2016-06-28,56.8637,57.3759,56.388,57.2478,4016500
2016-06-29,57.7966,59.7631,57.7783,59.3607,4199900
2016-06-30,60.0741,61.0528,59.3424,60.7875,4328900
2016-07-01,60.7235,62.1046,60.4491,62.004,3341000
2016-07-05,62.0497,62.1503,61.0619,61.3637,3093800
2016-07-06,61.007,62.1503,60.6503,62.0588,2899300
2016-07-07,62.1778,62.8455,61.6473,62.5253,2918500
2016-07-08,63.1015,64.0619,62.9643,63.8881,3686900
2016-07-11,63.8882,64.2723,63.6778,64.1351,3282900
2016-07-12,64.4553,65.3973,64.437,65.1778,3908700
2016-07-13,65.4248,65.4431,63.6412,64.1351,3413800
2016-07-14,64.8485,64.94,64.3363,64.4369,2274400
2016-07-15,64.4095,64.5376,63.3668,64.2083,1837900
2016-07-18,64.1991,64.7205,64.0162,64.3821,2061700
2016-07-19,63.9339,64.1808,63.4674,64.1626,3060100
2016-07-20,64.2174,64.4187,63.7876,63.9065,1916200
2016-07-21,63.6778,64.4552,63.5314,64.3729,2579300
2016-07-22,64.2998,65.0498,64.0711,64.9309,1838200
2016-07-25,64.8668,65.2601,64.629,65.1321,2789700
2016-07-26,65.0406,65.5986,64.6656,65.5528,2531000
2016-07-27,64.9857,65.1046,63.7692,64.5192,4010600
2016-07-28,63.5863,65.5254,63.1107,65.4248,3653200
2016-07-29,65.2327,65.7174,64.8394,65.5802,2408300
2016-08-01,65.3882,65.6168,64.693,65.1138,2235700
2016-08-02,65.1138,65.1321,63.7327,64.565,2514800
2016-08-03,64.4278,65.3059,64.1626,65.2235,2888900
2016-08-04,65.2052,66.0742,64.5833,66.0467,1974400
2016-08-05,66.4857,66.8973,66.1382,66.504,1846300
2016-08-08,66.7602,66.9797,66.1382,66.3486,3782600
2016-08-09,66.4309,66.751,65.6168,65.7174,2639700
2016-08-10,65.8821,66.3394,65.4156,65.7266,2342200
2016-08-11,65.8364,66.1748,65.5254,65.9461,1350000
2016-08-12,65.3059,66.3577,65.2144,65.7998,1784700
2016-08-15,65.937,66.8973,65.8729,66.6595,2030400
2016-08-16,66.7144,66.8699,66.2388,66.5681,2439400
2016-08-17,66.7053,66.8333,66.1108,66.7785,1712400
2016-08-18,66.7236,67.0071,66.1382,66.7327,1063100
2016-08-19,66.4309,67.6748,66.1656,67.6565,2353200
2016-08-22,67.373,67.6016,66.4217,66.7785,4737900
2016-08-23,67.1626,67.1718,66.751,66.8882,1735200
2016-08-24,66.7419,67.0163,66.1565,66.2937,1459900
2016-08-25,66.2662,66.8699,66.129,66.7967,3013800
2016-08-26,67.0528,67.3089,66.3577,66.5864,2270300
2016-08-29,66.6595,67.5193,66.6595,66.8425,1957700
2016-08-30,66.9888,66.998,66.0284,66.1565,2326700
2016-08-31,66.0193,66.312,65.2327,65.2418,2337300
2016-09-01,65.3059,65.8089,64.8303,65.0589,3145100
2016-09-02,65.2967,65.6443,64.5284,64.9034,2568500
2016-09-06,64.8668,65.0315,63.9888,64.1077,2265400
2016-09-07,64.437,64.5742,64.0345,64.3912,1781600
2016-09-08,64.4918,64.4918,63.9156,64.0528,1880000
2016-09-09,64.0436,64.1625,61.3271,61.4277,3883000
2016-09-12,60.9979,63.0741,60.8607,62.9461,3153100
2016-09-13,62.3881,63.1564,62.068,62.5711,4196000
