date,open,high,low,close,volume
2025-04-17,9.277,9.3241,9.2487,9.3053,5321100
2025-04-18,9.3053,9.4844,9.3053,9.4467,5759800
2025-04-21,9.4656,9.4656,9.3996,9.409,3345700
2025-04-22,9.3996,9.3996,9.3336,9.3807,6512000
2025-04-23,9.4184,9.4279,9.343,9.3807,7732300
2025-04-24,9.3807,9.4184,9.3619,9.3807,9293800
2025-04-25,9.3901,9.3996,9.3053,9.3053,9179100
2025-04-28,9.343,9.4184,9.3336,9.4184,10079900
2025-04-29,9.4184,9.4279,9.3807,9.3807,6401100
2025-04-30,9.4184,9.4279,9.3713,9.4184,13948400
2025-05-02,9.4184,9.4656,9.3901,9.4184,18469500
2025-05-05,9.4467,9.4844,9.4184,9.4279,6860500
2025-05-06,9.4279,9.4467,9.3807,9.3901,5588400
2025-05-07,9.409,9.4467,9.3901,9.4279,16094000
2025-05-08,9.4279,9.4844,9.3147,9.3147,12018800
2025-05-09,9.3619,9.3713,9.3241,9.3241,8175900
2025-05-13,9.409,9.6541,9.409,9.6164,33513000
2025-05-14,9.6353,9.6918,9.541,9.6164,16646600
2025-05-15,9.6164,9.6353,9.5033,9.5221,10899600
2025-05-16,9.5221,9.5976,9.5033,9.5598,6301900
2025-05-19,9.5598,9.5787,9.5033,9.5598,7294200
2025-05-20,9.5598,9.5976,9.4279,9.4656,8251600
2025-05-21,9.4656,9.4844,9.409,9.4279,9415900
2025-05-22,9.4279,9.4467,9.2582,9.2582,11412000
2025-05-23,9.3147,9.3241,9.2959,9.3147,10907900
2025-05-26,9.3336,9.3713,9.2864,9.3524,7002100
2025-05-27,9.3524,9.3713,9.2864,9.2864,10954400
2025-05-28,9.3053,9.3241,9.2582,9.277,8025100
2025-05-29,9.2864,9.3241,9.2581,9.3053,8959200
2025-05-30,9.3241,9.3336,9.2204,9.2204,29844200
2025-06-03,9.2393,9.277,9.145,9.2016,10002900
2025-06-04,9.2016,9.2204,9.1544,9.1639,8806600
2025-06-05,9.1733,9.1827,9.1356,9.145,8953900
2025-06-06,9.1356,9.1544,9.1262,9.145,5942700
2025-06-09,9.1544,9.1639,9.1262,9.1262,4156400
2025-06-10,9.1356,9.145,9.0979,9.1073,9601600
2025-06-11,9.1073,9.2016,9.1073,9.145,7224400
2025-06-12,9.145,9.2581,9.1356,9.211,9934800
2025-06-13,9.1922,9.2016,9.1262,9.145,6997700
2025-06-16,9.1356,9.145,9.0225,9.0413,14727400
2025-06-17,9.0507,9.079,8.9847,9.0036,10413500
2025-06-18,9.0036,9.0884,9.0036,9.0696,8598600
2025-06-19,9.0884,9.0979,9.0225,9.0507,3742600
2025-06-20,9.0602,9.1356,9.0413,9.1073,13607700
2025-06-23,9.0507,9.1356,9.0319,9.1167,5298600
2025-06-24,9.1167,9.277,9.0979,9.2393,22349600
2025-06-25,9.2676,9.3241,9.1639,9.2299,6881000
2025-06-26,9.2299,9.2487,9.2016,9.2487,13716700
2025-06-30,9.2581,9.2676,9.145,9.145,16988600
2025-07-01,9.145,9.2016,9.1356,9.1639,9735300
