date,open,high,low,close,volume
2016-04-21,20.4288,20.6476,20.3833,20.4122,3861800
2016-04-22,20.3916,20.8706,20.3875,20.5279,4192600
2016-04-25,20.5196,20.6022,20.4411,20.47,3122600
2016-04-26,20.5485,20.9284,20.499,20.6807,5386400
2016-04-27,20.5031,20.8624,20.3668,20.788,4662800
2016-04-28,20.6476,20.9119,20.3998,20.4453,6003000
2016-04-29,20.3751,20.3751,19.8754,20.0654,4633200
2016-05-02,20.1769,20.4122,19.9745,20.3792,3427400
2016-05-03,20.2636,20.2884,20.0571,20.1521,4238400
2016-05-04,20.0365,20.1975,19.9291,19.9952,3930400
2016-05-05,20.1645,20.1645,19.4914,19.7474,5598600
2016-05-06,19.5987,19.8011,19.4377,19.8011,4984600
2016-05-09,19.7722,19.9002,19.6152,19.6442,2958000
2016-05-10,19.7433,19.9704,19.6359,19.9621,3092400
2016-05-11,19.8465,20.1645,19.7846,19.9539,2353800
2016-05-12,19.9828,20.0943,19.4914,19.545,4623600
2016-05-13,19.5533,19.7391,19.4005,19.4748,5068200
2016-05-16,19.4707,19.9662,19.4212,19.8011,3340200
2016-05-17,19.83,19.9084,19.6648,19.7309,3036200
2016-05-18,19.6359,20.1232,19.6359,19.958,3471000
2016-05-19,19.7708,19.983,19.6127,19.8207,2317800
2016-05-20,19.9372,20.3948,19.9372,20.3116,3498200
2016-05-23,20.2659,20.5654,20.2492,20.3283,2741200
2016-05-24,20.4073,20.8525,20.399,20.7859,4044200
2016-05-25,20.8567,21.048,20.8234,20.8733,4073400
2016-05-26,20.8317,21.1105,20.8317,21.0772,3529800
2016-05-27,21.1188,21.2394,21.0148,21.2145,2989400
2016-05-31,21.2727,21.5265,20.944,21.5015,5199600
2016-06-01,21.3767,21.5432,21.281,21.514,2831600
2016-06-02,21.4433,21.6097,21.4183,21.5182,3316400
2016-06-03,21.5099,21.6305,21.3559,21.5556,3536400
2016-06-06,21.5515,21.7179,21.5223,21.5348,3695600
2016-06-07,21.5972,22.0258,21.5847,21.9717,4210600
2016-06-08,22.0091,22.1215,21.8593,22.0466,3323200
2016-06-09,21.9592,21.9675,21.5847,21.955,3136200
2016-06-10,21.7761,21.9176,21.6513,21.7387,5738200
2016-06-13,21.6388,21.8136,21.5681,21.5972,2865600
2016-06-14,21.4891,21.7553,21.41,21.7179,3341400
2016-06-15,21.7761,21.8261,21.5473,21.6763,3140600
2016-06-16,21.5681,21.6846,21.3102,21.6555,3765600
2016-06-17,21.618,21.618,21.2186,21.306,7348800
2016-06-20,21.5723,21.7595,21.4558,21.5806,3527600
2016-06-21,21.6472,21.7054,21.5057,21.5972,2794000
2016-06-22,21.5764,21.7387,21.4059,21.4641,2999200
2016-06-23,21.5889,21.9925,21.5307,21.9842,3023000
2016-06-24,21.0938,21.4974,20.8733,20.9981,6314000
