date,open,high,low,close,volume
2016-04-22,165.4266,166.0285,163.5931,165.0562,1508800
2016-04-25,164.9729,165.2877,162.5561,164.0469,1341100
2016-04-26,164.2136,165.4637,163.8617,164.0562,965200
2016-04-27,164.0747,165.3247,163.3894,164.7599,1155500
2016-04-28,163.4358,163.5376,156.6113,156.7965,3047900
2016-04-29,155.9723,156.7038,154.0926,155.3982,2145500
2016-05-02,155.3797,156.352,154.5,155.9631,1554700
2016-05-03,154.4075,157.4817,154.0741,155.7038,1130300
2016-05-04,155.1853,155.6575,152.2221,152.7962,2127500
2016-05-05,159.0837,165.2877,156.9354,159.917,3987300
2016-05-06,158.8151,160.3152,154.5741,156.3612,2085400
2016-05-09,156.9724,160.167,156.852,159.4725,1339600
2016-05-10,160.63,160.8615,156.7316,157.7039,1281000
2016-05-11,156.9817,159.2411,156.2131,156.3891,1151100
2016-05-12,156.7409,157.4539,153.9259,154.9167,894000
2016-05-13,154.5649,155.8057,153.2407,153.6481,892700
2016-05-16,156.5002,160.6486,156.102,159.7596,2224400
2016-05-17,159.3892,162.3986,157.6391,160.667,1790300
2016-05-18,159.5003,167.7415,159.5003,166.5748,3996800
2016-05-19,166.2508,170.3158,165.1952,167.5657,3491600
2016-05-20,168.3342,169.3435,166.7971,168.7972,2531000
2016-05-23,166.5655,168.1305,165.084,165.4266,1329600
2016-05-24,165.7507,170.2046,165.0654,169.2416,2070400
2016-05-25,169.3991,171.8437,168.6583,169.3806,2116100
2016-05-26,168.9268,169.7509,166.1859,166.2785,2038100
2016-05-27,166.223,168.7231,165.7785,167.8064,1068900
2016-05-31,167.973,169.7972,167.1489,169.5843,2713300
2016-06-01,168.2694,171.7788,167.2786,171.1306,1787500
2016-06-02,171.5016,174.3301,171.2234,174.1539,1681800
2016-06-03,173.514,174.7474,172.4104,172.9205,1497300
2016-06-06,173.0874,174.0612,172.2899,173.5789,748800
2016-06-07,173.3843,173.9685,171.3997,171.5388,1146500
2016-06-08,171.7335,174.3673,170.361,174.1076,1273800
2016-06-09,173.8015,174.3394,172.1971,173.31,1356100
2016-06-10,171.8355,172.9947,171.2327,172.0024,1127200
2016-06-13,172.1879,173.0132,170.1476,170.3053,1439400
2016-06-14,169.7117,170.2589,167.2727,168.367,1299200
2016-06-15,169.2759,170.1662,167.486,167.7921,1191000
2016-06-16,166.0022,167.1151,163.7858,166.6978,1184200
2016-06-17,166.8554,167.282,164.0361,164.8708,1523000
2016-06-20,166.874,168.2558,166.2805,166.8091,1470600
2016-06-21,167.7549,167.8569,165.928,166.2526,733000
2016-06-22,166.0672,169.4521,166.0208,168.3485,1107800
2016-06-23,170.0456,171.3903,169.6468,170.6392,1160600
2016-06-24,164.4906,166.1877,163.4705,164.2124,1633700
2016-06-27,162.0608,162.7564,158.7315,160.0948,1609300
2016-06-28,161.7085,164.945,161.7085,163.758,1609600
2016-06-29,166.8739,170.6948,165.3994,170.0271,1723700
2016-06-30,170.1662,173.1987,169.2852,173.0967,1580800
2016-07-01,173.4398,176.5373,173.2636,174.4414,1049800
2016-07-05,173.1988,174.4415,172.5403,173.8665,917900
2016-07-06,173.3285,178.1602,171.9653,177.9469,2095600
2016-07-07,177.947,179.5421,176.2777,177.3163,1254600
2016-07-08,178.3643,179.3287,177.9377,178.7909,1491100
2016-07-11,178.726,179.8203,177.9655,179.403,1448600
2016-07-12,179.9037,182.6951,179.7739,181.2762,1628600
2016-07-13,182.25,183.6782,181.471,183.0754,1620300
2016-07-14,184.4386,184.9487,183.1681,183.6504,1063400
2016-07-15,184.2532,184.5964,181.9719,182.8251,933100
2016-07-18,182.9734,183.5576,181.8327,183.3443,814700
2016-07-19,182.315,184.2996,182.2501,183.5948,925400
2016-07-20,183.6596,184.8003,183.4834,184.0306,887000
2016-07-21,184.0306,184.4943,181.6936,182.2315,1204100
2016-07-22,182.4911,182.6581,181.6008,182.2964,869500
2016-07-25,181.6658,181.8698,179.9594,181.777,807600
2016-07-26,181.2299,182.6766,180.8404,182.0275,879200
2016-07-27,181.9996,183.5391,180.8868,182.621,1040500
2016-07-28,177.4184,182.6117,177.0196,179.3937,2661100
2016-07-29,178.7909,180.961,177.3163,180.4324,1440100
2016-08-01,181.0259,181.1928,177.8078,178.1417,1379900
2016-08-02,178.2159,180.8497,177.9099,179.4771,1872500
2016-08-03,179.0227,181.1279,178.93,180.9703,1157700
2016-08-04,180.5066,181.165,179.4493,180.3582,932400
2016-08-05,180.8961,182.3521,180.3953,180.5251,1029200
2016-08-08,180.794,181.165,179.7183,180.9332,768900
2016-08-09,181.2206,182.6209,181.0073,182.0367,767200
2016-08-10,182.0367,182.2222,180.794,181.4432,947800
2016-08-11,182.2593,182.5654,181.1093,182.3428,761500
2016-08-12,182.0274,182.2314,180.3303,181.0629,634300
2016-08-15,181.165,182.7694,180.9331,181.8791,696300
2016-08-16,181.267,181.842,180.7013,180.8497,501200
2016-08-17,180.9146,181.7863,179.5235,181.5637,944100
2016-08-18,181.1557,181.7214,180.117,180.3118,1085600
2016-08-19,179.709,180.6271,178.9578,179.7739,801100
2016-08-22,179.6812,179.8574,178.8466,179.5885,821900
2016-08-23,180.1171,180.5251,178.6889,178.7538,1048300
2016-08-24,178.7816,179.5235,174.9422,175.3224,1535600
2016-08-25,173.4584,174.256,168.7937,169.99,2898200
2016-08-26,170.3517,170.7412,168.6175,169.517,1661300
2016-08-29,169.8601,170.9452,169.3501,170.5464,1178900
2016-08-30,170.4257,170.7693,169.274,169.9984,1081200
2016-08-31,169.9985,171.6796,169.144,171.4753,1430600
2016-09-01,171.5681,171.5681,169.1625,170.2213,796700
2016-09-02,170.9365,171.308,169.664,169.9519,668500
2016-09-06,170.435,171.8468,169.4226,171.5403,1431700
2016-09-07,170.8994,173.017,170.8994,171.791,971300
2016-09-08,171.3823,172.0232,169.8591,170.0077,1353600
2016-09-09,168.5123,168.8746,163.4875,163.5525,2094900
2016-09-12,162.7445,168.6052,162.6423,167.6207,1901200
2016-09-13,165.7817,166.6733,162.3265,163.3203,2511400
2016-09-14,163.0881,163.8033,155.4348,155.7599,5825400
2016-09-15,155.8899,157.7475,152.2954,156.9394,5116600
2016-09-16,156.2615,156.6515,152.3419,154.3295,5998000
2016-09-19,154.1531,154.8218,152.7691,153.2521,2406100
2016-09-20,153.3729,154.3668,152.6578,153.0664,2161100
2016-09-21,153.6236,154.9054,152.602,154.5524,1865500
2016-09-22,155.2026,156.8652,155.1655,156.15,1949900
2016-09-23,155.9921,156.9673,154.3016,155.184,1265400
2016-09-26,154.1902,154.9425,153.28,153.4193,1481400
2016-09-27,153.4193,155.119,153.4193,154.5153,1192400
2016-09-28,154.3946,155.4255,153.8373,154.7568,984800
2016-09-29,154.1531,154.376,152.5184,152.7134,1444500
2016-09-30,153.2243,155.3048,151.9239,154.8775,2085200
2016-10-03,154.3853,154.4224,153.1128,153.6051,1163800
2016-10-04,154.1345,154.9054,153.4379,153.8652,1208100
2016-10-05,154.2181,154.506,152.9178,153.8745,1555200
2016-10-06,153.1035,153.2243,151.6546,153.02,1677200
2016-10-07,153.6144,155.0169,152.5649,154.0138,1256900
2016-10-10,154.3388,154.859,153.0571,153.5587,1284200
2016-10-11,153.2521,153.9394,151.8682,151.9797,1898300
2016-10-12,152.6113,153.6609,150.8094,150.9673,1596100
2016-10-13,150.1221,151.3016,149.4255,150.5307,1549600
2016-10-14,151.1066,151.6082,149.4905,149.5369,979300
2016-10-17,149.732,149.8342,148.4317,149.2119,1267300
2016-10-18,150.8094,151.506,150.2986,150.5586,743700
2016-10-19,150.5586,151.1809,149.602,149.6484,1171100
2016-10-20,149.5462,150.9859,149.3512,150.4193,1051900
2016-10-21,149.6669,150.5771,149.1282,149.5647,1597900
2016-10-24,150.4379,151.1716,148.831,148.8589,1386900
2016-10-25,148.7288,148.831,146.9827,147.2149,1550300
2016-10-26,146.7227,147.6143,144.8279,147.28,1837700
2016-10-27,147.67,150.1406,146.3233,149.0725,1928700
2016-10-28,120.5583,121.5243,106.3756,115.2735,28158100
2016-10-31,115.162,119.4252,114.9391,118.1156,8527500
2016-11-01,118.1156,120.8835,117.3076,120.0661,4632200
2016-11-02,120.3076,127.1064,120.3076,126.159,4652400
2016-11-03,127.255,128.9733,120.1218,120.3633,5052700
2016-11-04,120.7998,124.3293,120.0661,121.45,3505200
2016-11-07,123.289,125.6296,122.5924,124.933,2447900
