date,open,high,low,close,volume
2016-04-22,37.7634,38.0565,37.5115,37.8914,2025400
2016-04-25,37.8542,38.6512,37.846,38.5232,1778600
2016-04-26,38.6677,38.8494,38.3332,38.4282,1175800
2016-04-27,38.5067,38.6966,38.0029,38.4034,1438000
2016-04-28,38.2341,38.6842,38.1515,38.5562,1284200
2016-04-29,38.4406,38.7627,38.3291,38.7255,1586800
2016-05-02,38.8164,39.1426,38.7296,38.9485,874200
2016-05-03,38.837,39.0848,38.519,38.6512,906000
2016-05-04,38.6099,39.221,38.5314,39.1137,1345400
2016-05-05,39.0889,39.5266,39.0806,39.1467,924600
2016-05-06,39.155,39.4977,38.9196,39.4358,804600
2016-05-09,39.4895,40.0923,39.4812,40.0511,1509800
2016-05-10,40.1956,40.4599,39.857,40.4599,1181800
2016-05-11,40.4433,40.6127,40.1047,40.2658,927800
2016-05-12,40.2699,40.8356,40.2699,40.8191,1042200
2016-05-13,40.7861,41.0834,40.4062,40.6085,1305000
2016-05-16,40.6209,40.8315,40.3029,40.7943,856800
2016-05-17,40.5879,40.7241,39.5555,39.795,1751600
2016-05-18,39.6299,39.762,38.9155,39.3367,1690800
2016-05-19,39.2293,39.7042,39.093,39.6712,1068400
2016-05-20,39.729,39.9602,39.1839,39.4605,1514800
2016-05-23,39.4853,39.7992,39.444,39.5266,1032600
2016-05-24,39.6175,39.9396,39.4688,39.9354,1263400
2016-05-25,39.9024,40.0345,39.6092,39.9396,1344200
2016-05-26,39.9809,40.4062,39.8446,40.2699,954800
2016-05-27,40.2699,40.4557,40.1997,40.3773,701800
2016-05-31,40.464,40.4681,39.8859,40.0841,1390200
2016-06-01,40.1006,40.3814,39.9189,40.1626,1159400
2016-06-02,40.0923,40.2575,39.9107,40.1295,1064200
2016-06-03,40.0882,40.7035,40.0634,40.6663,1364600
2016-06-06,40.6292,40.6498,40.1047,40.2699,1088000
2016-06-07,40.369,40.6127,40.2286,40.4144,1105200
2016-06-08,40.5548,40.8439,40.3814,40.7943,1003200
2016-06-09,40.7861,41.3849,40.5672,41.3353,662200
2016-06-10,41.133,41.356,41.0297,41.2155,835800
2016-06-13,41.2321,41.4096,40.8274,40.8645,811800
2016-06-14,40.815,41.0999,40.497,41.038,1023600
2016-06-15,40.9967,41.3023,40.8233,41.166,1850600
2016-06-16,41.1371,41.6656,41.0545,41.4881,1769200
2016-06-17,41.4096,41.4592,40.91,41.3188,1159800
2016-06-20,41.5005,41.8391,41.3518,41.3683,978200
2016-06-21,41.5211,41.8804,41.3559,41.6367,915200
2016-06-22,41.5665,41.7111,41.3353,41.3642,1054000
2016-06-23,41.9217,42.2851,41.6533,42.2851,1989400
2016-06-24,41.294,42.3181,41.294,41.9423,2583000
2016-06-27,41.8391,42.0992,41.5872,41.9753,1946800
2016-06-28,42.1818,42.2149,41.6946,42.1281,1718400
2016-06-29,42.4172,42.7021,42.0166,42.4131,2298600
2016-06-30,41.8597,44.2507,41.7069,44.0483,4748800
2016-07-01,44.1722,44.2217,43.6602,43.718,2441600
2016-07-05,43.8047,44.5315,43.6354,44.2135,2037600
2016-07-06,43.9699,44.325,43.846,44.0483,2526000
2016-07-07,44.2349,44.5251,43.7415,43.9115,1903000
2016-07-08,44.0276,44.3759,43.6005,44.3468,1736600
2016-07-11,44.3054,44.3551,43.8825,43.9239,1209200
2016-07-12,43.8534,43.9654,43.3849,43.4347,1572600
2016-07-13,43.5135,43.8493,43.3766,43.642,1299400
2016-07-14,43.4305,43.7995,43.4015,43.4761,1301200
2016-07-15,43.5798,43.6669,43.4098,43.5425,1376200
2016-07-18,43.5922,43.7705,43.3518,43.4886,592600
2016-07-19,43.4222,43.5383,43.2979,43.5383,1003800
2016-07-20,43.6752,43.6752,43.1196,43.132,1012600
2016-07-21,43.132,43.132,42.8833,43.045,1161400
2016-07-22,43.0574,43.3518,42.9786,43.2274,1012400
2016-07-25,43.2315,43.4098,43.0076,43.2688,989800
2016-07-26,43.3352,43.4596,42.875,42.8998,868800
2016-07-27,42.9123,42.9123,41.996,42.1162,1286600
2016-07-28,42.1743,42.3401,41.8841,42.2738,749600
2016-07-29,42.2945,42.5433,42.1411,42.394,1392800
2016-08-01,42.3567,42.4189,42.0167,42.365,1047000
2016-08-02,42.3318,42.4106,41.9628,42.0499,796600
2016-08-03,42.0789,42.1121,41.4653,41.5689,954800
2016-08-04,41.6602,41.8343,41.5524,41.7223,727600
2016-08-05,41.8094,41.9794,41.4653,41.5938,853800
2016-08-08,41.6975,41.8301,41.5316,41.7597,1095200
2016-08-09,41.7182,41.884,41.4611,41.8301,813000
2016-08-10,41.826,42.1038,41.7845,42.0914,765800
2016-08-11,42.2033,42.2489,41.9462,42.1204,993600
2016-08-12,42.1411,42.2903,42.0955,42.1991,802600
2016-08-15,42.1452,42.1452,41.7928,41.9545,792000
2016-08-16,42.0001,42.0789,41.5897,41.6104,726000
2016-08-17,41.6892,41.9338,41.5358,41.9214,877800
2016-08-18,41.9794,42.166,41.8965,42.0665,826600
2016-08-19,42.0167,42.2365,41.8301,42.2323,1026400
2016-08-22,42.2448,42.5474,42.1494,42.5101,1251600
2016-08-23,42.6221,42.6677,42.2282,42.4604,1133600
2016-08-24,42.3774,42.5225,41.9587,42.1411,790200
2016-08-25,42.1328,42.4852,42.0084,42.1411,772200
2016-08-26,42.0333,42.4604,41.9214,42.0001,717200
2016-08-29,42.1162,42.3857,42.0333,42.3733,706800
2016-08-30,42.2572,42.365,41.9255,42.0292,628600
2016-08-31,42.0416,42.3152,41.9255,42.2738,1266400
2016-09-01,42.2282,42.2282,41.6684,41.9421,695000
2016-09-02,42.0126,42.3028,41.9877,42.2323,858200
2016-09-06,42.2323,42.3816,41.9918,42.2821,690800
2016-09-07,42.1826,42.1826,41.4777,41.7058,899400
2016-09-08,41.5358,41.6436,41.1916,41.2953,1075800
2016-09-09,41.0092,41.0092,39.869,39.8773,1425600
2016-09-12,39.8773,40.7024,39.8524,40.6485,1091400
2016-09-13,40.4039,40.8226,40.321,40.3624,1634200
2016-09-14,40.4826,40.5365,40.0556,40.1758,950000
2016-09-15,40.1012,40.69,39.9644,40.6527,1228800
2016-09-16,39.6783,40.0224,39.4295,39.7446,2696400
2016-09-19,39.699,40.0805,39.5912,39.9602,1224400
2016-09-20,40.1095,40.2297,39.8815,39.8981,918400
2016-09-21,39.9478,40.0473,39.5995,39.9976,1826000
2016-09-22,40.2878,40.4453,40.0888,40.3002,1092400
2016-09-23,40.2712,40.3417,40.0183,40.0971,976600
2016-09-26,39.9976,40.1468,39.8442,40.0763,956400
2016-09-27,40.267,40.5241,40.0556,40.4453,1417200
2016-09-28,40.3914,40.5822,40.3085,40.5365,1063800
2016-09-29,40.4412,40.7646,40.2671,40.379,1603000
2016-09-30,41.4777,41.8053,40.918,41.428,4431400
2016-10-03,40.6983,41.4197,40.1883,40.1883,2782200
2016-10-04,40.6236,40.6236,39.8732,39.9976,2073000
2016-10-05,39.9851,40.0639,39.6327,39.7322,3781600
2016-10-06,39.5573,39.6989,39.2657,39.6614,1702600
2016-10-07,39.7364,39.9613,39.4532,39.7988,2200200
2016-10-10,39.878,40.3111,39.6031,39.6989,1368800
2016-10-11,39.549,39.753,39.1033,39.2158,1195800
2016-10-12,39.1533,39.4323,39.1533,39.3199,958200
2016-10-13,39.195,39.5281,39.145,39.4032,1135400
2016-10-14,39.449,39.6156,39.3199,39.3324,783400
2016-10-17,39.3282,39.424,39.1825,39.2866,727800
2016-10-18,39.5281,39.6739,39.4115,39.5031,1186400
2016-10-19,39.5656,39.7031,39.1283,39.2366,1127800
2016-10-20,39.3032,39.3032,38.9118,39.0034,1775200
2016-10-21,38.9784,39.0533,38.6744,38.9576,1007000
2016-10-24,39.0533,39.3157,38.8951,39.0992,1148000
2016-10-25,40.5735,40.5735,39.7863,39.9446,2426400
2016-10-26,39.903,39.9321,39.6614,39.7489,998200
2016-10-27,39.7239,39.853,39.2991,39.3699,1023600
2016-10-28,39.3782,39.9113,39.3782,39.7322,1040600
2016-10-31,39.8155,39.9946,39.6447,39.9279,1728800
2016-11-01,39.9363,40.1612,39.3949,39.4865,1351400
2016-11-02,39.4698,39.6656,39.3657,39.4823,931200
2016-11-03,39.499,39.5656,39.3824,39.5073,1124000
2016-11-04,39.4657,39.5739,38.8743,38.8784,1042800
2016-11-07,39.1908,39.2616,38.6993,39.2491,1520600
2016-11-08,39.2491,40.0362,39.2491,39.8863,1485400
2016-11-09,38.9492,39.5031,38.1204,39.3782,1579000
2016-11-10,39.2283,39.3199,38.0913,38.1371,1777400
2016-11-11,38.1329,38.3786,37.7581,38.1163,1204600
2016-11-14,38.0663,38.4994,37.8081,38.2787,1128200
2016-11-15,38.4703,38.7202,38.2329,38.3412,1231200
2016-11-16,38.2454,38.4994,38.1579,38.262,959400
2016-11-17,38.3079,38.3079,37.8247,38.0663,1434600
2016-11-18,38.0246,38.2662,37.9164,37.983,1159200
2016-11-21,37.983,38.4245,37.9413,38.2662,1100200
2016-11-22,38.4869,38.7285,38.3412,38.666,1674400
2016-11-23,38.3995,38.6702,37.8789,37.933,978400
2016-11-25,38.0163,38.4411,38.0163,38.4411,657000
2016-11-28,38.387,38.6952,38.3162,38.4744,1124600
2016-11-29,38.4869,38.8618,38.387,38.7868,1102800
2016-11-30,38.6327,38.7368,37.9663,37.983,1869000
2016-12-01,37.8414,38.0121,36.9168,36.9751,2767000
2016-12-02,37.1001,37.3583,36.9793,37.0876,1423200
2016-12-05,37.0917,37.5332,37.0792,37.3125,1835800
2016-12-06,37.8456,38.0496,37.175,37.6415,1684400
2016-12-07,37.7373,38.3162,37.5998,38.2829,1547600
2016-12-08,38.2995,38.3745,37.9455,38.0746,1102600
2016-12-09,38.0246,38.5244,38.0246,38.4953,1779200
2016-12-12,38.4536,38.9576,38.4495,38.8868,953200
2016-12-13,38.9909,39.2283,38.9034,39.0242,980000
2016-12-14,39.0992,39.2324,38.2829,38.3537,1336000
2016-12-15,38.387,38.8326,38.2454,38.4619,1521600
2016-12-16,38.5661,38.9659,38.387,38.4994,2304000
2016-12-19,38.5244,38.8451,38.2579,38.5786,990200
2016-12-20,38.4994,38.7202,38.1204,38.6369,941000
2016-12-21,38.6702,39.0742,38.6702,38.8243,834600
2016-12-22,38.8409,39.0617,38.6077,38.6743,1423000
2016-12-23,38.6702,38.8951,38.5327,38.7535,686800
2016-12-27,38.8076,38.995,38.6785,38.7535,705000
2016-12-28,38.7953,39.1888,38.7367,38.8414,1028800
2016-12-29,38.8916,39.26,38.8916,39.2097,1158800
2016-12-30,39.1553,39.2265,38.9502,39.0674,1144400
2017-01-03,39.2474,39.2642,38.946,39.1763,1026800
2017-01-04,39.2893,39.3311,39.0381,39.0632,1335800
2017-01-05,39.0297,39.0674,38.2721,38.2972,2789800
2017-01-06,38.3223,38.4563,38.1088,38.2595,2560200
2017-01-09,38.2637,38.3558,37.6568,37.7321,1672200
2017-01-10,37.6065,37.7447,37.5689,37.5856,1867600
2017-01-11,37.594,37.9121,37.527,37.7698,1001000
2017-01-12,37.6777,37.9958,37.6065,37.9665,1415800
2017-01-13,37.8995,38.3809,37.8995,38.247,2049200
2017-01-17,38.2344,38.7953,38.0963,38.7953,1474200
2017-01-18,38.8539,38.9753,38.7828,38.9544,930600
2017-01-19,38.9042,38.9753,38.8246,38.9335,1559800
2017-01-20,39.1135,39.2642,38.8623,39.059,1173000
2017-01-23,39.0549,39.0591,38.8456,39.0005,921800
2017-01-24,39.0214,39.553,39.0172,39.3688,2446200
2017-01-25,39.2767,40.2772,39.2098,40.0972,2777800
2017-01-26,40.0846,40.2437,39.913,40.0176,1909800
2017-01-27,40.206,40.2353,39.8544,40.1348,1794000
2017-01-30,40.1181,40.1641,39.6995,39.9674,1646000
2017-01-31,39.9925,40.1014,39.7539,39.9967,2460600
2017-02-01,39.8795,40.0386,39.4525,39.5781,1805600
2017-02-02,39.6744,40.0134,39.6032,39.8,1533000
2017-02-03,40.0679,40.3776,39.8837,40.1265,1168600
2017-02-06,40.093,40.093,39.553,39.5614,1494200
2017-02-07,39.6032,40.1097,39.6032,40.0009,1478200
2017-02-08,39.9549,40.5158,39.9549,40.3944,1884800
2017-02-09,40.3944,40.8339,40.2437,40.6246,1383000
2017-02-10,40.5911,40.9637,40.3567,40.7083,1277200
2017-02-13,40.7083,40.8213,40.5032,40.7209,1440000
2017-02-14,40.633,40.7209,40.2897,40.5409,1121400
2017-02-15,40.4655,40.633,39.8,40.6204,1831000
2017-02-16,40.4906,40.813,40.1348,40.3693,1777400
2017-02-17,40.1307,40.9344,40.0469,40.8506,2576200
2017-02-21,40.9511,41.3278,40.8297,41.2399,2110400
2017-02-22,41.0767,41.1771,40.9134,41.0265,1339000
2017-02-23,41.0934,41.6125,40.972,41.4032,2630400
2017-02-24,41.399,41.6334,41.2106,41.579,1542400
2017-02-27,41.5371,41.7171,40.7544,40.813,1769800
2017-02-28,40.8506,41.3697,40.8506,41.1981,1618200
2017-03-01,41.1646,41.5832,40.8213,41.466,1380200
2017-03-02,41.4241,41.7255,41.2944,41.5916,1130400
2017-03-03,41.5748,41.6334,41.3739,41.6208,1033800
2017-03-06,41.4492,41.6334,41.3153,41.5413,1030400
2017-03-07,41.5413,41.7255,41.4157,41.4409,1094000
2017-03-08,41.3195,41.5706,41.2525,41.4199,1191200
2017-03-09,41.5162,41.9097,41.4744,41.8553,1316200
2017-03-10,42.0604,42.1943,41.8218,41.9934,1186200
2017-03-13,41.8804,42.0227,41.8092,42.0185,1240400
2017-03-14,41.9264,42.186,41.9181,42.1357,988200
2017-03-15,42.1943,42.7301,42.1148,42.6422,1484000
2017-03-16,42.659,42.7301,42.3743,42.479,1135200
2017-03-17,42.5669,42.8097,42.4036,42.6966,1728200
2017-03-20,42.6883,42.7887,42.5418,42.705,1132400
2017-03-21,42.6297,42.8725,42.4915,42.5585,1418600
2017-03-22,42.5418,42.7134,42.1859,42.4287,1185000
2017-03-23,42.3911,42.6506,42.3074,42.3701,1008600
2017-03-24,42.458,42.5669,42.2404,42.2822,1054200
2017-03-27,42.1064,42.4957,42.0646,42.4287,1742200
2017-03-28,41.8595,42.2446,41.1227,41.2023,3053400
2017-03-29,41.0264,41.3069,40.8799,41.0432,2914600
2017-03-30,40.9176,41.0139,40.6455,40.8255,1728200
2017-03-31,40.7585,40.9846,40.7083,40.8339,1729400
2017-04-03,41.106,41.4074,40.859,41.0851,1966000
2017-04-04,41.1353,41.219,40.746,41.1981,1719800
2017-04-05,41.5288,42.2278,41.466,42.1274,2793200
2017-04-06,42.2745,42.2745,41.9339,42.0895,1771000
2017-04-07,42.1736,42.1736,41.8708,41.8834,1775600
2017-04-10,41.9129,42.1021,41.7615,41.9591,1226400
2017-04-11,41.8203,42.0306,41.6269,41.9171,1764000
2017-04-12,41.9297,42.2956,41.7741,41.9886,2548200
2017-04-13,41.9465,42.1274,41.6816,41.7152,931400
2017-04-17,41.8119,42.1105,41.6563,42.1021,1380600
2017-04-18,42.1231,42.6236,42.1231,42.346,1244000
2017-04-19,42.3376,42.4638,42.1105,42.2745,978800
2017-04-20,42.2703,42.3881,42.1694,42.2409,1058800
2017-04-21,42.2073,42.2998,42.1652,42.2241,944400
2017-04-24,42.3797,42.5269,42.2157,42.5101,1590000
2017-04-25,42.5143,42.5605,42.1358,42.3418,1136200
2017-04-26,42.3629,42.4344,41.9339,41.9381,1207200
2017-04-27,42.0222,42.2493,41.8918,42.0643,661600
2017-04-28,42.0559,42.0727,41.854,42.0138,1321000
2017-05-01,42.0685,42.1526,41.7152,41.7152,611600
2017-05-02,41.7362,41.9045,41.5933,41.7867,1029000
2017-05-03,41.8246,41.9549,41.6605,41.7909,820400
2017-05-04,41.8708,42.9096,41.8708,42.1947,1467000
2017-05-05,42.2661,42.4974,41.9802,42.1231,987800
2017-05-08,42.1063,42.3797,41.9676,42.2325,854000
2017-05-09,42.2199,42.2829,41.8792,41.9381,742000
2017-05-10,41.9339,42.0516,41.8582,42.0432,804400
2017-05-11,41.8834,42.0937,41.8035,42.0727,825800
2017-05-12,42.018,42.0769,41.7657,41.8035,766000
2017-05-15,41.7951,42.2283,41.7699,42.1862,1291000
2017-05-16,42.2325,42.2577,41.8246,41.8414,824400
2017-05-17,41.8414,42.4302,41.7236,42.203,1187600
2017-05-18,42.2283,42.2535,41.8961,42.1021,1056400
2017-05-19,42.1021,42.5143,41.9171,42.4722,1024600
2017-05-22,42.4764,43.061,42.3208,43.0105,747800
2017-05-23,43.0526,43.3974,42.897,43.1199,854200
2017-05-24,43.2082,43.5446,43.082,43.532,695800
2017-05-25,43.5699,43.94,43.4521,43.8138,761400
2017-05-26,43.8516,44.083,43.7381,43.94,669200
2017-05-30,43.8811,43.8811,43.4395,43.6203,612200
2017-05-31,43.6876,43.9652,43.6498,43.8012,938600
2017-06-01,43.961,44.3563,43.7633,44.3563,1019400
2017-06-02,44.3984,44.5161,43.9652,44.3353,925200
2017-06-05,44.2764,44.3942,44.0241,44.3269,656200
2017-06-06,44.3269,44.4699,44.1629,44.2764,669400
2017-06-07,44.3942,44.6759,44.2343,44.5456,883600
2017-06-08,44.5456,44.5708,43.797,43.9526,876000
2017-06-09,43.8264,44.0409,43.7423,43.9063,773600
2017-06-12,43.8643,44.1166,43.6245,43.9652,761000
2017-06-13,43.9484,44.2932,43.5825,44.1502,632600
2017-06-14,44.2554,44.7895,44.1124,44.3311,867800
2017-06-15,44.2806,44.4993,44.0619,44.3815,924600
2017-06-16,44.0788,44.1124,42.4049,42.8255,2611600
2017-06-19,42.9853,43.1073,42.3797,42.9643,1184800
2017-06-20,42.9643,43.0063,42.4638,42.5185,1153400
2017-06-21,42.6993,42.8171,42.0222,42.0643,1242200
2017-06-22,42.0643,42.14,41.7615,41.9339,1279800
2017-06-23,42.0517,42.3334,41.9507,42.1526,1215400
2017-06-26,42.3334,42.5143,42.1736,42.2283,997800
2017-06-27,41.8245,42.1694,41.4334,41.4376,1281000
2017-06-28,41.6731,41.9633,41.2778,41.6143,2153200
2017-06-29,41.2442,41.3998,39.9951,40.1045,3629800
2017-06-30,40.483,41.3115,40.3316,41.0087,2569800
2017-07-03,41.1601,41.2147,40.8404,40.9203,1051600
2017-07-05,40.975,41.3241,40.689,40.689,2001800
2017-07-06,40.5454,40.6764,40.3721,40.4608,1416000
2017-07-07,40.5834,40.8877,40.4439,40.465,1244000
2017-07-10,40.6214,40.6214,40.127,40.1354,1011600
2017-07-11,40.1058,40.7313,39.9537,40.6764,2514000
2017-07-12,40.9511,41.268,40.8665,41.0778,2647600
2017-07-13,41.1539,41.1539,40.744,40.968,2043200
2017-07-14,41.0905,41.361,41.0694,41.2765,1474600
2017-07-17,41.2511,41.2511,41.0102,41.1117,1266800
2017-07-18,41.1497,41.2384,40.9976,41.0525,1831000
2017-07-19,38.2463,39.2226,38.1407,38.9098,9789200
2017-07-20,39.007,39.4466,38.969,39.0831,3731800
2017-07-21,39.0578,39.5902,39.0578,39.586,3504600
2017-07-24,39.5818,39.9157,39.4423,39.7044,2155800
2017-07-25,39.8058,40.0847,39.6536,40.0678,2093600
2017-07-26,40.0678,40.3721,39.8776,40.0213,2232400
2017-07-27,40.1101,40.2537,39.7804,40.2537,1495400
2017-07-28,40.8074,40.8243,39.941,40.3679,2025800
2017-07-31,40.3805,40.5284,40.1692,40.2749,2090600
2017-08-01,40.2749,40.5073,39.9579,40.2537,1239600
2017-08-02,40.2199,40.5496,39.8607,40.4143,1915000
2017-08-03,40.4228,40.6468,40.165,40.2242,1135600
2017-08-04,40.296,40.296,39.7973,39.941,941600
2017-08-07,39.9579,40.258,39.9453,40.1692,858000
2017-08-08,39.7044,40.0932,39.2733,39.3071,3259200
2017-08-09,39.5353,41.1793,39.5353,40.4693,11451800
2017-08-10,40.3045,40.6299,40.0551,40.2326,2850600
2017-08-11,40.3763,41.3018,40.2453,41.006,3925200
2017-08-14,41.175,42.1428,41.137,41.4286,2302200
2017-08-15,41.4751,41.5173,40.744,40.8877,2574200
2017-08-16,40.8877,41.6061,40.8581,41.4033,2051600
2017-08-17,41.2553,41.53,40.8074,40.8369,1764000
2017-08-18,40.7905,40.9046,40.4397,40.6087,1377000
2017-08-21,40.7313,40.782,40.4439,40.6679,1913600
2017-08-22,40.7398,41.2004,40.6214,41.1201,1598800
2017-08-23,41.0356,41.1624,40.8877,41.0187,874400
2017-08-24,40.9764,41.1074,40.0509,40.0551,2054400
2017-08-25,40.1904,40.2538,39.9114,40.1101,1624000
2017-08-28,40.2411,40.2411,39.9368,40.0002,1463600
2017-08-29,39.996,40.3805,39.9368,40.3002,1368600
2017-08-30,40.2284,40.52,40.1143,40.3932,1145800
2017-08-31,40.1946,40.4059,40.0594,40.203,1611200
2017-09-01,40.4101,40.6848,40.2326,40.6299,1560400
2017-09-05,40.5707,40.9384,40.3932,40.6848,1474000
2017-09-06,40.8158,41.23,40.6088,41.2215,1612000
2017-09-07,41.2934,41.4962,40.5115,40.8369,2199800
2017-09-08,40.7144,41.2765,40.5918,41.2469,2059800
2017-09-11,41.361,41.678,41.2638,41.4328,1928800
2017-09-12,41.3906,41.7329,41.0525,41.6991,2303800
2017-09-13,41.6653,41.9442,41.5089,41.5681,1265600
2017-09-14,41.5089,41.7329,41.2849,41.6146,1815400
2017-09-15,41.6103,41.9949,41.5808,41.8132,4597600
2017-09-18,42.0414,42.0667,41.6399,41.8089,1741200
2017-09-19,41.8343,41.8385,41.4159,41.6906,1600000
2017-09-20,41.4793,41.5934,41.1285,41.2976,1807000
2017-09-21,41.2849,41.4878,40.8581,40.9299,1397600
2017-09-22,41.0398,41.2215,40.5792,40.5961,1382200
2017-09-25,40.613,40.9003,40.4017,40.9003,2214000
2017-09-26,40.968,41.268,40.8074,41.1117,2123200
2017-09-27,41.1455,41.1455,40.3467,40.7609,2743400
2017-09-28,41.8724,43.3853,41.8681,42.9585,5198000
2017-09-29,43.2163,43.7699,43.1275,43.3768,6363200
2017-10-02,43.3768,43.4276,42.0329,42.1639,3230400
2017-10-03,42.1513,42.164,41.3187,41.4497,3540000
2017-10-04,41.6357,42.3203,41.3779,42.1639,4527800
2017-10-05,42.1471,42.3246,41.5089,41.5512,3427400
2017-10-06,41.5257,41.721,41.4025,41.6913,3119200
2017-10-09,41.7635,41.8739,41.1095,41.118,2456200
2017-10-10,41.2794,41.5087,41.1393,41.3813,1839400
2017-10-11,41.4195,41.8229,41.4195,41.738,1388400
2017-10-12,41.7975,42.1414,41.738,42.048,1283200
2017-10-13,42.0947,42.116,41.7762,41.8314,1444600
2017-10-16,41.8484,42.2051,41.8272,42.0947,1041200
2017-10-17,42.0565,42.2051,41.7677,42.1117,1339000
2017-10-18,42.1627,42.2646,41.9461,42.099,1310200
2017-10-19,42.0437,42.2943,41.7847,42.1966,1819400
2017-10-20,42.3452,42.3665,41.9503,42.1499,1897400
2017-10-23,42.1032,42.1584,41.8399,42.1329,1668600
2017-10-24,42.1117,42.2391,41.8951,42.1074,1494400
2017-10-25,41.9376,42.0225,41.6234,41.9843,1492600
2017-10-26,42.2264,42.2264,41.8909,42.0565,1252000
2017-10-27,42.0013,42.2221,41.8102,42.1924,1338400
2017-10-30,42.2518,42.2815,41.5979,41.6064,1826400
2017-10-31,41.8994,42.5363,41.7592,42.2646,1969800
2017-11-01,42.4387,42.6085,42.0905,42.4004,2596200
2017-11-02,42.3495,42.4174,41.479,41.6361,1767600
2017-11-03,41.6191,41.7635,41.0798,41.1478,2217400
2017-11-06,41.1478,41.1902,39.8866,39.912,2700800
2017-11-07,39.8441,40.5065,39.7889,40.4174,2982600
2017-11-08,40.4768,41.0076,40.4768,40.9482,1714600
2017-11-09,40.9524,41.1223,40.5023,40.5575,1663800
2017-11-10,40.5448,41.2242,40.5235,41.1562,1679200
2017-11-13,41.1817,41.5214,41.1435,41.1732,1564200
2017-11-14,41.1096,41.8739,40.9991,41.8612,2473000
2017-11-15,41.7592,41.8102,40.9354,40.9737,1598200
2017-11-16,41.2539,42.4471,41.186,42.273,2719800
2017-11-17,42.065,42.7062,42.065,42.1796,4644800
2017-11-20,42.1966,43.0077,42.1966,42.4981,2035800
2017-11-21,42.4939,43.1308,42.3835,42.4896,1739600
2017-11-22,42.4174,42.5236,41.9121,42.0438,1357800
2017-11-24,42.1754,42.358,42.065,42.0947,428600
2017-11-27,42.2264,42.5746,42.0905,42.5151,1446200
2017-11-28,42.5746,42.876,42.4302,42.8081,1890600
2017-11-29,42.9143,43.8952,42.668,43.3644,2312800
2017-11-30,43.5512,44.1372,43.1945,43.3899,3103800
2017-12-01,43.4111,43.7338,42.8039,43.6744,1849400
2017-12-04,43.8612,44.4769,43.6956,44.3665,1948000
2017-12-05,44.4472,44.4854,43.6064,43.7211,2025000
2017-12-06,43.7168,43.9929,43.6447,43.7381,1392800
2017-12-07,43.7933,43.806,43.2922,43.3729,2133000
2017-12-08,43.3262,43.4621,42.8421,42.9567,2075400
2017-12-11,42.8506,42.961,42.2136,42.685,2414600
2017-12-12,42.8888,43.1648,42.5703,42.9185,1951400
2017-12-13,43.0884,43.0884,42.6128,42.8718,1367800
2017-12-14,42.8973,42.8973,42.5618,42.5661,1174400
2017-12-15,42.7147,43.2327,42.6765,43.0714,2674200
2017-12-18,43.2073,43.6744,43.1478,43.1818,1555000
2017-12-19,43.3347,43.6786,43.1308,43.1308,1346600
2017-12-20,43.3007,43.3007,42.5703,43.0586,1511000
2017-12-21,43.1563,43.2158,42.8846,42.9525,1251800
2017-12-22,43.1648,43.4578,42.8803,43.2794,955800
2017-12-26,43.3049,43.6107,43.271,43.3177,695000
2017-12-27,43.4875,43.6447,43.2327,43.3686,871600
2017-12-28,43.4881,43.6717,43.4241,43.6375,1761400
2017-12-29,43.7357,43.9875,43.4668,43.4967,1454600
2018-01-02,43.5394,43.6717,42.9077,43.2064,1736800
2018-01-03,43.1424,43.343,42.8394,43.3089,1643200
2018-01-04,43.2491,43.8936,43.0827,43.582,1523000
2018-01-05,43.7528,44.0899,43.4241,44.0089,1822200
2018-01-08,43.8851,44.2137,43.8253,44.0558,1465600
