date,open,high,low,close,volume
2016-04-18,101.5665,102.4105,101.5183,102.2176,1371334
2016-04-19,102.4407,102.9532,101.9283,102.2779,2211524
2016-04-20,102.5733,102.7602,101.6569,101.8499,1721881
2016-04-21,101.8679,102.308,101.5303,101.6811,1955460
2016-04-22,101.9403,102.3442,101.1927,101.6811,2155551
2016-04-25,101.2832,101.5906,100.4632,101.5122,2844447
2016-04-26,100.9818,101.1566,99.4565,100.186,3817752
2016-04-27,100.6743,101.5123,100.1377,101.1385,2664329
2016-04-28,100.5899,101.7474,100.198,100.6803,1979021
2016-04-29,100.6682,101.1505,100.3788,100.9094,2345595
2016-05-02,100.8612,101.5846,100.6441,101.4882,2033559
2016-05-03,100.9154,101.3253,100.4753,101.2651,2298951
2016-05-04,100.3005,101.1023,100.2523,100.7767,2533248
2016-05-05,100.9576,101.4821,100.7948,101.1445,2009519
2016-05-06,101.1867,101.9162,100.6803,101.8197,1949719
2016-05-09,101.6389,101.9162,101.0963,101.5967,1556355
2016-05-10,102.0247,102.7241,101.8861,102.6457,2072190
2016-05-11,102.6095,103.2546,102.2297,102.3503,2136534
2016-05-12,102.4045,102.8687,101.7413,102.5793,2083312
2016-05-13,102.5191,102.718,101.1746,101.4761,2243576
2016-05-16,101.5846,102.4286,101.5424,102.2176,2184135
2016-05-17,102.2297,102.4528,100.7346,101.1686,2542696
2016-05-18,101.0473,101.9151,100.5982,101.2414,1942782
2016-05-19,100.3615,100.7802,99.0263,100.2037,1982131
2016-05-20,100.2886,101.029,100.0944,100.143,2088814
2016-05-23,100.3068,101.0836,99.8456,100.8105,1977586
2016-05-24,101.4478,102.437,101.1686,102.3399,1946370
2016-05-25,102.5645,103.3898,102.4127,103.1653,2224560
2016-05-26,103.1774,103.6386,102.2792,102.5098,1870424
2016-05-27,102.5098,102.5827,102.1275,102.4977,1314524
2016-05-31,102.7587,103.0196,101.7512,102.1518,2594842
2016-06-01,101.8241,102.522,101.4053,102.3763,1468927
2016-06-02,102.3885,102.3885,101.5145,101.9818,2368678
2016-06-03,101.9879,102.3581,101.6602,102.1882,1714466
2016-06-06,102.4734,103.5294,102.3156,103.2199,1806797
2016-06-07,103.3231,104.0756,103.3049,103.7236,2060828
2016-06-08,103.7479,104.3427,103.5658,104.0331,2015140
2016-06-09,103.4748,104.0635,102.8072,103.2503,2641725
2016-06-10,102.7283,102.7466,101.8848,102.2975,2539586
2016-06-13,102.2307,102.346,101.4174,101.4296,2547360
2016-06-14,101.5267,101.8423,101.1079,101.7209,2417594
2016-06-15,101.9272,102.4795,101.6359,101.8362,2026263
2016-06-16,101.5631,103.408,101.1201,103.1289,3147992
2016-06-17,103.1653,103.1714,102.2125,102.5281,4123808
2016-06-20,103.7176,104.8707,103.493,103.9178,2586709
2016-06-21,103.8875,104.3669,103.8146,104.0028,2259364
2016-06-22,104.282,104.7493,103.7722,103.9178,1638042
2016-06-23,104.816,105.69,104.6643,105.6657,2417834
2016-06-24,102.4856,104.106,102.2004,102.6373,5462730
2016-06-27,101.8241,101.8544,100.234,101.466,3042744
2016-06-28,102.0425,102.9711,101.9333,102.9225,2675811
2016-06-29,103.7904,104.2941,103.3898,104.0938,2265344
2016-06-30,104.4216,106.2908,104.4216,106.2786,2929482
2016-07-01,106.2908,106.8612,106.1512,106.5335,2309356
2016-07-05,106.1209,106.6792,105.3016,106.5882,2814906
2016-07-06,106.3272,106.4911,105.6353,106.3029,2850427
2016-07-07,106.2604,106.5942,105.6778,106.1269,2203391
2016-07-08,106.7338,107.899,106.7035,107.4924,3261014
2016-07-11,107.6684,108.3117,107.5349,108.0325,1984762
2016-07-12,108.4816,109.0157,108.0447,108.7305,2287828
2016-07-13,108.7669,109.04,108.4453,108.7609,1783834
2016-07-14,109.3313,110.0414,109.1674,109.7865,2277543
2016-07-15,110.1506,110.357,109.5802,110.0899,2960339
2016-07-18,110.1142,110.272,109.6954,109.9139,1464382
2016-07-19,109.9139,110.2416,109.4163,109.9928,1257355
2016-07-20,110.2902,110.6179,110.0414,110.1021,1690307
2016-07-21,110.0232,110.187,109.0582,109.3981,2237477
2016-07-22,109.4952,109.5619,108.8519,109.5073,1441898
2016-07-25,109.3616,109.4952,108.5848,109.0157,2316652
2016-07-26,107.5228,108.6273,106.8977,107.8201,4092234
2016-07-27,107.6684,108.5969,107.6684,108.1903,2822201
2016-07-28,107.8141,108.251,107.4378,108.0143,2152202
2016-07-29,108.0932,108.5241,107.7959,108.245,1939792
2016-08-01,107.4682,108.3542,107.4682,108.2025,1911686
2016-08-02,108.3785,108.4028,107.5653,108.245,2529660
2016-08-03,108.4634,108.7122,108.0083,108.2571,1697483
2016-08-04,108.6091,108.8883,107.808,107.9112,1281873
2016-08-05,108.1782,108.6394,107.6441,108.3724,2152202
2016-08-08,108.5727,108.6455,108.1903,108.3785,1587929
2016-08-09,108.251,108.5727,107.9901,108.2632,1314284
2016-08-10,108.0993,108.5423,107.9354,108.5241,1466655
2016-08-11,108.6819,109.9079,108.5606,109.8472,2443906
2016-08-12,110.1324,110.1324,109.1796,109.4041,1474548
2016-08-15,109.8471,110.0838,109.5194,109.5801,1516767
2016-08-16,109.3131,109.4406,108.7608,108.7851,1630866
2016-08-17,109.1087,109.9759,108.895,109.8415,1624766
2016-08-18,109.7377,109.7377,109.0538,109.4202,1301128
2016-08-19,109.1026,109.7866,108.7484,109.6828,1561139
2016-08-22,109.4202,109.6705,108.9255,109.353,1598334
2016-08-23,109.6828,110.2507,109.4813,109.7805,1430177
2016-08-24,109.5607,109.8965,109.3164,109.5607,1359972
2016-08-25,109.3652,110.1163,109.3408,109.6645,1004999
2016-08-26,110.037,110.6843,109.2614,109.5607,1584341
2016-08-29,109.8355,110.3484,109.4813,110.2263,1257953
2016-08-30,110.3607,110.5439,109.6706,110.0126,1243601
2016-08-31,109.6095,109.7805,109.0538,109.4569,1956656
2016-09-01,109.4996,110.0248,109.1882,109.9088,1309979
2016-09-02,110.2446,110.8309,109.9759,110.4156,1577524
2016-09-06,110.2629,110.7026,109.8477,110.2019,1588408
2016-09-07,109.9454,110.2507,109.6401,109.7683,1355307
2016-09-08,109.4263,110.0492,109.2736,109.982,1703104
2016-09-09,109.2431,109.3103,107.2584,107.2584,2491627
2016-09-12,106.8676,108.9439,106.6783,108.7607,2288307
2016-09-13,107.9851,108.4553,107.4477,107.521,2230062
2016-09-14,107.4539,108.3027,106.9897,107.2462,2230301
2016-09-15,107.1913,108.0889,107.0874,107.8386,1989905
2016-09-16,107.405,107.4477,106.4951,106.9042,4017125
2016-09-19,107.5088,108.669,107.5088,107.9179,2098860
2016-09-20,108.5225,109.0049,108.2904,108.4553,1911926
2016-09-21,108.6263,109.7988,108.3943,109.6706,2104960
2016-09-22,109.8171,110.9346,109.7072,109.8293,2211404
2016-09-23,109.5545,109.7377,108.2049,108.3271,2285556
2016-09-26,107.9973,108.034,107.3561,107.4477,2177916
2016-09-27,107.2401,108.1073,107.2218,107.6615,2910586
2016-09-28,107.9546,108.6874,107.8996,108.4492,2026024
2016-09-29,108.382,108.4736,106.7882,107.0935,2216906
2016-09-30,107.8324,108.1805,107.5332,107.6187,2893602
2016-10-03,107.0691,107.4477,106.5012,106.892,2135578
2016-10-04,106.6172,106.8493,104.547,104.8401,3787612
2016-10-05,104.828,105.3776,104.6325,105.2737,2757378
2016-10-06,104.9928,105.231,104.1806,104.8157,2718986
2016-10-07,104.9745,104.9989,103.8387,104.6264,2689924
2016-10-10,104.9378,105.4936,104.3882,104.5104,2316174
2016-10-11,103.9608,104.1012,103.0142,103.6188,2390445
2016-10-12,103.5699,103.9241,103.1364,103.6432,1858704
2016-10-13,103.1242,104.0035,102.8738,103.8264,2295961
2016-10-14,104.4188,104.6631,103.9974,104.0158,1808830
2016-10-17,104.144,104.4799,103.7776,103.9425,1470123
2016-10-18,104.8402,104.9806,103.7165,103.7837,1417978
2016-10-19,104.3028,104.3883,103.6066,103.7593,1392383
2016-10-20,103.5516,104.0218,103.1974,103.7287,1447758
2016-10-21,102.66,103.5455,102.4219,103.5089,2407787
2016-10-24,105.4325,105.9149,104.3638,104.5898,3191526
2016-10-25,103.4906,103.747,100.828,101.512,4576135
2016-10-26,101.1822,102.4647,101.0112,101.683,2601180
2016-10-27,101.9028,101.9517,100.9319,101.225,1777734
2016-10-28,101.7074,102.0921,100.8464,101.2311,2313423
2016-10-31,101.6525,101.7013,100.8708,100.9441,2737764
2016-11-01,101.0051,101.2555,100.0586,100.3029,2936898
2016-11-02,100.5777,101.5975,100.0952,101.2067,2671146
2016-11-03,101.457,102.373,100.9196,101.8784,2995980
2016-11-04,102.1104,102.5013,101.628,101.6646,2305290
2016-11-07,102.6845,103.7471,102.5807,103.6555,2309356
2016-11-08,103.7531,105.0661,103.6799,104.4432,2339017
2016-11-09,101.2738,104.4249,101.2738,104.0524,4376523
2016-11-10,103.9119,106.666,103.686,106.4279,3922880
2016-11-11,106.2874,106.947,106.092,106.9164,2234367
2016-11-14,107.008,107.179,104.9745,105.5913,3117972
2016-11-15,105.7439,106.4096,104.9806,106.4035,2603812
2016-11-16,106.4035,106.4649,105.4447,105.7151,2419030
2016-11-17,105.7151,106.4772,105.7151,106.1822,2133305
2016-11-18,106.0224,106.4957,105.8872,106.299,2046476
2016-11-21,105.3525,105.6967,104.9223,105.414,2384704
2016-11-22,105.5062,105.7581,105.2665,105.6537,1857747
2016-11-23,105.7582,106.1699,105.5615,105.8626,1767568
2016-11-25,105.8381,106.9321,105.8381,106.6248,1131177
2016-11-28,106.6678,106.7968,105.8811,106.0163,2006529
2016-11-29,106.0409,106.5018,105.8012,106.1822,1773907
2016-11-30,105.8319,106.4403,105.457,105.5492,3104577
2016-12-01,105.4878,106.1638,105.371,106.0962,2101252
2016-12-02,106.0347,106.7477,105.8565,105.9733,2238314
2016-12-05,106.0962,106.2929,105.1497,105.4755,2608835
2016-12-06,105.5984,105.7274,105.2358,105.5861,1755130
2016-12-07,105.9425,108.2042,105.6906,108.1981,3784503
2016-12-08,108.2165,108.3824,107.4114,108.0936,2141677
2016-12-09,107.774,109.9312,107.7371,109.6977,3169878
2016-12-12,109.5502,110.5089,109.1323,110.4045,2746136
2016-12-13,110.3614,110.6626,108.6406,109.9066,3239486
2016-12-14,110.1094,110.2508,108.4193,108.5361,2672103
2016-12-15,108.9418,109.1384,107.5835,108.1797,2458498
2016-12-16,108.5115,109.7038,108.5054,109.0585,4652081
2016-12-19,109.1568,109.8083,108.9786,109.4948,1652872
2016-12-20,109.6055,110.2139,109.4334,109.796,1648327
2016-12-21,109.7653,110.3368,109.6546,109.6608,1860856
2016-12-22,109.9435,110.2938,109.3842,110.134,1465818
2016-12-23,110.0664,110.1893,109.7222,109.8575,874396
2016-12-27,109.8021,110.134,109.7468,109.9619,778596
2016-12-28,109.9374,110.2877,109.4088,109.4457,1540328
2016-12-29,109.5747,110.0971,109.4149,109.6485,1317992
2016-12-30,110.0111,110.3061,109.5747,109.7468,1906663
2017-01-03,109.9066,110.6257,108.9171,109.4272,3001123
2017-01-04,109.415,109.9496,109.1568,109.5932,1844232
2017-01-05,109.5563,110.0971,108.7143,109.2183,1731569
2017-01-06,108.9602,109.7653,108.0444,109.5379,1943500
2017-01-09,109.6239,109.6301,108.9049,108.9479,1940630
