date,open,high,low,close,volume
2016-04-21,21.0067,21.1117,20.7167,20.7567,9981600
2016-04-22,20.655,20.7417,20.2583,20.4983,15226800
2016-04-25,20.3867,20.945,20.2533,20.82,7610400
2016-04-26,20.8,20.8783,20.595,20.63,6574800
2016-04-27,20.61,20.68,20.1517,20.5717,11568000
2016-04-28,20.63,21.3767,20.5967,21.3067,19525200
2016-04-29,23.945,24.3133,23.3333,24.0367,30988800
2016-05-02,24.0683,25.1167,24.0583,24.655,21988800
2016-05-03,24.5133,24.625,24.25,24.3867,7446000
2016-05-04,24.1783,24.55,24.0467,24.3917,6563400
2016-05-05,24.535,24.6433,24.1967,24.325,5065200
2016-05-06,24.285,24.7733,24.185,24.6883,8442000
2016-05-09,24.7467,24.9333,24.6033,24.7983,6279600
2016-05-10,25.1667,25.66,25.1667,25.5167,22467000
2016-05-11,25.3783,25.56,24.925,25.0717,9999000
2016-05-12,25.1383,25.2333,24.8467,25.0283,8700000
2016-05-13,24.9167,25.0283,24.63,24.7683,5508000
2016-05-16,24.75,25.165,24.75,25.12,5100600
2016-05-17,25.0,25.11,24.7917,24.8833,8172600
2016-05-18,24.8217,25.1217,24.725,24.8033,11004600
2016-05-19,24.6217,24.8833,24.5817,24.7433,4782600
2016-05-20,24.7567,24.895,24.595,24.65,5606400
2016-05-23,24.6883,24.8433,24.6183,24.7217,5968800
2016-05-24,24.8733,25.0933,24.7817,25.0183,7110000
2016-05-25,24.9617,25.175,24.8333,24.9217,7850400
2016-05-26,24.9567,25.1367,24.9567,25.0017,4773000
2016-05-27,25.0483,25.1667,24.9733,25.085,3966600
2016-05-31,25.0783,25.2133,24.855,25.0,8605800
2016-06-01,25.0167,25.3483,24.9167,25.2333,8548200
2016-06-02,25.17,25.415,25.12,25.41,4648200
2016-06-03,25.3917,25.5817,25.265,25.4767,6135600
2016-06-06,25.44,25.8583,25.415,25.7267,21280200
2016-06-07,25.85,25.8883,25.5233,25.6367,13523400
2016-06-08,25.585,26.155,25.5017,25.8633,22063800
2016-06-09,25.9333,26.4483,25.5067,25.835,26581200
2016-06-10,25.6583,25.83,25.4783,25.59,6997800
2016-06-13,25.59,25.5983,25.1217,25.13,9679800
2016-06-14,25.1233,25.5833,24.8933,25.4967,13250400
2016-06-15,25.6333,25.9167,25.5933,25.605,10231800
2016-06-16,25.4817,26.075,25.3483,25.97,10057200
2016-06-17,25.9183,26.1117,25.6867,25.9967,15051600
2016-06-20,26.1,26.2117,25.9967,26.0283,11839800
2016-06-21,26.0867,26.39,25.9933,26.305,7384200
2016-06-22,26.2333,26.2783,26.09,26.155,6246600
2016-06-23,26.4167,26.4333,25.9933,26.2367,5900400
2016-06-24,25.3583,25.9217,25.3583,25.5733,23425800
2016-06-27,25.5067,25.8817,25.225,25.8017,10080600
2016-06-28,25.77,25.91,25.5017,25.7433,6025800
2016-06-29,25.815,26.31,25.7817,26.3083,5884800
2016-06-30,26.365,26.8083,26.1233,26.785,8913000
2016-07-01,26.82,26.985,26.5817,26.6217,4071600
2016-07-05,26.5767,26.9967,26.4983,26.8183,4153800
2016-07-06,26.7817,26.9533,26.675,26.8767,7361400
2016-07-07,26.9633,27.055,26.6833,26.8533,4660800
2016-07-08,26.9867,27.0317,26.8317,26.9167,4815600
2016-07-11,26.9167,27.0933,26.7267,26.8333,4233000
2016-07-12,26.8483,26.94,26.6667,26.7983,5033400
2016-07-13,26.8983,27.1283,26.7233,26.9633,4153200
2016-07-14,27.015,27.0333,26.78,27.0183,3069600
2016-07-15,27.0883,27.1117,26.6533,26.9333,3884400
2016-07-18,26.4833,26.5783,25.4583,25.9233,12131400
2016-07-19,25.8267,26.3117,25.7733,26.2283,5109600
2016-07-20,26.2683,26.3967,26.145,26.3517,3516000
2016-07-21,26.35,26.535,26.2483,26.3433,3055800
2016-07-22,26.5517,26.8183,26.4567,26.7633,3093600
2016-07-25,26.7233,26.7583,26.5417,26.6783,2431800
2016-07-26,26.6517,26.6783,26.305,26.4367,3411000
2016-07-27,26.3533,26.4817,25.975,26.2517,3976800
2016-07-28,26.255,26.6967,26.135,26.5733,3056400
2016-07-29,26.6267,26.8317,26.52,26.7717,3452400
2016-08-01,26.7233,27.0317,26.7,26.8467,3756000
2016-08-02,26.7767,26.8217,26.27,26.55,4854000
2016-08-03,26.5883,26.5883,26.1967,26.295,5111400
2016-08-04,26.34,26.5767,26.0783,26.4317,7792800
2016-08-05,27.0833,27.75,26.965,27.0867,14800200
2016-08-08,27.015,27.0717,26.3817,26.4933,5414400
2016-08-09,26.4633,26.88,26.4367,26.52,7630800
2016-08-10,26.5333,26.9033,26.5,26.8167,4944000
2016-08-11,26.9617,27.0967,26.8167,26.9517,4197000
2016-08-12,26.855,26.9817,26.745,26.8633,2640600
2016-08-15,26.8533,26.9567,26.765,26.905,2482200
2016-08-16,26.9017,26.9367,26.595,26.6033,2721000
2016-08-17,26.5617,26.8033,26.3083,26.6183,2929800
2016-08-18,26.7017,26.825,26.6483,26.7383,3655200
2016-08-19,26.79,26.9367,26.5367,26.575,4529400
2016-08-22,26.6083,26.65,26.435,26.5283,2655000
2016-08-23,26.445,26.5333,26.22,26.23,3410400
2016-08-24,26.1817,26.3583,26.0717,26.1533,3602400
2016-08-25,26.11,26.4433,26.11,26.2433,4116600
2016-08-26,26.2933,26.4117,26.0983,26.1733,3210600
2016-08-29,26.0883,26.1767,25.8633,25.99,4269000
2016-08-30,25.975,26.0183,25.5217,25.635,5248200
2016-08-31,25.6617,25.7483,25.4883,25.6483,6022800
2016-09-01,25.7217,25.8633,25.4833,25.7217,4079400
2016-09-02,25.7867,25.9183,25.5217,25.6417,3489000
2016-09-06,25.605,25.6533,25.2917,25.645,8449800
2016-09-07,25.64,25.6967,25.3133,25.3617,3820200
2016-09-08,25.3433,25.4167,25.175,25.3533,5379000
2016-09-09,25.0917,25.3533,24.5867,24.5917,7888200
2016-09-12,24.5267,24.865,24.385,24.7167,6745800
2016-09-13,24.525,24.5367,23.9117,23.9867,9349200
2016-09-14,23.9483,24.1933,23.7183,23.8167,5682000
2016-09-15,23.865,24.5283,23.775,24.3917,11277000
2016-09-16,24.3167,24.4833,24.1383,24.385,13794600
2016-09-19,24.4683,24.64,24.3,24.5733,5796000
2016-09-20,24.64,24.7217,24.4633,24.5167,4489800
2016-09-21,24.5,24.6,24.25,24.5167,5172000
2016-09-22,24.665,24.9133,24.6267,24.8233,3766200
2016-09-23,24.875,24.9367,24.72,24.7467,3256200
2016-09-26,24.6433,24.7433,24.4167,24.6,2916600
2016-09-27,24.5733,24.7567,24.5433,24.6267,3381000
2016-09-28,24.725,24.79,24.4033,24.4717,2845800
2016-09-29,24.4567,24.4583,24.1433,24.2283,3885000
2016-09-30,24.36,24.5817,24.2283,24.4683,4328400
2016-10-03,24.3433,24.37,24.1767,24.2983,2682600
2016-10-04,24.435,24.4767,24.175,24.2167,3397800
2016-10-05,24.3083,24.3983,24.1517,24.2067,6526800
2016-10-06,24.1683,24.59,24.1667,24.4567,3106800
2016-10-07,24.5183,24.5183,24.105,24.3067,3878400
2016-10-10,24.3317,24.4833,24.3,24.37,2413200
2016-10-11,24.3617,24.3617,23.7933,23.8533,5042400
2016-10-12,23.8683,24.2133,23.76,24.1933,3522000
