date,open,high,low,close,volume
2016-04-21,39.5198,40.0038,39.4987,39.7022,11040994
2016-04-22,39.7653,40.0038,39.6391,39.8004,7433988
2016-04-25,39.618,39.7302,39.2813,39.4356,8677650
2016-04-26,39.5689,39.5759,39.1901,39.3094,7573477
2016-04-27,39.3234,39.7162,39.3234,39.4988,7274587
2016-04-28,39.2042,39.4426,38.9657,39.0989,9531246
2016-04-29,39.0288,39.0288,38.2712,38.4676,13862944
2016-05-02,38.4746,38.8324,38.3694,38.7903,10143487
2016-05-03,38.6781,38.8955,38.4747,38.636,7966058
2016-05-04,38.3764,38.6079,38.2081,38.4466,8075888
2016-05-05,38.0748,38.159,37.4154,37.9415,11764010
2016-05-06,37.7521,37.8574,37.219,37.5978,11031562
2016-05-09,37.5768,38.1099,37.5347,37.9486,8358219
2016-05-10,38.2081,38.3905,38.152,38.3554,6797538
2016-05-11,38.3694,38.4326,38.0608,38.0959,6888399
2016-05-12,38.2923,38.3133,37.8293,37.9626,8640026
2016-05-13,37.9486,38.2361,37.7592,37.7942,7467210
2016-05-16,37.7171,38.4185,37.5908,38.3343,6968257
2016-05-17,38.166,38.2782,37.8644,38.1029,12360112
2016-05-18,38.152,38.5448,37.9977,38.3484,7745978
2016-05-19,37.9906,38.5658,37.9345,38.2852,9153127
2016-05-20,38.4606,38.9586,38.3203,38.657,9047489
2016-05-23,38.5799,38.7412,38.4255,38.5237,5837674
2016-05-24,38.7412,39.2042,38.7061,39.0007,6614138
2016-05-25,39.148,39.7513,39.12,39.6811,10052626
2016-05-26,39.611,39.7864,39.5198,39.5549,5995084
2016-05-27,39.632,39.8705,39.4426,39.618,7869222
2016-05-31,39.625,39.7864,39.3374,39.4637,9922988
2016-06-01,39.4216,39.6461,39.2462,39.5128,7012168
2016-06-02,39.5899,39.8846,39.5338,39.8565,7645684
2016-06-03,39.8705,39.9547,39.4777,39.7302,5697871
2016-06-06,39.7442,40.2423,39.7372,40.102,7235392
2016-06-07,40.1231,40.2914,39.9266,39.9828,6552515
2016-06-08,39.9617,40.593,39.9617,40.4177,8164025
2016-06-09,40.3405,40.558,39.9337,40.109,9670630
2016-06-10,39.8565,40.0389,39.6811,39.8495,9989222
2016-06-13,39.7293,40.0829,39.6656,39.6798,6502630
2016-06-14,39.4393,39.8212,39.3332,39.7788,9006722
2016-06-15,39.8919,39.9697,39.5666,39.6656,8015942
2016-06-16,40.3021,40.783,39.6939,40.6628,23110706
2016-06-17,40.6132,40.6132,39.3898,39.5242,18323651
2016-06-20,39.8424,40.0263,39.6868,39.701,9116238
2016-06-21,39.9838,40.0758,39.7717,39.7788,6710344
2016-06-22,39.701,40.5001,39.6727,40.3374,13076420
2016-06-23,40.6486,40.79,40.3869,40.79,7302883
2016-06-24,39.6302,40.3586,39.4393,39.5171,18087013
2016-06-27,39.2413,39.3757,38.9655,39.114,13721778
2016-06-28,39.206,39.3686,38.9726,39.305,13372585
2016-06-29,39.701,40.4082,39.5878,40.3445,10284862
2016-06-30,40.4152,40.79,40.2455,40.7405,9723030
