date,open,high,low,close,volume
2016-04-22,88.7346,90.1724,87.6053,89.6154,698200
2016-04-25,89.0809,89.6229,88.313,89.5024,744900
2016-04-26,89.8261,90.2929,89.2841,90.0595,530100
2016-04-27,90.0294,91.0005,89.2916,90.6618,827700
2016-04-28,89.6906,90.7973,89.3368,89.6906,961100
2016-04-29,89.3217,89.6455,88.4635,89.0733,1027000
2016-05-02,89.525,89.8939,88.6819,89.5476,1176400
2016-05-03,88.4937,88.4937,86.9052,87.8463,802300
2016-05-04,86.8073,87.2741,85.2038,85.9115,1084300
2016-05-05,86.0696,86.6794,85.4899,85.9868,656900
2016-05-06,85.5727,86.5062,85.4598,86.3406,597500
2016-05-09,86.2352,86.4611,85.2716,85.7383,674100
2016-05-10,86.4083,87.2891,86.0319,87.1687,665500
2016-05-11,86.7547,87.7032,86.4987,86.9278,646100
2016-05-12,87.4322,87.9893,86.0997,86.6568,431300
2016-05-13,86.4385,87.1461,84.7973,85.2415,580800
2016-05-16,85.0759,86.2804,84.7446,85.8588,560400
2016-05-17,85.505,86.4234,84.6242,85.1963,478900
2016-05-18,85.2114,87.8989,85.0232,87.8839,1161000
2016-05-19,87.2365,88.1474,86.0018,87.1913,684200
2016-05-20,87.7559,88.4109,87.2139,87.6204,394400
2016-05-23,87.643,87.7408,86.3707,87.1988,377600
2016-05-24,87.7107,89.1712,87.5527,88.6819,563100
2016-05-25,89.3745,90.3381,89.2841,89.5853,1609800
2016-05-26,89.4949,89.8563,88.712,89.1863,463000
2016-05-27,89.4967,90.3979,89.2771,90.3979,764300
2016-05-31,90.7766,90.9507,89.8603,90.4964,981900
2016-06-01,90.4964,90.504,88.8,90.3222,577000
2016-06-02,89.9208,90.9659,89.6482,90.9356,800900
2016-06-03,89.7239,89.7239,87.6792,89.58,757000
2016-06-06,89.8981,91.3673,89.3453,90.8599,685100
2016-06-07,90.9735,91.0643,89.6861,89.7315,801200
2016-06-08,89.5649,90.2389,89.3453,90.1404,679300
2016-06-09,89.9208,89.9208,88.6334,89.6406,652500
2016-06-10,88.3987,89.209,88.2321,89.0197,839700
2016-06-13,88.7092,90.095,88.4971,89.1257,1133400
2016-06-14,88.6562,89.3907,87.081,87.4823,937600
2016-06-15,88.0806,89.4437,87.4899,88.0352,908700
2016-06-16,87.1719,88.0276,86.5206,87.9216,661200
2016-06-17,87.9822,88.8455,87.8231,88.7622,1583100
2016-06-20,89.8678,90.875,88.7925,88.9061,937900
2016-06-21,89.2241,89.3983,88.1336,89.262,597900
2016-06-22,89.1863,90.0117,88.8303,88.8531,522100
2016-06-23,90.0647,91.4733,90.0647,91.1931,776800
2016-06-24,85.3998,87.5126,85.2029,85.3013,2041500
2016-06-27,83.8928,84.3926,81.8178,82.3782,1332100
2016-06-28,83.8019,84.6122,82.6508,84.4759,1137900
2016-06-29,85.4604,85.9829,84.0594,85.9375,1010500
2016-06-30,87.2476,89.5422,86.6418,89.5346,1346700
2016-07-01,89.0954,89.5573,88.1109,88.641,773300
2016-07-05,87.6565,87.6565,84.8697,85.4755,1228700
2016-07-06,84.8848,85.9677,84.1578,85.892,866700
2016-07-07,87.7398,87.7398,85.786,86.4827,625900
2016-07-08,87.8156,88.4063,87.3763,87.8004,711300
2016-07-11,88.429,88.6562,88.02,88.2472,576800
2016-07-12,88.6865,89.8754,88.6865,89.4362,1009600
2016-07-13,89.5119,89.7466,88.7243,89.3301,586300
2016-07-14,90.9962,91.1325,89.9511,90.4661,780000
2016-07-15,90.6857,91.1779,89.8451,90.1632,598300
2016-07-18,90.1329,90.3676,89.7088,89.7618,461400
2016-07-19,89.315,90.0647,89.0575,89.9133,690700
2016-07-20,89.7164,89.9133,86.1571,86.1874,2118800
2016-07-21,85.8466,86.672,85.0136,85.3695,1038500
2016-07-22,85.6421,87.0356,85.2938,86.6948,1025000
2016-07-25,86.4222,86.6721,85.6421,85.8466,812700
2016-07-26,85.7027,86.9447,85.5967,86.6721,819200
2016-07-27,86.5736,87.808,86.3919,87.0356,1060000
2016-07-28,86.7023,87.4066,86.1646,86.9598,809000
2016-07-29,86.8538,87.6338,86.4979,86.7553,805900
2016-08-01,86.6569,87.4672,85.2029,85.4073,1380700
2016-08-02,84.9984,85.4225,84.6804,84.8167,994900
2016-08-03,85.0439,86.3691,84.9454,86.2555,800000
2016-08-04,86.1192,86.8992,85.839,86.3085,855400
2016-08-05,87.2854,88.906,86.9371,88.7546,1210400
2016-08-08,89.0424,89.5194,88.694,89.156,845800
2016-08-09,89.0348,89.58,88.8152,89.0272,698200
2016-08-10,88.8152,88.8303,88.1109,88.2775,542900
2016-08-11,88.482,88.9288,88.1715,88.4441,588000
2016-08-12,87.5505,88.1109,87.4672,88.0806,500100
2016-08-15,88.3457,89.5043,88.3457,89.4362,613900
2016-08-16,88.9439,89.421,88.7849,88.8834,525400
2016-08-17,88.8909,89.315,88.5274,88.9591,440000
2016-08-18,89.0424,89.2847,88.6789,89.2847,448900
2016-08-19,89.1181,89.1787,88.588,89.103,318400
2016-08-22,88.7546,89.2771,88.4365,89.2695,333900
2016-08-23,89.5952,89.83,89.3301,89.368,418200
2016-08-24,89.2771,89.7997,88.7319,88.7546,616300
2016-08-25,88.8076,89.2241,88.4896,88.9439,846100
2016-08-26,89.2696,89.8754,88.2472,89.1332,801500
2016-08-29,89.3604,89.9284,89.3377,89.5195,774400
2016-08-30,89.7709,90.0146,89.0548,89.8547,1641400
2016-08-31,89.8623,90.3498,89.2985,90.1441,935200
2016-09-01,90.4108,90.5936,88.4377,89.3747,774600
2016-09-02,89.6795,89.8166,88.9786,89.39,1068200
2016-09-06,89.5576,89.6642,87.7216,88.2168,905700
2016-09-07,87.8359,88.3691,87.6226,88.3691,667400
2016-09-08,88.4682,89.07,88.1558,88.5291,1465800
2016-09-09,88.4072,89.6718,88.1253,89.1995,1531600
2016-09-12,88.7653,90.1441,88.1101,89.9918,818800
2016-09-13,88.7805,89.0548,87.7064,88.4758,732500
2016-09-14,88.3311,89.2148,87.9197,88.0416,779900
2016-09-15,87.8207,88.3996,87.6226,88.1025,638200
2016-09-16,87.6912,87.6912,86.7922,87.4626,1241300
2016-09-19,87.8587,88.3387,87.2341,87.6302,508500
2016-09-20,88.1939,88.4758,87.7597,87.8587,349900
2016-09-21,88.3691,89.0167,87.7064,88.1406,534700
2016-09-22,88.3615,88.8186,87.9959,88.7881,568500
2016-09-23,88.3996,89.5347,88.3768,89.2224,891800
2016-09-26,88.7348,88.7348,86.8379,86.9674,633800
2016-09-27,86.6779,88.0187,86.5256,88.0111,447100
2016-09-28,88.293,88.4987,87.036,88.1482,569300
2016-09-29,87.8588,88.9862,86.7541,87.2569,809200
2016-09-30,87.8206,88.8872,87.1426,88.4453,708900
2016-10-03,88.0797,88.5063,87.5997,87.7597,591500
2016-10-04,88.1254,89.23,87.775,88.7348,540300
2016-10-05,89.0472,90.3346,88.8415,89.9385,640400
2016-10-06,89.7175,90.4717,89.2528,90.1518,494400
2016-10-07,89.9689,90.1213,88.8719,89.7632,440400
2016-10-10,90.167,90.4641,89.7252,89.809,524700
2016-10-11,89.7632,90.0603,88.1254,88.4148,1010300
2016-10-12,88.6053,89.428,88.392,89.0243,614300
2016-10-13,87.9806,87.9806,85.5124,86.2132,1142800
2016-10-14,87.3483,87.8587,86.5256,86.7465,1138800
2016-10-17,87.3179,87.7445,86.5713,86.8456,571400
2016-10-18,87.6607,88.0339,86.4037,87.813,831500
2016-10-19,88.5215,90.426,87.2721,89.5118,1511300
2016-10-20,89.4585,90.7688,89.3519,90.5403,1078900
2016-10-21,89.6642,90.6774,89.3595,90.586,630800
2016-10-24,90.8145,91.1878,90.3879,90.5936,667300
2016-10-25,90.6317,90.944,90.0984,90.6926,591700
2016-10-26,90.5022,91.6982,90.0451,91.5611,589100
2016-10-27,92.1096,93.4808,91.4849,92.9247,989300
2016-10-28,93.2218,93.3437,92.1553,92.9933,864400
2016-10-31,93.2447,93.9608,93.0238,93.4961,915200
2016-11-01,93.9532,93.9532,92.5971,93.618,959300
2016-11-02,93.0238,93.2142,92.1248,92.7952,1234700
2016-11-03,93.1304,93.5647,92.102,92.4905,885300
2016-11-04,92.3915,93.3742,91.6525,92.7952,879600
2016-11-07,93.8008,95.1797,93.6408,95.1339,1258300
