date,open,high,low,close,volume
2016-04-21,10.5331,10.6209,10.338,10.3868,15629500
2016-04-22,10.3966,10.5429,10.2405,10.3966,18715200
2016-04-25,10.4063,10.6111,10.221,10.2893,22500000
2016-04-26,10.5526,11.3621,10.4453,11.2256,47098100
2016-04-27,11.0598,11.3231,10.9232,11.2743,24353400
2016-04-28,11.2451,12.1033,11.2353,11.3328,41186400
2016-04-29,11.3426,11.4011,10.3868,10.4843,40162100
2016-05-02,10.5331,10.5916,10.1722,10.3576,23794800
2016-05-03,10.2308,10.3575,9.9967,10.104,27847600
2016-05-04,9.9967,10.2308,9.5578,9.7529,40867200
2016-05-05,9.8114,10.143,9.7626,9.8114,26456300
2016-05-06,9.7334,9.9577,9.6066,9.7431,20963300
2016-05-09,9.7529,9.8211,9.5188,9.6261,20476700
2016-05-10,9.6944,9.8602,9.5968,9.8406,19608200
2016-05-11,9.7724,10.0747,9.7626,9.8504,17808400
2016-05-12,9.8992,10.0064,9.1189,9.392,41066600
2016-05-13,9.4213,9.5481,9.1775,9.3237,21517300
2016-05-16,9.3725,9.4505,9.275,9.4408,16247600
2016-05-17,9.4115,9.6748,9.2555,9.431,22112100
2016-05-18,9.4408,10.026,9.4408,9.8016,26916900
2016-05-19,9.7529,10.0064,9.6651,9.8211,18852900
2016-05-20,10.0552,10.5429,10.026,10.5331,31189700
2016-05-23,10.5721,10.894,10.5526,10.8647,28369200
2016-05-24,11.0305,11.2158,10.8842,11.206,25437300
2016-05-25,11.3036,11.4889,11.1378,11.3133,29175600
2016-05-26,11.4206,11.7327,11.4011,11.6547,23644100
2016-05-27,11.6742,12.1228,11.5376,12.0058,29838400
2016-05-31,12.3471,12.591,11.957,12.4057,49604300
2016-06-01,12.2984,12.7665,12.0058,12.7665,35762100
2016-06-02,12.63,12.8835,12.4349,12.786,31941900
2016-06-03,12.6982,12.7177,12.3179,12.5422,28326000
2016-06-06,12.5715,12.7177,12.4447,12.4544,24861200
2016-06-07,12.5129,12.825,12.4934,12.6787,21409500
2016-06-08,12.7568,12.7665,12.2008,12.2691,25869800
2016-06-09,12.1618,12.3861,11.9375,12.2008,21881700
2016-06-10,12.0155,12.0643,11.7522,11.84,21439300
2016-06-13,11.7034,12.0545,11.6449,11.7522,15538900
2016-06-14,11.7717,12.0155,11.4499,11.6254,21913200
2016-06-15,11.8595,11.9473,11.6547,11.723,17491700
