date,open,high,low,close,volume
2016-04-18,18.1855,18.3331,18.1485,18.2167,2170500
2016-04-19,18.2621,18.3275,18.0633,18.2252,2569800
2016-04-20,18.2139,18.2763,18.1088,18.2139,2206500
2016-04-21,18.1712,18.2735,18.0463,18.123,1875600
2016-04-22,18.0917,18.2991,18.0491,18.1741,2026800
2016-04-25,18.1059,18.2337,18.0434,18.2252,1949700
2016-04-26,18.2366,18.3814,18.1514,18.2934,3749100
2016-04-27,18.4865,18.532,18.0605,18.2139,3490800
2016-04-28,18.0605,18.2877,17.7992,17.8531,2597400
2016-04-29,17.7736,17.7736,17.3959,17.5265,3357000
2016-05-02,17.5351,17.944,17.4868,17.8958,2244900
2016-05-03,17.6345,17.7452,17.501,17.6856,1386900
2016-05-04,17.5947,17.8844,17.5947,17.7736,2508300
2016-05-05,17.8049,18.0065,17.8049,17.9497,2540100
2016-05-06,17.9412,18.2508,17.8759,18.1854,3093300
2016-05-09,18.1855,18.336,18.1855,18.3189,2067900
2016-05-10,18.2707,18.3587,18.1911,18.3445,3422700
2016-05-11,18.2991,18.3644,18.0179,18.069,2882400
2016-05-12,18.1088,18.2763,18.0889,18.2281,2161200
2016-05-13,18.2025,18.3076,18.0207,18.086,1670100
2016-05-16,18.0406,18.1712,17.981,18.1002,1553100
2016-05-17,18.1002,18.1485,17.6969,17.7594,1937100
2016-05-18,17.6941,17.9469,17.4925,17.9071,3840300
2016-05-19,17.8475,18.0207,17.7992,17.9043,1903200
2016-05-20,18.0094,18.1769,17.9156,18.069,1695900
2016-05-23,18.0349,18.1173,17.9128,18.0548,1872600
2016-05-24,18.1769,18.6598,18.1315,18.637,2963700
2016-05-25,18.6541,18.7222,18.4865,18.603,2464500
2016-05-26,18.5689,18.5888,18.3644,18.4666,1818900
2016-05-27,18.5575,18.6569,18.5234,18.6512,1274700
2016-05-31,18.674,18.7535,18.5632,18.7478,3722700
2016-06-01,18.603,18.6882,18.5689,18.6314,2152800
2016-06-02,18.5405,18.603,18.4183,18.5035,1272900
2016-06-03,18.4325,18.5405,18.2366,18.4808,1782300
2016-06-06,18.4638,18.5916,18.4013,18.4979,1527600
2016-06-07,18.4922,18.6029,18.4212,18.4297,2759100
2016-06-08,18.5125,18.6352,18.4297,18.6152,1558500
2016-06-09,18.5981,18.7636,18.5182,18.7408,2351400
2016-06-10,18.5781,18.8236,18.5581,18.718,2244600
2016-06-13,18.6324,18.8293,18.5781,18.5838,2129100
2016-06-14,18.5096,18.6609,18.4611,18.521,2786100
2016-06-15,18.5153,18.6809,18.4554,18.4954,2139600
2016-06-16,18.3469,18.5267,18.3298,18.521,1980300
2016-06-17,18.4354,18.5096,18.2156,18.2328,3900300
2016-06-20,18.4411,18.5182,17.9959,18.0073,2747400
2016-06-21,17.9702,18.0815,17.9588,17.973,2958300
2016-06-22,18.0073,18.0529,17.9502,18.0073,2277000
2016-06-23,18.0701,18.3869,18.0558,18.384,2132400
2016-06-24,17.7418,18.3498,17.6334,17.9816,6055800
2016-06-27,17.7989,17.8275,17.465,17.5335,3069300
2016-06-28,17.6248,17.8845,17.5335,17.8674,2968500
2016-06-29,18.0358,18.2927,18.0044,18.2927,2485500
2016-06-30,18.3869,18.5125,18.2699,18.4582,4196400
2016-07-01,18.4697,18.6038,18.4126,18.4868,1970100
2016-07-05,18.1871,18.4811,18.0358,18.4354,2415300
2016-07-06,18.4497,18.5267,18.3641,18.4782,2200200
2016-07-07,18.5096,18.6095,18.4211,18.5296,2136900
2016-07-08,18.6723,18.8664,18.6181,18.8036,2490300
2016-07-11,18.9035,18.9891,18.8379,18.9606,1433100
2016-07-12,19.0377,19.2289,19.0063,19.2118,1967100
2016-07-13,19.306,19.3259,19.0633,19.1718,1703700
2016-07-14,19.306,19.3659,19.1062,19.2289,2510100
2016-07-15,19.2945,19.2945,19.1575,19.2688,2730600
2016-07-18,19.5971,19.5971,19.2489,19.2945,1882200
2016-07-19,19.1747,19.4315,19.1747,19.4287,1553100
2016-07-20,19.4544,19.4686,19.3059,19.3345,1207200
2016-07-21,19.2774,19.2974,19.1318,19.2289,1189200
2016-07-22,19.2146,19.3887,19.1861,19.3488,1603500
2016-07-25,19.3516,19.5343,19.2489,19.5343,1922400
2016-07-26,19.5429,19.677,19.4344,19.5514,3743400
2016-07-27,19.5514,20.2536,19.5428,20.2193,4262400
2016-07-28,20.2136,20.3991,20.0994,20.2279,2636700
2016-07-29,20.1651,20.3848,20.1394,20.1965,2425500
2016-08-01,20.265,20.3877,20.1651,20.3848,2553600
2016-08-02,20.382,20.382,20.1936,20.3221,1711200
2016-08-03,20.3563,20.479,20.2136,20.4162,2986200
2016-08-04,20.4105,20.5161,20.3078,20.3877,3083400
2016-08-05,20.4305,20.4619,20.2992,20.3163,2448600
2016-08-08,20.3677,20.3734,20.108,20.1223,3368700
2016-08-09,20.1708,20.2536,20.0109,20.0452,2812200
2016-08-10,19.9967,20.1337,19.9681,20.0709,2967000
2016-08-11,20.1708,20.2621,19.8739,19.9881,3456900
2016-08-12,19.9453,20.0509,19.8768,20.0224,2841300
2016-08-15,19.9881,20.048,19.9367,20.0052,1910700
2016-08-16,19.951,19.9824,19.7683,19.774,1189500
2016-08-17,19.8226,20.0652,19.7598,20.0395,2529600
2016-08-18,20.068,20.1993,20.0423,20.0709,1650600
2016-08-19,20.0138,20.1051,19.9424,20.1051,2092500
2016-08-22,20.0224,20.1536,20.0138,20.1165,1605900
2016-08-23,20.1708,20.1965,20.0566,20.1394,1442100
2016-08-24,20.0937,20.1108,19.9938,20.0595,2028900
2016-08-25,20.048,20.2136,19.9795,20.1565,2242500
2016-08-26,20.2164,20.2593,19.9938,20.1194,1078800
2016-08-29,20.1479,20.4476,20.1223,20.2935,1560300
2016-08-30,20.2792,20.362,20.088,20.362,1524300
2016-08-31,20.2964,20.3991,20.2792,20.3249,1734000
2016-09-01,20.3306,20.4762,20.2878,20.4476,1725600
2016-09-02,20.5161,20.5276,20.342,20.4562,1382700
2016-09-06,20.5019,20.5133,20.2964,20.4077,1291800
2016-09-07,20.1651,20.2507,19.9938,20.2364,1583400
2016-09-08,20.1936,20.2593,20.0366,20.0395,1702200
2016-09-09,19.9168,19.9853,19.6856,19.6884,2654100
2016-09-12,19.6114,19.8968,19.4715,19.8311,2868900
2016-09-13,19.7084,19.8368,19.5714,19.7113,1950300
2016-09-14,19.7371,19.8575,19.6768,19.6969,2304000
2016-09-15,19.694,19.9693,19.694,19.9349,1811700
2016-09-16,19.8173,19.9636,19.6854,19.9206,2877900
2016-09-19,19.9808,20.1356,19.9579,20.0152,2424000
2016-09-20,20.1012,20.2016,19.889,19.9636,2119200
2016-09-21,20.0525,20.279,19.9378,20.2647,1419600
2016-09-22,20.3593,20.3622,20.1815,20.1987,1503900
